time,value,n
2007-01-01,0,1
2007-01-02,55,1
2007-01-03,0,1
2007-01-04,10,1
2007-01-05,32,1
2007-01-06,25,1
2007-01-07,34,1
2007-01-08,39,1
2007-01-09,31,1
2007-01-10,32,1
2007-01-11,24,1
2007-01-12,18,1
2007-01-13,38,1
2007-01-14,22,1
2007-01-15,23,1
2007-01-16,45,2
2007-01-17,50.5,2
2007-01-18,47.5,2
2007-01-19,31.5,2
2007-01-20,8.5,2
2007-01-21,20,2
2007-01-22,35.5,2
2007-01-23,30,2
2007-01-24,34.5,2
2007-01-25,43.5,2
2007-01-26,38.5,2
2007-01-27,21.5,2
2007-01-28,37.5,2
2007-01-29,38,2
2007-01-30,9,2
2007-01-31,64.33333333333333,3
2007-02-01,41.666666666666664,3
2007-02-02,40,3
2007-02-03,47.333333333333336,3
2007-02-04,43,3
2007-02-05,28.666666666666668,3
2007-02-06,33.666666666666664,3
2007-02-07,43,3
2007-02-08,19.666666666666668,3
2007-02-09,20,3
2007-02-10,59.666666666666664,3
2007-02-11,17.666666666666668,3
2007-02-12,38.666666666666664,3
2007-02-13,60.333333333333336,3
2007-02-14,49.333333333333336,3
2007-02-15,18,4
2007-02-16,8.75,4
2007-02-17,24.5,4
2007-02-18,23.75,4
2007-02-19,32.75,4
2007-02-20,28.25,4
2007-02-21,47.25,4
2007-02-22,27.5,4
2007-02-23,61.5,4
2007-02-24,20.5,4
2007-02-25,32.5,4
2007-02-26,46.75,4
2007-02-27,40.5,4
2007-02-28,46.75,4
2007-03-01,40.25,4
2007-03-02,51.8,5
2007-03-03,37.8,5
2007-03-04,37.8,5
2007-03-05,30.8,5
2007-03-06,28.6,5
2007-03-07,35,5
2007-03-08,27,5
2007-03-09,31.6,5
2007-03-10,21.6,5
2007-03-11,56.4,5
2007-03-12,61.8,5
2007-03-13,22.2,5
2007-03-14,27,5
2007-03-15,23.6,5
2007-03-16,30,5
2007-03-17,28.166666666666668,6
2007-03-18,40.833333333333336,6
2007-03-19,24.666666666666668,6
2007-03-20,56.333333333333336,6
2007-03-21,47.5,6
2007-03-22,48.5,6
2007-03-23,16,6
2007-03-24,33.333333333333336,6
2007-03-25,1.6666666666666667,6
2007-03-26,49.5,6
2007-03-27,64.33333333333333,6
2007-03-28,35.166666666666664,6
2007-03-29,58,6
2007-03-30,53.833333333333336,6
2007-03-31,30.5,6
2007-04-01,18,7
2007-04-02,48.42857142857143,7
2007-04-03,38.142857142857146,7
2007-04-04,24,7
2007-04-05,39.142857142857146,7
2007-04-06,17.857142857142858,7
2007-04-07,42.42857142857143,7
2007-04-08,7.571428571428571,7
2007-04-09,38,7
2007-04-10,32.142857142857146,7
2007-04-11,64.28571428571429,7
2007-04-12,43.57142857142857,7
2007-04-13,17.714285714285715,7
2007-04-14,38.285714285714285,7
2007-04-15,16.714285714285715,7
2007-04-16,47.25,8
2007-04-17,30.875,8
2007-04-18,27.75,8
2007-04-19,48.625,8
2007-04-20,42,8
2007-04-21,25.5,8
2007-04-22,27,8
2007-04-23,21.75,8
2007-04-24,36,8
2007-04-25,26,8
2007-04-26,18.5,8
2007-04-27,62.125,8
2007-04-28,6.375,8
2007-04-29,20,8
2007-04-30,37.125,8
2007-05-01,31.444444444444443,9
2007-05-02,20.555555555555557,9
2007-05-03,32.22222222222222,9
2007-05-04,26.555555555555557,9
2007-05-05,47.333333333333336,9
2007-05-06,26.666666666666668,9
2007-05-07,59.666666666666664,9
2007-05-08,48.888888888888886,9
2007-05-09,52.888888888888886,9
2007-05-10,46.111111111111114,9
2007-05-11,15.88888888888889,9
2007-05-12,19.444444444444443,9
2007-05-13,24.333333333333332,9
2007-05-14,51.888888888888886,9
