time,value,n
2007-01-07,82,1
2007-01-14,65,1
2007-01-21,68,1
2007-01-28,86,1
2007-02-04,63,1
2007-02-11,52,1
2007-02-18,66,1
2007-02-25,80,1
2007-03-04,59,1
2007-03-11,74,1
2007-03-18,72,1
2007-03-25,69,2
2007-04-01,61.5,2
2007-04-08,60,2
2007-04-15,59,2
2007-04-22,57,2
2007-04-29,44,2
2007-05-06,54,2
2007-05-13,76,2
2007-05-20,61.5,2
2007-05-27,59,2
2007-06-03,60,2
2007-06-10,57.666666666666664,3
2007-06-17,65,3
2007-06-24,59.666666666666664,3
2007-07-01,52.666666666666664,3
2007-07-08,64,3
2007-07-15,55.333333333333336,3
2007-07-22,66.66666666666667,3
2007-07-29,88.33333333333333,3
2007-08-05,65.66666666666667,3
2007-08-12,58,3
2007-08-19,74,3
2007-08-26,67.75,4
2007-09-02,75.5,4
2007-09-09,66.25,4
2007-09-16,66.75,4
2007-09-23,64.25,4
2007-09-30,66.25,4
2007-10-07,64.75,4
2007-10-14,66.5,4
2007-10-21,60.5,4
2007-10-28,67.5,4
2007-11-04,65,4
2007-11-11,55.6,5
2007-11-18,57.4,5
2007-11-25,47.2,5
2007-12-02,57,5
2007-12-09,56.2,5
2007-12-16,58,5
2007-12-23,35.2,5
2007-12-30,47,5
2008-01-06,61.2,5
2008-01-13,75.6,5
2008-01-20,73,5
2008-01-27,67,6
2008-02-03,67.5,6
2008-02-10,79.5,6
2008-02-17,81,6
2008-02-24,89.66666666666667,6
2008-03-02,54.333333333333336,6
2008-03-09,77.33333333333333,6
2008-03-16,66.66666666666667,6
2008-03-23,71.66666666666667,6
2008-03-30,59.666666666666664,6
2008-04-06,51.833333333333336,6
2008-04-13,76.28571428571429,7
2008-04-20,71.28571428571429,7
2008-04-27,60.142857142857146,7
2008-05-04,66.42857142857143,7
2008-05-11,64.57142857142857,7
2008-05-18,63.57142857142857,7
2008-05-25,73.14285714285714,7
2008-06-01,64.57142857142857,7
2008-06-08,65.42857142857143,7
2008-06-15,63.714285714285715,7
2008-06-22,83.42857142857143,7
2008-06-29,71,8
2008-07-06,76.375,8
2008-07-13,73,8
2008-07-20,66.125,8
2008-07-27,67.25,8
2008-08-03,69.375,8
2008-08-10,60.25,8
2008-08-17,78.375,8
2008-08-24,62.625,8
2008-08-31,69.25,8
2008-09-07,62.75,8
2008-09-14,77,9
2008-09-21,71.22222222222223,9
2008-09-28,59.666666666666664,9
2008-10-05,59.111111111111114,9
2008-10-12,63,9
2008-10-19,71.22222222222223,9
2008-10-26,64.55555555555556,9
2008-11-02,58.666666666666664,9
2008-11-09,58.44444444444444,9
2008-11-16,62.888888888888886,9
2008-11-23,57,9
2008-11-30,66.1,10
2008-12-07,47.2,10
2008-12-14,56.9,10
2008-12-21,40.5,10
2008-12-28,36.6,10
2009-01-04,48.6,10
2009-01-11,73.6,10
2009-01-18,63,10
2009-01-25,68.4,10
2009-02-01,73.2,10
2009-02-08,79.4,10
2009-02-15,74.0909090909091,11
2009-02-22,60.90909090909091,11
2009-03-01,71.72727272727273,11
2009-03-08,69.81818181818181,11
2009-03-15,70.63636363636364,11
2009-03-22,73.54545454545455,11
2009-03-29,77.45454545454545,11
2009-04-05,80,11
2009-04-12,77,11
