time,value,n
2007-01-01,12,1
2007-01-02,15,1
2007-01-03,8,1
2007-01-04,16,1
2007-01-05,0,1
2007-01-06,10,1
2007-01-07,0,1
2007-01-08,0,1
2007-01-09,13,1
2007-01-10,20,1
2007-01-11,13,1
2007-01-12,22,1
2007-01-13,21,1
2007-01-14,0,1
2007-01-15,6,1
2007-01-16,5.5,2
2007-01-17,6,2
2007-01-18,5.5,2
2007-01-19,0,2
2007-01-20,0,2
2007-01-21,0,2
2007-01-22,22.5,2
2007-01-23,14.5,2
2007-01-24,0,2
2007-01-25,9.5,2
2007-01-26,7.5,2
2007-01-27,5.5,2
2007-01-28,12.5,2
2007-01-29,6,2
2007-01-30,18,2
2007-01-31,11,3
2007-02-01,4.333333333333333,3
2007-02-02,7,3
2007-02-03,31.333333333333332,3
2007-02-04,26.666666666666668,3
2007-02-05,37.333333333333336,3
2007-02-06,34.666666666666664,3
2007-02-07,4.666666666666667,3
2007-02-08,25.666666666666668,3
2007-02-09,4.666666666666667,3
2007-02-10,0,3
2007-02-11,38.666666666666664,3
2007-02-12,15,3
2007-02-13,9,3
2007-02-14,34,3
2007-02-15,19.5,4
2007-02-16,3.5,4
2007-02-17,22,4
2007-02-18,13.75,4
2007-02-19,29.5,4
2007-02-20,17.5,4
2007-02-21,9.25,4
2007-02-22,9.25,4
2007-02-23,9.75,4
2007-02-24,7,4
2007-02-25,19.75,4
2007-02-26,14.5,4
2007-02-27,18.75,4
2007-02-28,7,4
2007-03-01,7.75,4
2007-03-02,31.4,5
2007-03-03,10.2,5
2007-03-04,18.4,5
2007-03-05,19.4,5
2007-03-06,58.4,5
2007-03-07,11,5
2007-03-08,18.6,5
2007-03-09,15.8,5
2007-03-10,25.2,5
2007-03-11,3.4,5
2007-03-12,48,5
2007-03-13,6.8,5
2007-03-14,7.6,5
2007-03-15,9,5
2007-03-16,35,5
2007-03-17,26,6
2007-03-18,12.666666666666666,6
2007-03-19,20.5,6
2007-03-20,9.833333333333334,6
2007-03-21,23.333333333333332,6
2007-03-22,24.333333333333332,6
2007-03-23,16.833333333333332,6
2007-03-24,26.666666666666668,6
2007-03-25,34.333333333333336,6
2007-03-26,11.833333333333334,6
2007-03-27,35.5,6
2007-03-28,31.333333333333332,6
2007-03-29,22.166666666666668,6
2007-03-30,42,6
2007-03-31,50.666666666666664,6
2007-04-01,39.142857142857146,7
2007-04-02,22.714285714285715,7
2007-04-03,31,7
2007-04-04,22.714285714285715,7
2007-04-05,44.42857142857143,7
2007-04-06,43.142857142857146,7
2007-04-07,14,7
2007-04-08,25.857142857142858,7
2007-04-09,13.428571428571429,7
2007-04-10,37.285714285714285,7
2007-04-11,36.142857142857146,7
2007-04-12,16.285714285714285,7
2007-04-13,42,7
2007-04-14,10.714285714285714,7
2007-04-15,34.57142857142857,7
2007-04-16,30.625,8
2007-04-17,30.375,8
2007-04-18,44.75,8
2007-04-19,28.625,8
2007-04-20,20.5,8
2007-04-21,15.625,8
2007-04-22,22.375,8
2007-04-23,38,8
