time,value,n
2006-01-01,10,1
2006-02-01,16.5,2
2006-03-01,14.5,2
2006-04-01,22.5,2
2006-05-01,19.5,2
2006-06-01,27,2
2006-07-01,24.5,2
2006-08-01,17,2
2006-09-01,16,2
2006-10-01,17.5,2
2006-11-01,16.5,2
2006-12-01,16,2
2007-01-01,13.833333333333334,6
2007-02-01,17.5,10
2007-03-01,21,11
2007-04-01,26.666666666666668,12
2007-05-01,23.076923076923077,13
2007-06-01,23.642857142857142,14
2007-07-01,27.133333333333333,15
2007-08-01,20.75,16
2007-09-01,21.529411764705884,17
2007-10-01,19.944444444444443,18
2007-11-01,16.31578947368421,19
2007-12-01,14.200000000000003,20
2008-01-01,15.549999999999997,20
2008-02-01,17.75,20
2008-03-01,22.25,20
2008-04-01,26.9,20
2008-05-01,29.95,20
2008-06-01,23.1,20
2008-07-01,24.7,20
2008-08-01,24.35,20
2008-09-01,20,20
2008-10-01,17.75,20
2008-11-01,20.85,20
2008-12-01,19.25,20
2009-01-01,15.500000000000004,20
2009-02-01,17.55,20
2009-03-01,21.5,20
2009-04-01,29.35,20
2009-05-01,26.75,20
2009-06-01,20.6,20
2009-07-01,23.5,20
2009-08-01,24.2,20
2009-09-01,19.05,20
2009-10-01,20.25,20
2009-11-01,17.05,20
2009-12-01,17.2,20
2010-01-01,16.1,20
2010-02-01,16.4,20
2010-03-01,22.1,20
2010-04-01,28.4,20
2010-05-01,27.45,20
2010-06-01,26.3,20
2010-07-01,28.2,20
2010-08-01,23.55,20
2010-09-01,19.15,20
2010-10-01,18.15,20
2010-11-01,17.7,20
2010-12-01,20.55,20
2011-01-01,17.85,20
2011-02-01,19.95,20
2011-03-01,25.4,20
2011-04-01,30.3,20
2011-05-01,28.9,20
2011-06-01,24.9,20
2011-07-01,28.35,20
2011-08-01,35.9,20
2011-09-01,32.65,20
2011-10-01,30.9,20
2011-11-01,28.65,20
2011-12-01,26.1,20
2012-01-01,24.05,20
2012-02-01,23.75,20
2012-03-01,36.7,20
2012-04-01,32.65,20
2012-05-01,32.05,20
2012-06-01,30.65,20
2012-07-01,32.15,20
2012-08-01,32.25,20
2012-09-01,28,20
2012-10-01,27,20
2012-11-01,25.3,20
2012-12-01,23.65,20
2013-01-01,20.8,20
2013-02-01,20.6,20
2013-03-01,25.8,20
2013-04-01,37.4,20
2013-05-01,36.3,20
2013-06-01,33.95,20
2013-07-01,35.65,20
2013-08-01,34,20
2013-09-01,30.05,20
2013-10-01,26.15,20
2013-11-01,26.25,20
2013-12-01,25.45,20
2014-01-01,23.85,20
2014-02-01,25.15,20
2014-03-01,36.95,20
2014-04-01,41.2,20
2014-05-01,36.4,20
2014-06-01,40.2,20
2014-07-01,39,20
2014-08-01,34.3,20
2014-09-01,32.05,20
2014-10-01,29.05,20
2014-11-01,29.05,20
2014-12-01,29,20
2015-01-01,25.3,20
2015-02-01,25,20
2015-03-01,38.4,20
2015-04-01,46.05,20
2015-05-01,42.25,20
2015-06-01,45.75,20
2015-07-01,43.35,20
2015-08-01,42.25,20
2015-09-01,32.7,20
2015-10-01,33.65,20
2015-11-01,31.75,20
2015-12-01,29.95,20
2016-01-01,25.25,20
2016-02-01,27.5,20
2016-03-01,35.2,20
2016-04-01,41.05,20
2016-05-01,42.55,20
2016-06-01,35.55,20
2016-07-01,36.6,20
2016-08-01,33.85,20
2016-09-01,32.35,20
2016-10-01,29.35,20
2016-11-01,28.4,20
2016-12-01,28.9,20
2017-01-01,24.65,20
2017-02-01,27.15,20
2017-03-01,38.35,20
2017-04-01,40.35,20
2017-05-01,42.8,20
2017-06-01,41.75,20
2017-07-01,36.35,20
2017-08-01,36.8,20
2017-09-01,33.35,20
2017-10-01,32.1,20
2017-11-01,36.45,20
2017-12-01,33.6,20
2018-01-01,29.6,20
2018-02-01,33.75,20
2018-03-01,42.5,20
2018-04-01,59.6,20
2018-05-01,53.7,20
2018-06-01,48.5,20
2018-07-01,46.25,20
2018-08-01,46.7,20
2018-09-01,41.75,20
2018-10-01,41.9,20
2018-11-01,40.6,20
2018-12-01,39.2,20
2019-01-01,35.15,20
2019-02-01,42.35,20
2019-03-01,54.05,20
2019-04-01,60.1,20
2019-05-01,52.4,20
2019-06-01,63.35,20
2019-07-01,56.35,20
2019-08-01,49.55,20
2019-09-01,46.3,20
2019-10-01,43.75,20
2019-11-01,46.8,20
2019-12-01,43.2,20
2020-01-01,40.45,20
2020-02-01,44.5,20
2020-03-01,55.3,20
2020-04-01,99.39999999999998,20
2020-05-01,96.85,20
2020-06-01,76.45,20
2020-07-01,67.45,20
2020-08-01,60.25,20
2020-09-01,54.3,20
2020-10-01,53.3,20
2020-11-01,49.65,20
2020-12-01,54.65,20
2021-01-01,47.2,20
2021-02-01,59.7,20
2021-03-01,74.55,20
2021-04-01,76,20
2021-05-01,76.45,20
2021-06-01,67.9,20
2021-07-01,53.3,20
2021-08-01,46,2
