time,value,n
2007-01-07,48,1
2007-01-14,39,1
2007-01-21,23,1
2007-01-28,20,1
2007-02-04,61,1
2007-02-11,41,1
2007-02-18,37,1
2007-02-25,30,1
2007-03-04,57,1
2007-03-11,36,1
2007-03-18,30,1
2007-03-25,54.5,2
2007-04-01,59,2
2007-04-08,60,2
2007-04-15,69.5,2
2007-04-22,42.5,2
2007-04-29,67,2
2007-05-06,30.5,2
2007-05-13,69,2
2007-05-20,50,2
2007-05-27,50.5,2
2007-06-03,49,2
2007-06-10,36.666666666666664,3
2007-06-17,61.666666666666664,3
2007-06-24,54.333333333333336,3
2007-07-01,58.333333333333336,3
2007-07-08,45.666666666666664,3
2007-07-15,61.333333333333336,3
2007-07-22,52.666666666666664,3
2007-07-29,60.333333333333336,3
2007-08-05,53,3
2007-08-12,63,3
2007-08-19,53,3
2007-08-26,38,4
2007-09-02,54.25,4
2007-09-09,48.5,4
2007-09-16,51.25,4
2007-09-23,49.5,4
2007-09-30,42,4
2007-10-07,41,4
2007-10-14,46.75,4
2007-10-21,52,4
2007-10-28,45.25,4
2007-11-04,40.5,4
2007-11-11,34.8,5
2007-11-18,37.8,5
2007-11-25,45.2,5
2007-12-02,20.6,5
2007-12-09,30,5
2007-12-16,39.2,5
2007-12-23,22.8,5
2007-12-30,25.6,5
2008-01-06,33.6,5
2008-01-13,25.4,5
2008-01-20,41,5
2008-01-27,33.833333333333336,6
2008-02-03,31,6
2008-02-10,34.166666666666664,6
2008-02-17,32.833333333333336,6
2008-02-24,45.666666666666664,6
2008-03-02,43.833333333333336,6
2008-03-09,61.5,6
2008-03-16,40.666666666666664,6
2008-03-23,55.5,6
2008-03-30,53.833333333333336,6
2008-04-06,59.5,6
2008-04-13,57.42857142857143,7
2008-04-20,56.57142857142857,7
2008-04-27,64.28571428571429,7
2008-05-04,59.285714285714285,7
2008-05-11,58,7
2008-05-18,58.857142857142854,7
2008-05-25,78.85714285714286,7
2008-06-01,55.142857142857146,7
2008-06-08,51.857142857142854,7
2008-06-15,46.142857142857146,7
2008-06-22,50.142857142857146,7
2008-06-29,56,8
2008-07-06,44,8
2008-07-13,53.125,8
2008-07-20,51.375,8
2008-07-27,46.125,8
2008-08-03,56.125,8
2008-08-10,60.125,8
2008-08-17,52.625,8
2008-08-24,48.25,8
2008-08-31,49.75,8
2008-09-07,40,8
2008-09-14,40.333333333333336,9
2008-09-21,39.22222222222222,9
2008-09-28,41.666666666666664,9
2008-10-05,40.55555555555556,9
2008-10-12,40,9
2008-10-19,40.888888888888886,9
2008-10-26,35.55555555555556,9
2008-11-02,30.555555555555557,9
2008-11-09,59.888888888888886,9
2008-11-16,46.888888888888886,9
2008-11-23,48.666666666666664,9
2008-11-30,40.9,10
2008-12-07,38.6,10
2008-12-14,45.8,10
2008-12-21,46.8,10
2008-12-28,46.4,10
2009-01-04,41.9,10
2009-01-11,30.8,10
2009-01-18,28.9,10
2009-01-25,40.1,10
2009-02-01,23.5,10
2009-02-08,37.5,10
2009-02-15,36.27272727272727,11
2009-02-22,46.90909090909091,11
2009-03-01,46.63636363636363,11
2009-03-08,43.72727272727273,11
2009-03-15,47.72727272727273,11
2009-03-22,52.90909090909091,11
2009-03-29,56,11
2009-04-05,60.81818181818182,11
2009-04-12,61.09090909090909,11
2009-04-19,59.36363636363637,11
2009-04-26,61.72727272727273,11
2009-05-03,60.833333333333336,12
2009-05-10,56.916666666666664,12
2009-05-17,61,12
2009-05-24,50,12
2009-05-31,37.5,12
2009-06-07,40.583333333333336,12
2009-06-14,54.5,12
2009-06-21,37.333333333333336,12
2009-06-28,46.25,12
2009-07-05,55.833333333333336,12
2009-07-12,51.333333333333336,12
2009-07-19,43.46153846153846,13
2009-07-26,45.92307692307692,13
2009-08-02,47.76923076923077,13
2009-08-09,49.38461538461539,13
2009-08-16,58.30769230769231,13
2009-08-23,42.61538461538461,13
2009-08-30,44,13
2009-09-06,38.15384615384615,13
2009-09-13,43.30769230769231,13
2009-09-20,34.07692307692308,13
2009-09-27,33,13
2009-10-04,37.5,14
2009-10-11,48.642857142857146,14
2009-10-18,39.714285714285715,14
2009-10-25,41.714285714285715,14
2009-11-01,31.357142857142858,14
2009-11-08,26.071428571428573,14
2009-11-15,34.857142857142854,14
2009-11-22,42.357142857142854,14
2009-11-29,28.928571428571427,14
2009-12-06,36.5,14
2009-12-13,35.42857142857143,14
2009-12-20,40.46666666666667,15
2009-12-27,43.733333333333334,15
2010-01-03,38.666666666666664,15
2010-01-10,32.8,15
2010-01-17,31.8,15
2010-01-24,28.066666666666663,15
2010-01-31,34,15
2010-02-07,32.86666666666667,15
2010-02-14,31.133333333333333,15
2010-02-21,41.13333333333333,15
2010-02-28,45.46666666666667,15
2010-03-07,39.4375,16
2010-03-14,32.75,16
2010-03-21,63.125,16
2010-03-28,46,16
2010-04-04,56.9375,16
2010-04-11,49.6875,16
2010-04-18,63.8125,16
2010-04-25,57.5,16
2010-05-02,60.125,16
2010-05-09,58.4375,16
2010-05-16,55,16
2010-05-23,51.52941176470589,17
2010-05-30,46.94117647058823,17
2010-06-06,58.705882352941174,17
2010-06-13,56.8235294117647,17
2010-06-20,48.705882352941174,17
2010-06-27,67.17647058823529,17
2010-07-04,53.35294117647059,17
2010-07-11,81.05882352941177,17
2010-07-18,59.23529411764706,17
2010-07-25,54.411764705882355,17
2010-08-01,54.11764705882353,17
2010-08-08,44.333333333333336,18
2010-08-15,50.94444444444444,18
2010-08-22,42.55555555555556,18
2010-08-29,40.666666666666664,18
2010-09-05,50,18
2010-09-12,26.166666666666668,18
2010-09-19,46.55555555555556,18
2010-09-26,37.44444444444444,18
2010-10-03,36.166666666666664,18
2010-10-10,28.333333333333332,18
2010-10-17,41.888888888888886,18
2010-10-24,48,19
2010-10-31,30.105263157894736,19
2010-11-07,33.36842105263158,19
2010-11-14,37.421052631578945,19
2010-11-21,38.89473684210526,19
2010-11-28,41.10526315789474,19
2010-12-05,41.89473684210526,19
2010-12-12,39,19
2010-12-19,37.73684210526316,19
2010-12-26,32.578947368421055,19
2011-01-02,39.94736842105263,19
2011-01-09,30.6,20
2011-01-16,34.25,20
2011-01-23,35.1,20
2011-01-30,43.65,20
2011-02-06,34.55,20
2011-02-13,41.65,20
2011-02-20,41.45,20
2011-02-27,40.2,20
2011-03-06,44.15,20
2011-03-13,41.6,20
2011-03-20,62.65,20
2011-03-27,57.285714285714285,21
2011-04-03,53.76190476190476,21
2011-04-10,65.19047619047619,21
2011-04-17,54.23809523809524,21
2011-04-24,66.66666666666667,21
2011-05-01,53.285714285714285,21
2011-05-08,58.04761904761905,21
2011-05-15,53.476190476190474,21
2011-05-22,61.857142857142854,21
2011-05-29,56.857142857142854,21
2011-06-05,54.142857142857146,21
2011-06-12,52.04545454545455,22
2011-06-19,40.86363636363637,22
2011-06-26,42.54545454545455,22
2011-07-03,54.27272727272727,22
2011-07-10,60.81818181818182,22
2011-07-17,54.5,22
2011-07-24,56.27272727272727,22
2011-07-31,51.68181818181818,22
2011-08-07,60.45454545454545,22
2011-08-14,81.5,22
2011-08-21,78.0909090909091,22
2011-08-28,80.69565217391305,23
2011-09-04,75.34782608695652,23
2011-09-11,61.26086956521739,23
2011-09-18,66.47826086956522,23
2011-09-25,56.73913043478261,23
2011-10-02,59.69565217391305,23
2011-10-09,68,23
2011-10-16,53.869565217391305,23
2011-10-23,65.1304347826087,23
