time,value,n
2007-01-01,46,1
2007-02-01,46.5,2
2007-03-01,67,3
2007-04-01,56.75,4
2007-05-01,29.4,5
2007-06-01,58.5,6
2007-07-01,50.57142857142857,7
2007-08-01,36.25,8
2007-09-01,57.111111111111114,9
2007-10-01,69.3,10
2007-11-01,48.63636363636363,11
2007-12-01,52.25,12
2008-01-01,35.583333333333336,12
2008-02-01,23.666666666666668,12
2008-03-01,69.08333333333333,12
2008-04-01,20.583333333333332,12
2008-05-01,37,12
2008-06-01,33.916666666666664,12
2008-07-01,50.75,12
2008-08-01,37.166666666666664,12
2008-09-01,35.166666666666664,12
2008-10-01,75.16666666666667,12
2008-11-01,56.166666666666664,12
2008-12-01,81.75,12
2009-01-01,37.333333333333336,12
2009-02-01,60.333333333333336,12
2009-03-01,53,12
2009-04-01,36.583333333333336,12
2009-05-01,34.75,12
2009-06-01,34.166666666666664,12
2009-07-01,67.33333333333333,12
2009-08-01,55.833333333333336,12
2009-09-01,24.5,12
2009-10-01,43.333333333333336,12
2009-11-01,50.416666666666664,12
2009-12-01,56.833333333333336,12
2010-01-01,37.833333333333336,12
2010-02-01,21.416666666666668,12
2010-03-01,31.916666666666668,12
2010-04-01,51.333333333333336,12
2010-05-01,43.416666666666664,12
2010-06-01,32.416666666666664,12
2010-07-01,19.333333333333332,12
2010-08-01,36.25,12
2010-09-01,47.333333333333336,12
2010-10-01,53.583333333333336,12
2010-11-01,59.416666666666664,12
2010-12-01,66.25,12
2011-01-01,22.5,12
2011-02-01,30.5,12
2011-03-01,37.416666666666664,12
2011-04-01,56.333333333333336,12
2011-05-01,42.75,12
2011-06-01,36.083333333333336,12
2011-07-01,41.916666666666664,12
2011-08-01,46.333333333333336,12
2011-09-01,71.66666666666667,12
2011-10-01,47.416666666666664,12
2011-11-01,43.333333333333336,12
2011-12-01,55,12
2012-01-01,50,12
2012-02-01,48.666666666666664,12
2012-03-01,45.083333333333336,12
2012-04-01,48.583333333333336,12
2012-05-01,30.916666666666668,12
2012-06-01,72.91666666666667,12
2012-07-01,48.333333333333336,12
2012-08-01,49.583333333333336,12
2012-09-01,59,12
2012-10-01,50.25,12
2012-11-01,67,12
2012-12-01,50.666666666666664,12
2013-01-01,31.666666666666668,12
2013-02-01,39.5,12
2013-03-01,41.25,12
2013-04-01,42.75,12
2013-05-01,37.916666666666664,12
2013-06-01,45.083333333333336,12
2013-07-01,37.583333333333336,12
2013-08-01,47.333333333333336,12
2013-09-01,42,12
2013-10-01,55.833333333333336,12
2013-11-01,42.916666666666664,12
2013-12-01,51.583333333333336,12
2014-01-01,50.416666666666664,12
2014-02-01,42.666666666666664,12
2014-03-01,39.083333333333336,12
2014-04-01,41.083333333333336,12
2014-05-01,28.166666666666668,12
2014-06-01,40.583333333333336,12
2014-07-01,53.916666666666664,12
2014-08-01,53.083333333333336,12
2014-09-01,45.916666666666664,12
2014-10-01,38.916666666666664,12
2014-11-01,27.416666666666668,12
2014-12-01,52.083333333333336,12
2015-01-01,47.083333333333336,12
2015-02-01,47.5,12
2015-03-01,37.583333333333336,12
2015-04-01,32.666666666666664,12
2015-05-01,35.166666666666664,12
2015-06-01,35.083333333333336,12
2015-07-01,29.166666666666668,12
2015-08-01,31,12
2015-09-01,35.416666666666664,12
2015-10-01,39.916666666666664,12
2015-11-01,45.083333333333336,12
2015-12-01,39.75,12
2016-01-01,41.25,12
2016-02-01,40.333333333333336,12
2016-03-01,27.083333333333332,12
2016-04-01,35.833333333333336,12
2016-05-01,24.5,12
2016-06-01,26.916666666666668,12
2016-07-01,31.5,12
2016-08-01,24.416666666666668,12
2016-09-01,32.416666666666664,12
2016-10-01,46.083333333333336,12
2016-11-01,34.166666666666664,12
2016-12-01,43.583333333333336,12
2017-01-01,32.916666666666664,12
2017-02-01,32.583333333333336,12
2017-03-01,31.5,12
2017-04-01,41.5,12
2017-05-01,30.666666666666668,12
2017-06-01,33.666666666666664,12
2017-07-01,35.75,12
2017-08-01,39.25,12
2017-09-01,36.25,12
2017-10-01,45,12
2017-11-01,44.916666666666664,12
2017-12-01,48.666666666666664,12
2018-01-01,38.583333333333336,12
2018-02-01,28.583333333333332,12
2018-03-01,33.166666666666664,12
2018-04-01,32.666666666666664,12
2018-05-01,34,12
2018-06-01,40.583333333333336,12
2018-07-01,31.833333333333332,12
2018-08-01,35.5,12
2018-09-01,46,12
2018-10-01,27.083333333333332,12
2018-11-01,39.416666666666664,12
2018-12-01,53.5,12
2019-01-01,23.666666666666668,12
2019-02-01,25.75,12
2019-03-01,25.666666666666668,12
2019-04-01,30.166666666666668,12
2019-05-01,38.833333333333336,12
2019-06-01,38.666666666666664,12
2019-07-01,37.833333333333336,12
2019-08-01,35.416666666666664,12
2019-09-01,35.916666666666664,12
2019-10-01,50.416666666666664,12
2019-11-01,48.666666666666664,12
2019-12-01,42.083333333333336,12
2020-01-01,28.166666666666668,12
2020-02-01,24.75,12
2020-03-01,18.083333333333332,12
2020-04-01,20.333333333333332,12
2020-05-01,30.166666666666668,12
2020-06-01,32.5,12
2020-07-01,31.083333333333332,12
2020-08-01,30.166666666666668,12
2020-09-01,26,12
2020-10-01,25.5,12
2020-11-01,19.166666666666668,12
2020-12-01,28.166666666666668,12
2021-01-01,11.333333333333334,12
2021-02-01,25.416666666666668,12
2021-03-01,27.083333333333332,12
2021-04-01,19.416666666666668,12
2021-05-01,26.916666666666668,12
2021-06-01,29.583333333333332,12
2021-07-01,33.25,12
2021-08-01,26.75,12
2021-09-01,43,12
2021-10-01,30.5,12
