time,value,n
2007-01-07,84,1
2007-01-14,0,1
2007-01-21,28,1
2007-01-28,0,1
2007-02-04,0,1
2007-02-11,28,1
2007-02-18,29,1
2007-02-25,53,1
2007-03-04,53,1
2007-03-11,0,1
2007-03-18,53,1
2007-03-25,15,2
2007-04-01,15.5,2
2007-04-08,15.5,2
2007-04-15,29.5,2
2007-04-22,30,2
2007-04-29,46,2
2007-05-06,26,2
2007-05-13,0,2
2007-05-20,0,2
2007-05-27,28,2
2007-06-03,28.5,2
2007-06-10,10,3
2007-06-17,37.333333333333336,3
2007-06-24,28.666666666666668,3
2007-07-01,29.333333333333332,3
2007-07-08,42.333333333333336,3
2007-07-15,0,3
2007-07-22,51.666666666666664,3
2007-07-29,39.666666666666664,3
2007-08-05,10,3
2007-08-12,0,3
2007-08-19,47.333333333333336,3
2007-08-26,25,4
2007-09-02,36.75,4
2007-09-09,52.25,4
2007-09-16,44.5,4
2007-09-23,5.75,4
2007-09-30,60,4
2007-10-07,32,4
2007-10-14,26,4
2007-10-21,39,4
2007-10-28,45.5,4
2007-11-04,55.25,4
2007-11-11,17.6,5
2007-11-18,46,5
2007-11-25,15,5
2007-12-02,14.8,5
2007-12-09,20.8,5
2007-12-16,6.4,5
2007-12-23,47.8,5
2007-12-30,33.6,5
2008-01-06,17.2,5
2008-01-13,36,5
2008-01-20,22.4,5
2008-01-27,22.166666666666668,6
2008-02-03,9.5,6
2008-02-10,17.333333333333332,6
2008-02-17,0,6
2008-02-24,14.333333333333334,6
2008-03-02,57.5,6
2008-03-09,36.166666666666664,6
2008-03-16,41,6
2008-03-23,52.5,6
2008-03-30,20.666666666666668,6
2008-04-06,0,6
2008-04-13,6.428571428571429,7
2008-04-20,13.285714285714286,7
2008-04-27,14.714285714285714,7
2008-05-04,21.428571428571427,7
2008-05-11,18.714285714285715,7
2008-05-18,34.285714285714285,7
2008-05-25,6.142857142857143,7
2008-06-01,6.714285714285714,7
2008-06-08,26.857142857142858,7
2008-06-15,13.428571428571429,7
2008-06-22,30.428571428571427,7
2008-06-29,21.375,8
2008-07-06,42.875,8
2008-07-13,2.75,8
2008-07-20,25.375,8
2008-07-27,24,8
2008-08-03,32.875,8
2008-08-10,3.625,8
2008-08-17,0,8
2008-08-24,28.625,8
2008-08-31,18.5,8
2008-09-07,20.25,8
2008-09-14,0,9
2008-09-21,0,9
2008-09-28,31.666666666666668,9
2008-10-05,39.888888888888886,9
2008-10-12,27.11111111111111,9
