time,value,n
2007-01-01,0,1
2007-01-02,57,1
2007-01-03,0,1
2007-01-04,0,1
2007-01-05,33,1
2007-01-06,20,1
2007-01-07,0,1
2007-01-08,0,1
2007-01-09,24,1
2007-01-10,25,1
2007-01-11,0,1
2007-01-12,41,1
2007-01-13,0,1
2007-01-14,17,1
2007-01-15,12,1
2007-01-16,28.5,2
2007-01-17,0,2
2007-01-18,27,2
2007-01-19,23.5,2
2007-01-20,10,2
2007-01-21,0,2
2007-01-22,8,2
2007-01-23,14.5,2
2007-01-24,8,2
2007-01-25,28,2
2007-01-26,19.5,2
2007-01-27,13,2
2007-01-28,12,2
2007-01-29,0,2
2007-01-30,14.5,2
2007-01-31,25.666666666666668,3
2007-02-01,20,3
2007-02-02,13,3
2007-02-03,9.333333333333334,3
2007-02-04,42.666666666666664,3
2007-02-05,26,3
2007-02-06,21.333333333333332,3
2007-02-07,12,3
2007-02-08,11.666666666666666,3
2007-02-09,14.333333333333334,3
2007-02-10,43.333333333333336,3
2007-02-11,0,3
2007-02-12,0,3
2007-02-13,15,3
2007-02-14,6,3
2007-02-15,11,4
2007-02-16,21.25,4
2007-02-17,12.5,4
2007-02-18,9.5,4
2007-02-19,19.25,4
2007-02-20,4.75,4
2007-02-21,6.5,4
2007-02-22,16.75,4
2007-02-23,45.25,4
2007-02-24,4.75,4
2007-02-25,10.5,4
2007-02-26,10.75,4
2007-02-27,31.25,4
2007-02-28,0,4
2007-03-01,22.75,4
2007-03-02,34.2,5
2007-03-03,38,5
2007-03-04,32,5
2007-03-05,5.4,5
2007-03-06,10,5
2007-03-07,30,5
2007-03-08,24.2,5
2007-03-09,6.2,5
2007-03-10,31.4,5
2007-03-11,24,5
2007-03-12,28.2,5
2007-03-13,20.2,5
2007-03-14,25,5
2007-03-15,45,5
2007-03-16,27.6,5
2007-03-17,16.166666666666668,6
2007-03-18,43.5,6
2007-03-19,45.5,6
2007-03-20,28.666666666666668,6
2007-03-21,57.5,6
2007-03-22,38.666666666666664,6
2007-03-23,39.166666666666664,6
2007-03-24,27.833333333333332,6
2007-03-25,5.5,6
2007-03-26,24.166666666666668,6
2007-03-27,49.166666666666664,6
2007-03-28,27.5,6
2007-03-29,16.5,6
2007-03-30,26.5,6
2007-03-31,19.5,6
2007-04-01,11.714285714285714,7
2007-04-02,33.857142857142854,7
2007-04-03,1.8571428571428572,7
2007-04-04,22,7
2007-04-05,28.142857142857142,7
2007-04-06,44.857142857142854,7
2007-04-07,21.714285714285715,7
2007-04-08,14.571428571428571,7
2007-04-09,29.857142857142858,7
2007-04-10,3.142857142857143,7
2007-04-11,65.28571428571429,7
2007-04-12,24.285714285714285,7
2007-04-13,10.571428571428571,7
2007-04-14,26.714285714285715,7
2007-04-15,20.142857142857142,7
2007-04-16,15.625,8
2007-04-17,19.5,8
2007-04-18,15.625,8
2007-04-19,41.75,8
2007-04-20,9.125,8
2007-04-21,25.75,8
2007-04-22,17.625,8
2007-04-23,31.875,8
2007-04-24,17.875,8
2007-04-25,29.625,8
2007-04-26,32.125,8
2007-04-27,16,8
2007-04-28,8.375,8
2007-04-29,14.875,8
2007-04-30,10.625,8
2007-05-01,13.88888888888889,9
2007-05-02,30.333333333333332,9
2007-05-03,21.444444444444443,9
2007-05-04,35.22222222222222,9
2007-05-05,12,9
2007-05-06,41.111111111111114,9
2007-05-07,18.88888888888889,9
2007-05-08,24.666666666666668,9
2007-05-09,16.333333333333332,9
2007-05-10,31,9
2007-05-11,26.77777777777778,9
2007-05-12,7.777777777777778,9
2007-05-13,17,9
2007-05-14,15.333333333333334,9
2007-05-15,37.888888888888886,9
2007-05-16,29.8,10
2007-05-17,40.9,10
2007-05-18,33.8,10
2007-05-19,19.6,10
2007-05-20,18.8,10
2007-05-21,14.6,10
2007-05-22,24.6,10
2007-05-23,52.3,10
2007-05-24,20.7,10
2007-05-25,25.4,10
2007-05-26,44.7,10
2007-05-27,28.4,10
2007-05-28,10.1,10
2007-05-29,37.7,10
2007-05-30,30.8,10
2007-05-31,35.90909090909091,11
2007-06-01,29.818181818181817,11
2007-06-02,17,11
2007-06-03,0,11
2007-06-04,31.818181818181817,11
2007-06-05,6.181818181818182,11
2007-06-06,25.545454545454547,11
2007-06-07,16.636363636363637,11
2007-06-08,33,11
2007-06-09,39.54545454545455,11
2007-06-10,31.727272727272727,11
2007-06-11,29.363636363636363,11
2007-06-12,30,11
2007-06-13,13,11
2007-06-14,35.54545454545455,11
2007-06-15,20.833333333333332,12
2007-06-16,25.75,12
2007-06-17,25.75,12
2007-06-18,19.833333333333332,12
2007-06-19,20.833333333333332,12
2007-06-20,33,12
2007-06-21,24.416666666666668,12
2007-06-22,20.916666666666668,12
2007-06-23,17,12
2007-06-24,30.75,12
2007-06-25,29.833333333333332,12
2007-06-26,17.666666666666668,12
2007-06-27,14.083333333333334,12
2007-06-28,6.833333333333333,12
2007-06-29,20.833333333333332,12
2007-06-30,8.538461538461538,13
2007-07-01,27.53846153846154,13
2007-07-02,13.583333333333334,12
2007-07-03,19.166666666666668,12
2007-07-04,12.5,12
2007-07-05,35.333333333333336,12
2007-07-06,29.416666666666668,12
2007-07-07,29.25,12
2007-07-08,37.166666666666664,12
2007-07-09,28.666666666666668,12
2007-07-10,14.583333333333334,12
2007-07-11,23.916666666666668,12
2007-07-12,14.083333333333334,12
2007-07-13,17.416666666666668,12
2007-07-14,22.166666666666668,12
2007-07-15,0,13
2007-07-16,21,13
2007-07-17,24.166666666666668,12
2007-07-18,22.75,12
2007-07-19,21.083333333333332,12
2007-07-20,10.083333333333334,12
2007-07-21,12.416666666666666,12
2007-07-22,8.166666666666666,12
2007-07-23,3.0833333333333335,12
2007-07-24,21.916666666666668,12
2007-07-25,21.75,12
2007-07-26,21.416666666666668,12
2007-07-27,17.666666666666668,12
2007-07-28,38.083333333333336,12
2007-07-29,3.9166666666666665,12
2007-07-30,16.615384615384617,13
2007-07-31,22.923076923076923,13
2007-08-01,30.833333333333332,12
2007-08-02,69.16666666666667,12
2007-08-03,14.25,12
2007-08-04,39.916666666666664,12
2007-08-05,39.416666666666664,12
2007-08-06,15.166666666666666,12
2007-08-07,32.75,12
2007-08-08,24.75,12
2007-08-09,34.916666666666664,12
2007-08-10,37.833333333333336,12
2007-08-11,34.416666666666664,12
2007-08-12,35.916666666666664,12
2007-08-13,35.666666666666664,12
2007-08-14,35,13
2007-08-15,12.23076923076923,13
2007-08-16,21.583333333333332,12
2007-08-17,12.583333333333334,12
2007-08-18,22.666666666666668,12
2007-08-19,3.9166666666666665,12
2007-08-20,17.333333333333332,12
2007-08-21,6.583333333333333,12
2007-08-22,18.583333333333332,12
2007-08-23,33.083333333333336,12
2007-08-24,25.333333333333332,12
2007-08-25,10.083333333333334,12
2007-08-26,26.166666666666668,12
2007-08-27,33.416666666666664,12
2007-08-28,22.416666666666668,12
2007-08-29,41.46153846153846,13
2007-08-30,42.76923076923077,13
2007-08-31,38,13
2007-09-01,40.46153846153846,13
2007-09-02,32.61538461538461,13
2007-09-03,39.416666666666664,12
2007-09-04,14.333333333333334,12
2007-09-05,39.166666666666664,12
2007-09-06,42.75,12
2007-09-07,33.833333333333336,12
2007-09-08,52.166666666666664,12
2007-09-09,16.583333333333332,12
2007-09-10,51.583333333333336,12
2007-09-11,30.833333333333332,12
2007-09-12,23.833333333333332,12
2007-09-13,20.46153846153846,13
2007-09-14,28.23076923076923,13
2007-09-15,15.923076923076923,13
2007-09-16,44.61538461538461,13
2007-09-17,32.46153846153846,13
2007-09-18,22.333333333333332,12
2007-09-19,12,12
2007-09-20,36.083333333333336,12
2007-09-21,32.333333333333336,12
2007-09-22,27.833333333333332,12
2007-09-23,5.333333333333333,12
2007-09-24,27.166666666666668,12
2007-09-25,38.083333333333336,12
2007-09-26,25.75,12
2007-09-27,27.5,12
2007-09-28,19.46153846153846,13
2007-09-29,46.07692307692308,13
2007-09-30,16.153846153846153,13
2007-10-01,24.384615384615383,13
2007-10-02,31.25,12
2007-10-03,45.25,12
2007-10-04,20.833333333333332,12
2007-10-05,37.083333333333336,12
2007-10-06,4.916666666666667,12
2007-10-07,8.333333333333334,12
2007-10-08,17.5,12
2007-10-09,26.5,12
2007-10-10,10.666666666666666,12
2007-10-11,28.833333333333332,12
2007-10-12,13.5,12
2007-10-13,46.92307692307692,13
2007-10-14,35.38461538461539,13
2007-10-15,16.846153846153847,13
2007-10-16,36.38461538461539,13
2007-10-17,43.833333333333336,12
2007-10-18,30,12
2007-10-19,6.916666666666667,12
2007-10-20,44.333333333333336,12
2007-10-21,32.416666666666664,12
2007-10-22,16.75,12
2007-10-23,39.083333333333336,12
2007-10-24,19,12
2007-10-25,12.333333333333334,12
2007-10-26,44.75,12
2007-10-27,28,12
2007-10-28,9.846153846153848,13
2007-10-29,38.92307692307692,13
2007-10-30,34.61538461538461,13
2007-10-31,18.846153846153847,13
2007-11-01,14.076923076923077,13
2007-11-02,59.166666666666664,12
2007-11-03,39.416666666666664,12
2007-11-04,44.75,12
2007-11-05,47.25,12
2007-11-06,47.916666666666664,12
2007-11-07,54.75,12
2007-11-08,92.66666666666669,12
2007-11-09,44.916666666666664,12
2007-11-10,33.916666666666664,12
2007-11-11,27.916666666666668,12
2007-11-12,20.153846153846153,13
2007-11-13,34.23076923076923,13
2007-11-14,20.53846153846154,13
2007-11-15,26.076923076923077,13
2007-11-16,35.53846153846154,13
2007-11-17,29.333333333333332,12
2007-11-18,22.416666666666668,12
2007-11-19,14.5,12
2007-11-20,29.666666666666668,12
