time,value,n
2007-01-07,8,1
2007-01-14,12,1
2007-01-21,17,1
2007-01-28,9,1
2007-02-04,7,1
2007-02-11,7,1
2007-02-18,7,1
2007-02-25,9,1
2007-03-04,17,1
2007-03-11,22,1
2007-03-18,34,1
2007-03-25,13.5,2
2007-04-01,14.5,2
2007-04-08,16,2
2007-04-15,18,2
2007-04-22,23,2
2007-04-29,15.5,2
2007-05-06,22.5,2
2007-05-13,25.5,2
2007-05-20,22,2
2007-05-27,19.5,2
2007-06-03,22,2
2007-06-10,17.333333333333332,3
2007-06-17,18.666666666666668,3
2007-06-24,16,3
2007-07-01,17,3
2007-07-08,21.666666666666668,3
2007-07-15,13,3
2007-07-22,16.333333333333332,3
2007-07-29,31,3
2007-08-05,28.666666666666668,3
2007-08-12,24.666666666666668,3
2007-08-19,26.333333333333332,3
2007-08-26,39.5,4
2007-09-02,41.25,4
2007-09-09,32.5,4
2007-09-16,27.75,4
2007-09-23,31.75,4
2007-09-30,27.75,4
2007-10-07,22.75,4
2007-10-14,30.25,4
2007-10-21,38.25,4
2007-10-28,33.25,4
2007-11-04,72.25,4
2007-11-11,29.2,5
2007-11-18,26.2,5
2007-11-25,27.8,5
2007-12-02,27.8,5
2007-12-09,35.6,5
2007-12-16,26.2,5
2007-12-23,26,5
2007-12-30,22.4,5
2008-01-06,23.6,5
2008-01-13,22.2,5
2008-01-20,27.2,5
2008-01-27,25,6
2008-02-03,22.333333333333332,6
2008-02-10,31,6
2008-02-17,33.833333333333336,6
2008-02-24,30.166666666666668,6
2008-03-02,36.666666666666664,6
2008-03-09,30.5,6
2008-03-16,42,6
2008-03-23,36.833333333333336,6
2008-03-30,30.166666666666668,6
2008-04-06,31,6
2008-04-13,29.857142857142858,7
2008-04-20,40.142857142857146,7
2008-04-27,27.142857142857142,7
2008-05-04,26.571428571428573,7
2008-05-11,51.142857142857146,7
2008-05-18,30,7
2008-05-25,28.571428571428573,7
2008-06-01,29.285714285714285,7
2008-06-08,31.714285714285715,7
2008-06-15,31.571428571428573,7
2008-06-22,27.142857142857142,7
2008-06-29,24.75,8
2008-07-06,20,8
2008-07-13,30,8
2008-07-20,33.75,8
2008-07-27,25.25,8
2008-08-03,31,8
2008-08-10,36,8
2008-08-17,36.25,8
2008-08-24,38.25,8
2008-08-31,29.5,8
2008-09-07,35.375,8
2008-09-14,55,9
2008-09-21,40.333333333333336,9
2008-09-28,41.55555555555556,9
2008-10-05,31.11111111111111,9
2008-10-12,31.22222222222222,9
2008-10-19,32,9
2008-10-26,29.333333333333332,9
2008-11-02,49.888888888888886,9
2008-11-09,39.111111111111114,9
2008-11-16,35.333333333333336,9
2008-11-23,42,9
2008-11-30,39,10
2008-12-07,42.1,10
2008-12-14,27.2,10
2008-12-21,28.9,10
2008-12-28,45.8,10
2009-01-04,31.4,10
2009-01-11,36.1,10
2009-01-18,40.9,10
2009-01-25,36.9,10
2009-02-01,37.4,10
2009-02-08,34.1,10
2009-02-15,34.09090909090909,11
2009-02-22,39.18181818181818,11
2009-03-01,35.27272727272727,11
2009-03-08,41.81818181818182,11
2009-03-15,35.36363636363637,11
2009-03-22,45.27272727272727,11
2009-03-29,41,11
2009-04-05,40.27272727272727,11
2009-04-12,39.90909090909091,11
2009-04-19,41.09090909090909,11
2009-04-26,32.54545454545455,11
2009-05-03,48,12
2009-05-10,51.416666666666664,12
2009-05-17,49,12
2009-05-24,35.5,12
2009-05-31,37.833333333333336,12
2009-06-07,34.75,12
2009-06-14,38.666666666666664,12
2009-06-21,34.833333333333336,12
2009-06-28,35.75,12
2009-07-05,31.25,12
2009-07-12,31.833333333333332,12
2009-07-19,38.23076923076923,13
2009-07-26,34.46153846153846,13
2009-08-02,38.61538461538461,13
2009-08-09,44.69230769230769,13
2009-08-16,42.23076923076923,13
2009-08-23,42.30769230769231,13
2009-08-30,50.76923076923077,13
2009-09-06,50,13
2009-09-13,52.92307692307692,13
2009-09-20,51.92307692307692,13
2009-09-27,50.23076923076923,13
2009-10-04,51.642857142857146,14
2009-10-11,56.57142857142857,14
2009-10-18,51.642857142857146,14
2009-10-25,45.07142857142857,14
2009-11-01,47.857142857142854,14
2009-11-08,65.57142857142857,14
2009-11-15,55.357142857142854,14
2009-11-22,50.285714285714285,14
2009-11-29,56,14
2009-12-06,47.785714285714285,14
2009-12-13,47.857142857142854,14
2009-12-20,45.53333333333333,15
2009-12-27,52.46666666666667,15
2010-01-03,53.06666666666667,15
2010-01-10,43.86666666666667,15
2010-01-17,48.333333333333336,15
2010-01-24,51.53333333333333,15
2010-01-31,43,15
2010-02-07,48.46666666666667,15
2010-02-14,47.53333333333333,15
2010-02-21,53.13333333333333,15
2010-02-28,59.13333333333333,15
2010-03-07,49.1875,16
2010-03-14,69.3125,16
2010-03-21,56.1875,16
2010-03-28,55.4375,16
2010-04-04,53.8125,16
2010-04-11,52.125,16
2010-04-18,57.625,16
2010-04-25,56.5,16
2010-05-02,59.6875,16
2010-05-09,53.375,16
