time,value,n
2006-01-01,53.25,4
2006-02-01,55.875,8
2006-03-01,54,8
2006-04-01,57.5,8
2006-05-01,56.875,8
2006-06-01,55.75,8
2006-07-01,62.375,8
2006-08-01,51.25,8
2006-09-01,52.25,8
2006-10-01,57.25,8
2006-11-01,60.25,8
2006-12-01,52.375,8
2007-01-01,54.294117647058826,17
2007-02-01,64.3076923076923,26
2007-03-01,57.925925925925924,27
2007-04-01,50.5,28
2007-05-01,56.48275862068966,29
2007-06-01,68.73333333333333,30
2007-07-01,52.87096774193548,31
2007-08-01,58.9375,32
2007-09-01,69,33
2007-10-01,69.94117647058823,34
2007-11-01,57.08571428571429,35
2007-12-01,50.77777777777778,36
2008-01-01,73.41666666666667,36
2008-02-01,69.94444444444444,36
2008-03-01,68.08333333333333,36
2008-04-01,61.861111111111114,36
2008-05-01,71.97222222222223,36
2008-06-01,98.74999999999996,36
2008-07-01,76.11111111111113,36
2008-08-01,72.75,36
2008-09-01,73.22222222222223,36
2008-10-01,74.02777777777777,36
2008-11-01,66.33333333333334,36
2008-12-01,59.22222222222222,36
2009-01-01,61.888888888888886,36
2009-02-01,83.72222222222223,36
2009-03-01,70.11111111111111,36
2009-04-01,62.583333333333336,36
2009-05-01,76,36
2009-06-01,67.55555555555556,36
2009-07-01,72.61111111111111,36
2009-08-01,74.16666666666667,36
2009-09-01,70.36111111111111,36
2009-10-01,73.05555555555556,36
2009-11-01,53.52777777777778,36
2009-12-01,57.72222222222222,36
2010-01-01,69.7222222222222,36
2010-02-01,62.611111111111114,36
2010-03-01,67.11111111111111,36
2010-04-01,69.66666666666667,36
2010-05-01,71.41666666666667,36
2010-06-01,58.19444444444444,36
2010-07-01,65.5,36
2010-08-01,64.22222222222221,36
2010-09-01,58.833333333333336,36
2010-10-01,60.083333333333336,36
2010-11-01,63.19444444444444,36
2010-12-01,52.361111111111114,36
2011-01-01,63.999999999999986,36
2011-02-01,60.333333333333336,36
2011-03-01,60.138888888888886,36
2011-04-01,55.08333333333333,36
2011-05-01,60.25,36
2011-06-01,61.36111111111112,36
2011-07-01,65.13888888888891,36
2011-08-01,67.25,36
2011-09-01,64.83333333333333,36
2011-10-01,63.22222222222222,36
2011-11-01,57.05555555555556,36
2011-12-01,60.80555555555556,36
2012-01-01,59,36
2012-02-01,59.638888888888886,36
2012-03-01,57.888888888888886,36
2012-04-01,62.63888888888888,36
2012-05-01,55.19444444444444,36
2012-06-01,54.25,36
2012-07-01,57.416666666666664,36
2012-08-01,66.91666666666666,36
2012-09-01,68.66666666666667,36
2012-10-01,61.25,36
2012-11-01,61.75,36
2012-12-01,50.138888888888886,36
2013-01-01,60.22222222222222,36
2013-02-01,53.333333333333336,36
2013-03-01,51.361111111111114,36
2013-04-01,53.83333333333334,36
2013-05-01,56.083333333333336,36
2013-06-01,53.361111111111114,36
2013-07-01,54.166666666666664,36
2013-08-01,60,36
2013-09-01,54.472222222222214,36
2013-10-01,56.861111111111114,36
2013-11-01,54.638888888888886,36
2013-12-01,55,36
2014-01-01,57.22222222222222,36
2014-02-01,58.77777777777778,36
2014-03-01,49.916666666666664,36
2014-04-01,58.083333333333336,36
2014-05-01,52.44444444444444,36
2014-06-01,55.19444444444444,36
2014-07-01,57.27777777777778,36
2014-08-01,60.19444444444444,36
2014-09-01,57.5,36
2014-10-01,60.111111111111114,36
2014-11-01,53.97222222222222,36
2014-12-01,53.333333333333336,36
2015-01-01,54.416666666666664,36
2015-02-01,54.94444444444444,36
2015-03-01,55.75,36
2015-04-01,58.69444444444444,36
2015-05-01,48.916666666666664,36
2015-06-01,51.72222222222222,36
2015-07-01,55.861111111111114,36
2015-08-01,52.388888888888886,36
2015-09-01,52.80555555555556,36
2015-10-01,53.666666666666664,36
2015-11-01,52.611111111111114,36
2015-12-01,48.97222222222223,36
2016-01-01,51.138888888888886,36
2016-02-01,52.69444444444444,36
2016-03-01,51.138888888888886,36
2016-04-01,50.388888888888886,36
2016-05-01,50.388888888888886,36
2016-06-01,45.166666666666664,36
2016-07-01,52.02777777777778,36
2016-08-01,53.638888888888886,36
2016-09-01,58.25,36
2016-10-01,53.638888888888886,36
2016-11-01,58.638888888888886,36
2016-12-01,51.22222222222222,36
2017-01-01,51.08333333333334,36
2017-02-01,46.361111111111114,36
2017-03-01,52.05555555555555,36
2017-04-01,47.083333333333336,36
2017-05-01,51.47222222222222,36
2017-06-01,48.19444444444444,36
2017-07-01,49.361111111111114,36
2017-08-01,51.083333333333336,36
2017-09-01,51.333333333333336,36
2017-10-01,52.111111111111114,36
2017-11-01,48.111111111111114,36
2017-12-01,46.25,36
2018-01-01,49.19444444444444,36
2018-02-01,47.02777777777778,36
2018-03-01,50.30555555555556,36
2018-04-01,47.77777777777778,36
2018-05-01,48.69444444444444,36
2018-06-01,47.44444444444444,36
2018-07-01,49.638888888888886,36
2018-08-01,52.861111111111114,36
2018-09-01,48.75,36
2018-10-01,51.05555555555556,36
2018-11-01,51,36
2018-12-01,46.638888888888886,36
2019-01-01,49.30555555555556,36
2019-02-01,50.138888888888886,36
2019-03-01,50,36
2019-04-01,53.638888888888886,36
2019-05-01,45.583333333333336,36
2019-06-01,47.083333333333336,36
2019-07-01,53.27777777777778,36
2019-08-01,50.5,36
2019-09-01,50.361111111111114,36
2019-10-01,49.361111111111114,36
2019-11-01,49.111111111111114,36
2019-12-01,46.08333333333334,36
2020-01-01,46.888888888888886,36
2020-02-01,45.638888888888886,36
2020-03-01,46.80555555555556,36
2020-04-01,48.555555555555564,36
2020-05-01,52.138888888888886,36
2020-06-01,52.888888888888886,36
2020-07-01,51.72222222222222,36
2020-08-01,49.138888888888886,36
2020-09-01,50.30555555555556,36
2020-10-01,49.08333333333334,36
2020-11-01,42.944444444444436,36
2020-12-01,48.166666666666664,36
2021-01-01,49.22222222222222,36
2021-02-01,55.361111111111114,36
2021-03-01,44.52777777777778,36
2021-04-01,48.47222222222222,36
2021-05-01,48.166666666666664,36
2021-06-01,44.611111111111114,36
2021-07-01,39.97222222222222,36
2021-08-01,44.333333333333336,18
2021-09-01,53,8
