time,value,n
2007-01-07,15,1
2007-01-14,29,1
2007-01-21,29,1
2007-01-28,14,1
2007-02-04,15,1
2007-02-11,0,1
2007-02-18,15,1
2007-02-25,69,1
2007-03-04,42,1
2007-03-11,15,1
2007-03-18,41,1
2007-03-25,6.5,2
2007-04-01,21.5,2
2007-04-08,8,2
2007-04-15,6.5,2
2007-04-22,27.5,2
2007-04-29,35,2
2007-05-06,31.5,2
2007-05-13,7,2
2007-05-20,26.5,2
2007-05-27,38.5,2
2007-06-03,0,2
2007-06-10,28.666666666666668,3
2007-06-17,0,3
2007-06-24,8.666666666666666,3
2007-07-01,22,3
2007-07-08,45.333333333333336,3
2007-07-15,14.333333333333334,3
2007-07-22,19.333333333333332,3
2007-07-29,8.666666666666666,3
2007-08-05,35.333333333333336,3
2007-08-12,32.666666666666664,3
2007-08-19,30.666666666666668,3
2007-08-26,8.5,4
2007-09-02,17.25,4
2007-09-09,23.75,4
2007-09-16,26.25,4
2007-09-23,36.75,4
2007-09-30,13.25,4
2007-10-07,27.5,4
2007-10-14,26.25,4
2007-10-21,21.75,4
2007-10-28,14,4
2007-11-04,40.5,4
2007-11-11,14.4,5
2007-11-18,17.2,5
2007-11-25,16.2,5
2007-12-02,27.2,5
2007-12-09,22,5
2007-12-16,16.8,5
2007-12-23,11.6,5
2007-12-30,27,5
2008-01-06,32.4,5
2008-01-13,21.8,5
2008-01-20,41.4,5
2008-01-27,45.5,6
2008-02-03,4.666666666666667,6
2008-02-10,15.833333333333334,6
2008-02-17,17,6
2008-02-24,28.5,6
2008-03-02,26,6
2008-03-09,25.5,6
2008-03-16,20.833333333333332,6
2008-03-23,22.833333333333332,6
2008-03-30,18.5,6
2008-04-06,16,6
2008-04-13,13.142857142857142,7
2008-04-20,9.285714285714286,7
2008-04-27,10.857142857142858,7
2008-05-04,22.714285714285715,7
2008-05-11,20.571428571428573,7
2008-05-18,22,7
2008-05-25,25.285714285714285,7
2008-06-01,35.42857142857143,7
2008-06-08,20.428571428571427,7
2008-06-15,35.57142857142857,7
2008-06-22,30.142857142857142,7
2008-06-29,13,8
2008-07-06,9.125,8
2008-07-13,19.375,8
2008-07-20,34.5,8
2008-07-27,17.125,8
2008-08-03,13.75,8
2008-08-10,21.25,8
2008-08-17,41.5,8
2008-08-24,14.125,8
2008-08-31,27.375,8
2008-09-07,33,8
2008-09-14,19.88888888888889,9
2008-09-21,27.333333333333332,9
2008-09-28,25.22222222222222,9
2008-10-05,23.666666666666668,9
2008-10-12,18.333333333333332,9
2008-10-19,32.333333333333336,9
2008-10-26,20.555555555555557,9
2008-11-02,34.22222222222222,9
2008-11-09,13.22222222222222,9
2008-11-16,17.333333333333332,9
2008-11-23,22.77777777777778,9
2008-11-30,28.1,10
2008-12-07,18.4,10
2008-12-14,48.6,10
2008-12-21,24.4,10
2008-12-28,39.2,10
2009-01-04,22.5,10
2009-01-11,40.7,10
2009-01-18,20.8,10
2009-01-25,29.7,10
2009-02-01,51.4,10
2009-02-08,53.4,10
2009-02-15,38.72727272727273,11
2009-02-22,31.727272727272727,11
2009-03-01,29.363636363636363,11
2009-03-08,66,11
2009-03-15,54.36363636363637,11
2009-03-22,26.818181818181817,11
2009-03-29,25.545454545454547,11
2009-04-05,42.90909090909091,11
2009-04-12,54.18181818181818,11
2009-04-19,14.272727272727273,11
2009-04-26,55.45454545454545,11
2009-05-03,23.916666666666668,12
2009-05-10,24.583333333333332,12
2009-05-17,25.916666666666668,12
2009-05-24,58,12
2009-05-31,58.333333333333336,12
2009-06-07,19.083333333333332,12
2009-06-14,50.416666666666664,12
2009-06-21,54.666666666666664,12
2009-06-28,41.5,12
2009-07-05,51.916666666666664,12
2009-07-12,28.75,12
2009-07-19,24.692307692307693,13
2009-07-26,37.38461538461539,13
2009-08-02,28.615384615384617,13
2009-08-09,37.84615384615385,13
2009-08-16,35.46153846153846,13
2009-08-23,27.76923076923077,13
2009-08-30,44.30769230769231,13
2009-09-06,43.61538461538461,13
2009-09-13,38.61538461538461,13
2009-09-20,24.846153846153847,13
2009-09-27,35.38461538461539,13
2009-10-04,30.785714285714285,14
2009-10-11,18.642857142857142,14
2009-10-18,30.071428571428573,14
2009-10-25,27.642857142857142,14
2009-11-01,60.714285714285715,14
2009-11-08,50.214285714285715,14
2009-11-15,31.714285714285715,14
2009-11-22,36.785714285714285,14
2009-11-29,42.785714285714285,14
2009-12-06,9.642857142857142,14
2009-12-13,13.071428571428571,14
2009-12-20,30.466666666666665,15
2009-12-27,17.933333333333334,15
2010-01-03,20.933333333333337,15
2010-01-10,26.133333333333333,15
2010-01-17,48.4,15
2010-01-24,44.266666666666666,15
2010-01-31,20.866666666666667,15
2010-02-07,19,15
2010-02-14,28.066666666666663,15
2010-02-21,39.86666666666667,15
2010-02-28,38.333333333333336,15
2010-03-07,49.9375,16
2010-03-14,27.3125,16
2010-03-21,22.75,16
2010-03-28,45.1875,16
2010-04-04,32.0625,16
2010-04-11,20.5625,16
2010-04-18,25.875,16
2010-04-25,36.125,16
2010-05-02,16.0625,16
2010-05-09,18.125,16
2010-05-16,28,16
2010-05-23,49.88235294117647,17
2010-05-30,15.941176470588236,17
2010-06-06,19.88235294117647,17
2010-06-13,18.235294117647054,17
2010-06-20,21.705882352941178,17
2010-06-27,42.411764705882355,17
2010-07-04,21.41176470588235,17
2010-07-11,15.352941176470589,17
2010-07-18,37.11764705882353,17
2010-07-25,49.411764705882355,17
2010-08-01,21.823529411764707,17
2010-08-08,19.666666666666668,18
2010-08-15,28,18
2010-08-22,32.72222222222222,18
2010-08-29,26.5,18
2010-09-05,20.22222222222222,18
2010-09-12,35,18
2010-09-19,36.22222222222222,18
2010-09-26,22.166666666666668,18
2010-10-03,38.44444444444444,18
2010-10-10,43.72222222222222,18
2010-10-17,39.888888888888886,18
2010-10-24,32.68421052631579,19
2010-10-31,25.36842105263158,19
2010-11-07,25.42105263157895,19
2010-11-14,26.473684210526315,19
2010-11-21,89.47368421052632,19
2010-11-28,43.68421052631579,19
2010-12-05,42,19
2010-12-12,30.68421052631579,19
2010-12-19,25.105263157894736,19
2010-12-26,23.473684210526315,19
2011-01-02,22.526315789473685,19
2011-01-09,23.3,20
2011-01-16,47.45,20
2011-01-23,26.4,20
2011-01-30,16.65,20
2011-02-06,36.35,20
2011-02-13,46.8,20
2011-02-20,31.65,20
2011-02-27,23.6,20
2011-03-06,25.2,20
2011-03-13,30.1,20
2011-03-20,21.7,20
2011-03-27,41.333333333333336,21
2011-04-03,31.761904761904763,21
2011-04-10,33.333333333333336,21
2011-04-17,15.333333333333334,21
2011-04-24,20.952380952380953,21
2011-05-01,28.904761904761905,21
2011-05-08,19.428571428571427,21
2011-05-15,37.23809523809524,21
2011-05-22,33.285714285714285,21
2011-05-29,21.285714285714285,21
2011-06-05,23.571428571428573,21
2011-06-12,23.40909090909091,22
2011-06-19,21.40909090909091,22
2011-06-26,36.09090909090909,22
2011-07-03,44.5,22
2011-07-10,22.772727272727273,22
2011-07-17,27.454545454545453,22
2011-07-24,35.81818181818182,22
2011-07-31,37.31818181818182,22
2011-08-07,37.5,22
2011-08-14,30.727272727272727,22
2011-08-21,23.954545454545453,22
2011-08-28,47.69565217391305,23
2011-09-04,17.391304347826086,23
2011-09-11,35.52173913043478,23
2011-09-18,34.78260869565217,23
2011-09-25,41.69565217391305,23
2011-10-02,37.82608695652174,23
2011-10-09,28.956521739130434,23
2011-10-16,21.73913043478261,23
2011-10-23,18.73913043478261,23
2011-10-30,29.26086956521739,23
2011-11-06,25.91304347826087,23
2011-11-13,34.833333333333336,24
2011-11-20,49.708333333333336,24
2011-11-27,35.541666666666664,24
2011-12-04,32.041666666666664,24
2011-12-11,31.958333333333332,24
2011-12-18,49.541666666666664,24
2011-12-25,25.75,24
2012-01-01,35.916666666666664,24
2012-01-08,28.869565217391305,23
2012-01-15,49.17391304347826,23
2012-01-22,56.43478260869565,23
2012-01-29,67.95833333333333,24
2012-02-05,29.25,24
2012-02-12,48,24
2012-02-19,51.375,24
2012-02-26,28.291666666666668,24
2012-03-04,36.458333333333336,24
2012-03-11,36.25,24
2012-03-18,44.083333333333336,24
2012-03-25,43.21739130434783,23
2012-04-01,40.130434782608695,23
2012-04-08,34.34782608695652,23
2012-04-15,46.625,24
2012-04-22,46.583333333333336,24
2012-04-29,48.375,24
2012-05-06,33.25,24
2012-05-13,25.166666666666668,24
2012-05-20,37.166666666666664,24
2012-05-27,46.333333333333336,24
2012-06-03,45.25,24
2012-06-10,34.47826086956522,23
2012-06-17,29.782608695652176,23
2012-06-24,45.73913043478261,23
2012-07-01,47.25,24
2012-07-08,52.25,24
2012-07-15,54.958333333333336,24
2012-07-22,52.041666666666664,24
2012-07-29,60.583333333333336,24
2012-08-05,39.708333333333336,24
2012-08-12,43.666666666666664,24
2012-08-19,43.208333333333336,24
2012-08-26,41.17391304347826,23
2012-09-02,48.91304347826087,23
2012-09-09,32.608695652173914,23
2012-09-16,46.541666666666664,24
2012-09-23,45.875,24
2012-09-30,43,24
2012-10-07,39.875,24
2012-10-14,50.875,24
2012-10-21,60.166666666666664,24
2012-10-28,35.416666666666664,24
2012-11-04,44.375,24
2012-11-11,33.26086956521739,23
2012-11-18,52.65217391304348,23
2012-11-25,37.47826086956522,23
2012-12-02,55.791666666666664,24
2012-12-09,65.375,24
2012-12-16,47.291666666666664,24
2012-12-23,18.416666666666668,24
2012-12-30,36.708333333333336,24
2013-01-06,33.875,24
2013-01-13,44.958333333333336,24
2013-01-20,38.208333333333336,24
2013-01-27,45.95652173913044,23
2013-02-03,63.69565217391305,23
2013-02-10,40.08695652173913,23
2013-02-17,26.5,24
2013-02-24,43.875,24
2013-03-03,36.291666666666664,24
2013-03-10,51,24
2013-03-17,28.916666666666668,24
2013-03-24,30.541666666666668,24
2013-03-31,35.833333333333336,24
2013-04-07,42.958333333333336,24
2013-04-14,50.73913043478261,23
2013-04-21,49.130434782608695,23
2013-04-28,28.73913043478261,23
2013-05-05,32.833333333333336,24
2013-05-12,48.083333333333336,24
2013-05-19,37.375,24
2013-05-26,43,24
2013-06-02,44.791666666666664,24
2013-06-09,38.166666666666664,24
2013-06-16,91.41666666666669,24
2013-06-23,63.083333333333336,24
2013-06-30,65.1304347826087,23
2013-07-07,66.47826086956522,23
2013-07-14,55.869565217391305,23
2013-07-21,56,24
2013-07-28,60.291666666666664,24
2013-08-04,37.083333333333336,24
2013-08-11,19,24
2013-08-18,25.666666666666668,24
2013-08-25,26.083333333333332,24
2013-09-01,37.041666666666664,24
2013-09-08,36.291666666666664,24
2013-09-15,38.08695652173913,23
2013-09-22,40.95652173913044,23
2013-09-29,24.434782608695652,23
2013-10-06,24.833333333333332,24
2013-10-13,30.875,24
2013-10-20,37.125,24
2013-10-27,20.666666666666668,24
2013-11-03,35.625,24
2013-11-10,19.583333333333332,24
2013-11-17,21.208333333333332,24
2013-11-24,34.208333333333336,24
2013-12-01,38,23
2013-12-08,38.95652173913044,23
2013-12-15,40.82608695652174,23
2013-12-22,14.958333333333334,24
2013-12-29,40.583333333333336,24
2014-01-05,29.541666666666668,24
2014-01-12,46.458333333333336,24
2014-01-19,28.583333333333332,24
2014-01-26,26,24
2014-02-02,32.833333333333336,24
2014-02-09,35.041666666666664,24
2014-02-16,36.08695652173913,23
2014-02-23,37.04347826086956,23
2014-03-02,25.695652173913043,23
2014-03-09,49.625,24
2014-03-16,32.458333333333336,24
2014-03-23,36.666666666666664,24
2014-03-30,47.833333333333336,24
2014-04-06,24.75,24
2014-04-13,36.041666666666664,24
2014-04-20,26.625,24
2014-04-27,45.958333333333336,24
2014-05-04,39.391304347826086,23
2014-05-11,31.217391304347824,23
2014-05-18,33.91304347826087,23
2014-05-25,17.083333333333332,24
2014-06-01,31.916666666666668,24
2014-06-08,35.458333333333336,24
2014-06-15,33.166666666666664,24
2014-06-22,25.125,24
2014-06-29,27.958333333333332,24
2014-07-06,22.458333333333332,24
2014-07-13,30.75,24
2014-07-20,33.21739130434783,23
2014-07-27,27.695652173913043,23
2014-08-03,30.217391304347824,23
2014-08-10,27.791666666666668,24
2014-08-17,18.583333333333332,24
2014-08-24,21.458333333333332,24
2014-08-31,24.708333333333332,24
2014-09-07,39.291666666666664,24
2014-09-14,27.541666666666668,24
2014-09-21,22.5,24
2014-09-28,27.625,24
2014-10-05,25.52173913043478,23
2014-10-12,28.52173913043478,23
2014-10-19,26.565217391304348,23
2014-10-26,24.75,24
2014-11-02,47.791666666666664,24
2014-11-09,23.041666666666668,24
2014-11-16,32.208333333333336,24
2014-11-23,29.958333333333332,24
2014-11-30,37.875,24
2014-12-07,23.625,24
2014-12-14,48.333333333333336,24
2014-12-21,28.52173913043478,23
2014-12-28,38.130434782608695,23
2015-01-04,20.82608695652174,23
2015-01-11,20.125,24
2015-01-18,44.208333333333336,24
2015-01-25,27.541666666666668,24
2015-02-01,28.166666666666668,24
2015-02-08,37.458333333333336,24
2015-02-15,34.375,24
2015-02-22,28.25,24
2015-03-01,37.541666666666664,24
2015-03-08,30.565217391304348,23
2015-03-15,32.78260869565217,23
2015-03-22,34,23
2015-03-29,35.708333333333336,24
2015-04-05,41.5,24
2015-04-12,17.666666666666668,24
2015-04-19,30.5,24
2015-04-26,22.666666666666668,24
2015-05-03,36.833333333333336,24
2015-05-10,31.75,24
2015-05-17,30.625,24
2015-05-24,25.91304347826087,23
2015-05-31,38.08695652173913,23
2015-06-07,45.21739130434783,23
2015-06-14,35.208333333333336,24
2015-06-21,27.375,24
2015-06-28,34.916666666666664,24
2015-07-05,27.375,24
2015-07-12,37.958333333333336,24
2015-07-19,37.791666666666664,24
2015-07-26,44.083333333333336,24
2015-08-02,39.375,24
2015-08-09,23.391304347826093,23
2015-08-16,36.82608695652174,23
2015-08-23,19.26086956521739,23
2015-08-30,34.916666666666664,24
2015-09-06,34.333333333333336,24
2015-09-13,34.291666666666664,24
2015-09-20,49.541666666666664,24
2015-09-27,43.166666666666664,24
2015-10-04,27.875,24
2015-10-11,36.791666666666664,24
2015-10-18,57.583333333333336,24
2015-10-25,20.043478260869566,23
2015-11-01,25.82608695652174,23
2015-11-08,37.56521739130435,23
2015-11-15,25.083333333333332,24
2015-11-22,71.66666666666667,24
2015-11-29,90.75,24
2015-12-06,40.916666666666664,24
2015-12-13,39.416666666666664,24
2015-12-20,25.25,24
2015-12-27,28,24
2016-01-03,31.416666666666668,24
2016-01-10,41,23
2016-01-17,34.73913043478261,23
2016-01-24,45.869565217391305,23
2016-01-31,31.25,24
2016-02-07,49.333333333333336,24
2016-02-14,35.541666666666664,24
2016-02-21,43.625,24
2016-02-28,38.958333333333336,24
2016-03-06,29.625,24
2016-03-13,44.5,24
2016-03-20,43.666666666666664,24
2016-03-27,45.17391304347826,23
2016-04-03,21.043478260869566,23
2016-04-10,38.17391304347826,23
2016-04-17,32.75,24
2016-04-24,28.666666666666668,24
2016-05-01,21.5,24
2016-05-08,49.208333333333336,24
2016-05-15,40.416666666666664,24
2016-05-22,26.791666666666668,24
2016-05-29,23.916666666666668,24
2016-06-05,12.125,24
2016-06-12,16.043478260869566,23
2016-06-19,23.347826086956523,23
2016-06-26,35.17391304347826,23
2016-07-03,34.041666666666664,24
2016-07-10,31.833333333333332,24
2016-07-17,42.125,24
2016-07-24,60.333333333333336,24
2016-07-31,31.125,24
2016-08-07,31.666666666666668,24
2016-08-14,29.75,24
2016-08-21,41.083333333333336,24
2016-08-28,45.95652173913044,23
2016-09-04,37.82608695652174,23
2016-09-11,40.17391304347826,23
2016-09-18,29.5,24
2016-09-25,42.625,24
2016-10-02,27.416666666666668,24
2016-10-09,32.75,24
2016-10-16,50.041666666666664,24
2016-10-23,32.166666666666664,24
2016-10-30,51.833333333333336,24
2016-11-06,37.291666666666664,24
2016-11-13,35.69565217391305,23
2016-11-20,45,23
2016-11-27,38.04347826086956,23
2016-12-04,25.73913043478261,23
2016-12-11,47.56521739130435,23
2016-12-18,37.30434782608695,23
2016-12-25,18.17391304347826,23
2017-01-01,26.130434782608695,23
2017-01-08,33.08695652173913,23
2017-01-15,27,23
2017-01-22,28.434782608695652,23
2017-01-29,48,22
2017-02-05,53.63636363636363,22
2017-02-12,29.727272727272727,22
2017-02-19,34.77272727272727,22
2017-02-26,27.272727272727273,22
2017-03-05,38.09090909090909,22
2017-03-12,29,22
2017-03-19,26.681818181818183,22
2017-03-26,29.454545454545453,22
2017-04-02,21,22
2017-04-09,27.454545454545453,22
2017-04-16,28.47619047619047,21
2017-04-23,41.333333333333336,21
2017-04-30,25.714285714285715,21
2017-05-07,36.857142857142854,21
2017-05-14,32.285714285714285,21
2017-05-21,23.80952380952381,21
2017-05-28,28.095238095238095,21
2017-06-04,29.047619047619047,21
2017-06-11,22.857142857142858,21
2017-06-18,31.47619047619047,21
2017-06-25,32,21
2017-07-02,20.7,20
2017-07-09,42.2,20
2017-07-16,20.75,20
2017-07-23,29.7,20
2017-07-30,24.9,20
2017-08-06,28.25,20
2017-08-13,51.2,20
2017-08-20,37.6,20
2017-08-27,33.75,20
2017-09-03,35.7,20
2017-09-10,30.05,20
2017-09-17,43.26315789473684,19
2017-09-24,24.894736842105264,19
2017-10-01,47.421052631578945,19
2017-10-08,40.1578947368421,19
2017-10-15,54.89473684210526,19
2017-10-22,37.36842105263158,19
2017-10-29,41.421052631578945,19
2017-11-05,67.36842105263158,19
2017-11-12,41.26315789473684,19
2017-11-19,25.63157894736842,19
2017-11-26,25.473684210526315,19
2017-12-03,32.888888888888886,18
2017-12-10,52.166666666666664,18
2017-12-17,52.94444444444444,18
2017-12-24,31.22222222222222,18
2017-12-31,24.833333333333332,18
2018-01-07,58.05555555555556,18
2018-01-14,52.666666666666664,18
2018-01-21,51,18
2018-01-28,66.94444444444444,18
2018-02-04,44.388888888888886,18
2018-02-11,29.38888888888889,18
2018-02-18,31.647058823529413,17
2018-02-25,27.647058823529413,17
2018-03-04,38.705882352941174,17
2018-03-11,27.941176470588236,17
2018-03-18,41.64705882352941,17
2018-03-25,39.47058823529411,17
2018-04-01,31.88235294117647,17
2018-04-08,34.411764705882355,17
2018-04-15,22.176470588235293,17
2018-04-22,31.058823529411764,17
2018-04-29,26.647058823529413,17
2018-05-06,30.5625,16
2018-05-13,35.375,16
2018-05-20,23.5,16
2018-05-27,22.0625,16
2018-06-03,34,16
2018-06-10,37.75,16
2018-06-17,35.4375,16
2018-06-24,27.375,16
2018-07-01,28.875,16
2018-07-08,22.5625,16
2018-07-15,26.1875,16
2018-07-22,24.133333333333333,15
2018-07-29,35.53333333333333,15
2018-08-05,24.333333333333332,15
2018-08-12,32.13333333333333,15
2018-08-19,22.8,15
2018-08-26,22.733333333333334,15
2018-09-02,36.4,15
2018-09-09,18,15
2018-09-16,31.866666666666667,15
2018-09-23,43.46666666666667,15
2018-09-30,35.93333333333333,15
2018-10-07,45.714285714285715,14
2018-10-14,26.428571428571427,14
2018-10-21,34.07142857142857,14
2018-10-28,37.07142857142857,14
2018-11-04,32.5,14
2018-11-11,33,14
2018-11-18,23.928571428571427,14
2018-11-25,34.07142857142857,14
2018-12-02,46.785714285714285,14
2018-12-09,44.357142857142854,14
2018-12-16,44.357142857142854,14
2018-12-23,25.076923076923077,13
2018-12-30,22.153846153846153,13
2019-01-06,45.53846153846154,13
2019-01-13,35.92307692307692,13
2019-01-20,40.61538461538461,13
2019-01-27,28.384615384615383,13
2019-02-03,39,13
2019-02-10,42.76923076923077,13
2019-02-17,47.69230769230769,13
2019-02-24,28.76923076923077,13
2019-03-03,43.76923076923077,13
2019-03-10,43.083333333333336,12
2019-03-17,35.5,12
2019-03-24,42.583333333333336,12
2019-03-31,28.916666666666668,12
2019-04-07,26.666666666666668,12
2019-04-14,42.916666666666664,12
2019-04-21,28.416666666666668,12
2019-04-28,25.833333333333332,12
2019-05-05,25.5,12
2019-05-12,29.166666666666668,12
2019-05-19,20.833333333333332,12
2019-05-26,27.545454545454547,11
2019-06-02,25.454545454545453,11
