time,value,n
2014-01-05,57,1
2014-01-12,0,1
2014-01-19,0,1
2014-01-26,0,1
2014-02-02,0,1
2014-02-09,28,1
2014-02-16,0,1
2014-02-23,0,1
2014-03-02,55,1
2014-03-09,0,1
2014-03-16,0,1
2014-03-23,30,2
2014-03-30,14.5,2
2014-04-06,16.5,2
2014-04-13,34.5,2
2014-04-20,32,2
2014-04-27,17,2
2014-05-04,0,2
2014-05-11,13.5,2
2014-05-18,34,2
2014-05-25,0,2
2014-06-01,0,2
2014-06-08,0,3
2014-06-15,67.66666666666667,3
2014-06-22,0,3
2014-06-29,9,3
2014-07-06,20,3
2014-07-13,0,3
2014-07-20,32.666666666666664,3
2014-07-27,20.333333333333332,3
2014-08-03,13.666666666666666,3
2014-08-10,11.333333333333334,3
2014-08-17,12.333333333333334,3
2014-08-24,14.75,4
2014-08-31,0,4
2014-09-07,15,4
2014-09-14,14.25,4
2014-09-21,0,4
2014-09-28,14.25,4
2014-10-05,37.5,4
2014-10-12,7.5,4
2014-10-19,36.75,4
2014-10-26,76.5,4
2014-11-02,15.5,4
2014-11-09,24.4,5
2014-11-16,11.4,5
2014-11-23,0,5
2014-11-30,17.4,5
2014-12-07,10,5
2014-12-14,11.4,5
2014-12-21,0,5
2014-12-28,14.4,5
2015-01-04,0,5
2015-01-11,21.4,5
2015-01-18,31,5
2015-01-25,0,6
2015-02-01,4.833333333333333,6
2015-02-08,22.333333333333332,6
2015-02-15,0,6
2015-02-22,29,6
2015-03-01,13.166666666666666,6
2015-03-08,4.5,6
2015-03-15,12.5,6
2015-03-22,13.833333333333334,6
2015-03-29,19,6
2015-04-05,20,6
2015-04-12,0,7
2015-04-19,32.142857142857146,7
2015-04-26,16.428571428571427,7
2015-05-03,33,7
2015-05-10,16.857142857142858,7
2015-05-17,11.714285714285714,7
2015-05-24,16.714285714285715,7
2015-05-31,61.142857142857146,7
2015-06-07,15,7
2015-06-14,17.285714285714285,7
2015-06-21,16.714285714285715,7
2015-06-28,33.25,8
2015-07-05,4,8
2015-07-12,0,8
2015-07-19,0,8
2015-07-26,0,8
2015-08-02,0,8
2015-08-09,0,8
2015-08-16,14.375,8
2015-08-23,21.5,8
2015-08-30,0,8
2015-09-06,31.375,8
2015-09-13,21,9
2015-09-20,5.888888888888889,9
2015-09-27,11.555555555555555,9
2015-10-04,12.333333333333334,9
2015-10-11,39.22222222222222,9
2015-10-18,0,9
2015-10-25,0,9
2015-11-01,8.777777777777779,9
2015-11-08,0,9
2015-11-15,11.222222222222221,9
2015-11-22,22.666666666666668,9
2015-11-29,15.4,10
2015-12-06,16.3,10
2015-12-13,0,10
2015-12-20,6.4,10
2015-12-27,0,10
2016-01-03,5.1,10
2016-01-10,6.3,10
2016-01-17,52.4,10
2016-01-24,42,10
2016-01-31,9.8,10
2016-02-07,8.3,10
2016-02-14,16.272727272727273,11
2016-02-21,9.818181818181818,11
2016-02-28,6.909090909090909,11
2016-03-06,0,11
2016-03-13,22,11
2016-03-20,18.454545454545453,11
2016-03-27,0,11
2016-04-03,25.454545454545453,11
2016-04-10,9.818181818181818,11
2016-04-17,16.454545454545453,11
2016-04-24,16.90909090909091,11
2016-05-01,6.75,12
2016-05-08,4.416666666666667,12
2016-05-15,10.5,12
2016-05-22,0,12
2016-05-29,11.083333333333334,12
2016-06-05,15.083333333333334,12
2016-06-12,0,12
2016-06-19,18.75,12
2016-06-26,2.3333333333333335,12
2016-07-03,12.416666666666666,12
2016-07-10,0,12
2016-07-17,0,13
2016-07-24,0,13
2016-07-31,0,13
2016-08-07,0,13
2016-08-14,9.307692307692308,13
2016-08-21,0,13
2016-08-28,9.846153846153847,13
2016-09-04,0,13
2016-09-11,7.3076923076923075,13
2016-09-18,5.153846153846154,13
2016-09-25,8.23076923076923,13
2016-10-02,42.142857142857146,14
2016-10-09,18,14
2016-10-16,0,14
2016-10-23,0,14
2016-10-30,0,14
2016-11-06,10.642857142857142,14
2016-11-13,32,14
2016-11-20,27.785714285714285,14
2016-11-27,7.428571428571429,14
2016-12-04,19.714285714285715,14
2016-12-11,18.5,14
2016-12-18,0,15
2016-12-25,4.333333333333333,15
2017-01-01,0,15
2017-01-08,0,15
2017-01-15,7.733333333333333,15
2017-01-22,16.333333333333332,15
2017-01-29,6.866666666666666,15
2017-02-05,12.533333333333333,15
2017-02-12,24.466666666666665,15
2017-02-19,3.7333333333333334,15
2017-02-26,3.6666666666666665,15
2017-03-05,7.875,16
2017-03-12,41.25,16
2017-03-19,0,16
2017-03-26,7.0625,16
2017-04-02,17.1875,16
2017-04-09,10.6875,16
2017-04-16,0,16
2017-04-23,8.625,16
2017-04-30,10.75,16
2017-05-07,6.6875,16
2017-05-14,7,16
2017-05-21,32.3125,16
2017-05-28,0,16
2017-06-04,0,16
2017-06-11,9.4375,16
2017-06-18,16.25,16
2017-06-25,0,16
2017-07-02,0,16
2017-07-09,0,16
2017-07-16,22.3125,16
2017-07-23,0,16
2017-07-30,6.5625,16
2017-08-06,0,16
2017-08-13,0,16
2017-08-20,0,16
2017-08-27,0,16
2017-09-03,0,16
2017-09-10,13.1875,16
2017-09-17,0,16
2017-09-24,0.125,16
2017-10-01,9.625,16
2017-10-08,20.1875,16
2017-10-15,5.3125,16
2017-10-22,3.75,16
2017-10-29,9.5625,16
2017-11-05,9.3125,16
2017-11-12,4.625,16
2017-11-19,1.875,16
2017-11-26,7.6875,16
2017-12-03,9.875,16
2017-12-10,11.125,16
2017-12-17,0,16
2017-12-24,14,16
2017-12-31,8.3125,16
2018-01-07,10.6875,16
2018-01-14,0,16
2018-01-21,7.375,16
2018-01-28,15,16
2018-02-04,3.4375,16
2018-02-11,3.3125,16
2018-02-18,8.875,16
2018-02-25,7.5625,16
2018-03-04,2.75,16
2018-03-11,1.1875,16
2018-03-18,10.3125,16
2018-03-25,0,16
2018-04-01,16,16
2018-04-08,0,16
2018-04-15,9.5,16
2018-04-22,18.5625,16
2018-04-29,11.625,16
2018-05-06,9.25,16
2018-05-13,7.75,16
2018-05-20,7.1875,16
2018-05-27,17,16
2018-06-03,0,16
2018-06-10,0,16
2018-06-17,24.5,16
2018-06-24,0,16
2018-07-01,4.875,16
2018-07-08,3.125,16
2018-07-15,11.8125,16
2018-07-22,3.5,16
2018-07-29,0,16
2018-08-05,9.6875,16
2018-08-12,0,16
2018-08-19,4.1875,16
2018-08-26,8.875,16
2018-09-02,6.25,16
2018-09-09,4.6875,16
2018-09-16,0,16
2018-09-23,0,16
2018-09-30,16.4375,16
2018-10-07,0,16
2018-10-14,15.0625,16
2018-10-21,6.0625,16
2018-10-28,6.375,16
2018-11-04,3.1875,16
2018-11-11,10.875,16
2018-11-18,16.8125,16
2018-11-25,15.6875,16
2018-12-02,7.625,16
2018-12-09,6.125,16
2018-12-16,0,16
2018-12-23,0,16
2018-12-30,0,16
2019-01-06,2.6666666666666665,15
2019-01-13,15.066666666666666,15
2019-01-20,21.4,15
2019-01-27,15.333333333333334,15
2019-02-03,4.666666666666667,15
2019-02-10,3.6,15
2019-02-17,2.6666666666666665,15
2019-02-24,4.533333333333333,15
2019-03-03,8.4,15
2019-03-10,22.4,15
2019-03-17,9.933333333333334,15
2019-03-24,0,14
2019-03-31,5.928571428571429,14
2019-04-07,15.642857142857142,14
2019-04-14,1.7142857142857142,14
2019-04-21,0,14
2019-04-28,10.071428571428571,14
2019-05-05,4.785714285714286,14
2019-05-12,2.857142857142857,14
2019-05-19,0,14
2019-05-26,9.142857142857142,14
2019-06-02,5,14
2019-06-09,7.3076923076923075,13
2019-06-16,29.23076923076923,13
2019-06-23,8.384615384615385,13
2019-06-30,0,13
2019-07-07,6.153846153846154,13
2019-07-14,6.538461538461538,13
2019-07-21,4.153846153846154,13
2019-07-28,0,13
2019-08-04,13.923076923076923,13
2019-08-11,0,13
2019-08-18,0.46153846153846156,13
2019-08-25,0,12
2019-09-01,11.583333333333334,12
2019-09-08,0,12
2019-09-15,0,12
2019-09-22,2,12
2019-09-29,15.416666666666666,12
2019-10-06,0,12
2019-10-13,6.583333333333333,12
2019-10-20,0,12
2019-10-27,2.1666666666666665,12
2019-11-03,5.75,12
2019-11-10,8.636363636363637,11
2019-11-17,10.818181818181818,11
2019-11-24,9.909090909090908,11
2019-12-01,6.2727272727272725,11
2019-12-08,14.181818181818182,11
2019-12-15,0,11
2019-12-22,2.8181818181818183,11
2019-12-29,0,11
2020-01-05,4.181818181818182,11
2020-01-12,16.545454545454547,11
2020-01-19,2.4545454545454546,11
2020-01-26,2.5,10
2020-02-02,6.7,10
2020-02-09,0.8,10
2020-02-16,0.7,10
2020-02-23,1.6,10
2020-03-01,0.5,10
2020-03-08,4.6,10
2020-03-15,8.1,10
2020-03-22,0,10
2020-03-29,16.1,10
2020-04-05,5.7,10
2020-04-12,0,9
2020-04-19,0.1111111111111111,9
2020-04-26,2.4444444444444446,9
2020-05-03,3.3333333333333335,9
2020-05-10,15.666666666666666,9
2020-05-17,0.5555555555555556,9
2020-05-24,5.555555555555555,9
2020-05-31,0.1111111111111111,9
2020-06-07,0,9
2020-06-14,0,9
2020-06-21,0.4444444444444444,9
2020-06-28,4.5,8
2020-07-05,8,8
2020-07-12,0,8
2020-07-19,0,8
2020-07-26,3.75,8
2020-08-02,0,8
2020-08-09,1.125,8
2020-08-16,6.625,8
2020-08-23,7,8
2020-08-30,4.25,8
2020-09-06,7.5,8
2020-09-13,5.857142857142857,7
2020-09-20,4.857142857142857,7
2020-09-27,6.571428571428571,7
2020-10-04,9.285714285714286,7
2020-10-11,16.142857142857142,7
2020-10-18,27.142857142857142,7
2020-10-25,28,7
2020-11-01,16.142857142857142,7
2020-11-08,22.428571428571427,7
2020-11-15,16.571428571428573,7
2020-11-22,28.428571428571427,7
2020-11-29,37.333333333333336,6
2020-12-06,26,6
2020-12-13,27.333333333333332,6
2020-12-20,14.333333333333334,6
2020-12-27,21.333333333333332,6
2021-01-03,27.833333333333332,6
2021-01-10,29.166666666666668,6
2021-01-17,33.166666666666664,6
2021-01-24,37.333333333333336,6
2021-01-31,41.333333333333336,6
2021-02-07,51.333333333333336,6
2021-02-14,33.4,5
2021-02-21,35.4,5
2021-02-28,50.4,5
2021-03-07,59,5
2021-03-14,66,5
2021-03-21,96,5
2021-03-28,77.4,5
2021-04-04,85,5
2021-04-11,67.8,5
2021-04-18,63.4,5
2021-04-25,58.8,5
2021-05-02,62.75,4
2021-05-09,95.25,4
2021-05-16,79,4
2021-05-23,82.75,4
2021-05-30,79.25,4
2021-06-06,61.5,4
2021-06-13,52.25,4
2021-06-20,38.5,4
2021-06-27,39.25,4
2021-07-04,47.25,4
2021-07-11,54,4
2021-07-18,66,3
2021-07-25,55.333333333333336,3
2021-08-01,52,3
2021-08-08,56,3
2021-08-15,61.666666666666664,3
2021-08-22,56,3
2021-08-29,44.666666666666664,3
2021-09-05,41.333333333333336,3
2021-09-12,43,3
2021-09-19,26.666666666666668,3
2021-09-26,27.666666666666668,3
2021-10-03,15,2
2021-10-10,11,2
2021-10-17,25,2
2021-10-24,25,2
2021-10-31,42,2
2021-11-07,45,2
2021-11-14,59.5,2
2021-11-21,50.5,2
2021-11-28,30.5,2
2021-12-05,33,2
2021-12-12,24,2
2021-12-19,23,1
2021-12-26,30,1
