time,value,n
2007-01-01,23,1
2007-02-01,32,2
2007-03-01,28.666666666666668,3
2007-04-01,18.25,4
2007-05-01,11.4,5
2007-06-01,7.5,6
2007-07-01,14.142857142857142,7
2007-08-01,17.875,8
2007-09-01,21.11111111111111,9
2007-10-01,19,10
2007-11-01,34.63636363636363,11
2007-12-01,35.666666666666664,12
2008-01-01,28.416666666666668,12
2008-02-01,29.083333333333332,12
2008-03-01,26.833333333333332,12
2008-04-01,25.916666666666668,12
2008-05-01,11.166666666666666,12
2008-06-01,9,12
2008-07-01,10.166666666666666,12
2008-08-01,19.5,12
2008-09-01,18.666666666666668,12
2008-10-01,24.25,12
2008-11-01,23.5,12
2008-12-01,24.75,12
2009-01-01,30.666666666666668,12
2009-02-01,27.666666666666668,12
2009-03-01,30.833333333333332,12
2009-04-01,21.166666666666668,12
2009-05-01,10,12
2009-06-01,8.083333333333334,12
2009-07-01,12.083333333333334,12
2009-08-01,18.75,12
2009-09-01,16.666666666666668,12
2009-10-01,16.416666666666668,12
2009-11-01,28.333333333333332,12
2009-12-01,32.083333333333336,12
2010-01-01,28.833333333333332,12
2010-02-01,32.916666666666664,12
2010-03-01,26.416666666666668,12
2010-04-01,22.916666666666668,12
2010-05-01,6.416666666666667,12
2010-06-01,6.583333333333333,12
2010-07-01,9.166666666666666,12
2010-08-01,16,12
2010-09-01,13.75,12
2010-10-01,17.416666666666668,12
2010-11-01,27.083333333333332,12
2010-12-01,27.416666666666668,12
2011-01-01,33.333333333333336,12
2011-02-01,30.916666666666668,12
2011-03-01,23.916666666666668,12
2011-04-01,29.583333333333332,12
2011-05-01,11.083333333333334,12
2011-06-01,11.25,12
2011-07-01,13.333333333333334,12
2011-08-01,15.083333333333334,12
2011-09-01,13.333333333333334,12
2011-10-01,19,12
2011-11-01,29.166666666666668,12
2011-12-01,39.5,12
2012-01-01,44.166666666666664,12
2012-02-01,39.75,12
2012-03-01,37.166666666666664,12
2012-04-01,36.333333333333336,12
2012-05-01,8,12
2012-06-01,10,12
2012-07-01,14.5,12
2012-08-01,15.25,12
2012-09-01,12.583333333333334,12
2012-10-01,18.833333333333332,12
2012-11-01,25.166666666666668,12
2012-12-01,40.333333333333336,12
2013-01-01,39.75,12
2013-02-01,45.75,12
2013-03-01,46.583333333333336,12
2013-04-01,30,12
2013-05-01,8.083333333333334,12
2013-06-01,11.583333333333334,12
2013-07-01,12.916666666666666,12
2013-08-01,20.5,12
2013-09-01,14.583333333333334,12
2013-10-01,14.75,12
2013-11-01,26.5,12
2013-12-01,41.416666666666664,12
2014-01-01,45.333333333333336,12
2014-02-01,39.083333333333336,12
2014-03-01,40.916666666666664,12
2014-04-01,34.083333333333336,12
2014-05-01,14.666666666666666,12
2014-06-01,9.25,12
2014-07-01,13.75,12
2014-08-01,23.333333333333332,12
2014-09-01,15.833333333333334,12
2014-10-01,15,12
2014-11-01,26.333333333333332,12
2014-12-01,57.333333333333336,12
2015-01-01,47.416666666666664,12
2015-02-01,48,12
2015-03-01,47.25,12
2015-04-01,49.833333333333336,12
2015-05-01,13.583333333333334,12
2015-06-01,8.75,12
2015-07-01,16.333333333333332,12
2015-08-01,20,12
2015-09-01,16.416666666666668,12
