time,value,n
2007-01-07,16,1
2007-01-14,16,1
2007-01-21,15,1
2007-01-28,39,1
2007-02-04,16,1
2007-02-11,64,1
2007-02-18,40,1
2007-02-25,22,1
2007-03-04,30,1
2007-03-11,16,1
2007-03-18,15,1
2007-03-25,28,2
2007-04-01,18.5,2
2007-04-08,36.5,2
2007-04-15,37,2
2007-04-22,4,2
2007-04-29,12.5,2
2007-05-06,17.5,2
2007-05-13,0,2
2007-05-20,15.5,2
2007-05-27,7.5,2
2007-06-03,4,2
2007-06-10,3,3
2007-06-17,5.666666666666667,3
2007-06-24,34.333333333333336,3
2007-07-01,21,3
2007-07-08,0,3
2007-07-15,16.333333333333332,3
2007-07-22,37.666666666666664,3
2007-07-29,20.333333333333332,3
2007-08-05,24.666666666666668,3
2007-08-12,11.666666666666666,3
2007-08-19,22.333333333333332,3
2007-08-26,13.5,4
2007-09-02,30.5,4
2007-09-09,26.5,4
2007-09-16,20.75,4
2007-09-23,26.75,4
2007-09-30,22.75,4
2007-10-07,33,4
2007-10-14,9.75,4
2007-10-21,47.75,4
2007-10-28,15.25,4
2007-11-04,56,4
2007-11-11,30.2,5
2007-11-18,46.8,5
2007-11-25,89,5
2007-12-02,45.6,5
2007-12-09,33,5
2007-12-16,26.6,5
2007-12-23,42.6,5
2007-12-30,70.2,5
2008-01-06,33.2,5
2008-01-13,36.8,5
2008-01-20,26.4,5
2008-01-27,49.666666666666664,6
2008-02-03,22.833333333333332,6
2008-02-10,32.833333333333336,6
2008-02-17,55.166666666666664,6
2008-02-24,42.666666666666664,6
2008-03-02,22.833333333333332,6
2008-03-09,52.166666666666664,6
2008-03-16,28.666666666666668,6
2008-03-23,16.166666666666668,6
2008-03-30,51,6
2008-04-06,36.5,6
2008-04-13,48.714285714285715,7
2008-04-20,15,7
2008-04-27,23.428571428571427,7
2008-05-04,17.428571428571427,7
2008-05-11,14.428571428571429,7
2008-05-18,7,7
2008-05-25,4.142857142857143,7
2008-06-01,9,7
2008-06-08,12.142857142857142,7
2008-06-15,10.857142857142858,7
2008-06-22,13.142857142857142,7
2008-06-29,7.25,8
2008-07-06,12.875,8
2008-07-13,17.125,8
2008-07-20,18.875,8
2008-07-27,14,8
2008-08-03,25.5,8
2008-08-10,22.5,8
2008-08-17,29.375,8
2008-08-24,34.375,8
2008-08-31,17.5,8
2008-09-07,32.125,8
2008-09-14,29.666666666666668,9
2008-09-21,33.666666666666664,9
2008-09-28,31.666666666666668,9
2008-10-05,28.444444444444443,9
2008-10-12,44.111111111111114,9
2008-10-19,33.44444444444444,9
2008-10-26,26.333333333333332,9
2008-11-02,21.555555555555557,9
2008-11-09,27.22222222222222,9
2008-11-16,36.888888888888886,9
2008-11-23,52.888888888888886,9
2008-11-30,37.9,10
2008-12-07,24.6,10
2008-12-14,28.1,10
2008-12-21,60.4,10
2008-12-28,38.4,10
2009-01-04,42.5,10
2009-01-11,48,10
2009-01-18,41.3,10
2009-01-25,29.4,10
2009-02-01,41,10
2009-02-08,61.5,10
2009-02-15,27.818181818181817,11
2009-02-22,29.545454545454547,11
