time,value,n
2014-01-01,0,1
2014-01-02,0,1
2014-01-03,0,1
2014-01-04,0,1
2014-01-05,0,1
2014-01-06,0,1
2014-01-07,0,1
2014-01-08,0,1
2014-01-09,25,1
2014-01-10,0,1
2014-01-11,0,1
2014-01-12,0,1
2014-01-13,0,1
2014-01-14,24,1
2014-01-15,0,1
2014-01-16,0,2
2014-01-17,0,2
2014-01-18,15.5,2
2014-01-19,0,2
2014-01-20,0,2
2014-01-21,21.5,2
2014-01-22,0,2
2014-01-23,0,2
2014-01-24,0,2
2014-01-25,0,2
2014-01-26,0,2
2014-01-27,0,2
2014-01-28,0,2
2014-01-29,75,2
2014-01-30,12.5,2
2014-01-31,0,3
2014-02-01,0,3
2014-02-02,0,3
2014-02-03,32.666666666666664,3
2014-02-04,40,3
2014-02-05,0,3
2014-02-06,18.333333333333332,3
2014-02-07,0,3
2014-02-08,11,3
2014-02-09,9.666666666666666,3
2014-02-10,0,3
2014-02-11,29.333333333333332,3
2014-02-12,26.666666666666668,3
2014-02-13,0,3
2014-02-14,38.333333333333336,3
2014-02-15,0,4
2014-02-16,0,4
2014-02-17,0,4
2014-02-18,0,4
2014-02-19,21.5,4
2014-02-20,13.75,4
2014-02-21,5.75,4
2014-02-22,0,4
2014-02-23,0,4
2014-02-24,29.5,4
2014-02-25,13.25,4
2014-02-26,13.25,4
2014-02-27,5.25,4
2014-02-28,21.75,4
2014-03-01,0,4
2014-03-02,31.2,5
2014-03-03,9.8,5
2014-03-04,7,5
2014-03-05,0,5
2014-03-06,12.2,5
2014-03-07,24.6,5
2014-03-08,16.2,5
2014-03-09,0,5
2014-03-10,0,5
2014-03-11,0,5
2014-03-12,7.2,5
2014-03-13,0,5
2014-03-14,42.6,5
2014-03-15,13.4,5
2014-03-16,11.8,5
2014-03-17,0,6
2014-03-18,7.833333333333333,6
2014-03-19,33.166666666666664,6
2014-03-20,9.333333333333334,6
2014-03-21,40.833333333333336,6
2014-03-22,0,6
2014-03-23,12.5,6
2014-03-24,26.333333333333332,6
2014-03-25,17.166666666666668,6
2014-03-26,0,6
2014-03-27,19.166666666666668,6
2014-03-28,0,6
2014-03-29,0,6
2014-03-30,0,6
2014-03-31,4.666666666666667,6
2014-04-01,0,7
2014-04-02,0,7
2014-04-03,10.714285714285714,7
2014-04-04,0,7
2014-04-05,0,7
2014-04-06,32.57142857142857,7
2014-04-07,32.57142857142857,7
2014-04-08,0,7
2014-04-09,16.571428571428573,7
2014-04-10,17,7
2014-04-11,0,7
2014-04-12,0,7
2014-04-13,0,7
2014-04-14,0,7
2014-04-15,0,7
2014-04-16,21.875,8
2014-04-17,25.375,8
