time,value,n
2014-01-05,61,1
2014-01-12,29,1
2014-01-19,15,1
2014-01-26,44,1
2014-02-02,63,1
2014-02-09,30,1
2014-02-16,0,1
2014-02-23,15,1
2014-03-02,30,1
2014-03-09,47,1
2014-03-16,0,1
2014-03-23,23.5,2
2014-03-30,26,2
2014-04-06,34.5,2
2014-04-13,9.5,2
2014-04-20,25.5,2
2014-04-27,34.5,2
2014-05-04,42.5,2
2014-05-11,63.5,2
2014-05-18,46,2
2014-05-25,0,2
2014-06-01,46.5,2
2014-06-08,36,3
2014-06-15,11.333333333333334,3
2014-06-22,18.666666666666668,3
2014-06-29,23.333333333333332,3
2014-07-06,18,3
2014-07-13,30.333333333333332,3
2014-07-20,60.333333333333336,3
2014-07-27,17.333333333333332,3
2014-08-03,32,3
2014-08-10,37,3
2014-08-17,6.666666666666667,3
2014-08-24,27.5,4
2014-08-31,32.5,4
2014-09-07,42,4
2014-09-14,55.5,4
2014-09-21,29,4
2014-09-28,25.75,4
2014-10-05,25.5,4
2014-10-12,24.25,4
2014-10-19,59.75,4
2014-10-26,21.5,4
2014-11-02,20.5,4
2014-11-09,26.2,5
2014-11-16,32,5
2014-11-23,41.4,5
2014-11-30,15.8,5
2014-12-07,40.6,5
2014-12-14,14.8,5
2014-12-21,13.8,5
2014-12-28,25,5
2015-01-04,29.8,5
2015-01-11,70.8,5
2015-01-18,62.6,5
2015-01-25,27.833333333333332,6
2015-02-01,56.833333333333336,6
2015-02-08,56.666666666666664,6
2015-02-15,50.833333333333336,6
2015-02-22,62,6
2015-03-01,30.5,6
2015-03-08,42.166666666666664,6
2015-03-15,63.833333333333336,6
2015-03-22,54.833333333333336,6
2015-03-29,45.333333333333336,6
2015-04-05,22.666666666666668,6
2015-04-12,36.285714285714285,7
2015-04-19,6.428571428571429,7
2015-04-26,19.714285714285715,7
2015-05-03,22.428571428571427,7
2015-05-10,22,7
2015-05-17,31.714285714285715,7
2015-05-24,28.142857142857142,7
2015-05-31,13.285714285714286,7
2015-06-07,50.142857142857146,7
2015-06-14,23.142857142857142,7
2015-06-21,47.714285714285715,7
2015-06-28,46.375,8
2015-07-05,40.375,8
2015-07-12,35.625,8
2015-07-19,39,8
2015-07-26,44.25,8
2015-08-02,23.5,8
2015-08-09,16.125,8
2015-08-16,27.75,8
2015-08-23,10.875,8
2015-08-30,16.625,8
2015-09-06,8.625,8
2015-09-13,18.88888888888889,9
2015-09-20,19.77777777777778,9
2015-09-27,49.333333333333336,9
2015-10-04,32.77777777777778,9
2015-10-11,25.22222222222222,9
2015-10-18,52.333333333333336,9
2015-10-25,28.22222222222222,9
2015-11-01,35.77777777777778,9
2015-11-08,39.333333333333336,9
2015-11-15,22.555555555555557,9
2015-11-22,25.88888888888889,9
2015-11-29,2.8,10
2015-12-06,25.9,10
2015-12-13,18.4,10
2015-12-20,30.6,10
2015-12-27,21.4,10
2016-01-03,32.9,10
2016-01-10,11,10
2016-01-17,48.7,10
2016-01-24,23.5,10
2016-01-31,18.5,10
2016-02-07,42.2,10
2016-02-14,11.090909090909092,11
2016-02-21,23.90909090909091,11
2016-02-28,17.272727272727273,11
2016-03-06,26.818181818181817,11
2016-03-13,37.09090909090909,11
2016-03-20,26.181818181818183,11
2016-03-27,43,11
2016-04-03,30.09090909090909,11
2016-04-10,34.36363636363637,11
2016-04-17,22.545454545454547,11
2016-04-24,18.181818181818183,11
2016-05-01,40.083333333333336,12
2016-05-08,26.25,12
2016-05-15,22.583333333333332,12
2016-05-22,10.666666666666666,12
2016-05-29,20.833333333333332,12
2016-06-05,14.333333333333334,12
2016-06-12,25.083333333333332,12
2016-06-19,3.75,12
2016-06-26,21.833333333333332,12
2016-07-03,23.166666666666668,12
2016-07-10,32.333333333333336,12
2016-07-17,25.46153846153846,13
2016-07-24,17.384615384615383,13
2016-07-31,24.53846153846154,13
2016-08-07,12.153846153846153,13
2016-08-14,30.76923076923077,13
2016-08-21,38.07692307692308,13
2016-08-28,21.615384615384617,13
2016-09-04,21.53846153846154,13
2016-09-11,57.53846153846154,13
2016-09-18,28.923076923076923,13
2016-09-25,5,13
2016-10-02,33,14
2016-10-09,12.5,14
2016-10-16,33.07142857142857,14
2016-10-23,33.285714285714285,14
2016-10-30,16.357142857142858,14
2016-11-06,31.285714285714285,14
2016-11-13,28.642857142857142,14
2016-11-20,30.071428571428573,14
2016-11-27,12,14
2016-12-04,29.571428571428573,14
2016-12-11,16.071428571428573,14
2016-12-18,27.266666666666666,15
2016-12-25,28.2,15
2017-01-01,23.666666666666668,15
2017-01-08,31.466666666666665,15
2017-01-15,24.933333333333334,15
2017-01-22,13.4,15
2017-01-29,30.533333333333335,15
2017-02-05,47.2,15
2017-02-12,29.066666666666666,15
2017-02-19,20.466666666666665,15
2017-02-26,21.066666666666666,15
2017-03-05,17.1875,16
2017-03-12,24.0625,16
2017-03-19,10.8125,16
2017-03-26,34.625,16
2017-04-02,21.9375,16
