time,value,n
2007-01-01,0,12
2007-01-02,22,12
2007-01-03,25,12
2007-01-04,0,12
2007-01-05,11.9166666666667,12
2007-01-06,0,12
2007-01-07,0,12
2007-01-08,0,12
2007-01-09,0,12
2007-01-10,0,12
2007-01-11,0,13
2007-01-12,0,13
2007-01-13,0,13
2007-01-14,0,13
2007-01-15,20.0769230769231,13
2007-01-16,0,12
2007-01-17,24.6666666666667,12
2007-01-18,24.1666666666667,12
2007-01-19,0,12
2007-01-20,0,12
2007-01-21,0,12
2007-01-22,0,12
2007-01-23,0,12
2007-01-24,0,12
2007-01-25,0,12
2007-01-26,0,13
2007-01-27,23.3846153846154,13
2007-01-28,0,13
2007-01-29,0,13
2007-01-30,15.2307692307692,13
2007-01-31,0,12
2007-02-01,0,12
2007-02-02,0,12
2007-02-03,0,12
2007-02-04,18.9166666666667,12
2007-02-05,0,12
2007-02-06,0,12
2007-02-07,0,12
2007-02-08,11.8333333333333,12
2007-02-09,0,12
2007-02-10,0,13
2007-02-11,0,13
2007-02-12,0,13
2007-02-13,0,13
2007-02-14,0,13
2007-02-15,8.75,12
2007-02-16,11.25,12
2007-02-17,0,12
2007-02-18,0,12
2007-02-19,0,12
2007-02-20,0,12
2007-02-21,25.0833333333333,12
2007-02-22,17.8333333333333,12
2007-02-23,0,12
2007-02-24,0,12
2007-02-25,24.153846153846196,13
2007-02-26,0,13
2007-02-27,0,13
2007-02-28,21.538461538461497,13
2007-03-01,15.5384615384615,13
2007-03-02,0,12
2007-03-03,0,12
2007-03-04,0,12
2007-03-05,0,12
2007-03-06,0,12
2007-03-07,0,12
2007-03-08,0,12
2007-03-09,32.6666666666667,12
2007-03-10,26.4166666666667,12
2007-03-11,0,12
2007-03-12,0,13
2007-03-13,38.9230769230769,13
2007-03-14,0,12
2007-03-15,0,12
2007-03-16,0,12
2007-03-17,31.75,12
2007-03-18,0,12
2007-03-19,0,12
2007-03-20,0,12
2007-03-21,17.5,12
2007-03-22,29.9166666666667,12
2007-03-23,21.75,12
2007-03-24,0,12
