time,value,n
2007-01-07,0,1
2007-01-14,0,1
2007-01-21,0,1
2007-01-28,0,1
2007-02-04,0,1
2007-02-11,0,1
2007-02-18,0,1
2007-02-25,0,1
2007-03-04,0,1
2007-03-11,0,1
2007-03-18,0,1
2007-03-25,0,2
2007-04-01,0,2
2007-04-08,0,2
2007-04-15,0,2
2007-04-22,0,2
2007-04-29,0,2
2007-05-06,0,2
2007-05-13,0,2
2007-05-20,6,2
2007-05-27,0,2
2007-06-03,0,2
2007-06-10,0,3
2007-06-17,0,3
2007-06-24,9,3
2007-07-01,0,3
2007-07-08,0,3
2007-07-15,0,3
2007-07-22,0,3
2007-07-29,0,3
2007-08-05,0,3
2007-08-12,0,3
2007-08-19,0,3
2007-08-26,4,4
2007-09-02,0,4
2007-09-09,0,4
2007-09-16,2.75,4
2007-09-23,6.75,4
2007-09-30,0,4
2007-10-07,0,4
2007-10-14,0,4
2007-10-21,0,4
2007-10-28,0,4
2007-11-04,0,4
2007-11-11,0,5
2007-11-18,0,5
2007-11-25,0,5
2007-12-02,0,5
2007-12-09,0,5
2007-12-16,0,5
2007-12-23,0,5
2007-12-30,0,5
2008-01-06,0,5
2008-01-13,0,5
2008-01-20,0,5
2008-01-27,0,6
2008-02-03,0,6
2008-02-10,0,6
2008-02-17,0,6
2008-02-24,0,6
2008-03-02,0,6
2008-03-09,0,6
2008-03-16,0,6
2008-03-23,0,6
2008-03-30,0,6
2008-04-06,0,6
2008-04-13,0,7
2008-04-20,5,7
2008-04-27,0,7
2008-05-04,0,7
2008-05-11,0,7
2008-05-18,3.4285714285714284,7
2008-05-25,0,7
2008-06-01,0,7
2008-06-08,0,7
2008-06-15,0,7
2008-06-22,0,7
2008-06-29,0,8
2008-07-06,0,8
2008-07-13,0,8
2008-07-20,0,8
2008-07-27,0,8
2008-08-03,0,8
2008-08-10,0,8
2008-08-17,0,8
2008-08-24,0,8
2008-08-31,0,8
2008-09-07,0,8
2008-09-14,0,9
2008-09-21,0,9
2008-09-28,3.5555555555555554,9
2008-10-05,0,9
2008-10-12,9.11111111111111,9
2008-10-19,20.555555555555557,9
2008-10-26,32.111111111111114,9
2008-11-02,4.111111111111111,9
2008-11-09,16.77777777777778,9
2008-11-16,24.88888888888889,9
2008-11-23,40.22222222222222,9
2008-11-30,23.9,10
2008-12-07,33.6,10
2008-12-14,15,10
2008-12-21,8.4,10
2008-12-28,0,10
2009-01-04,15.6,10
2009-01-11,48.9,10
2009-01-18,45.2,10
2009-01-25,87.5,10
2009-02-01,35,10
2009-02-08,91.1,10
2009-02-15,61.72727272727273,11
2009-02-22,50.36363636363637,11
2009-03-01,37.81818181818182,11
2009-03-08,62.81818181818182,11
2009-03-15,45.63636363636363,11
2009-03-22,26.636363636363637,11
2009-03-29,28.09090909090909,11
2009-04-05,31.727272727272727,11
2009-04-12,18,11
2009-04-19,31.727272727272727,11
