time,value,n
2007-01-07,17,1
2007-01-14,17,1
2007-01-21,17,1
2007-01-28,0,1
2007-02-04,68,1
2007-02-11,17,1
2007-02-18,52,1
2007-02-25,32,1
2007-03-04,16,1
2007-03-11,34,1
2007-03-18,32,1
2007-03-25,33,2
2007-04-01,60.5,2
2007-04-08,9.5,2
2007-04-15,19.5,2
2007-04-22,18.5,2
2007-04-29,57.5,2
2007-05-06,8.5,2
2007-05-13,0,2
2007-05-20,16,2
2007-05-27,34.5,2
2007-06-03,27,2
2007-06-10,38.666666666666664,3
2007-06-17,11.666666666666666,3
2007-06-24,11.333333333333334,3
2007-07-01,34.333333333333336,3
2007-07-08,66.33333333333333,3
2007-07-15,46.666666666666664,3
2007-07-22,18.333333333333332,3
2007-07-29,43,3
2007-08-05,30.333333333333332,3
2007-08-12,58.666666666666664,3
2007-08-19,12,3
2007-08-26,52,4
2007-09-02,31.5,4
2007-09-09,20,4
2007-09-16,8,4
2007-09-23,11,4
2007-09-30,18.75,4
2007-10-07,29.5,4
2007-10-14,24.75,4
2007-10-21,18.25,4
2007-10-28,37.25,4
2007-11-04,17,4
2007-11-11,32.6,5
2007-11-18,31,5
2007-11-25,18.2,5
2007-12-02,13.4,5
2007-12-09,28.8,5
2007-12-16,81.2,5
2007-12-23,66.2,5
2007-12-30,39,5
2008-01-06,24.8,5
2008-01-13,34.8,5
2008-01-20,30.4,5
2008-01-27,21.666666666666668,6
2008-02-03,43.833333333333336,6
2008-02-10,19.166666666666668,6
2008-02-17,33.166666666666664,6
2008-02-24,22.166666666666668,6
2008-03-02,31.333333333333332,6
2008-03-09,27,6
2008-03-16,28.666666666666668,6
2008-03-23,25.5,6
2008-03-30,8.5,6
2008-04-06,24.5,6
2008-04-13,35.57142857142857,7
2008-04-20,18.285714285714285,7
2008-04-27,35,7
2008-05-04,14.714285714285714,7
2008-05-11,7.857142857142857,7
2008-05-18,26.428571428571427,7
2008-05-25,14,7
2008-06-01,23.428571428571427,7
2008-06-08,5.428571428571429,7
2008-06-15,39.142857142857146,7
2008-06-22,12,7
2008-06-29,25.25,8
2008-07-06,35,8
2008-07-13,20.375,8
2008-07-20,25.5,8
2008-07-27,44.125,8
2008-08-03,25.125,8
2008-08-10,23,8
2008-08-17,72,8
2008-08-24,65,8
2008-08-31,32.875,8
2008-09-07,25.125,8
2008-09-14,32.888888888888886,9
2008-09-21,32.333333333333336,9
2008-09-28,34.55555555555556,9
2008-10-05,14.333333333333334,9
2008-10-12,40.55555555555556,9
2008-10-19,35.333333333333336,9
2008-10-26,32.44444444444444,9
2008-11-02,29.88888888888889,9
2008-11-09,37.888888888888886,9
2008-11-16,53.666666666666664,9
2008-11-23,7.333333333333333,9
2008-11-30,22.5,10
2008-12-07,38.4,10
2008-12-14,64.3,10
2008-12-21,45.7,10
2008-12-28,30.3,10
2009-01-04,34,10
2009-01-11,25.9,10
2009-01-18,38.9,10
2009-01-25,31.6,10
2009-02-01,66.7,10
2009-02-08,20.1,10
2009-02-15,39.27272727272727,11
2009-02-22,32.45454545454545,11
2009-03-01,30.09090909090909,11
2009-03-08,45.09090909090909,11
2009-03-15,30.90909090909091,11
2009-03-22,11.727272727272727,11
2009-03-29,51.45454545454545,11
2009-04-05,16.545454545454547,11
2009-04-12,24.545454545454547,11
2009-04-19,27.818181818181817,11
2009-04-26,34.90909090909091,11
2009-05-03,21.75,12
2009-05-10,20.416666666666668,12
2009-05-17,16.916666666666668,12
2009-05-24,18.583333333333332,12
2009-05-31,53,12
2009-06-07,42.75,12
2009-06-14,28.166666666666668,12
2009-06-21,31.583333333333332,12
2009-06-28,54.583333333333336,12
2009-07-05,42.916666666666664,12
2009-07-12,43.5,12
2009-07-19,30.76923076923077,13
2009-07-26,57.15384615384615,13
2009-08-02,35.61538461538461,13
2009-08-09,17,13
2009-08-16,23.846153846153847,13
2009-08-23,36.69230769230769,13
2009-08-30,34.30769230769231,13
2009-09-06,25.384615384615383,13
2009-09-13,28.692307692307693,13
2009-09-20,56,13
2009-09-27,43.76923076923077,13
2009-10-04,12.285714285714286,14
2009-10-11,58.42857142857143,14
2009-10-18,19.642857142857142,14
2009-10-25,25.357142857142858,14
2009-11-01,43.92857142857143,14
2009-11-08,48.142857142857146,14
2009-11-15,29.857142857142858,14
2009-11-22,32.714285714285715,14
2009-11-29,38.57142857142857,14
2009-12-06,60.42857142857143,14
2009-12-13,55.57142857142857,14
2009-12-20,67.26666666666667,15
2009-12-27,32.733333333333334,15
2010-01-03,57.46666666666667,15
2010-01-10,34.93333333333333,15
2010-01-17,17.133333333333333,15
2010-01-24,28.8,15
2010-01-31,32.86666666666667,15
2010-02-07,32.86666666666667,15
2010-02-14,42.86666666666667,15
2010-02-21,24.866666666666667,15
2010-02-28,28.266666666666666,15
2010-03-07,9.125,16
2010-03-14,33.3125,16
2010-03-21,22.75,16
2010-03-28,27.375,16
2010-04-04,51.125,16
2010-04-11,19.3125,16
2010-04-18,28.1875,16
2010-04-25,6.5625,16
2010-05-02,29.375,16
2010-05-09,35.5625,16
2010-05-16,28.875,16
2010-05-23,23.58823529411765,17
2010-05-30,48.35294117647059,17
2010-06-06,40.23529411764706,17
2010-06-13,25.529411764705884,17
2010-06-20,28.11764705882353,17
2010-06-27,19,17
2010-07-04,27.705882352941178,17
2010-07-11,31.58823529411765,17
2010-07-18,54.64705882352941,17
2010-07-25,51.1764705882353,17
2010-08-01,49.705882352941174,17
2010-08-08,54.77777777777778,18
2010-08-15,37.111111111111114,18
2010-08-22,35.27777777777778,18
2010-08-29,23.666666666666668,18
2010-09-05,40.27777777777778,18
2010-09-12,34.94444444444444,18
2010-09-19,21.833333333333332,18
2010-09-26,52.666666666666664,18
2010-10-03,20.77777777777778,18
2010-10-10,42.27777777777778,18
2010-10-17,25.61111111111111,18
2010-10-24,43.473684210526315,19
2010-10-31,37.94736842105263,19
2010-11-07,41.78947368421053,19
2010-11-14,59.8421052631579,19
2010-11-21,28.789473684210527,19
2010-11-28,58.36842105263158,19
2010-12-05,39.73684210526316,19
2010-12-12,30.105263157894736,19
2010-12-19,53.421052631578945,19
2010-12-26,47.36842105263158,19
2011-01-02,43.8421052631579,19
2011-01-09,20.45,20
2011-01-16,25.75,20
2011-01-23,28.25,20
2011-01-30,23.25,20
2011-02-06,44.75,20
2011-02-13,28.85,20
2011-02-20,32.95,20
2011-02-27,16.65,20
2011-03-06,21.55,20
2011-03-13,32.85,20
2011-03-20,39.2,20
2011-03-27,41.142857142857146,21
2011-04-03,23.095238095238095,21
2011-04-10,37.61904761904762,21
2011-04-17,44.61904761904762,21
2011-04-24,30.80952380952381,21
2011-05-01,41.38095238095238,21
2011-05-08,26.047619047619047,21
2011-05-15,30.19047619047619,21
2011-05-22,49.23809523809524,21
2011-05-29,25.523809523809526,21
2011-06-05,33.333333333333336,21
2011-06-12,42.77272727272727,22
2011-06-19,57.90909090909091,22
2011-06-26,35.27272727272727,22
2011-07-03,34.77272727272727,22
2011-07-10,33.40909090909091,22
2011-07-17,44,22
2011-07-24,29.5,22
2011-07-31,54.18181818181818,22
2011-08-07,40.59090909090909,22
2011-08-14,26.545454545454547,22
2011-08-21,36.09090909090909,22
2011-08-28,40.82608695652174,23
2011-09-04,14.695652173913043,23
2011-09-11,24.130434782608695,23
2011-09-18,33.130434782608695,23
2011-09-25,35,23
2011-10-02,30.304347826086957,23
2011-10-09,38.95652173913044,23
2011-10-16,34.26086956521739,23
2011-10-23,48.56521739130435,23
2011-10-30,30.347826086956523,23
2011-11-06,47.21739130434783,23
2011-11-13,33.791666666666664,24
2011-11-20,39.041666666666664,24
2011-11-27,17.833333333333332,24
2011-12-04,49.125,24
2011-12-11,28.75,24
2011-12-18,52.333333333333336,24
2011-12-25,55.666666666666664,24
2012-01-01,46.333333333333336,24
2012-01-08,21.130434782608695,23
2012-01-15,36.82608695652174,23
2012-01-22,37.34782608695652,23
2012-01-29,25.166666666666668,24
2012-02-05,65,24
2012-02-12,22.458333333333332,24
2012-02-19,26.791666666666668,24
2012-02-26,13.166666666666666,24
2012-03-04,35.375,24
2012-03-11,40.333333333333336,24
2012-03-18,19.375,24
2012-03-25,27.956521739130434,23
2012-04-01,33.43478260869565,23
2012-04-08,50.391304347826086,23
2012-04-15,41.375,24
2012-04-22,28.833333333333332,24
2012-04-29,46.75,24
2012-05-06,14.875,24
2012-05-13,30.625,24
2012-05-20,30.375,24
2012-05-27,40.458333333333336,24
2012-06-03,36.416666666666664,24
2012-06-10,35.47826086956522,23
2012-06-17,11.73913043478261,23
2012-06-24,28.91304347826087,23
2012-07-01,32.041666666666664,24
2012-07-08,40.625,24
2012-07-15,49.291666666666664,24
2012-07-22,30.583333333333332,24
2012-07-29,19.583333333333332,24
2012-08-05,33.375,24
2012-08-12,38.416666666666664,24
2012-08-19,40.333333333333336,24
2012-08-26,35.30434782608695,23
2012-09-02,23.17391304347826,23
2012-09-09,34.08695652173913,23
2012-09-16,27.125,24
2012-09-23,50.916666666666664,24
2012-09-30,37.208333333333336,24
2012-10-07,61.833333333333336,24
2012-10-14,30.125,24
2012-10-21,36.25,24
2012-10-28,32.333333333333336,24
2012-11-04,46.666666666666664,24
2012-11-11,41.69565217391305,23
2012-11-18,44.26086956521739,23
2012-11-25,40.869565217391305,23
2012-12-02,44.458333333333336,24
2012-12-09,28.625,24
2012-12-16,67.33333333333333,24
2012-12-23,40.583333333333336,24
2012-12-30,55.791666666666664,24
2013-01-06,28.958333333333332,24
2013-01-13,40.75,24
2013-01-20,32.291666666666664,24
2013-01-27,41.95652173913044,23
2013-02-03,39.91304347826087,23
2013-02-10,27.52173913043478,23
2013-02-17,42.083333333333336,24
2013-02-24,38.666666666666664,24
2013-03-03,51.375,24
2013-03-10,39.375,24
2013-03-17,44.25,24
2013-03-24,43.208333333333336,24
2013-03-31,34.708333333333336,24
2013-04-07,29.083333333333332,24
2013-04-14,14.173913043478262,23
2013-04-21,21.695652173913043,23
2013-04-28,21.956521739130434,23
2013-05-05,45.875,24
2013-05-12,45.75,24
2013-05-19,41.083333333333336,24
2013-05-26,41.875,24
2013-06-02,31.333333333333332,24
2013-06-09,25.833333333333332,24
2013-06-16,37.291666666666664,24
2013-06-23,20.541666666666668,24
2013-06-30,27.608695652173914,23
2013-07-07,42.73913043478261,23
2013-07-14,34.47826086956522,23
2013-07-21,37.708333333333336,24
2013-07-28,18.833333333333332,24
2013-08-04,29.416666666666668,24
2013-08-11,31.166666666666668,24
2013-08-18,41.708333333333336,24
2013-08-25,39.208333333333336,24
2013-09-01,58.041666666666664,24
2013-09-08,40.416666666666664,24
2013-09-15,39.04347826086956,23
2013-09-22,44.30434782608695,23
2013-09-29,35.95652173913044,23
2013-10-06,40.083333333333336,24
2013-10-13,45.291666666666664,24
2013-10-20,29.083333333333332,24
2013-10-27,39.75,24
2013-11-03,40.541666666666664,24
2013-11-10,52.833333333333336,24
2013-11-17,43.75,24
2013-11-24,33.708333333333336,24
2013-12-01,29.08695652173913,23
2013-12-08,63.52173913043478,23
2013-12-15,44.21739130434783,23
2013-12-22,62.583333333333336,24
2013-12-29,48.791666666666664,24
2014-01-05,39.416666666666664,24
2014-01-12,30.625,24
2014-01-19,31.75,24
2014-01-26,23.916666666666668,24
2014-02-02,39.166666666666664,24
2014-02-09,28.708333333333332,24
2014-02-16,19.217391304347824,23
2014-02-23,42.26086956521739,23
2014-03-02,31.73913043478261,23
2014-03-09,30.666666666666668,24
2014-03-16,42.708333333333336,24
2014-03-23,44.916666666666664,24
2014-03-30,38.208333333333336,24
2014-04-06,45.5,24
2014-04-13,40.208333333333336,24
2014-04-20,32,24
2014-04-27,54.625,24
2014-05-04,27.73913043478261,23
2014-05-11,30.08695652173913,23
2014-05-18,26.130434782608695,23
2014-05-25,47.208333333333336,24
2014-06-01,16.5,24
2014-06-08,26.75,24
2014-06-15,29,24
2014-06-22,27.375,24
2014-06-29,39.458333333333336,24
2014-07-06,42.5,24
2014-07-13,33.041666666666664,24
2014-07-20,26.26086956521739,23
2014-07-27,40.52173913043478,23
2014-08-03,36,23
2014-08-10,57.291666666666664,24
2014-08-17,21.875,24
2014-08-24,27.5,24
2014-08-31,34.833333333333336,24
2014-09-07,42.166666666666664,24
2014-09-14,36.083333333333336,24
2014-09-21,33.916666666666664,24
2014-09-28,32.25,24
2014-10-05,31.17391304347826,23
2014-10-12,14.173913043478262,23
2014-10-19,39,23
2014-10-26,48.625,24
2014-11-02,40.791666666666664,24
2014-11-09,44.083333333333336,24
2014-11-16,20.416666666666668,24
2014-11-23,48.25,24
2014-11-30,36.208333333333336,24
2014-12-07,46.458333333333336,24
2014-12-14,36.916666666666664,24
2014-12-21,46.391304347826086,23
2014-12-28,89.26086956521739,23
2015-01-04,32.91304347826087,23
2015-01-11,34.583333333333336,24
2015-01-18,28.875,24
2015-01-25,31.208333333333332,24
2015-02-01,39.5,24
2015-02-08,59.625,24
2015-02-15,32.625,24
2015-02-22,34.333333333333336,24
2015-03-01,31.875,24
2015-03-08,39.391304347826086,23
2015-03-15,18.73913043478261,23
2015-03-22,48.56521739130435,23
2015-03-29,51,24
