time,value,n
2007-01-07,20,1
2007-01-14,66,1
2007-01-21,20,1
2007-01-28,60,1
2007-02-04,20,1
2007-02-11,27,1
2007-02-18,27,1
2007-02-25,63,1
2007-03-04,38,1
2007-03-11,53,1
2007-03-18,25,1
2007-03-25,58,2
2007-04-01,36,2
2007-04-08,14.5,2
2007-04-15,30,2
2007-04-22,53.5,2
2007-04-29,67,2
2007-05-06,41,2
2007-05-13,25.5,2
2007-05-20,28,2
2007-05-27,6.5,2
2007-06-03,31.5,2
2007-06-10,34.333333333333336,3
2007-06-17,12,3
2007-06-24,27,3
2007-07-01,42.333333333333336,3
2007-07-08,35,3
2007-07-15,66.33333333333333,3
2007-07-22,22.333333333333332,3
2007-07-29,41.666666666666664,3
2007-08-05,34.666666666666664,3
2007-08-12,50,3
2007-08-19,51.666666666666664,3
2007-08-26,39.25,4
2007-09-02,39.25,4
2007-09-09,48.25,4
2007-09-16,36.75,4
2007-09-23,40.5,4
2007-09-30,28.75,4
2007-10-07,66.25,4
2007-10-14,62.5,4
2007-10-21,58.5,4
2007-10-28,71.75,4
2007-11-04,35,4
2007-11-11,39.8,5
2007-11-18,43,5
2007-11-25,48.8,5
2007-12-02,44.6,5
2007-12-09,36,5
2007-12-16,58.2,5
2007-12-23,63.2,5
2007-12-30,59.2,5
2008-01-06,36,5
2008-01-13,22.6,5
2008-01-20,32.8,5
2008-01-27,32.666666666666664,6
2008-02-03,35.333333333333336,6
2008-02-10,43,6
2008-02-17,43,6
2008-02-24,35.333333333333336,6
2008-03-02,37.166666666666664,6
2008-03-09,53,6
2008-03-16,43.666666666666664,6
2008-03-23,36.333333333333336,6
2008-03-30,33.833333333333336,6
2008-04-06,28.333333333333332,6
2008-04-13,38.57142857142857,7
2008-04-20,39.285714285714285,7
2008-04-27,34.57142857142857,7
2008-05-04,32.142857142857146,7
2008-05-11,48.57142857142857,7
2008-05-18,49.714285714285715,7
2008-05-25,26.428571428571427,7
2008-06-01,34.714285714285715,7
2008-06-08,27.428571428571427,7
2008-06-15,38.142857142857146,7
2008-06-22,30.571428571428573,7
2008-06-29,49.625,8
2008-07-06,44,8
2008-07-13,37.875,8
2008-07-20,38.125,8
2008-07-27,37.75,8
2008-08-03,43.75,8
2008-08-10,55,8
2008-08-17,55.625,8
2008-08-24,57.875,8
2008-08-31,47.75,8
2008-09-07,33.25,8
2008-09-14,41.44444444444444,9
2008-09-21,32.55555555555556,9
2008-09-28,40.888888888888886,9
2008-10-05,48.22222222222222,9
2008-10-12,39.22222222222222,9
2008-10-19,36.77777777777778,9
2008-10-26,45.77777777777778,9
2008-11-02,40.333333333333336,9
2008-11-09,41.55555555555556,9
2008-11-16,46.44444444444444,9
2008-11-23,35,9
2008-11-30,59.1,10
2008-12-07,48.8,10
2008-12-14,41.1,10
2008-12-21,63.2,10
2008-12-28,67.9,10
2009-01-04,40,10
2009-01-11,39.7,10
2009-01-18,52.4,10
2009-01-25,26.2,10
2009-02-01,46.1,10
2009-02-08,43.4,10
2009-02-15,37,11
2009-02-22,27.818181818181817,11
2009-03-01,35.45454545454545,11
2009-03-08,34.54545454545455,11
2009-03-15,38.63636363636363,11
2009-03-22,22.818181818181817,11
2009-03-29,33.36363636363637,11
2009-04-05,51.27272727272727,11
2009-04-12,41.63636363636363,11
2009-04-19,42.54545454545455,11
2009-04-26,31.09090909090909,11
2009-05-03,49.75,12
2009-05-10,31.833333333333332,12
2009-05-17,36.75,12
2009-05-24,42.416666666666664,12
2009-05-31,25.25,12
2009-06-07,44.166666666666664,12
2009-06-14,32.083333333333336,12
2009-06-21,42.75,12
2009-06-28,51.75,12
2009-07-05,44.25,12
2009-07-12,51.25,12
2009-07-19,33.53846153846154,13
2009-07-26,46.53846153846154,13
2009-08-02,46.53846153846154,13
2009-08-09,36.69230769230769,13
2009-08-16,40.92307692307692,13
2009-08-23,41.53846153846154,13
2009-08-30,47.61538461538461,13
2009-09-06,31.46153846153846,13
2009-09-13,47.92307692307692,13
2009-09-20,42.61538461538461,13
2009-09-27,36.61538461538461,13
2009-10-04,40,14
2009-10-11,39.642857142857146,14
2009-10-18,47.57142857142857,14
2009-10-25,25.928571428571427,14
2009-11-01,52.357142857142854,14
2009-11-08,54.5,14
2009-11-15,32.07142857142857,14
2009-11-22,43.642857142857146,14
2009-11-29,42.785714285714285,14
2009-12-06,61.285714285714285,14
