time,value,n
2007-01-07,0,1
2007-01-14,57,1
2007-01-21,28,1
2007-01-28,58,1
2007-02-04,29,1
2007-02-11,0,1
2007-02-18,0,1
2007-02-25,27,1
2007-03-04,0,1
2007-03-11,29,1
2007-03-18,0,1
2007-03-25,15.5,2
2007-04-01,33.5,2
2007-04-08,0,2
2007-04-15,0,2
2007-04-22,14.5,2
2007-04-29,45.5,2
2007-05-06,13,2
2007-05-13,0,2
2007-05-20,15,2
2007-05-27,28.5,2
2007-06-03,0,2
2007-06-10,18,3
2007-06-17,18.666666666666668,3
2007-06-24,37.333333333333336,3
2007-07-01,9,3
2007-07-08,20.666666666666668,3
2007-07-15,22.666666666666668,3
2007-07-22,20,3
2007-07-29,19.333333333333332,3
2007-08-05,10.333333333333334,3
2007-08-12,20.666666666666668,3
2007-08-19,9.666666666666666,3
2007-08-26,62.75,4
2007-09-02,0,4
2007-09-09,49,4
2007-09-16,14.25,4
2007-09-23,6.5,4
2007-09-30,51.5,4
2007-10-07,24.5,4
2007-10-14,6.25,4
2007-10-21,5.75,4
2007-10-28,51.75,4
2007-11-04,11,4
2007-11-11,22.6,5
2007-11-18,22.2,5
2007-11-25,23.4,5
2007-12-02,17.2,5
2007-12-09,22.2,5
2007-12-16,39.4,5
2007-12-23,35.4,5
2007-12-30,35.2,5
2008-01-06,22.4,5
2008-01-13,0,5
2008-01-20,29.4,5
2008-01-27,14.666666666666666,6
2008-02-03,47.666666666666664,6
2008-02-10,21.833333333333332,6
2008-02-17,14.666666666666666,6
2008-02-24,49.833333333333336,6
2008-03-02,18,6
2008-03-09,88.5,6
2008-03-16,18.166666666666668,6
2008-03-23,0,6
2008-03-30,30.666666666666668,6
2008-04-06,20.833333333333332,6
2008-04-13,0,7
2008-04-20,36,7
2008-04-27,27.428571428571427,7
2008-05-04,59.142857142857146,7
2008-05-11,3.4285714285714284,7
2008-05-18,28.571428571428573,7
2008-05-25,0,7
2008-06-01,9,7
2008-06-08,34.142857142857146,7
2008-06-15,34.285714285714285,7
2008-06-22,28,7
2008-06-29,35.75,8
2008-07-06,37.5,8
2008-07-13,48.25,8
2008-07-20,20.125,8
2008-07-27,50.625,8
2008-08-03,48.5,8
2008-08-10,0,8
2008-08-17,43.625,8
2008-08-24,25.75,8
2008-08-31,54.25,8
2008-09-07,10.5,8
2008-09-14,34.44444444444444,9
2008-09-21,63.55555555555556,9
2008-09-28,36.77777777777778,9
2008-10-05,8.222222222222221,9
2008-10-12,19.666666666666668,9
2008-10-19,21.11111111111111,9
2008-10-26,12.666666666666666,9
2008-11-02,9,9
2008-11-09,22.22222222222222,9
2008-11-16,17.333333333333332,9
2008-11-23,22.11111111111111,9
2008-11-30,33.4,10
2008-12-07,26.1,10
2008-12-14,17.4,10
2008-12-21,21.4,10
2008-12-28,22.3,10
2009-01-04,15.1,10
2009-01-11,14.2,10
2009-01-18,11.4,10
2009-01-25,19.1,10
2009-02-01,12.5,10
2009-02-08,20.4,10
2009-02-15,37,11
2009-02-22,19.727272727272727,11
2009-03-01,14.454545454545457,11
2009-03-08,16.454545454545453,11
2009-03-15,16,11
2009-03-22,33.18181818181818,11
2009-03-29,30.272727272727273,11
2009-04-05,20.272727272727273,11
2009-04-12,19.363636363636363,11
2009-04-19,41.18181818181818,11
2009-04-26,22.09090909090909,11
2009-05-03,0,12
2009-05-10,35.666666666666664,12
2009-05-17,6.166666666666667,12
2009-05-24,26.916666666666668,12
2009-05-31,17.166666666666668,12
2009-06-07,37.333333333333336,12
2009-06-14,32,12
2009-06-21,54.5,12
2009-06-28,25.083333333333332,12
2009-07-05,26.333333333333332,12
2009-07-12,18.416666666666668,12
2009-07-19,11.846153846153848,13
2009-07-26,32.84615384615385,13
2009-08-02,35.46153846153846,13
2009-08-09,25.23076923076923,13
2009-08-16,28.615384615384617,13
2009-08-23,39.23076923076923,13
2009-08-30,27.53846153846154,13
2009-09-06,26.076923076923077,13
2009-09-13,30.46153846153846,13
2009-09-20,29.692307692307693,13
2009-09-27,22.692307692307693,13
2009-10-04,45.357142857142854,14
2009-10-11,24.714285714285715,14
2009-10-18,17.285714285714285,14
2009-10-25,33.714285714285715,14
2009-11-01,4.214285714285714,14
2009-11-08,32.714285714285715,14
2009-11-15,15.5,14
2009-11-22,22.642857142857142,14
2009-11-29,45.214285714285715,14
2009-12-06,17.714285714285715,14
2009-12-13,25.428571428571427,14
2009-12-20,14.466666666666669,15
2009-12-27,26.866666666666667,15
2010-01-03,27.6,15
2010-01-10,10.733333333333333,15
2010-01-17,38.86666666666667,15
2010-01-24,28.733333333333334,15
2010-01-31,19.733333333333334,15
2010-02-07,29.333333333333332,15
2010-02-14,56.2,15
2010-02-21,11.733333333333333,15
2010-02-28,50.666666666666664,15
2010-03-07,37.125,16
2010-03-14,27.8125,16
2010-03-21,28.8125,16
2010-03-28,24.3125,16
2010-04-04,12.4375,16
2010-04-11,21.9375,16
2010-04-18,5.6875,16
2010-04-25,25.75,16
2010-05-02,31.4375,16
2010-05-09,55.9375,16
2010-05-16,32.1875,16
2010-05-23,11.058823529411764,17
2010-05-30,17.176470588235293,17
2010-06-06,4.117647058823529,17
2010-06-13,23.235294117647054,17
2010-06-20,17.529411764705884,17
2010-06-27,42.35294117647059,17
2010-07-04,6.294117647058823,17
2010-07-11,28.470588235294116,17
2010-07-18,73.41176470588235,17
2010-07-25,15.941176470588236,17
2010-08-01,23.058823529411764,17
2010-08-08,28.944444444444443,18
2010-08-15,32.22222222222222,18
2010-08-22,39.22222222222222,18
2010-08-29,22.055555555555557,18
2010-09-05,19.27777777777778,18
2010-09-12,5.833333333333333,18
2010-09-19,37.166666666666664,18
2010-09-26,21.77777777777778,18
2010-10-03,21.27777777777778,18
2010-10-10,12.444444444444445,18
2010-10-17,35.77777777777778,18
2010-10-24,37.89473684210526,19
2010-10-31,48.31578947368421,19
2010-11-07,27.736842105263165,19
2010-11-14,13.68421052631579,19
2010-11-21,18.73684210526316,19
2010-11-28,21.526315789473685,19
2010-12-05,45.94736842105263,19
2010-12-12,27.63157894736842,19
2010-12-19,32.36842105263158,19
2010-12-26,38.1578947368421,19
2011-01-02,36.1578947368421,19
2011-01-09,29.45,20
2011-01-16,25.6,20
2011-01-23,30.4,20
2011-01-30,18,20
2011-02-06,19.6,20
2011-02-13,24.45,20
2011-02-20,21.05,20
2011-02-27,22.6,20
2011-03-06,35.95,20
2011-03-13,19.25,20
2011-03-20,53.3,20
2011-03-27,27.38095238095238,21
2011-04-03,14.952380952380953,21
2011-04-10,51.857142857142854,21
2011-04-17,22.142857142857142,21
2011-04-24,21.38095238095238,21
2011-05-01,17.571428571428573,21
2011-05-08,29.761904761904763,21
2011-05-15,29.666666666666668,21
2011-05-22,30.285714285714285,21
2011-05-29,10.666666666666666,21
2011-06-05,26.333333333333332,21
2011-06-12,28.454545454545453,22
2011-06-19,35.68181818181818,22
2011-06-26,28.5,22
2011-07-03,14.863636363636363,22
2011-07-10,22.772727272727273,22
2011-07-17,32.63636363636363,22
2011-07-24,28.181818181818183,22
2011-07-31,54.77272727272727,22
2011-08-07,29.045454545454547,22
2011-08-14,32.04545454545455,22
2011-08-21,27.227272727272727,22
2011-08-28,34.65217391304348,23
2011-09-04,5.565217391304348,23
2011-09-11,27.91304347826087,23
2011-09-18,30.52173913043478,23
2011-09-25,22.043478260869566,23
2011-10-02,25.695652173913043,23
2011-10-09,36.65217391304348,23
2011-10-16,17.82608695652174,23
2011-10-23,23,23
2011-10-30,31.73913043478261,23
2011-11-06,19.26086956521739,23
2011-11-13,30.583333333333332,24
2011-11-20,33.625,24
2011-11-27,31.416666666666668,24
2011-12-04,24.333333333333332,24
2011-12-11,20.333333333333332,24
2011-12-18,34.833333333333336,24
2011-12-25,41.291666666666664,24
2012-01-01,33.666666666666664,24
2012-01-08,17.52173913043478,23
2012-01-15,24.391304347826093,23
2012-01-22,35.26086956521739,23
2012-01-29,56.791666666666664,24
2012-02-05,22.458333333333332,24
2012-02-12,18.625,24
2012-02-19,50.208333333333336,24
2012-02-26,27.833333333333332,24
2012-03-04,33.708333333333336,24
2012-03-11,7.541666666666667,24
2012-03-18,25.291666666666668,24
2012-03-25,29.17391304347826,23
2012-04-01,19.043478260869566,23
2012-04-08,33.65217391304348,23
2012-04-15,20.541666666666668,24
2012-04-22,30.083333333333332,24
2012-04-29,30.416666666666668,24
2012-05-06,13.5,24
2012-05-13,22.083333333333332,24
2012-05-20,36.458333333333336,24
2012-05-27,33.166666666666664,24
2012-06-03,24.875,24
2012-06-10,18,23
2012-06-17,37.04347826086956,23
2012-06-24,47.17391304347826,23
2012-07-01,22.25,24
2012-07-08,52.625,24
2012-07-15,47.541666666666664,24
2012-07-22,16.708333333333332,24
2012-07-29,30.541666666666668,24
2012-08-05,37.333333333333336,24
2012-08-12,44.25,24
2012-08-19,31.958333333333332,24
2012-08-26,37.73913043478261,23
2012-09-02,33.869565217391305,23
2012-09-09,46.43478260869565,23
2012-09-16,30.708333333333332,24
2012-09-23,32.583333333333336,24
2012-09-30,53.125,24
2012-10-07,28.583333333333332,24
2012-10-14,59.875,24
2012-10-21,63.375,24
2012-10-28,64.70833333333333,24
2012-11-04,43.875,24
2012-11-11,45.17391304347826,23
2012-11-18,26,23
2012-11-25,44.82608695652174,23
2012-12-02,37.458333333333336,24
2012-12-09,47.75,24
2012-12-16,37.125,24
2012-12-23,34.916666666666664,24
2012-12-30,44.125,24
2013-01-06,21,24
2013-01-13,41.125,24
2013-01-20,23.75,24
2013-01-27,40.69565217391305,23
2013-02-03,45.34782608695652,23
2013-02-10,33.82608695652174,23
2013-02-17,18.833333333333332,24
2013-02-24,35.333333333333336,24
2013-03-03,29.625,24
2013-03-10,27.083333333333332,24
2013-03-17,29.666666666666668,24
2013-03-24,35.625,24
2013-03-31,32.5,24
2013-04-07,21.916666666666668,24
2013-04-14,32.608695652173914,23
2013-04-21,23.652173913043477,23
2013-04-28,26.47826086956522,23
2013-05-05,36.583333333333336,24
2013-05-12,25.208333333333332,24
2013-05-19,34.666666666666664,24
2013-05-26,31.375,24
2013-06-02,33.583333333333336,24
2013-06-09,27.958333333333332,24
2013-06-16,34.708333333333336,24
2013-06-23,45.416666666666664,24
2013-06-30,28.652173913043477,23
2013-07-07,38.69565217391305,23
2013-07-14,33.04347826086956,23
2013-07-21,34.708333333333336,24
2013-07-28,52,24
2013-08-04,64.33333333333333,24
2013-08-11,46,24
2013-08-18,57.625,24
2013-08-25,46.875,24
2013-09-01,37,24
2013-09-08,30.708333333333332,24
2013-09-15,14.608695652173912,23
2013-09-22,55.608695652173914,23
2013-09-29,24.08695652173913,23
2013-10-06,46.666666666666664,24
2013-10-13,41.75,24
2013-10-20,27.958333333333332,24
2013-10-27,39.416666666666664,24
2013-11-03,40.291666666666664,24
2013-11-10,36.666666666666664,24
2013-11-17,38.5,24
2013-11-24,61.25,24
2013-12-01,50.56521739130435,23
2013-12-08,37.95652173913044,23
2013-12-15,48.21739130434783,23
2013-12-22,55.25,24
2013-12-29,41.791666666666664,24
2014-01-05,39.708333333333336,24
2014-01-12,32.125,24
2014-01-19,10.125,24
2014-01-26,16.416666666666668,24
2014-02-02,55.375,24
2014-02-09,50.416666666666664,24
2014-02-16,18.82608695652174,23
2014-02-23,29.73913043478261,23
2014-03-02,38.21739130434783,23
2014-03-09,16.875,24
2014-03-16,26.5,24
2014-03-23,10.916666666666666,24
