time,value,n
2007-01-07,0,1
2007-01-14,0,1
2007-01-21,0,1
2007-01-28,0,1
2007-02-04,0,1
2007-02-11,0,1
2007-02-18,0,1
2007-02-25,0,1
2007-03-04,0,1
2007-03-11,0,1
2007-03-18,0,1
2007-03-25,0,2
2007-04-01,0,2
2007-04-08,0,2
2007-04-15,0,2
2007-04-22,0,2
2007-04-29,0,2
2007-05-06,0,2
2007-05-13,0,2
2007-05-20,0,2
2007-05-27,0,2
2007-06-03,0,2
2007-06-10,0,3
2007-06-17,40.333333333333336,3
2007-06-24,0,3
2007-07-01,53,3
2007-07-08,0,3
2007-07-15,0,3
2007-07-22,0,3
2007-07-29,0,3
2007-08-05,0,3
2007-08-12,0,3
2007-08-19,0,3
2007-08-26,0,4
2007-09-02,36.25,4
2007-09-09,0,4
2007-09-16,0,4
2007-09-23,35.25,4
2007-09-30,0,4
2007-10-07,0,4
2007-10-14,0,4
2007-10-21,0,4
2007-10-28,0,4
2007-11-04,0,4
2007-11-11,31.8,5
2007-11-18,24.2,5
2007-11-25,0,5
2007-12-02,0,5
2007-12-09,10.2,5
2007-12-16,0,5
2007-12-23,44.6,5
2007-12-30,49.6,5
2008-01-06,0,5
2008-01-13,0,5
2008-01-20,0,5
2008-01-27,36.5,6
2008-02-03,36.666666666666664,6
2008-02-10,0,6
2008-02-17,33.5,6
2008-02-24,0,6
2008-03-02,0,6
2008-03-09,0,6
2008-03-16,0,6
2008-03-23,0,6
2008-03-30,0,6
2008-04-06,8.333333333333334,6
2008-04-13,0,7
2008-04-20,0,7
2008-04-27,0,7
2008-05-04,0,7
2008-05-11,0,7
2008-05-18,0,7
2008-05-25,0,7
2008-06-01,0,7
2008-06-08,0,7
2008-06-15,0,7
2008-06-22,0,7
2008-06-29,0,8
2008-07-06,0,8
2008-07-13,0,8
2008-07-20,0,8
2008-07-27,0,8
2008-08-03,0,8
2008-08-10,0,8
2008-08-17,0,8
2008-08-24,0,8
2008-08-31,0,8
2008-09-07,0,8
2008-09-14,0,9
2008-09-21,0,9
2008-09-28,0,9
2008-10-05,25,9
2008-10-12,0,9
2008-10-19,0,9
2008-10-26,0,9
2008-11-02,0,9
2008-11-09,0,9
2008-11-16,10.88888888888889,9
2008-11-23,0,9
2008-11-30,0,10
2008-12-07,37.7,10
2008-12-14,0,10
2008-12-21,0,10
2008-12-28,0,10
2009-01-04,18.7,10
2009-01-11,0,10
2009-01-18,0,10
2009-01-25,20.1,10
2009-02-01,36.3,10
2009-02-08,0,10
2009-02-15,0,11
2009-02-22,0,11
2009-03-01,0,11
2009-03-08,24.181818181818183,11
2009-03-15,0,11
2009-03-22,0,11
2009-03-29,0,11
2009-04-05,0,11
2009-04-12,0,11
2009-04-19,0,11
2009-04-26,0,11
2009-05-03,0,12
2009-05-10,0,12
2009-05-17,0,12
2009-05-24,0,12
2009-05-31,11.333333333333334,12
2009-06-07,0,12
