time,value,n
2007-01-01,40,1
2007-02-01,70,2
2007-03-01,0,3
2007-04-01,0,4
2007-05-01,0,5
2007-06-01,0,6
2007-07-01,28.714285714285715,7
2007-08-01,9.625,8
2007-09-01,0,9
2007-10-01,12.5,10
2007-11-01,17.181818181818183,11
2007-12-01,46.416666666666664,12
2008-01-01,40.583333333333336,12
2008-02-01,7.25,12
2008-03-01,7.666666666666667,12
2008-04-01,0,12
2008-05-01,0,12
2008-06-01,0,12
2008-07-01,0,12
2008-08-01,18.083333333333332,12
2008-09-01,28.583333333333332,12
2008-10-01,13.083333333333334,12
2008-11-01,34.166666666666664,12
2008-12-01,9.916666666666666,12
2009-01-01,11.416666666666666,12
2009-02-01,0,12
2009-03-01,7.083333333333333,12
2009-04-01,0,12
2009-05-01,0,12
2009-06-01,15.75,12
2009-07-01,5.916666666666667,12
2009-08-01,0,12
2009-09-01,27,12
2009-10-01,26.916666666666668,12
2009-11-01,7.75,12
2009-12-01,64.41666666666667,12
2010-01-01,56.25,12
2010-02-01,26,12
2010-03-01,0,12
2010-04-01,4.333333333333333,12
2010-05-01,3.3333333333333335,12
2010-06-01,0,12
2010-07-01,0,12
2010-08-01,18.833333333333332,12
2010-09-01,10.833333333333334,12
2010-10-01,70.91666666666667,12
2010-11-01,33.166666666666664,12
2010-12-01,73.75,12
2011-01-01,24.916666666666668,12
2011-02-01,18.583333333333332,12
2011-03-01,8.5,12
2011-04-01,0,12
2011-05-01,0,12
2011-06-01,0,12
2011-07-01,6.833333333333333,12
2011-08-01,9.583333333333334,12
2011-09-01,24.333333333333332,12
2011-10-01,44.416666666666664,12
2011-11-01,47.5,12
2011-12-01,58.916666666666664,12
2012-01-01,44.166666666666664,12
2012-02-01,26.416666666666668,12
2012-03-01,15.5,12
2012-04-01,0,12
2012-05-01,0,12
2012-06-01,4.833333333333333,12
2012-07-01,11.583333333333334,12
2012-08-01,7.333333333333333,12
2012-09-01,24.333333333333332,12
2012-10-01,27.833333333333332,12
2012-11-01,76.08333333333333,12
2012-12-01,14.5,12
2013-01-01,28.333333333333332,12
2013-02-01,30.666666666666668,12
2013-03-01,4.416666666666667,12
2013-04-01,8.666666666666666,12
2013-05-01,0,12
2013-06-01,8.083333333333334,12
2013-07-01,6.916666666666667,12
2013-08-01,9.083333333333334,12
2013-09-01,28.916666666666668,12
2013-10-01,35.916666666666664,12
2013-11-01,65.66666666666667,12
2013-12-01,40.333333333333336,12
2014-01-01,57.083333333333336,12
2014-02-01,27.833333333333332,12
2014-03-01,13.75,12
2014-04-01,0,12
2014-05-01,10.166666666666666,12
2014-06-01,5.083333333333333,12
2014-07-01,2.3333333333333335,12
2014-08-01,15.666666666666666,12
2014-09-01,25.083333333333332,12
2014-10-01,23.5,12
2014-11-01,50.75,12
2014-12-01,17.833333333333332,12
2015-01-01,46.166666666666664,12
2015-02-01,53.083333333333336,12
2015-03-01,0,12
2015-04-01,3.9166666666666665,12
2015-05-01,3.6666666666666665,12
2015-06-01,0,12
2015-07-01,0,12
2015-08-01,11.416666666666666,12
2015-09-01,28.083333333333332,12
2015-10-01,49.666666666666664,12
2015-11-01,42.75,12
2015-12-01,48.083333333333336,12
2016-01-01,14.75,12
2016-02-01,12.5,12
2016-03-01,6.916666666666667,12
2016-04-01,0,12
2016-05-01,0,12
2016-06-01,2.4166666666666665,12
2016-07-01,10.416666666666666,12
2016-08-01,18.5,12
2016-09-01,19.666666666666668,12
2016-10-01,19.833333333333332,12
2016-11-01,32.666666666666664,12
2016-12-01,43.5,12
2017-01-01,22.916666666666668,12
2017-02-01,19.166666666666668,12
2017-03-01,0,12
2017-04-01,2.5833333333333335,12
2017-05-01,0,12
2017-06-01,0,12
2017-07-01,8.666666666666666,12
2017-08-01,2.4166666666666665,12
2017-09-01,7.916666666666667,12
2017-10-01,20.916666666666668,12
2017-11-01,37.416666666666664,12
2017-12-01,48.083333333333336,12
2018-01-01,56.833333333333336,12
2018-02-01,27.833333333333332,12
2018-03-01,4.583333333333333,12
2018-04-01,0,12
2018-05-01,0,12
2018-06-01,4,12
2018-07-01,0,12
2018-08-01,10.083333333333334,12
2018-09-01,18.166666666666668,12
2018-10-01,29.666666666666668,12
2018-11-01,33.25,12
2018-12-01,53.666666666666664,12
2019-01-01,29.166666666666668,12
2019-02-01,39.25,12
2019-03-01,5.083333333333333,12
2019-04-01,6.666666666666667,12
2019-05-01,4.333333333333333,12
2019-06-01,0,12
2019-07-01,3,12
2019-08-01,10.416666666666666,12
2019-09-01,10.416666666666666,12
2019-10-01,26.25,12
2019-11-01,23.583333333333332,12
2019-12-01,34.083333333333336,12
2020-01-01,39.333333333333336,12
2020-02-01,17.166666666666668,12
2020-03-01,12.333333333333334,12
2020-04-01,0.9166666666666666,12
2020-05-01,4.416666666666667,12
2020-06-01,5.166666666666667,12
2020-07-01,2.25,12
2020-08-01,8.083333333333334,12
2020-09-01,5.166666666666667,12
2020-10-01,25.166666666666668,12
2020-11-01,21.25,12
2020-12-01,23.25,12
2021-01-01,19.666666666666668,12
2021-02-01,4.083333333333333,12
2021-03-01,0,12
2021-04-01,0,12
2021-05-01,0,12
2021-06-01,3.0833333333333335,12
2021-07-01,2.0833333333333335,12
2021-08-01,16.416666666666668,12
2021-09-01,15.583333333333334,12
2021-10-01,38.333333333333336,12
2021-11-01,11.166666666666666,12
2021-12-01,67.41666666666667,12
2022-01-01,0,12
