time,value,n
2007-01-01,40,1
2007-02-01,28,2
2007-03-01,8.666666666666666,3
2007-04-01,4.75,4
2007-05-01,0,5
2007-06-01,15.5,6
2007-07-01,6.285714285714286,7
2007-08-01,47.75,8
2007-09-01,22.11111111111111,9
2007-10-01,27.3,10
2007-11-01,90.36363636363636,11
2007-12-01,32.833333333333336,12
2008-01-01,34.083333333333336,12
2008-02-01,15.083333333333334,12
2008-03-01,3.75,12
2008-04-01,10.166666666666666,12
2008-05-01,0,12
2008-06-01,2.8333333333333335,12
2008-07-01,16,12
2008-08-01,42.5,12
2008-09-01,34,12
2008-10-01,49.833333333333336,12
2008-11-01,64,12
2008-12-01,49.5,12
2009-01-01,37.166666666666664,12
2009-02-01,40.833333333333336,12
2009-03-01,5.583333333333333,12
2009-04-01,3.3333333333333335,12
2009-05-01,0,12
2009-06-01,3.8333333333333335,12
2009-07-01,12.083333333333334,12
2009-08-01,16.75,12
2009-09-01,19.25,12
2009-10-01,42.25,12
2009-11-01,35.583333333333336,12
2009-12-01,28.333333333333332,12
2010-01-01,32.083333333333336,12
2010-02-01,3.5833333333333335,12
2010-03-01,1.4166666666666667,12
2010-04-01,0,12
2010-05-01,9.916666666666666,12
2010-06-01,0,12
2010-07-01,4.5,12
2010-08-01,27.666666666666668,12
2010-09-01,49.333333333333336,12
2010-10-01,32.083333333333336,12
2010-11-01,26.833333333333332,12
2010-12-01,25.833333333333332,12
2011-01-01,20.916666666666668,12
2011-02-01,18.333333333333332,12
2011-03-01,5.416666666666667,12
2011-04-01,8.583333333333334,12
2011-05-01,5.25,12
2011-06-01,5.75,12
2011-07-01,11.916666666666666,12
2011-08-01,12.916666666666666,12
2011-09-01,30.166666666666668,12
2011-10-01,32.833333333333336,12
2011-11-01,32.583333333333336,12
2011-12-01,43.5,12
2012-01-01,29.666666666666668,12
2012-02-01,15.25,12
2012-03-01,6.916666666666667,12
2012-04-01,4.916666666666667,12
2012-05-01,0,12
2012-06-01,5.333333333333333,12
2012-07-01,12.916666666666666,12
2012-08-01,21.25,12
2012-09-01,25.083333333333332,12
2012-10-01,30.583333333333332,12
2012-11-01,25.833333333333332,12
2012-12-01,35,12
2013-01-01,12.916666666666666,12
2013-02-01,8.916666666666666,12
2013-03-01,5.666666666666667,12
2013-04-01,3.25,12
2013-05-01,6.416666666666667,12
2013-06-01,3.3333333333333335,12
2013-07-01,8.166666666666666,12
2013-08-01,13,12
2013-09-01,27.916666666666668,12
2013-10-01,17.583333333333332,12
2013-11-01,26.916666666666668,12
2013-12-01,25.5,12
2014-01-01,23.166666666666668,12
2014-02-01,5.5,12
2014-03-01,5.166666666666667,12
2014-04-01,0,12
2014-05-01,0,12
2014-06-01,5.5,12
2014-07-01,13.416666666666666,12
2014-08-01,20.5,12
2014-09-01,18.583333333333332,12
2014-10-01,13.416666666666666,12
2014-11-01,31.5,12
2014-12-01,25.25,12
2015-01-01,18.5,12
2015-02-01,11.5,12
2015-03-01,6.75,12
2015-04-01,1.8333333333333333,12
2015-05-01,3.5833333333333335,12
2015-06-01,3.0833333333333335,12
2015-07-01,12.416666666666666,12
2015-08-01,14.5,12
2015-09-01,22.583333333333332,12
2015-10-01,23,12
2015-11-01,26.083333333333332,12
2015-12-01,13.083333333333334,12
2016-01-01,16.5,12
2016-02-01,14.333333333333334,12
2016-03-01,5.833333333333333,12
2016-04-01,4.333333333333333,12
2016-05-01,3,12
2016-06-01,1.25,12
2016-07-01,7.166666666666667,12
2016-08-01,6.833333333333333,12
2016-09-01,26.916666666666668,12
2016-10-01,12.166666666666666,12
2016-11-01,28.416666666666668,12
2016-12-01,18.083333333333332,12
2017-01-01,14,12
2017-02-01,10.5,12
2017-03-01,4.916666666666667,12
2017-04-01,3.3333333333333335,12
2017-05-01,4.5,12
2017-06-01,2.5,12
2017-07-01,5.25,12
2017-08-01,7.416666666666667,12
2017-09-01,14.5,12
2017-10-01,17.75,12
2017-11-01,27.75,12
2017-12-01,19.083333333333332,12
2018-01-01,16,12
2018-02-01,2.9166666666666665,12
2018-03-01,8.75,12
2018-04-01,0,12
2018-05-01,2.75,12
2018-06-01,0,12
2018-07-01,7.916666666666667,12
2018-08-01,13.916666666666666,12
2018-09-01,23.583333333333332,12
2018-10-01,19,12
2018-11-01,28.416666666666668,12
2018-12-01,19.083333333333332,12
2019-01-01,20.5,12
2019-02-01,17.166666666666668,12
2019-03-01,9.75,12
2019-04-01,3.9166666666666665,12
2019-05-01,3.0833333333333335,12
2019-06-01,3.4166666666666665,12
2019-07-01,8.833333333333334,12
2019-08-01,9.25,12
2019-09-01,18,12
2019-10-01,14.833333333333334,12
2019-11-01,29.416666666666668,12
2019-12-01,22.5,12
2020-01-01,22.666666666666668,12
2020-02-01,7.166666666666667,12
2020-03-01,2.4166666666666665,12
2020-04-01,4.666666666666667,12
2020-05-01,2,12
2020-06-01,4.25,12
2020-07-01,6,12
2020-08-01,9.166666666666666,12
2020-09-01,14.5,12
2020-10-01,11.833333333333334,12
2020-11-01,10.25,12
2020-12-01,7,12
2021-01-01,3.75,12
2021-02-01,0.8333333333333334,12
2021-03-01,3.3333333333333335,12
2021-04-01,0.6666666666666666,12
2021-05-01,1.75,12
2021-06-01,5.416666666666667,12
2021-07-01,10.833333333333334,12
2021-08-01,15.916666666666666,12
2021-09-01,18.75,12
2021-10-01,16.666666666666668,12
2021-11-01,17.25,12
2021-12-01,28.083333333333332,12
2022-01-01,22.5,12
