time,value,n
2007-01-07,0,1
2007-01-14,41,1
2007-01-21,0,1
2007-01-28,0,1
2007-02-04,0,1
2007-02-11,0,1
2007-02-18,43,1
2007-02-25,39,1
2007-03-04,0,1
2007-03-11,0,1
2007-03-18,0,1
2007-03-25,0,2
2007-04-01,0,2
2007-04-08,23,2
2007-04-15,0,2
2007-04-22,0,2
2007-04-29,0,2
2007-05-06,0,2
2007-05-13,0,2
2007-05-20,0,2
2007-05-27,37,2
2007-06-03,0,2
2007-06-10,0,3
2007-06-17,0,3
2007-06-24,0,3
2007-07-01,25,3
2007-07-08,0,3
2007-07-15,0,3
2007-07-22,0,3
2007-07-29,37,3
2007-08-05,37.666666666666664,3
2007-08-12,0,3
2007-08-19,48,3
2007-08-26,60.25,4
2007-09-02,24.75,4
2007-09-09,34.5,4
2007-09-16,0,4
2007-09-23,0,4
2007-09-30,32.25,4
2007-10-07,23.25,4
2007-10-14,31.75,4
2007-10-21,8.25,4
2007-10-28,7.75,4
2007-11-04,15.5,4
2007-11-11,52.6,5
2007-11-18,47.2,5
2007-11-25,23.4,5
2007-12-02,5.6,5
2007-12-09,35.2,5
2007-12-16,19.4,5
2007-12-23,17.8,5
2007-12-30,7.6,5
2008-01-06,33.6,5
2008-01-13,5.8,5
2008-01-20,5.8,5
2008-01-27,9,6
2008-02-03,18,6
2008-02-10,9.5,6
2008-02-17,0,6
2008-02-24,0,6
2008-03-02,12.5,6
2008-03-09,0,6
2008-03-16,0,6
2008-03-23,0,6
2008-03-30,0,6
2008-04-06,0,6
2008-04-13,15.285714285714286,7
2008-04-20,0,7
2008-04-27,0,7
2008-05-04,0,7
2008-05-11,0,7
2008-05-18,0,7
2008-05-25,0,7
2008-06-01,0,7
2008-06-08,4.142857142857143,7
2008-06-15,0,7
2008-06-22,0,7
2008-06-29,0,8
2008-07-06,22.625,8
2008-07-13,0,8
2008-07-20,22.75,8
2008-07-27,0,8
2008-08-03,0,8
2008-08-10,35,8
2008-08-17,52,8
2008-08-24,32.375,8
2008-08-31,14.375,8
2008-09-07,37,8
2008-09-14,14.555555555555555,9
2008-09-21,25,9
2008-09-28,28.11111111111111,9
2008-10-05,23.11111111111111,9
2008-10-12,37.666666666666664,9
2008-10-19,35.666666666666664,9
2008-10-26,20.88888888888889,9
2008-11-02,22,9
2008-11-09,97.66666666666667,9
2008-11-16,54.333333333333336,9
2008-11-23,18.77777777777778,9
2008-11-30,24.6,10
2008-12-07,12.3,10
2008-12-14,30.4,10
2008-12-21,60.3,10
2008-12-28,25.9,10
2009-01-04,17.8,10
2009-01-11,58.7,10
2009-01-18,15.7,10
2009-01-25,0,10
2009-02-01,18.6,10
2009-02-08,27.6,10
2009-02-15,17.545454545454547,11
2009-02-22,6.636363636363637,11
2009-03-01,0,11
2009-03-08,0,11
2009-03-15,12.181818181818182,11
2009-03-22,6.2727272727272725,11
2009-03-29,0,11
2009-04-05,0,11
2009-04-12,10.181818181818182,11
2009-04-19,0,11
2009-04-26,0,11
2009-05-03,0,12
2009-05-10,0,12
2009-05-17,0,12
2009-05-24,0,12
2009-05-31,0,12
2009-06-07,0,12
2009-06-14,0,12
2009-06-21,10.583333333333334,12
2009-06-28,0,12
2009-07-05,0,12
2009-07-12,12,12
2009-07-19,8.846153846153847,13
2009-07-26,0,13
2009-08-02,8,13
2009-08-09,0,13
2009-08-16,35.15384615384615,13
2009-08-23,8.846153846153847,13
2009-08-30,29.923076923076923,13
2009-09-06,5.538461538461538,13
2009-09-13,20.692307692307693,13
2009-09-20,0,13
2009-09-27,8.692307692307692,13
2009-10-04,51.857142857142854,14
2009-10-11,16.714285714285715,14
2009-10-18,17.857142857142858,14
2009-10-25,11.285714285714286,14
2009-11-01,27.857142857142858,14
2009-11-08,38,14
2009-11-15,34.642857142857146,14
2009-11-22,6.857142857142857,14
2009-11-29,14,14
2009-12-06,45.5,14
2009-12-13,33.285714285714285,14
2009-12-20,0,15
2009-12-27,0,15
2010-01-03,33.93333333333333,15
2010-01-10,0,15
2010-01-17,5.733333333333333,15
2010-01-24,34.53333333333333,15
2010-01-31,10.066666666666666,15
2010-02-07,9.733333333333333,15
2010-02-14,0,15
2010-02-21,0,15
2010-02-28,0,15
2010-03-07,3.25,16
2010-03-14,0,16
2010-03-21,0,16
2010-03-28,0,16
2010-04-04,0,16
2010-04-11,0,16
2010-04-18,0,16
2010-04-25,0,16
2010-05-02,9.75,16
2010-05-09,13.9375,16
2010-05-16,0,16
2010-05-23,0,17
2010-05-30,0,17
2010-06-06,0,17
2010-06-13,0,17
2010-06-20,0,17
2010-06-27,0,17
2010-07-04,0,17
2010-07-11,4.294117647058823,17
2010-07-18,0,17
2010-07-25,0,17
2010-08-01,6,17
2010-08-08,25.055555555555557,18
2010-08-15,23.333333333333332,18
2010-08-22,0,18
2010-08-29,28.055555555555557,18
2010-09-05,37.388888888888886,18
2010-09-12,11.777777777777779,18
2010-09-19,30.333333333333332,18
2010-09-26,60.72222222222222,18
2010-10-03,34.72222222222222,18
2010-10-10,16.61111111111111,18
2010-10-17,16.055555555555557,18
2010-10-24,29.736842105263158,19
2010-10-31,25.63157894736842,19
2010-11-07,39.8421052631579,19
2010-11-14,0,19
2010-11-21,22.526315789473685,19
2010-11-28,12.789473684210526,19
2010-12-05,21.157894736842106,19
2010-12-12,20.157894736842106,19
2010-12-19,0,19
2010-12-26,23.105263157894736,19
2011-01-02,32.78947368421053,19
2011-01-09,13.45,20
2011-01-16,8.4,20
2011-01-23,0,20
2011-01-30,19.75,20
2011-02-06,12.8,20
2011-02-13,15.35,20
2011-02-20,5.9,20
2011-02-27,7.05,20
2011-03-06,6.15,20
2011-03-13,0,20
2011-03-20,0,20
2011-03-27,0,21
2011-04-03,1.7619047619047619,21
2011-04-10,0,21
2011-04-17,9.714285714285714,21
2011-04-24,0,21
2011-05-01,0,21
2011-05-08,0,21
2011-05-15,14.285714285714286,21
2011-05-22,0,21
2011-05-29,6,21
2011-06-05,6.809523809523809,21
2011-06-12,6.818181818181818,22
2011-06-19,0,22
2011-06-26,0,22
2011-07-03,0,22
2011-07-10,21.318181818181817,22
2011-07-17,4.954545454545454,22
2011-07-24,18.772727272727273,22
2011-07-31,0,22
2011-08-07,0,22
2011-08-14,7.863636363636363,22
2011-08-21,0,22
2011-08-28,27.91304347826087,23
2011-09-04,0,23
2011-09-11,8.434782608695652,23
2011-09-18,37.43478260869565,23
2011-09-25,29.217391304347824,23
2011-10-02,19.52173913043478,23
2011-10-09,37.17391304347826,23
2011-10-16,13.869565217391305,23
2011-10-23,29.347826086956523,23
2011-10-30,35.65217391304348,23
2011-11-06,4.956521739130435,23
2011-11-13,26.416666666666668,24
2011-11-20,35.958333333333336,24
2011-11-27,26.208333333333332,24
2011-12-04,43.833333333333336,24
2011-12-11,27.25,24
2011-12-18,13.25,24
2011-12-25,33.791666666666664,24
2012-01-01,13.583333333333334,24
2012-01-08,41.869565217391305,23
2012-01-15,26.956521739130434,23
2012-01-22,18.52173913043478,23
2012-01-29,13.041666666666666,24
2012-02-05,23.5,24
2012-02-12,10.75,24
2012-02-19,10.333333333333334,24
2012-02-26,5.5,24
2012-03-04,4.083333333333333,24
2012-03-11,3.7916666666666665,24
2012-03-18,7.416666666666667,24
2012-03-25,5.043478260869565,23
2012-04-01,0,23
2012-04-08,11.869565217391305,23
2012-04-15,0,24
2012-04-22,8.708333333333334,24
2012-04-29,0,24
2012-05-06,0,24
2012-05-13,0,24
2012-05-20,0,24
2012-05-27,0,24
2012-06-03,0,24
2012-06-10,15.391304347826088,23
2012-06-17,7.217391304347826,23
2012-06-24,0,23
2012-07-01,7.916666666666667,24
2012-07-08,8.791666666666666,24
2012-07-15,28.583333333333332,24
2012-07-22,13.5,24
2012-07-29,24.25,24
2012-08-05,8.291666666666666,24
2012-08-12,41.458333333333336,24
2012-08-19,21.791666666666668,24
2012-08-26,2.217391304347826,23
2012-09-02,14.08695652173913,23
2012-09-09,20.217391304347824,23
2012-09-16,10.125,24
2012-09-23,28.083333333333332,24
2012-09-30,21.166666666666668,24
2012-10-07,19.458333333333332,24
2012-10-14,32.958333333333336,24
2012-10-21,32.833333333333336,24
2012-10-28,20.041666666666668,24
2012-11-04,27.333333333333332,24
2012-11-11,33.17391304347826,23
2012-11-18,3.652173913043478,23
2012-11-25,26.217391304347824,23
2012-12-02,18.041666666666668,24
2012-12-09,23.208333333333332,24
2012-12-16,31.125,24
2012-12-23,33.791666666666664,24
2012-12-30,11.791666666666666,24
2013-01-06,7.083333333333333,24
2013-01-13,4.25,24
2013-01-20,24.583333333333332,24
2013-01-27,11.826086956521738,23
2013-02-03,5.434782608695652,23
2013-02-10,19,23
2013-02-17,3.9583333333333335,24
2013-02-24,0,24
2013-03-03,15,24
2013-03-10,3.75,24
2013-03-17,0,24
2013-03-24,0,24
2013-03-31,6.416666666666667,24
2013-04-07,0,24
2013-04-14,4.217391304347826,23
2013-04-21,7.217391304347826,23
2013-04-28,14.826086956521738,23
2013-05-05,0,24
2013-05-12,16.875,24
2013-05-19,5.416666666666667,24
2013-05-26,0,24
2013-06-02,9.041666666666666,24
2013-06-09,0,24
2013-06-16,0,24
2013-06-23,0,24
2013-06-30,21.08695652173913,23
2013-07-07,3.9130434782608696,23
2013-07-14,0,23
2013-07-21,15.833333333333334,24
2013-07-28,0,24
2013-08-04,0,24
2013-08-11,24.291666666666668,24
2013-08-18,20.541666666666668,24
2013-08-25,20,24
2013-09-01,14.083333333333334,24
2013-09-08,35.666666666666664,24
2013-09-15,19.130434782608695,23
2013-09-22,37.65217391304348,23
2013-09-29,23.82608695652174,23
2013-10-06,31.125,24
2013-10-13,25.875,24
2013-10-20,0,24
2013-10-27,34.875,24
2013-11-03,27.375,24
2013-11-10,31.416666666666668,24
2013-11-17,24,24
2013-11-24,19.791666666666668,24
2013-12-01,34.78260869565217,23
2013-12-08,19.043478260869566,23
2013-12-15,22,23
2013-12-22,38.125,24
2013-12-29,35.333333333333336,24
2014-01-05,50.833333333333336,24
2014-01-12,23.291666666666668,24
2014-01-19,17.708333333333332,24
2014-01-26,0,24
2014-02-02,6.791666666666667,24
2014-02-09,12.958333333333334,24
2014-02-16,5.782608695652174,23
2014-02-23,0,23
2014-03-02,15.695652173913043,23
2014-03-09,4.083333333333333,24
2014-03-16,0,24
2014-03-23,0,24
2014-03-30,0,24
2014-04-06,0,24
2014-04-13,0,24
2014-04-20,0,24
2014-04-27,0,24
2014-05-04,0,23
2014-05-11,0,23
2014-05-18,0,23
2014-05-25,0,24
2014-06-01,0,24
2014-06-08,10.333333333333334,24
2014-06-15,0,24
2014-06-22,17.041666666666668,24
2014-06-29,0,24
2014-07-06,31.916666666666668,24
2014-07-13,15.25,24
2014-07-20,20,23
2014-07-27,10.826086956521738,23
2014-08-03,8.173913043478262,23
2014-08-10,25.208333333333332,24
2014-08-17,27.416666666666668,24
2014-08-24,26.041666666666668,24
2014-08-31,34.166666666666664,24
2014-09-07,31.791666666666668,24
2014-09-14,10.958333333333334,24
2014-09-21,33.333333333333336,24
2014-09-28,6.583333333333333,24
2014-10-05,20.434782608695652,23
2014-10-12,31.52173913043478,23
2014-10-19,11.173913043478262,23
2014-10-26,39.125,24
2014-11-02,22.166666666666668,24
2014-11-09,38.916666666666664,24
2014-11-16,34.583333333333336,24
2014-11-23,31.041666666666668,24
2014-11-30,32.125,24
2014-12-07,14.833333333333334,24
2014-12-14,19.416666666666668,24
2014-12-21,53.56521739130435,23
2014-12-28,36.56521739130435,23
2015-01-04,18.26086956521739,23
2015-01-11,28.5,24
2015-01-18,29.666666666666668,24
2015-01-25,9.708333333333334,24
2015-02-01,19.041666666666668,24
2015-02-08,21.25,24
2015-02-15,0,24
2015-02-22,6.416666666666667,24
2015-03-01,5.875,24
2015-03-08,27.82608695652174,23
2015-03-15,0,23
2015-03-22,3.652173913043478,23
2015-03-29,0,24
2015-04-05,0,24
2015-04-12,0,24
2015-04-19,6.291666666666667,24
2015-04-26,16.083333333333332,24
2015-05-03,0,24
2015-05-10,11.75,24
2015-05-17,0,24
2015-05-24,0,23
2015-05-31,0,23
2015-06-07,0,23
2015-06-14,0,24
2015-06-21,6.958333333333333,24
2015-06-28,10.833333333333334,24
2015-07-05,8.291666666666666,24
2015-07-12,0,24
2015-07-19,17.375,24
2015-07-26,25.916666666666668,24
2015-08-02,0,24
2015-08-09,24.608695652173914,23
2015-08-16,23.956521739130434,23
2015-08-23,22.782608695652176,23
2015-08-30,23.416666666666668,24
2015-09-06,21.75,24
2015-09-13,29.041666666666668,24
2015-09-20,42.916666666666664,24
2015-09-27,38.041666666666664,24
2015-10-04,36.833333333333336,24
2015-10-11,14.375,24
2015-10-18,22.333333333333332,24
2015-10-25,47.91304347826087,23
2015-11-01,48.69565217391305,23
2015-11-08,31.130434782608695,23
2015-11-15,28.125,24
2015-11-22,38.125,24
2015-11-29,32.791666666666664,24
2015-12-06,19.125,24
2015-12-13,21.291666666666668,24
2015-12-20,14.875,24
2015-12-27,7.166666666666667,24
2016-01-03,45.791666666666664,24
2016-01-10,14.956521739130435,23
2016-01-17,26.08695652173913,23
2016-01-24,21.782608695652176,23
2016-01-31,20.833333333333332,24
2016-02-07,25.791666666666668,24
2016-02-14,14.666666666666666,24
2016-02-21,14.708333333333334,24
2016-02-28,13.958333333333334,24
2016-03-06,6.208333333333333,24
2016-03-13,12.916666666666666,24
2016-03-20,6.791666666666667,24
2016-03-27,7.3478260869565215,23
2016-04-03,0,23
2016-04-10,0,23
2016-04-17,5.708333333333333,24
2016-04-24,15.833333333333334,24
2016-05-01,0,24
2016-05-08,24.958333333333332,24
2016-05-15,0,24
2016-05-22,4.458333333333333,24
2016-05-29,0,24
2016-06-05,0,24
2016-06-12,0,23
2016-06-19,0,23
2016-06-26,6.913043478260869,23
2016-07-03,9.791666666666666,24
2016-07-10,22.125,24
2016-07-17,0,24
2016-07-24,5.208333333333333,24
2016-07-31,0,24
2016-08-07,6.833333333333333,24
2016-08-14,21.125,24
2016-08-21,8.708333333333334,24
2016-08-28,11.782608695652174,23
2016-09-04,41.608695652173914,23
2016-09-11,51.130434782608695,23
2016-09-18,20.416666666666668,24
2016-09-25,57.25,24
2016-10-02,42.458333333333336,24
2016-10-09,6.958333333333333,24
2016-10-16,12.458333333333334,24
2016-10-23,17.5,24
2016-10-30,39.541666666666664,24
