time,value,n
2006-01-01,1.9583333333333328,24
2006-02-01,0.375,48
2006-03-01,2.1458333333333335,48
2006-04-01,0.7291666666666666,48
2006-05-01,3.3333333333333335,48
2006-06-01,2.9791666666666665,48
2006-07-01,0,48
2006-08-01,0,48
2006-09-01,0,48
2006-10-01,1.6875,48
2006-11-01,0.8125,48
2006-12-01,1.333333333333333,48
2007-01-01,0.6545454545454545,55
2007-02-01,0.5161290322580645,62
2007-03-01,2.0634920634920637,63
2007-04-01,5.21875,64
2007-05-01,4.846153846153845,65
2007-06-01,1.3939393939393943,66
2007-07-01,0,67
2007-08-01,2.0294117647058822,68
2007-09-01,0,69
2007-10-01,1.4285714285714286,70
2007-11-01,0.7183098591549296,71
2007-12-01,4.500000000000001,72
2008-01-01,1.6250000000000002,72
2008-02-01,1.9583333333333333,72
2008-03-01,3.444444444444444,72
2008-04-01,1.3611111111111114,72
2008-05-01,3.4444444444444446,72
2008-06-01,0.3333333333333334,72
2008-07-01,3.1944444444444433,72
2008-08-01,1.694444444444444,72
2008-09-01,6.555555555555554,72
2008-10-01,51.02777777777777,72
2008-11-01,44.416666666666664,72
2008-12-01,53.76388888888889,72
2009-01-01,56.25,72
2009-02-01,67.48611111111109,72
2009-03-01,99.20833333333326,72
2009-04-01,67.69444444444444,72
2009-05-01,69.33333333333333,72
2009-06-01,47.84722222222222,72
2009-07-01,32.81944444444446,72
2009-08-01,16.013888888888896,72
2009-09-01,34.8888888888889,72
2009-10-01,35.402777777777786,72
2009-11-01,34.5,72
2009-12-01,28.97222222222222,72
2010-01-01,19.194444444444443,72
2010-02-01,19.430555555555557,72
2010-03-01,18.777777777777782,72
2010-04-01,29.97222222222222,72
2010-05-01,28.305555555555564,72
2010-06-01,22.444444444444446,72
2010-07-01,9.152777777777777,72
2010-08-01,7.708333333333333,72
2010-09-01,13.611111111111112,72
2010-10-01,17.09722222222222,72
2010-11-01,11.52777777777778,72
2010-12-01,13.88888888888889,72
2011-01-01,11.88888888888889,72
2011-02-01,10.013888888888893,72
2011-03-01,10.750000000000002,72
2011-04-01,8.138888888888893,72
2011-05-01,9.416666666666668,72
2011-06-01,10.694444444444446,72
2011-07-01,7.25,72
2011-08-01,13.27777777777778,72
2011-09-01,16.666666666666668,72
2011-10-01,22.958333333333332,72
2011-11-01,20.777777777777786,72
2011-12-01,16.01388888888889,72
2012-01-01,15.930555555555559,72
2012-02-01,11.500000000000004,72
2012-03-01,8,72
2012-04-01,12.138888888888888,72
2012-05-01,11.652777777777775,72
2012-06-01,9.791666666666666,72
2012-07-01,8.375,72
2012-08-01,5.4722222222222205,72
2012-09-01,7.736111111111111,72
2012-10-01,9.152777777777775,72
2012-11-01,13.125000000000002,72
2012-12-01,8.638888888888886,72
2013-01-01,6.597222222222222,72
2013-02-01,2.6111111111111116,72
2013-03-01,5.222222222222222,72
2013-04-01,6.833333333333333,72
2013-05-01,5.875,72
2013-06-01,6.805555555555555,72
2013-07-01,3.1388888888888884,72
2013-08-01,7.097222222222223,72
2013-09-01,5.625000000000002,72
2013-10-01,6.875,72
2013-11-01,7.916666666666667,72
2013-12-01,7.041666666666668,72
2014-01-01,6.972222222222223,72
2014-02-01,4.666666666666667,72
2014-03-01,5.888888888888889,72
2014-04-01,7.222222222222222,72
2014-05-01,4.75,72
2014-06-01,4.791666666666667,72
2014-07-01,2.986111111111111,72
2014-08-01,3.277777777777778,72
2014-09-01,6.527777777777778,72
2014-10-01,5.902777777777778,72
2014-11-01,7.013888888888889,72
2014-12-01,6.097222222222222,72
2015-01-01,6.902777777777778,72
2015-02-01,6.319444444444445,72
2015-03-01,5.888888888888889,72
2015-04-01,6.972222222222221,72
2015-05-01,4.444444444444446,72
2015-06-01,7.013888888888889,72
2015-07-01,3.9861111111111094,72
2015-08-01,3.125,72
2015-09-01,3.611111111111111,72
2015-10-01,5.402777777777778,72
2015-11-01,3.4305555555555554,72
2015-12-01,3.3333333333333335,72
2016-01-01,5.069444444444445,72
2016-02-01,5.430555555555555,72
2016-03-01,4.041666666666667,72
2016-04-01,4.263888888888889,72
2016-05-01,3.8194444444444446,72
2016-06-01,2.2361111111111107,72
2016-07-01,1.8333333333333341,72
2016-08-01,2.9027777777777772,72
2016-09-01,3.0138888888888884,72
2016-10-01,4.041666666666667,72
2016-11-01,5.708333333333333,72
2016-12-01,3,72
2017-01-01,5.736111111111111,72
2017-02-01,3.6527777777777777,72
2017-03-01,3.138888888888889,72
2017-04-01,2.9305555555555554,72
2017-05-01,3.0277777777777777,72
2017-06-01,1.263888888888889,72
2017-07-01,2.6250000000000004,72
2017-08-01,3.625,72
2017-09-01,1.7361111111111107,72
2017-10-01,2.7361111111111103,72
2017-11-01,3.972222222222223,72
2017-12-01,3.7916666666666665,72
2018-01-01,3.902777777777777,72
2018-02-01,2.958333333333334,72
2018-03-01,1.9583333333333326,72
2018-04-01,2.0277777777777777,72
2018-05-01,2.333333333333334,72
2018-06-01,3.611111111111111,72
2018-07-01,2.666666666666667,72
2018-08-01,2.208333333333333,72
2018-09-01,2.847222222222222,72
2018-10-01,4.805555555555555,72
2018-11-01,3.9583333333333335,72
2018-12-01,3.6944444444444446,72
2019-01-01,6.722222222222222,72
2019-02-01,2.2222222222222214,72
2019-03-01,4.833333333333333,72
2019-04-01,3.6944444444444446,72
2019-05-01,3.611111111111111,72
2019-06-01,2.6388888888888893,72
2019-07-01,2.041666666666666,72
2019-08-01,2.8472222222222223,72
2019-09-01,4.277777777777778,72
2019-10-01,5.375,72
2019-11-01,6.444444444444445,72
2019-12-01,5.027777777777778,72
2020-01-01,3.930555555555555,72
2020-02-01,6.638888888888889,72
2020-03-01,38.16666666666667,72
2020-04-01,22.625000000000004,72
2020-05-01,12.958333333333332,72
2020-06-01,9.416666666666666,72
2020-07-01,4.347222222222221,72
2020-08-01,4.958333333333333,72
2020-09-01,6.986111111111111,72
2020-10-01,6,72
2020-11-01,8.111111111111112,72
2020-12-01,5.611111111111111,72
2021-01-01,8.569444444444443,72
2021-02-01,4.194444444444443,72
2021-03-01,3.708333333333335,72
2021-04-01,3.874999999999999,72
2021-05-01,3.055555555555556,72
