time,value,n
2007-01-07,67,1
2007-01-14,0,1
2007-01-21,66,1
2007-01-28,100,1
2007-02-04,0,1
2007-02-11,34,1
2007-02-18,0,1
2007-02-25,32,1
2007-03-04,64,1
2007-03-11,34,1
2007-03-18,0,1
2007-03-25,46.5,2
2007-04-01,18.5,2
2007-04-08,15,2
2007-04-15,40.5,2
2007-04-22,13.5,2
2007-04-29,0,2
2007-05-06,12,2
2007-05-13,0,2
2007-05-20,0,2
2007-05-27,0,2
2007-06-03,42.5,2
2007-06-10,46.666666666666664,3
2007-06-17,65.66666666666667,3
2007-06-24,8.333333333333334,3
2007-07-01,0,3
2007-07-08,9,3
2007-07-15,70,3
2007-07-22,0,3
2007-07-29,20.333333333333332,3
2007-08-05,28.666666666666668,3
2007-08-12,12,3
2007-08-19,0,3
2007-08-26,21.25,4
2007-09-02,5.75,4
2007-09-09,27.5,4
2007-09-16,7.25,4
2007-09-23,27.5,4
2007-09-30,37.5,4
2007-10-07,51,4
2007-10-14,13.5,4
2007-10-21,30.75,4
2007-10-28,39.5,4
2007-11-04,23,4
2007-11-11,37.2,5
2007-11-18,35.2,5
2007-11-25,52.8,5
2007-12-02,13.6,5
2007-12-09,13.8,5
2007-12-16,19.8,5
2007-12-23,0,5
2007-12-30,22.6,5
2008-01-06,17.6,5
2008-01-13,43.8,5
2008-01-20,0,5
2008-01-27,11.666666666666666,6
2008-02-03,57.333333333333336,6
2008-02-10,23.166666666666668,6
2008-02-17,10.666666666666666,6
2008-02-24,33.833333333333336,6
2008-03-02,24.333333333333332,6
2008-03-09,3.1666666666666665,6
2008-03-16,0,6
2008-03-23,14.666666666666666,6
2008-03-30,4,6
2008-04-06,51.166666666666664,6
2008-04-13,40.57142857142857,7
2008-04-20,26.285714285714285,7
2008-04-27,10.571428571428571,7
2008-05-04,35.57142857142857,7
2008-05-11,26.285714285714285,7
2008-05-18,38.57142857142857,7
2008-05-25,19.142857142857142,7
2008-06-01,20.571428571428573,7
2008-06-08,22.571428571428573,7
2008-06-15,25.714285714285715,7
2008-06-22,15.857142857142858,7
2008-06-29,9.5,8
2008-07-06,15.25,8
2008-07-13,8.625,8
2008-07-20,29,8
2008-07-27,25.25,8
2008-08-03,9.25,8
2008-08-10,0,8
2008-08-17,29.625,8
2008-08-24,14.125,8
2008-08-31,39,8
2008-09-07,8,8
2008-09-14,6.666666666666667,9
2008-09-21,6.666666666666667,9
2008-09-28,13.555555555555555,9
2008-10-05,16.11111111111111,9
2008-10-12,6.222222222222222,9
2008-10-19,6.888888888888889,9
2008-10-26,7.555555555555555,9
2008-11-02,29.22222222222222,9
2008-11-09,25.22222222222222,9
2008-11-16,18.444444444444443,9
2008-11-23,21.555555555555557,9
2008-11-30,43.8,10
2008-12-07,15.9,10
2008-12-14,33.3,10
2008-12-21,15.1,10
2008-12-28,7.8,10
2009-01-04,33.7,10
2009-01-11,46.9,10
2009-01-18,11.1,10
2009-01-25,19.9,10
2009-02-01,41.6,10
2009-02-08,48.5,10
2009-02-15,14.545454545454543,11
2009-02-22,21.454545454545453,11
2009-03-01,46.72727272727273,11
2009-03-08,15.272727272727273,11
2009-03-15,9.545454545454543,11
2009-03-22,11.545454545454543,11
2009-03-29,52.36363636363637,11
2009-04-05,20.636363636363637,11
2009-04-12,21.454545454545453,11
2009-04-19,17.636363636363637,11
2009-04-26,37.18181818181818,11
2009-05-03,40.5,12
2009-05-10,28.416666666666668,12
2009-05-17,40.583333333333336,12
2009-05-24,20.916666666666668,12
2009-05-31,33.25,12
2009-06-07,12.75,12
2009-06-14,55.75,12
2009-06-21,21.666666666666668,12
2009-06-28,42.416666666666664,12
2009-07-05,30.083333333333332,12
2009-07-12,34.75,12
2009-07-19,35,13
2009-07-26,13,13
2009-08-02,20.153846153846153,13
2009-08-09,4.461538461538462,13
2009-08-16,12.153846153846152,13
2009-08-23,22.307692307692307,13
2009-08-30,9.615384615384617,13
2009-09-06,34.38461538461539,13
2009-09-13,35.07692307692308,13
2009-09-20,12.923076923076923,13
2009-09-27,21.692307692307693,13
2009-10-04,48.857142857142854,14
2009-10-11,31.142857142857142,14
2009-10-18,47.357142857142854,14
2009-10-25,6.714285714285714,14
2009-11-01,9.214285714285714,14
2009-11-08,42.642857142857146,14
2009-11-15,11.642857142857142,14
2009-11-22,44.07142857142857,14
2009-11-29,41.214285714285715,14
2009-12-06,43.785714285714285,14
2009-12-13,22.071428571428573,14
2009-12-20,32.266666666666666,15
2009-12-27,32.13333333333333,15
2010-01-03,19.6,15
2010-01-10,18.733333333333334,15
2010-01-17,55.4,15
2010-01-24,21.466666666666665,15
2010-01-31,42.666666666666664,15
2010-02-07,22.066666666666663,15
2010-02-14,16,15
2010-02-21,19.066666666666663,15
2010-02-28,34.86666666666667,15
2010-03-07,20.5,16
2010-03-14,19.375,16
2010-03-21,25.75,16
2010-03-28,17.9375,16
2010-04-04,7.9375,16
2010-04-11,27.25,16
2010-04-18,36.4375,16
2010-04-25,31.5625,16
2010-05-02,57.375,16
2010-05-09,8.1875,16
2010-05-16,27.5625,16
2010-05-23,10.294117647058824,17
2010-05-30,22.294117647058822,17
2010-06-06,19.058823529411764,17
2010-06-13,55.8235294117647,17
2010-06-20,11.764705882352942,17
2010-06-27,23.294117647058822,17
2010-07-04,15.058823529411764,17
2010-07-11,31.76470588235295,17
2010-07-18,21.352941176470587,17
2010-07-25,28.529411764705884,17
2010-08-01,41.705882352941174,17
2010-08-08,0,18
2010-08-15,0,18
2010-08-22,13.444444444444445,18
2010-08-29,39.44444444444444,18
2010-09-05,33.888888888888886,18
2010-09-12,7.833333333333333,18
2010-09-19,23.22222222222222,18
2010-09-26,23.333333333333332,18
2010-10-03,17.88888888888889,18
2010-10-10,46,18
2010-10-17,23.72222222222222,18
2010-10-24,46.78947368421053,19
2010-10-31,40.10526315789474,19
2010-11-07,25.789473684210527,19
2010-11-14,35.31578947368421,19
2010-11-21,17.36842105263158,19
2010-11-28,39,19
2010-12-05,31,19
2010-12-12,35.63157894736842,19
2010-12-19,3,19
2010-12-26,31.526315789473685,19
2011-01-02,22.26315789473684,19
2011-01-09,12.85,20
2011-01-16,25.35,20
2011-01-23,34.65,20
2011-01-30,42.05,20
2011-02-06,29.65,20
2011-02-13,46.2,20
2011-02-20,29.6,20
2011-02-27,31.55,20
2011-03-06,39.5,20
2011-03-13,15.8,20
2011-03-20,30.3,20
2011-03-27,29.952380952380953,21
2011-04-03,36.95238095238095,21
2011-04-10,18.285714285714285,21
2011-04-17,22.047619047619047,21
2011-04-24,23.142857142857142,21
2011-05-01,28.714285714285715,21
2011-05-08,23.952380952380953,21
2011-05-15,29.952380952380953,21
2011-05-22,25.80952380952381,21
2011-05-29,26.19047619047619,21
2011-06-05,7.190476190476191,21
2011-06-12,8.136363636363637,22
2011-06-19,15.136363636363637,22
2011-06-26,18.09090909090909,22
2011-07-03,11.136363636363637,22
2011-07-10,27.636363636363637,22
2011-07-17,27.454545454545453,22
2011-07-24,12.772727272727273,22
2011-07-31,34.54545454545455,22
2011-08-07,31.636363636363637,22
2011-08-14,25.318181818181817,22
2011-08-21,31.59090909090909,22
2011-08-28,51.65217391304348,23
2011-09-04,34,23
2011-09-11,24.608695652173907,23
2011-09-18,32,23
2011-09-25,20.47826086956522,23
2011-10-02,7.826086956521739,23
2011-10-09,27.26086956521739,23
2011-10-16,36.04347826086956,23
2011-10-23,24.47826086956522,23
2011-10-30,36.52173913043478,23
2011-11-06,16.91304347826087,23
2011-11-13,11.5,24
2011-11-20,19.708333333333332,24
2011-11-27,25.583333333333332,24
2011-12-04,32.541666666666664,24
2011-12-11,25.583333333333332,24
2011-12-18,40,24
2011-12-25,43.916666666666664,24
2012-01-01,22.166666666666668,24
2012-01-08,42.43478260869565,23
2012-01-15,25.82608695652174,23
2012-01-22,27.565217391304348,23
2012-01-29,20.708333333333332,24
2012-02-05,20.833333333333332,24
2012-02-12,46.291666666666664,24
2012-02-19,29.083333333333332,24
2012-02-26,31.208333333333332,24
2012-03-04,27.208333333333332,24
2012-03-11,20,24
2012-03-18,27.75,24
2012-03-25,30.391304347826093,23
2012-04-01,30.956521739130434,23
2012-04-08,0,23
2012-04-15,24.958333333333332,24
2012-04-22,7.041666666666667,24
2012-04-29,53.208333333333336,24
2012-05-06,41.166666666666664,24
2012-05-13,17.166666666666668,24
2012-05-20,25.166666666666668,24
2012-05-27,18.291666666666668,24
2012-06-03,35.541666666666664,24
2012-06-10,38.43478260869565,23
2012-06-17,34.56521739130435,23
2012-06-24,31.26086956521739,23
2012-07-01,64.95833333333333,24
2012-07-08,56.833333333333336,24
2012-07-15,27.208333333333332,24
2012-07-22,34.291666666666664,24
2012-07-29,29.708333333333332,24
2012-08-05,26.166666666666668,24
2012-08-12,36.208333333333336,24
2012-08-19,28.875,24
