time,value,n
2007-01-01,99,1
2007-01-02,0,1
2007-01-03,62,1
2007-01-04,0,1
2007-01-05,0,1
2007-01-06,0,1
2007-01-07,75,1
2007-01-08,0,1
2007-01-09,0,1
2007-01-10,0,1
2007-01-11,0,1
2007-01-12,0,1
2007-01-13,0,1
2007-01-14,0,1
2007-01-15,99,1
2007-01-16,25.5,2
2007-01-17,23,2
2007-01-18,0,2
2007-01-19,0,2
2007-01-20,36,2
2007-01-21,0,2
2007-01-22,21.5,2
2007-01-23,22.5,2
2007-01-24,0,2
2007-01-25,47,2
2007-01-26,0,2
2007-01-27,0,2
2007-01-28,0,2
2007-01-29,21.5,2
2007-01-30,0,2
2007-01-31,17.333333333333332,3
2007-02-01,0,3
2007-02-02,20,3
2007-02-03,56.666666666666664,3
2007-02-04,0,3
2007-02-05,17,3
2007-02-06,32.333333333333336,3
2007-02-07,34.333333333333336,3
2007-02-08,0,3
2007-02-09,0,3
2007-02-10,0,3
2007-02-11,51.333333333333336,3
2007-02-12,50.333333333333336,3
2007-02-13,0,3
2007-02-14,0,3
2007-02-15,27.5,4
2007-02-16,0,4
2007-02-17,87.75,4
2007-02-18,0,4
2007-02-19,0,4
2007-02-20,0,4
2007-02-21,11.75,4
2007-02-22,39.5,4
2007-02-23,15.5,4
2007-02-24,20.25,4
2007-02-25,18.25,4
2007-02-26,23.75,4
2007-02-27,37.5,4
2007-02-28,0,4
2007-03-01,24.25,4
2007-03-02,43,5
2007-03-03,0,5
2007-03-04,27.4,5
2007-03-05,10,5
2007-03-06,29.6,5
2007-03-07,0,5
2007-03-08,15,5
2007-03-09,18.6,5
2007-03-10,0,5
2007-03-11,13.2,5
2007-03-12,19,5
2007-03-13,28,5
2007-03-14,31.8,5
2007-03-15,0,5
2007-03-16,0,5
2007-03-17,0,6
2007-03-18,0,6
2007-03-19,0,6
2007-03-20,0,6
2007-03-21,0,6
2007-03-22,0,6
2007-03-23,0,6
2007-03-24,25.666666666666668,6
2007-03-25,0,6
2007-03-26,0,6
2007-03-27,19.166666666666668,6
2007-03-28,17.5,6
2007-03-29,14.5,6
2007-03-30,0,6
2007-03-31,0,6
2007-04-01,0,7
2007-04-02,0,7
2007-04-03,0,7
2007-04-04,0,7
2007-04-05,32.285714285714285,7
2007-04-06,0,7
2007-04-07,0,7
2007-04-08,30.285714285714285,7
2007-04-09,0,7
2007-04-10,39.285714285714285,7
2007-04-11,30.571428571428573,7
2007-04-12,22.142857142857142,7
2007-04-13,0,7
2007-04-14,13.428571428571429,7
2007-04-15,0,7
2007-04-16,6.25,8
2007-04-17,16.875,8
2007-04-18,0,8
2007-04-19,28.25,8
2007-04-20,7.5,8
2007-04-21,0,8
2007-04-22,0,8
2007-04-23,0,8
2007-04-24,0,8
2007-04-25,0,8
2007-04-26,0,8
2007-04-27,7.875,8
2007-04-28,0,8
2007-04-29,44.5,8
2007-04-30,0,8
2007-05-01,22.444444444444443,9
2007-05-02,3.5555555555555554,9
2007-05-03,0,9
2007-05-04,0,9
2007-05-05,16.333333333333332,9
2007-05-06,0,9
2007-05-07,8.88888888888889,9
2007-05-08,21.333333333333332,9
2007-05-09,8.333333333333334,9
2007-05-10,0,9
2007-05-11,0,9
2007-05-12,0,9
2007-05-13,0,9
2007-05-14,18.555555555555557,9
2007-05-15,0,9
2007-05-16,0,10
2007-05-17,25.3,10
2007-05-18,0,10
2007-05-19,0,10
2007-05-20,0,10
2007-05-21,0,10
2007-05-22,0,10
2007-05-23,0,10
2007-05-24,0,10
2007-05-25,0,10
2007-05-26,42.1,10
2007-05-27,0,10
2007-05-28,11.3,10
2007-05-29,0,10
2007-05-30,13.6,10
2007-05-31,0,11
2007-06-01,0,11
2007-06-02,35,11
2007-06-03,0,11
2007-06-04,4.7272727272727275,11
2007-06-05,0,11
2007-06-06,13.272727272727273,11
2007-06-07,0,11
2007-06-08,19.454545454545453,11
2007-06-09,5.090909090909091,11
2007-06-10,0,11
2007-06-11,11.636363636363637,11
2007-06-12,0,11
2007-06-13,0,11
2007-06-14,11.545454545454543,11
2007-06-15,29.083333333333332,12
2007-06-16,0,12
2007-06-17,0,12
2007-06-18,0,12
2007-06-19,14,12
2007-06-20,0,12
2007-06-21,0,12
2007-06-22,0,12
2007-06-23,43.666666666666664,12
2007-06-24,0,12
2007-06-25,6.916666666666667,12
2007-06-26,0,12
2007-06-27,0,12
2007-06-28,14.666666666666666,12
2007-06-29,0,12
2007-06-30,0,13
2007-07-01,0,13
