time,value,n
2007-01-07,8,1
2007-01-14,24,1
2007-01-21,8,1
2007-01-28,8,1
2007-02-04,34,1
2007-02-11,43,1
2007-02-18,17,1
2007-02-25,16,1
2007-03-04,16,1
2007-03-11,17,1
2007-03-18,8,1
2007-03-25,16.5,2
2007-04-01,0,2
2007-04-08,33.5,2
2007-04-15,8.5,2
2007-04-22,8.5,2
2007-04-29,30.5,2
2007-05-06,4,2
2007-05-13,16.5,2
2007-05-20,4,2
2007-05-27,4,2
2007-06-03,29,2
2007-06-10,11.333333333333334,3
2007-06-17,8,3
2007-06-24,9,3
2007-07-01,0,3
2007-07-08,26,3
2007-07-15,3.3333333333333335,3
2007-07-22,9.666666666666666,3
2007-07-29,16.333333333333332,3
2007-08-05,9,3
2007-08-12,11.666666666666666,3
2007-08-19,15.333333333333334,3
2007-08-26,14.5,4
2007-09-02,36.5,4
2007-09-09,22.5,4
2007-09-16,22,4
2007-09-23,21.75,4
2007-09-30,20.5,4
2007-10-07,10,4
2007-10-14,29.25,4
2007-10-21,15.25,4
2007-10-28,21,4
2007-11-04,24.75,4
2007-11-11,16.6,5
2007-11-18,52.6,5
2007-11-25,9.6,5
2007-12-02,19.2,5
2007-12-09,30.2,5
2007-12-16,19,5
2007-12-23,30,5
2007-12-30,20.6,5
2008-01-06,36.2,5
2008-01-13,25.2,5
2008-01-20,30.2,5
2008-01-27,30,6
2008-02-03,12.166666666666666,6
2008-02-10,19.5,6
2008-02-17,20,6
2008-02-24,13.166666666666666,6
2008-03-02,12.166666666666666,6
2008-03-09,18.666666666666668,6
2008-03-16,22.5,6
2008-03-23,29.833333333333332,6
2008-03-30,22.166666666666668,6
2008-04-06,10.5,6
2008-04-13,11,7
2008-04-20,7,7
2008-04-27,20.142857142857142,7
2008-05-04,11.857142857142858,7
2008-05-11,12,7
2008-05-18,16.285714285714285,7
2008-05-25,20,7
2008-06-01,12.571428571428571,7
2008-06-08,9.428571428571429,7
2008-06-15,2.857142857142857,7
2008-06-22,22.571428571428573,7
2008-06-29,7.75,8
2008-07-06,12.125,8
2008-07-13,17.75,8
2008-07-20,8.5,8
2008-07-27,13.875,8
2008-08-03,4.75,8
2008-08-10,0.875,8
2008-08-17,6.375,8
2008-08-24,7,8
