time,value,n
2007-01-01,0,1
2007-01-02,0,1
2007-01-03,0,1
2007-01-04,0,1
2007-01-05,0,1
2007-01-06,41,1
2007-01-07,37,1
2007-01-08,0,1
2007-01-09,25,1
2007-01-10,0,1
2007-01-11,52,1
2007-01-12,0,1
2007-01-13,0,1
2007-01-14,0,1
2007-01-15,24,1
2007-01-16,0,2
2007-01-17,25.5,2
2007-01-18,0,2
2007-01-19,0,2
2007-01-20,0,2
2007-01-21,0,2
2007-01-22,0,2
2007-01-23,0,2
2007-01-24,0,2
2007-01-25,0,2
2007-01-26,20.5,2
2007-01-27,0,2
2007-01-28,0,2
2007-01-29,11.5,2
2007-01-30,0,2
2007-01-31,43,3
2007-02-01,28.666666666666668,3
2007-02-02,9.666666666666666,3
2007-02-03,0,3
2007-02-04,0,3
2007-02-05,0,3
2007-02-06,0,3
2007-02-07,23.666666666666668,3
2007-02-08,0,3
2007-02-09,0,3
2007-02-10,0,3
2007-02-11,0,3
2007-02-12,41.333333333333336,3
2007-02-13,20,3
2007-02-14,0,3
2007-02-15,22.5,4
2007-02-16,17.25,4
2007-02-17,35.75,4
2007-02-18,48,4
2007-02-19,0,4
2007-02-20,0,4
2007-02-21,33.25,4
2007-02-22,30.5,4
2007-02-23,10.5,4
2007-02-24,0,4
2007-02-25,22.75,4
2007-02-26,0,4
2007-02-27,30.75,4
2007-02-28,8.5,4
2007-03-01,53,4
2007-03-02,7.2,5
2007-03-03,10.6,5
2007-03-04,8.2,5
2007-03-05,12.2,5
2007-03-06,18,5
2007-03-07,20.8,5
2007-03-08,0,5
2007-03-09,32.4,5
2007-03-10,0,5
2007-03-11,0,5
2007-03-12,0,5
2007-03-13,16.6,5
2007-03-14,12,5
2007-03-15,0,5
2007-03-16,5.6,5
2007-03-17,28.166666666666668,6
2007-03-18,0,6
2007-03-19,0,6
2007-03-20,9,6
2007-03-21,9.666666666666666,6
2007-03-22,26.333333333333332,6
2007-03-23,22.333333333333332,6
2007-03-24,42.5,6
2007-03-25,0,6
2007-03-26,34.833333333333336,6
2007-03-27,12.666666666666666,6
2007-03-28,14.333333333333334,6
2007-03-29,16,6
2007-03-30,26.5,6
2007-03-31,0,6
2007-04-01,0,7
2007-04-02,0,7
2007-04-03,4.428571428571429,7
2007-04-04,26.714285714285715,7
2007-04-05,38.142857142857146,7
2007-04-06,74.14285714285714,7
2007-04-07,0,7
2007-04-08,28.714285714285715,7
2007-04-09,72.85714285714286,7
2007-04-10,16.142857142857142,7
2007-04-11,13.285714285714286,7
2007-04-12,23.142857142857142,7
2007-04-13,0,7
2007-04-14,21.285714285714285,7
2007-04-15,0,7
2007-04-16,10,8
2007-04-17,28.375,8
2007-04-18,26,8
2007-04-19,5.875,8
2007-04-20,16.25,8
2007-04-21,16.875,8
2007-04-22,0,8
2007-04-23,7.875,8
2007-04-24,13.875,8
2007-04-25,22.5,8
2007-04-26,7.75,8
2007-04-27,5.375,8
2007-04-28,29.375,8
2007-04-29,25.875,8
2007-04-30,47.625,8
2007-05-01,5.222222222222222,9
2007-05-02,11.666666666666666,9
2007-05-03,7,9
2007-05-04,10.11111111111111,9
2007-05-05,19.11111111111111,9
2007-05-06,2.7777777777777777,9
2007-05-07,3.5555555555555554,9
2007-05-08,10.11111111111111,9
2007-05-09,23.444444444444443,9
2007-05-10,0,9
2007-05-11,2.888888888888889,9
2007-05-12,0,9
2007-05-13,0,9
2007-05-14,14.11111111111111,9
2007-05-15,18.88888888888889,9
2007-05-16,4.4,10
2007-05-17,0,10
2007-05-18,9.5,10
2007-05-19,8.3,10
2007-05-20,10,10
2007-05-21,0,10
2007-05-22,46.4,10
2007-05-23,27.8,10
2007-05-24,40.8,10
2007-05-25,5.9,10
2007-05-26,12.1,10
2007-05-27,15.6,10
2007-05-28,27.7,10
2007-05-29,13.5,10
2007-05-30,17.4,10
2007-05-31,9,11
2007-06-01,0,11
2007-06-02,19.90909090909091,11
2007-06-03,0,11
2007-06-04,0,11
2007-06-05,11.818181818181818,11
2007-06-06,9,11
2007-06-07,17.454545454545453,11
2007-06-08,0,11
2007-06-09,16.363636363636363,11
2007-06-10,0,11
2007-06-11,8.909090909090908,11
2007-06-12,12.727272727272727,11
2007-06-13,0,11
2007-06-14,0,11
2007-06-15,31.416666666666668,12
2007-06-16,22,12
2007-06-17,0,12
2007-06-18,13.25,12
2007-06-19,12,12
2007-06-20,10.916666666666666,12
2007-06-21,6.5,12
2007-06-22,0,12
2007-06-23,19.166666666666668,12
2007-06-24,0,12
2007-06-25,0,12
2007-06-26,33.75,12
2007-06-27,8.916666666666666,12
2007-06-28,9.5,12
2007-06-29,0,12
2007-06-30,0,13
2007-07-01,0,13
2007-07-02,9.5,12
2007-07-03,16.5,12
2007-07-04,0,12
2007-07-05,0,12
2007-07-06,22.416666666666668,12
2007-07-07,17,12
2007-07-08,0,12
2007-07-09,0,12
2007-07-10,22,12
2007-07-11,0,12
2007-07-12,9.083333333333334,12
2007-07-13,17.916666666666668,12
2007-07-14,0,12
2007-07-15,47.46153846153846,13
2007-07-16,0,13
2007-07-17,21.166666666666668,12
2007-07-18,20.833333333333332,12
2007-07-19,14.583333333333334,12
2007-07-20,21,12
2007-07-21,0,12
2007-07-22,0,12
2007-07-23,18.333333333333332,12
2007-07-24,17.166666666666668,12
2007-07-25,14.166666666666666,12
2007-07-26,2.8333333333333335,12
2007-07-27,0,12
2007-07-28,22.583333333333332,12
2007-07-29,0,12
2007-07-30,0,13
2007-07-31,22.153846153846153,13
2007-08-01,6.916666666666667,12
2007-08-02,12.166666666666666,12
2007-08-03,0,12
2007-08-04,0,12
2007-08-05,20.833333333333332,12
2007-08-06,0,12
2007-08-07,5,12
2007-08-08,20.583333333333332,12
2007-08-09,44.416666666666664,12
2007-08-10,20,12
2007-08-11,0,12
2007-08-12,0,12
2007-08-13,0,12
2007-08-14,29.615384615384617,13
2007-08-15,49.30769230769231,13
2007-08-16,32.75,12
2007-08-17,8,12
2007-08-18,20.666666666666668,12
2007-08-19,0,12
2007-08-20,9.166666666666666,12
