time,value,n
2007-01-07,15,1
2007-01-14,44,1
2007-01-21,0,1
2007-01-28,30,1
2007-02-04,31,1
2007-02-11,77,1
2007-02-18,77,1
2007-02-25,57,1
2007-03-04,14,1
2007-03-11,45,1
2007-03-18,42,1
2007-03-25,43,2
2007-04-01,61.5,2
2007-04-08,98,2
2007-04-15,49.5,2
2007-04-22,41.5,2
2007-04-29,80.5,2
2007-05-06,17,2
2007-05-13,66.5,2
2007-05-20,71,2
2007-05-27,44,2
2007-06-03,38,2
2007-06-10,33.333333333333336,3
2007-06-17,17.666666666666668,3
2007-06-24,22.333333333333332,3
2007-07-01,20.333333333333332,3
2007-07-08,24.333333333333332,3
2007-07-15,54,3
2007-07-22,31.333333333333332,3
2007-07-29,18.666666666666668,3
2007-08-05,31.333333333333332,3
2007-08-12,42.333333333333336,3
2007-08-19,8,3
2007-08-26,61.75,4
2007-09-02,18,4
2007-09-09,35.25,4
2007-09-16,27.5,4
2007-09-23,22.25,4
2007-09-30,59.75,4
2007-10-07,48.75,4
2007-10-14,28,4
2007-10-21,41.5,4
2007-10-28,24.5,4
2007-11-04,44.25,4
2007-11-11,41.2,5
2007-11-18,33.8,5
2007-11-25,22,5
2007-12-02,18.2,5
2007-12-09,51.4,5
2007-12-16,40.4,5
2007-12-23,50.6,5
2007-12-30,19,5
2008-01-06,26.2,5
2008-01-13,18.4,5
2008-01-20,15.2,5
2008-01-27,33.166666666666664,6
2008-02-03,11.333333333333334,6
2008-02-10,23.166666666666668,6
2008-02-17,54.333333333333336,6
2008-02-24,27.5,6
2008-03-02,34.333333333333336,6
2008-03-09,39.333333333333336,6
2008-03-16,62,6
2008-03-23,51.333333333333336,6
2008-03-30,51.166666666666664,6
2008-04-06,33,6
2008-04-13,36,7
2008-04-20,40.142857142857146,7
2008-04-27,62,7
2008-05-04,64.28571428571429,7
2008-05-11,29,7
2008-05-18,41.42857142857143,7
2008-05-25,46.57142857142857,7
2008-06-01,30.714285714285715,7
2008-06-08,23.285714285714285,7
2008-06-15,16.571428571428573,7
2008-06-22,34.57142857142857,7
2008-06-29,16,8
2008-07-06,36.5,8
2008-07-13,40,8
2008-07-20,23.5,8
2008-07-27,30.75,8
2008-08-03,11,8
2008-08-10,49.375,8
2008-08-17,44.75,8
2008-08-24,43,8
2008-08-31,21.625,8
2008-09-07,18.25,8
2008-09-14,25.444444444444443,9
2008-09-21,35.888888888888886,9
2008-09-28,25,9
2008-10-05,19.77777777777778,9
2008-10-12,45.333333333333336,9
2008-10-19,28.22222222222222,9
2008-10-26,34.666666666666664,9
2008-11-02,57.44444444444444,9
2008-11-09,33.22222222222222,9
2008-11-16,41.111111111111114,9
2008-11-23,39,9
2008-11-30,33.8,10
2008-12-07,43.2,10
2008-12-14,23.1,10
2008-12-21,39.8,10
2008-12-28,25.9,10
2009-01-04,48.8,10
2009-01-11,69.1,10
2009-01-18,34.2,10
