time,value,n
2007-01-01,100,1
2007-01-02,15,1
2007-01-03,31,1
2007-01-04,16,1
2007-01-05,17,1
2007-01-06,0,1
2007-01-07,19,1
2007-01-08,26,1
2007-01-09,39,1
2007-01-10,13,1
2007-01-11,13,1
2007-01-12,0,1
2007-01-13,0,1
2007-01-14,18,1
2007-01-15,0,1
2007-01-16,13.5,2
2007-01-17,42,2
2007-01-18,27,2
2007-01-19,14.5,2
2007-01-20,65,2
2007-01-21,28,2
2007-01-22,19.5,2
2007-01-23,13,2
2007-01-24,13.5,2
2007-01-25,28.5,2
2007-01-26,15.5,2
2007-01-27,32.5,2
2007-01-28,38.5,2
2007-01-29,12,2
2007-01-30,40,2
2007-01-31,29.333333333333332,3
2007-02-01,38,3
2007-02-02,30,3
2007-02-03,33,3
2007-02-04,10.666666666666666,3
2007-02-05,15.666666666666666,3
2007-02-06,27.333333333333332,3
2007-02-07,31.666666666666668,3
2007-02-08,31.666666666666668,3
2007-02-09,26,3
2007-02-10,22.333333333333332,3
2007-02-11,51,3
2007-02-12,23.666666666666668,3
2007-02-13,12.333333333333334,3
2007-02-14,5,3
2007-02-15,26.75,4
2007-02-16,32.5,4
2007-02-17,21.25,4
2007-02-18,20.5,4
2007-02-19,15.5,4
2007-02-20,2.75,4
2007-02-21,24,4
2007-02-22,13.5,4
2007-02-23,22.75,4
2007-02-24,21.5,4
2007-02-25,5,4
2007-02-26,5.75,4
2007-02-27,45,4
2007-02-28,19.75,4
2007-03-01,44.5,4
2007-03-02,33.6,5
2007-03-03,36.2,5
2007-03-04,11.2,5
2007-03-05,28.6,5
2007-03-06,40,5
2007-03-07,15.2,5
2007-03-08,18.2,5
2007-03-09,46.2,5
2007-03-10,60.4,5
2007-03-11,31.2,5
2007-03-12,10.2,5
2007-03-13,22.4,5
2007-03-14,5.2,5
2007-03-15,34.6,5
2007-03-16,33,5
2007-03-17,28.166666666666668,6
2007-03-18,17.5,6
2007-03-19,26.833333333333332,6
2007-03-20,6.833333333333333,6
