time,value,n
2007-01-07,53,1
2007-01-14,32,1
2007-01-21,51,1
2007-01-28,61,1
2007-02-04,78,1
2007-02-11,49,1
2007-02-18,34,1
2007-02-25,54,1
2007-03-04,59,1
2007-03-11,57,1
2007-03-18,49,1
2007-03-25,58.5,2
2007-04-01,75,2
2007-04-08,61,2
2007-04-15,47,2
2007-04-22,44,2
2007-04-29,32.5,2
2007-05-06,35.5,2
2007-05-13,43.5,2
2007-05-20,33,2
2007-05-27,37,2
2007-06-03,81.5,2
2007-06-10,37,3
2007-06-17,50.333333333333336,3
2007-06-24,63.666666666666664,3
2007-07-01,59.666666666666664,3
2007-07-08,50.666666666666664,3
2007-07-15,47.333333333333336,3
2007-07-22,56.333333333333336,3
2007-07-29,60,3
2007-08-05,67.33333333333333,3
2007-08-12,77.33333333333333,3
2007-08-19,41.666666666666664,3
2007-08-26,57.5,4
2007-09-02,44.5,4
2007-09-09,42.75,4
2007-09-16,68.25,4
2007-09-23,59.25,4
2007-09-30,64,4
2007-10-07,57.75,4
2007-10-14,52.75,4
2007-10-21,56.25,4
2007-10-28,78.5,4
2007-11-04,32.5,4
2007-11-11,43.8,5
2007-11-18,66,5
2007-11-25,35.4,5
2007-12-02,63.4,5
2007-12-09,42.4,5
2007-12-16,59.8,5
2007-12-23,72.4,5
2007-12-30,48.8,5
2008-01-06,55.4,5
2008-01-13,60.8,5
2008-01-20,47,5
2008-01-27,52.333333333333336,6
2008-02-03,76,6
2008-02-10,67.33333333333333,6
2008-02-17,31.333333333333332,6
2008-02-24,54,6
2008-03-02,70.66666666666667,6
2008-03-09,61.333333333333336,6
2008-03-16,65.5,6
2008-03-23,80,6
2008-03-30,41.333333333333336,6
2008-04-06,42.5,6
2008-04-13,62.285714285714285,7
2008-04-20,42.714285714285715,7
2008-04-27,34.57142857142857,7
2008-05-04,56.42857142857143,7
2008-05-11,33.285714285714285,7
2008-05-18,61.285714285714285,7
2008-05-25,43.57142857142857,7
2008-06-01,32.142857142857146,7
2008-06-08,36.285714285714285,7
2008-06-15,37.285714285714285,7
2008-06-22,17.857142857142858,7
2008-06-29,46.5,8
2008-07-06,38.25,8
2008-07-13,49.125,8
2008-07-20,56,8
2008-07-27,60.125,8
2008-08-03,55.125,8
2008-08-10,66.25,8
2008-08-17,67.125,8
2008-08-24,42.25,8
2008-08-31,47,8
2008-09-07,48.5,8
2008-09-14,46.44444444444444,9
2008-09-21,38,9
2008-09-28,24.444444444444443,9
2008-10-05,43.22222222222222,9
2008-10-12,51.55555555555556,9
2008-10-19,53.666666666666664,9
2008-10-26,52,9
2008-11-02,51.666666666666664,9
2008-11-09,65.66666666666667,9
2008-11-16,40.55555555555556,9
2008-11-23,46.22222222222222,9
2008-11-30,45.6,10
2008-12-07,56.3,10
2008-12-14,53.4,10
2008-12-21,84.9,10
2008-12-28,70.4,10
2009-01-04,65.7,10
2009-01-11,47.3,10
2009-01-18,44.3,10
2009-01-25,50.8,10
2009-02-01,47.9,10
2009-02-08,53.8,10
2009-02-15,54,11
2009-02-22,49.54545454545455,11
2009-03-01,47.63636363636363,11
2009-03-08,52.45454545454545,11
2009-03-15,49.63636363636363,11
2009-03-22,58.72727272727273,11
2009-03-29,44.90909090909091,11
2009-04-05,47.18181818181818,11
2009-04-12,47.54545454545455,11
2009-04-19,39.90909090909091,11
2009-04-26,39.90909090909091,11
2009-05-03,31.5,12
2009-05-10,56.083333333333336,12
2009-05-17,57.916666666666664,12
2009-05-24,46.333333333333336,12
2009-05-31,50,12
2009-06-07,50.5,12
2009-06-14,46.416666666666664,12
2009-06-21,44.666666666666664,12
2009-06-28,45.25,12
2009-07-05,74.83333333333333,12
2009-07-12,49.416666666666664,12
2009-07-19,39.30769230769231,13
2009-07-26,54.15384615384615,13
2009-08-02,45.38461538461539,13
2009-08-09,50.46153846153846,13
2009-08-16,40.46153846153846,13
2009-08-23,47.38461538461539,13
2009-08-30,55.61538461538461,13
2009-09-06,72.6923076923077,13
2009-09-13,42.69230769230769,13
2009-09-20,60.23076923076923,13
2009-09-27,56.76923076923077,13
2009-10-04,51.285714285714285,14
2009-10-11,45.357142857142854,14
2009-10-18,50.785714285714285,14
2009-10-25,52.642857142857146,14
2009-11-01,51.42857142857143,14
2009-11-08,55.142857142857146,14
2009-11-15,63.357142857142854,14
2009-11-22,55.214285714285715,14
2009-11-29,36.92857142857143,14
2009-12-06,51.214285714285715,14
2009-12-13,59.357142857142854,14
2009-12-20,69.4,15
2009-12-27,85.73333333333333,15
2010-01-03,68.93333333333334,15
2010-01-10,57,15
2010-01-17,60.13333333333333,15
2010-01-24,53.266666666666666,15
2010-01-31,83.4,15
2010-02-07,49.333333333333336,15
2010-02-14,51.733333333333334,15
2010-02-21,65.53333333333333,15
2010-02-28,56,15
2010-03-07,60.6875,16
2010-03-14,60.3125,16
2010-03-21,42.0625,16
2010-03-28,63.875,16
2010-04-04,50.5625,16
2010-04-11,37.375,16
2010-04-18,37.1875,16
2010-04-25,45.75,16
2010-05-02,53.5625,16
2010-05-09,53,16
2010-05-16,70.5,16
2010-05-23,51.1764705882353,17
2010-05-30,69.58823529411765,17
2010-06-06,41.35294117647059,17
2010-06-13,47.294117647058826,17
2010-06-20,31.941176470588236,17
2010-06-27,32.8235294117647,17
2010-07-04,49.8235294117647,17
2010-07-11,62.88235294117647,17
2010-07-18,66.41176470588235,17
2010-07-25,54.294117647058826,17
2010-08-01,66.88235294117646,17
2010-08-08,50.388888888888886,18
2010-08-15,53.55555555555556,18
2010-08-22,57.888888888888886,18
2010-08-29,66,18
2010-09-05,63.44444444444444,18
2010-09-12,42.55555555555556,18
2010-09-19,44.388888888888886,18
2010-09-26,52.94444444444444,18
2010-10-03,55.27777777777778,18
2010-10-10,43.611111111111114,18
2010-10-17,48.888888888888886,18
2010-10-24,54.578947368421055,19
2010-10-31,59.36842105263158,19
2010-11-07,43.63157894736842,19
2010-11-14,67.05263157894737,19
2010-11-21,58.68421052631579,19
2010-11-28,51.89473684210526,19
2010-12-05,56.1578947368421,19
2010-12-12,39.94736842105263,19
2010-12-19,34,19
2010-12-26,67.42105263157895,19
2011-01-02,73.89473684210526,19
2011-01-09,62.4,20
2011-01-16,50.2,20
2011-01-23,47.8,20
2011-01-30,54.55,20
2011-02-06,55.6,20
2011-02-13,49.75,20
2011-02-20,51.15,20
2011-02-27,43.85,20
2011-03-06,55.55,20
2011-03-13,42,20
2011-03-20,45.05,20
2011-03-27,57.95238095238095,21
2011-04-03,45.38095238095238,21
2011-04-10,45.76190476190476,21
2011-04-17,40.666666666666664,21
2011-04-24,45.42857142857143,21
2011-05-01,43.714285714285715,21
2011-05-08,40.285714285714285,21
2011-05-15,55.57142857142857,21
2011-05-22,42.80952380952381,21
2011-05-29,52.714285714285715,21
2011-06-05,51.095238095238095,21
2011-06-12,53.36363636363637,22
2011-06-19,58.86363636363637,22
2011-06-26,56.68181818181818,22
2011-07-03,48,22
2011-07-10,70.18181818181819,22
2011-07-17,49.18181818181818,22
2011-07-24,56.63636363636363,22
2011-07-31,55.59090909090909,22
2011-08-07,50.54545454545455,22
2011-08-14,52.68181818181818,22
2011-08-21,38.81818181818182,22
2011-08-28,45.04347826086956,23
2011-09-04,51.608695652173914,23
2011-09-11,36.65217391304348,23
2011-09-18,41.130434782608695,23
2011-09-25,46.82608695652174,23
2011-10-02,45.69565217391305,23
2011-10-09,52.04347826086956,23
2011-10-16,41.869565217391305,23
2011-10-23,51.52173913043478,23
2011-10-30,56.82608695652174,23
2011-11-06,60.608695652173914,23
2011-11-13,46.541666666666664,24
2011-11-20,59.958333333333336,24
2011-11-27,42.125,24
2011-12-04,65.83333333333333,24
2011-12-11,63.166666666666664,24
2011-12-18,52.125,24
2011-12-25,62.333333333333336,24
2012-01-01,70.625,24
2012-01-08,61.82608695652174,23
2012-01-15,55.52173913043478,23
2012-01-22,58.608695652173914,23
2012-01-29,61.833333333333336,24
2012-02-05,53.25,24
2012-02-12,52.5,24
2012-02-19,65.375,24
2012-02-26,49.708333333333336,24
2012-03-04,40.416666666666664,24
2012-03-11,40.958333333333336,24
2012-03-18,47.041666666666664,24
2012-03-25,44.91304347826087,23
2012-04-01,48.130434782608695,23
2012-04-08,49.43478260869565,23
2012-04-15,61.291666666666664,24
2012-04-22,46.083333333333336,24
2012-04-29,56.5,24
2012-05-06,55.666666666666664,24
2012-05-13,56.666666666666664,24
2012-05-20,28.875,24
2012-05-27,45.541666666666664,24
2012-06-03,40.458333333333336,24
2012-06-10,43.43478260869565,23
2012-06-17,41.130434782608695,23
2012-06-24,39.43478260869565,23
2012-07-01,51.875,24
2012-07-08,57.375,24
2012-07-15,63.5,24
2012-07-22,63.916666666666664,24
2012-07-29,59.708333333333336,24
2012-08-05,57.916666666666664,24
2012-08-12,52.541666666666664,24
2012-08-19,58.791666666666664,24
2012-08-26,56.69565217391305,23
2012-09-02,56.130434782608695,23
2012-09-09,47.65217391304348,23
2012-09-16,42.041666666666664,24
2012-09-23,48.583333333333336,24
2012-09-30,39.958333333333336,24
2012-10-07,55.666666666666664,24
2012-10-14,49.791666666666664,24
2012-10-21,58.416666666666664,24
2012-10-28,85.04166666666667,24
2012-11-04,62.166666666666664,24
2012-11-11,63.17391304347826,23
2012-11-18,56.391304347826086,23
2012-11-25,52.34782608695652,23
2012-12-02,61,24
2012-12-09,59.833333333333336,24
2012-12-16,64.45833333333333,24
2012-12-23,75.20833333333333,24
2012-12-30,81.70833333333333,24
2013-01-06,51.416666666666664,24
2013-01-13,68.29166666666667,24
2013-01-20,61.166666666666664,24
2013-01-27,52.78260869565217,23
2013-02-03,58.73913043478261,23
2013-02-10,53.130434782608695,23
2013-02-17,65.04166666666667,24
2013-02-24,62.375,24
2013-03-03,51,24
2013-03-10,48.583333333333336,24
2013-03-17,49.333333333333336,24
