time,value,n
2007-01-01,100,1
2007-01-02,7,1
2007-01-03,21,1
2007-01-04,43,1
2007-01-05,23,1
2007-01-06,56,1
2007-01-07,17,1
2007-01-08,0,1
2007-01-09,11,1
2007-01-10,12,1
2007-01-11,12,1
2007-01-12,20,1
2007-01-13,47,1
2007-01-14,48,1
2007-01-15,6,1
2007-01-16,11.5,2
2007-01-17,6,2
2007-01-18,30.5,2
2007-01-19,15.5,2
2007-01-20,47,2
2007-01-21,38.5,2
2007-01-22,13.5,2
2007-01-23,18.5,2
2007-01-24,11.5,2
2007-01-25,38.5,2
2007-01-26,14,2
2007-01-27,42.5,2
2007-01-28,31.5,2
2007-01-29,8.5,2
2007-01-30,0,2
2007-01-31,11.666666666666666,3
2007-02-01,26.666666666666668,3
2007-02-02,37,3
2007-02-03,77,3
2007-02-04,16,3
2007-02-05,23.333333333333332,3
2007-02-06,20,3
2007-02-07,9.666666666666666,3
2007-02-08,29.333333333333332,3
2007-02-09,41.666666666666664,3
2007-02-10,53.666666666666664,3
2007-02-11,24.333333333333332,3
2007-02-12,18,3
2007-02-13,14,3
2007-02-14,11.666666666666666,3
2007-02-15,9.75,4
2007-02-16,32.75,4
2007-02-17,44.25,4
2007-02-18,23.25,4
2007-02-19,15.25,4
2007-02-20,3.5,4
2007-02-21,14.75,4
2007-02-22,23.5,4
2007-02-23,27.25,4
2007-02-24,32.75,4
2007-02-25,37.25,4
2007-02-26,17.25,4
2007-02-27,16.25,4
2007-02-28,21.25,4
2007-03-01,17.5,4
2007-03-02,29.6,5
2007-03-03,38.6,5
2007-03-04,29,5
2007-03-05,7.2,5
2007-03-06,17.8,5
2007-03-07,12,5
2007-03-08,10,5
2007-03-09,20.8,5
2007-03-10,54.4,5
2007-03-11,20.4,5
2007-03-12,10.6,5
2007-03-13,7.6,5
2007-03-14,14.4,5
2007-03-15,18,5
2007-03-16,22.6,5
2007-03-17,35.333333333333336,6
2007-03-18,37.833333333333336,6
2007-03-19,7.666666666666667,6
2007-03-20,10,6
2007-03-21,11.666666666666666,6
2007-03-22,32.5,6
2007-03-23,19.833333333333332,6
2007-03-24,37.666666666666664,6
2007-03-25,20.666666666666668,6
2007-03-26,15,6
2007-03-27,8.833333333333334,6
2007-03-28,12.666666666666666,6
2007-03-29,15.666666666666666,6
2007-03-30,38,6
2007-03-31,23,6
2007-04-01,30.142857142857142,7
2007-04-02,28.714285714285715,7
2007-04-03,23.857142857142858,7
2007-04-04,16.857142857142858,7
2007-04-05,12.285714285714286,7
2007-04-06,38.285714285714285,7
2007-04-07,26.857142857142858,7
2007-04-08,28.857142857142858,7
2007-04-09,40.142857142857146,7
2007-04-10,17.428571428571427,7
2007-04-11,23.714285714285715,7
2007-04-12,14.428571428571429,7
2007-04-13,32.714285714285715,7
2007-04-14,32.285714285714285,7
2007-04-15,20.714285714285715,7
2007-04-16,18,8
2007-04-17,13.25,8
2007-04-18,11.75,8
2007-04-19,14.625,8
2007-04-20,13,8
2007-04-21,31.5,8
2007-04-22,46.125,8
2007-04-23,8.875,8
2007-04-24,14.375,8
2007-04-25,5.875,8
2007-04-26,4.625,8
2007-04-27,27.625,8
2007-04-28,36.75,8
2007-04-29,28,8
2007-04-30,41.5,8
2007-05-01,22.11111111111111,9
2007-05-02,28,9
2007-05-03,11.77777777777778,9
2007-05-04,19.333333333333332,9
2007-05-05,34.44444444444444,9
2007-05-06,42.22222222222222,9
2007-05-07,12.77777777777778,9
2007-05-08,16.666666666666668,9
2007-05-09,15.666666666666666,9
2007-05-10,8.555555555555555,9
2007-05-11,4.777777777777778,9
2007-05-12,12.333333333333334,9
2007-05-13,7.777777777777778,9
2007-05-14,8,9
2007-05-15,10.333333333333334,9
2007-05-16,30.9,10
2007-05-17,34.7,10
2007-05-18,18.1,10
2007-05-19,30.5,10
2007-05-20,21.2,10
2007-05-21,7.9,10
2007-05-22,14.3,10
2007-05-23,14.9,10
2007-05-24,10.8,10
2007-05-25,39.7,10
2007-05-26,49.1,10
2007-05-27,63.1,10
2007-05-28,57.3,10
2007-05-29,18.4,10
2007-05-30,7.6,10
2007-05-31,18.181818181818183,11
2007-06-01,21.727272727272727,11
2007-06-02,29.454545454545453,11
2007-06-03,25.272727272727273,11
2007-06-04,11.363636363636363,11
2007-06-05,12,11
2007-06-06,23.272727272727273,11
2007-06-07,37.90909090909091,11
2007-06-08,17.727272727272727,11
2007-06-09,47.54545454545455,11
2007-06-10,37.63636363636363,11
2007-06-11,6.818181818181818,11
2007-06-12,19.454545454545453,11
2007-06-13,16.181818181818183,11
2007-06-14,8.090909090909092,11
2007-06-15,26.416666666666668,12
2007-06-16,17.833333333333332,12
2007-06-17,26.5,12
2007-06-18,22.5,12
2007-06-19,10,12
2007-06-20,11.333333333333334,12
2007-06-21,20.5,12
2007-06-22,22.333333333333332,12
2007-06-23,62.833333333333336,12
2007-06-24,26.416666666666668,12
2007-06-25,17.833333333333332,12
2007-06-26,26.333333333333332,12
2007-06-27,20.583333333333332,12
2007-06-28,26.666666666666668,12
2007-06-29,33.333333333333336,12
2007-06-30,20.076923076923077,13
2007-07-01,24.76923076923077,13
2007-07-02,27.25,12
2007-07-03,17.416666666666668,12
2007-07-04,43.333333333333336,12
2007-07-05,28.166666666666668,12
2007-07-06,17.833333333333332,12
2007-07-07,21.583333333333332,12
2007-07-08,44.833333333333336,12
2007-07-09,38.416666666666664,12
2007-07-10,35.5,12
2007-07-11,26.25,12
2007-07-12,65.5,12
2007-07-13,29.333333333333332,12
2007-07-14,17.583333333333332,12
2007-07-15,30.846153846153847,13
2007-07-16,30.384615384615383,13
2007-07-17,21,12
2007-07-18,14.75,12
2007-07-19,18.583333333333332,12
2007-07-20,29.166666666666668,12
2007-07-21,33.333333333333336,12
2007-07-22,32.833333333333336,12
2007-07-23,23.5,12
2007-07-24,44.166666666666664,12
2007-07-25,39,12
2007-07-26,51.833333333333336,12
2007-07-27,64.33333333333333,12
2007-07-28,49.333333333333336,12
2007-07-29,71.66666666666667,12
2007-07-30,35.46153846153846,13
2007-07-31,20.923076923076923,13
2007-08-01,19.583333333333332,12
2007-08-02,26.333333333333332,12
2007-08-03,72.75,12
2007-08-04,28.666666666666668,12
2007-08-05,33.583333333333336,12
2007-08-06,28,12
2007-08-07,20.5,12
2007-08-08,30.666666666666668,12
2007-08-09,26.25,12
2007-08-10,43.666666666666664,12
2007-08-11,49.25,12
2007-08-12,48.416666666666664,12
2007-08-13,26.583333333333332,12
2007-08-14,19.076923076923077,13
2007-08-15,24.923076923076923,13
2007-08-16,14.25,12
2007-08-17,52.166666666666664,12
2007-08-18,42.833333333333336,12
2007-08-19,29,12
2007-08-20,36.5,12
2007-08-21,28.666666666666668,12
2007-08-22,16.333333333333332,12
2007-08-23,29.416666666666668,12
2007-08-24,14.833333333333334,12
2007-08-25,27.5,12
2007-08-26,44.583333333333336,12
2007-08-27,21.333333333333332,12
2007-08-28,26.333333333333332,12
2007-08-29,31.076923076923077,13
2007-08-30,28.23076923076923,13
2007-08-31,15.846153846153848,13
