time,value,n
2007-01-07,14,1
2007-01-14,12,1
2007-01-21,20,1
2007-01-28,16,1
2007-02-04,13,1
2007-02-11,23,1
2007-02-18,22,1
2007-02-25,16,1
2007-03-04,26,1
2007-03-11,17,1
2007-03-18,15,1
2007-03-25,21.5,2
2007-04-01,28,2
2007-04-08,29,2
2007-04-15,21.5,2
2007-04-22,12,2
2007-04-29,27,2
2007-05-06,16,2
2007-05-13,21.5,2
2007-05-20,26,2
2007-05-27,36.5,2
2007-06-03,21,2
2007-06-10,22,3
2007-06-17,21.333333333333332,3
2007-06-24,35,3
2007-07-01,28.666666666666668,3
2007-07-08,46.333333333333336,3
2007-07-15,29,3
2007-07-22,37.666666666666664,3
2007-07-29,45.333333333333336,3
2007-08-05,28.333333333333332,3
2007-08-12,25.666666666666668,3
2007-08-19,23.666666666666668,3
2007-08-26,30.5,4
2007-09-02,24.5,4
2007-09-09,21.5,4
2007-09-16,26.5,4
2007-09-23,29.75,4
2007-09-30,25.25,4
2007-10-07,18.5,4
2007-10-14,24.5,4
2007-10-21,45.5,4
2007-10-28,44.25,4
2007-11-04,23.75,4
2007-11-11,21.8,5
2007-11-18,22.8,5
2007-11-25,21,5
2007-12-02,22.2,5
2007-12-09,20.8,5
2007-12-16,34.4,5
2007-12-23,53,5
2007-12-30,48,5
2008-01-06,29.4,5
2008-01-13,25.8,5
2008-01-20,27.8,5
2008-01-27,35.666666666666664,6
2008-02-03,34.166666666666664,6
2008-02-10,33.666666666666664,6
2008-02-17,41.333333333333336,6
2008-02-24,31.833333333333332,6
2008-03-02,26.833333333333332,6
2008-03-09,26.5,6
2008-03-16,41.333333333333336,6
2008-03-23,36.666666666666664,6
2008-03-30,24.166666666666668,6
2008-04-06,24,6
2008-04-13,20.857142857142858,7
2008-04-20,20.857142857142858,7
2008-04-27,24,7
2008-05-04,14.428571428571429,7
2008-05-11,19.428571428571427,7
2008-05-18,33.857142857142854,7
2008-05-25,28.714285714285715,7
2008-06-01,18,7
2008-06-08,21,7
2008-06-15,22.285714285714285,7
2008-06-22,16.571428571428573,7
2008-06-29,17.625,8
2008-07-06,26.5,8
2008-07-13,36.125,8
2008-07-20,32.375,8
2008-07-27,31.375,8
2008-08-03,38.5,8
2008-08-10,35.125,8
2008-08-17,40.125,8
2008-08-24,33.25,8
2008-08-31,26.125,8
2008-09-07,25.25,8
2008-09-14,29.88888888888889,9
2008-09-21,26.11111111111111,9
2008-09-28,24.666666666666668,9
2008-10-05,23.88888888888889,9
2008-10-12,21.77777777777778,9
2008-10-19,24.11111111111111,9
2008-10-26,27.666666666666668,9
2008-11-02,32.22222222222222,9
2008-11-09,30,9
2008-11-16,25.88888888888889,9
2008-11-23,23.555555555555557,9
2008-11-30,22.6,10
2008-12-07,38.9,10
2008-12-14,25.7,10
2008-12-21,49.8,10
2008-12-28,53.6,10
2009-01-04,37,10
2009-01-11,34.8,10
2009-01-18,29.5,10
2009-01-25,31.5,10
2009-02-01,36.1,10
2009-02-08,41.8,10
2009-02-15,36.45454545454545,11
2009-02-22,36.36363636363637,11
2009-03-01,33.36363636363637,11
2009-03-08,27.454545454545453,11
2009-03-15,29.545454545454547,11
2009-03-22,29.09090909090909,11
2009-03-29,33.27272727272727,11
2009-04-05,32.81818181818182,11
2009-04-12,43.54545454545455,11
2009-04-19,18.636363636363637,11
2009-04-26,30.272727272727273,11
2009-05-03,29,12
2009-05-10,29.083333333333332,12
2009-05-17,39.25,12
2009-05-24,36,12
2009-05-31,42.333333333333336,12
2009-06-07,38.666666666666664,12
2009-06-14,33.333333333333336,12
2009-06-21,41,12
2009-06-28,48.666666666666664,12
2009-07-05,63.083333333333336,12
2009-07-12,59,12
2009-07-19,40.53846153846154,13
2009-07-26,42.07692307692308,13
2009-08-02,43,13
2009-08-09,39.30769230769231,13
2009-08-16,33.84615384615385,13
2009-08-23,52.61538461538461,13
2009-08-30,53.76923076923077,13
2009-09-06,54.61538461538461,13
2009-09-13,52.07692307692308,13
2009-09-20,44.07692307692308,13
2009-09-27,38.69230769230769,13
2009-10-04,50.92857142857143,14
2009-10-11,43.5,14
2009-10-18,44.42857142857143,14
2009-10-25,46.285714285714285,14
2009-11-01,43.42857142857143,14
2009-11-08,48.714285714285715,14
2009-11-15,50.57142857142857,14
2009-11-22,49.285714285714285,14
2009-11-29,42.5,14
2009-12-06,54.142857142857146,14
2009-12-13,42.285714285714285,14
2009-12-20,69.6,15
2009-12-27,97.06666666666666,15
2010-01-03,75.2,15
2010-01-10,43.13333333333333,15
2010-01-17,38.86666666666667,15
2010-01-24,43.6,15
2010-01-31,50.93333333333333,15
2010-02-07,59.666666666666664,15
2010-02-14,53.93333333333333,15
2010-02-21,50.333333333333336,15
2010-02-28,54,15
2010-03-07,52.125,16
2010-03-14,39.625,16
2010-03-21,35,16
2010-03-28,48.1875,16
2010-04-04,46.5625,16
2010-04-11,30.1875,16
2010-04-18,20.3125,16
2010-04-25,29.0625,16
2010-05-02,37.0625,16
2010-05-09,55.375,16
2010-05-16,42.0625,16
2010-05-23,56.705882352941174,17
2010-05-30,47.588235294117645,17
2010-06-06,16.11764705882353,17
2010-06-13,31.058823529411764,17
2010-06-20,30.705882352941178,17
2010-06-27,26.647058823529413,17
2010-07-04,41.76470588235294,17
2010-07-11,52.705882352941174,17
2010-07-18,66.29411764705883,17
2010-07-25,63.5294117647059,17
2010-08-01,62.8235294117647,17
2010-08-08,58.833333333333336,18
2010-08-15,59.5,18
2010-08-22,61.44444444444444,18
2010-08-29,62.44444444444444,18
2010-09-05,53,18
2010-09-12,46.27777777777778,18
2010-09-19,43.5,18
2010-09-26,43.888888888888886,18
2010-10-03,38.05555555555556,18
2010-10-10,40.22222222222222,18
2010-10-17,44.388888888888886,18
2010-10-24,71.21052631578948,19
2010-10-31,63.26315789473684,19
2010-11-07,50.473684210526315,19
2010-11-14,53.578947368421055,19
2010-11-21,39.05263157894737,19
2010-11-28,33.1578947368421,19
2010-12-05,40.1578947368421,19
2010-12-12,36.421052631578945,19
2010-12-19,47.473684210526315,19
2010-12-26,79.36842105263158,19
2011-01-02,70.42105263157895,19
2011-01-09,42.2,20
2011-01-16,39.9,20
2011-01-23,45,20
2011-01-30,42.7,20
2011-02-06,59.45,20
2011-02-13,51.05,20
2011-02-20,55.8,20
2011-02-27,43.9,20
2011-03-06,41.5,20
2011-03-13,37.4,20
2011-03-20,39.9,20
