time,value
2007-01-01,-1.9201480343036827
2007-01-02,-2.944489896012307
2007-01-03,-2.506307960540276
2007-01-04,-2.5545582518848877
2007-01-05,-2.711167664506815
2007-01-06,-3.088281774425898
2007-01-07,-2.255914243689279
2007-01-08,-2.28220278306625
2007-01-09,-2.329759354844695
2007-01-10,-2.58464992465107
2007-01-11,-2.3999695362125784
2007-01-12,-1.9936449857322447
2007-01-13,-3.0415084026322234
2007-01-14,-2.1620181003192886
2007-01-15,-0.713356262510468
2007-01-16,-2.0218417916086695
2007-01-17,-0.7012004632902222
2007-01-18,-1.7283977188498476
2007-01-19,-1.589320751878961
2007-01-20,-1.171849237228057
2007-01-21,-1.7226975625614271
2007-01-22,-1.4688906929468066
2007-01-23,-0.7675301339498332
2007-01-24,-1.044037157238469
2007-01-25,-1.2843269828591888
2007-01-26,-1.237811816617533
2007-01-27,-1.5552281834745356
2007-01-28,-1.9906064563412296
2007-01-29,-1.3933506817944408
2007-01-30,-1.4067645458590268
2007-01-31,-0.9818033231959586
2007-02-01,-1.9418519479608787
2007-02-02,-1.4115272505635905
2007-02-03,-0.535218692798815
2007-02-04,-1.5242491131196616
2007-02-05,-1.3934113856871715
2007-02-06,-1.1659353227553315
2007-02-07,-0.8275923685396831
2007-02-08,-2.0357725951441266
2007-02-09,-1.9153280368831667
2007-02-10,-1.7512035703623328
2007-02-11,-1.5737260322646112
2007-02-12,-1.728118143289727
2007-02-13,-1.9038180675027205
2007-02-14,-2.8545408811793713
2007-02-15,-2.591473656688382
2007-02-16,-1.6685810739529678
2007-02-17,-0.8235590610712298
2007-02-18,-2.332684834981758
2007-02-19,-1.4600638549735128
2007-02-20,-1.9009909883896468
2007-02-21,-1.1581612139238253
2007-02-22,-1.2263879737476922
2007-02-23,-1.492413398306822
2007-02-24,-2.080114139528413
2007-02-25,-1.6156922445835067
2007-02-26,-2.4030151635082264
2007-02-27,-1.9172516502177706
2007-02-28,-2.314021845677869
2007-03-01,-2.120244528482892
2007-03-02,-1.6461185020003075
2007-03-03,-2.8632916825478296
2007-03-04,-1.47073386170447
2007-03-05,-2.05832000042077
2007-03-06,-1.6858576269245162
2007-03-07,-2.1090634541707343
2007-03-08,-1.5950202195326766
2007-03-09,-2.116367195414569
2007-03-10,-1.0951544282081311
2007-03-11,-1.3865130354613209
2007-03-12,-1.330592777133263
2007-03-13,-0.7325405214931994
2007-03-14,-0.7190113069998006
2007-03-15,-2.0140289005053984
2007-03-16,-0.8074410177662478
2007-03-17,-2.5422380685527224
2007-03-18,-2.3378373167689075
2007-03-19,-2.4734143735591894
2007-03-20,-2.9398687489659574
2007-03-21,-2.0339169060631335
2007-03-22,-2.7868131308173254
2007-03-23,-1.9737185971904354
2007-03-24,-2.1245268075400356
2007-03-25,-2.35035457974145
2007-03-26,-1.8733977225750593
2007-03-27,-1.614938603226569
2007-03-28,-1.9808915250163073
2007-03-29,-2.2147344429265376
2007-03-30,-2.1562557185309603
2007-03-31,-2.694326321679318
2007-04-01,-1.6815552912826965
2007-04-02,-2.1792033487190565
2007-04-03,-2.095890670692124
2007-04-04,-1.6694787905751485
2007-04-05,-1.6247645785718678
2007-04-06,-2.4434326493414606
2007-04-07,-2.3921030895017563
2007-04-08,-1.6708347872046962
2007-04-09,-1.915746128211887
2007-04-10,-1.242998583616707
2007-04-11,-1.3320500295741413
2007-04-12,-0.6468475232035416
2007-04-13,-2.3642824568604013
2007-04-14,-2.426032827267049
2007-04-15,-1.8343997081612597
2007-04-16,-1.617575824775537
2007-04-17,-1.4734717763431175
2007-04-18,-2.629186149169966
2007-04-19,-2.1914272451193146
2007-04-20,-2.3386025431891393
2007-04-21,-2.3092896286268876
2007-04-22,-2.3249570420815924
2007-04-23,-2.1635029911978383
2007-04-24,-1.869656869822447
2007-04-25,-1.8244805248018285
2007-04-26,-2.1982138198826764
2007-04-27,-2.016920367805254
2007-04-28,-2.0226539418854106
2007-04-29,-1.4037015371525863
2007-04-30,-2.369028434552662
2007-05-01,-1.8212383688125733
2007-05-02,-1.1968652683302083
2007-05-03,-1.9105166357933883
2007-05-04,-1.9480254219245452
2007-05-05,-2.1784390765323636
2007-05-06,-1.520371774179613
2007-05-07,-1.163434141896855
2007-05-08,-0.9338961229681176
2007-05-09,-1.5161411867283843
2007-05-10,-1.0230754480961832
2007-05-11,-1.478749412169814
2007-05-12,-2.0963820378752973
2007-05-13,-1.407411112841633
2007-05-14,-1.5055330205851132
2007-05-15,-1.4587709745428252
2007-05-16,-2.0945174101824664
2007-05-17,-1.8321072122621225
2007-05-18,-1.3425594573178172
2007-05-19,-2.442478023108875
2007-05-20,-2.4009216465370047
2007-05-21,-2.121550531930108
2007-05-22,-1.648329512124139
2007-05-23,-1.429610807677405
2007-05-24,-2.3749351194750443
2007-05-25,-1.9330891436663928
2007-05-26,-1.9837096969735464
2007-05-27,-1.88872263555989
2007-05-28,-2.722078698262851
2007-05-29,-2.2552844305599034
2007-05-30,-2.1035347945669836
2007-05-31,-2.4962838471656776
2007-06-01,-2.055182186906943
2007-06-02,-1.668484430364007
2007-06-03,-2.222465701219471
2007-06-04,-1.4789618894645185
2007-06-05,-1.7019289897853995
2007-06-06,-1.9033977247056613
2007-06-07,-2.211925002522522
2007-06-08,-1.380901570175011
2007-06-09,-2.3327554044705954
2007-06-10,-1.8117344921076208
2007-06-11,-2.1566662638356755
2007-06-12,-2.0440720116685545
2007-06-13,-2.011827297752433
2007-06-14,-2.1824452330591573
2007-06-15,-2.111974529557182
2007-06-16,-2.6073238547171638
2007-06-17,-2.6014716961576703
2007-06-18,-2.0100027072549427
2007-06-19,-2.3331891646712295
2007-06-20,-2.0874754607712696
2007-06-21,-2.2807322160289085
2007-06-22,-2.3376006425507434
2007-06-23,-2.1055687647874377
2007-06-24,-1.9042517759614044
2007-06-25,-1.5506229329291459
2007-06-26,-2.259370327062421
2007-06-27,-1.8542913984641143
2007-06-28,-1.9003145383960751
2007-06-29,-1.9361900208153626
2007-06-30,-2.055220640215398
2007-07-01,-1.9283411606324101
2007-07-02,-2.0098628850409375
2007-07-03,-1.8217492167410707
2007-07-04,-2.1514662114367473
2007-07-05,-2.0084534665053893
2007-07-06,-1.6160258688619737
2007-07-07,-1.8535046766454437
2007-07-08,-1.4240566325587303
2007-07-09,-1.2433560378670514
2007-07-10,-1.6008118099828226
2007-07-11,-2.299077260111903
2007-07-12,-1.564693127422254
2007-07-13,-1.7741996409290857
2007-07-14,-1.7084861998149072
2007-07-15,-1.9059154185720386
2007-07-16,-1.015446557165429
2007-07-17,-0.885348124000849
2007-07-18,-1.5393809856510101
2007-07-19,-1.4407511332448475
2007-07-20,-0.8995859401943805
2007-07-21,-2.1188899747448664
2007-07-22,-0.6132583378710145
2007-07-23,-1.5568590306566763
2007-07-24,-1.324432910279466
2007-07-25,-1.9603679990870104
2007-07-26,-1.8427254949261027
2007-07-27,-1.1987995040533357
2007-07-28,-2.2432568509198685
2007-07-29,-1.762096092341359
2007-07-30,-1.72850104509684
2007-07-31,-2.0465231552578436
2007-08-01,-1.7159162367293885
2007-08-02,-1.032279900648387
2007-08-03,-1.6375448110307904
2007-08-04,-1.8827580986589803
2007-08-05,-1.799575814582717
2007-08-06,-1.2500299596455495
2007-08-07,-1.4181939163831754
2007-08-08,-1.2774564259649823
2007-08-09,-1.5172541955294245
2007-08-10,-1.4734423837252326
2007-08-11,-0.4219728789170871
2007-08-12,-1.2475472220380455
2007-08-13,-1.015689648982888
2007-08-14,-1.524353157587061
2007-08-15,-1.2844371501505727
2007-08-16,-0.6379456173220808
2007-08-17,-1.383378971617874
2007-08-18,-2.2952518472147205
2007-08-19,-1.71043773912781
2007-08-20,-1.5703137347513805
2007-08-21,-2.2299111403116156
2007-08-22,-1.8368667474688747
2007-08-23,-1.993331658126648
2007-08-24,-1.7082203362941362
2007-08-25,-1.1488224350875738
2007-08-26,-1.6765692604701061
2007-08-27,-1.3324568378326067
2007-08-28,-2.0750342290952126
2007-08-29,-1.5161881261774313
2007-08-30,-1.4737153166020016
2007-08-31,-1.2994284343982345
2007-09-01,-2.005886915347692
2007-09-02,-1.504920616494037
2007-09-03,-1.8845731878208085
2007-09-04,-0.9506538365286726
2007-09-05,-1.4290636200965485
2007-09-06,-1.7489877792921653
2007-09-07,-1.779997197148636
