time,value,n
2007-01-01,0,1
2007-01-02,0,1
2007-01-03,0,1
2007-01-04,26,1
2007-01-05,0,1
2007-01-06,0,1
2007-01-07,0,1
2007-01-08,0,1
2007-01-09,21,1
2007-01-10,0,1
2007-01-11,22,1
2007-01-12,24,1
2007-01-13,0,1
2007-01-14,29,1
2007-01-15,0,1
2007-01-16,0,2
2007-01-17,48,2
2007-01-18,0,2
2007-01-19,22,2
2007-01-20,0,2
2007-01-21,0,2
2007-01-22,0,2
2007-01-23,47,2
2007-01-24,29.5,2
2007-01-25,0,2
2007-01-26,0,2
2007-01-27,0,2
2007-01-28,0,2
2007-01-29,0,2
2007-01-30,19,2
2007-01-31,7.333333333333333,3
2007-02-01,0,3
2007-02-02,13.333333333333334,3
2007-02-03,18.333333333333332,3
2007-02-04,0,3
2007-02-05,7,3
2007-02-06,17,3
2007-02-07,26.666666666666668,3
2007-02-08,0,3
2007-02-09,15.666666666666666,3
2007-02-10,21.333333333333332,3
2007-02-11,0,3
2007-02-12,0,3
2007-02-13,7,3
2007-02-14,0,3
2007-02-15,0,4
2007-02-16,5.25,4
2007-02-17,14.75,4
2007-02-18,0,4
2007-02-19,0,4
2007-02-20,20,4
2007-02-21,14.5,4
2007-02-22,9,4
2007-02-23,15.25,4
2007-02-24,0,4
2007-02-25,6,4
2007-02-26,0,4
2007-02-27,12.25,4
2007-02-28,17.5,4
2007-03-01,22.5,4
2007-03-02,0,5
2007-03-03,16.8,5
2007-03-04,0,5
2007-03-05,28,5
2007-03-06,17.8,5
2007-03-07,26.6,5
2007-03-08,10.8,5
2007-03-09,7,5
2007-03-10,53,5
2007-03-11,31.6,5
2007-03-12,37.2,5
2007-03-13,31,5
2007-03-14,54.4,5
2007-03-15,7.4,5
2007-03-16,80,5
2007-03-17,16.166666666666668,6
2007-03-18,0,6
2007-03-19,11,6
2007-03-20,9.833333333333334,6
2007-03-21,4.833333333333333,6
2007-03-22,21.833333333333332,6
2007-03-23,11.833333333333334,6
2007-03-24,18,6
2007-03-25,23,6
2007-03-26,8.666666666666666,6
2007-03-27,22.666666666666668,6
2007-03-28,0,6
2007-03-29,5.833333333333333,6
2007-03-30,31.666666666666668,6
2007-03-31,0,6
2007-04-01,0,7
2007-04-02,15.714285714285714,7
2007-04-03,18.428571428571427,7
2007-04-04,22,7
2007-04-05,33,7
2007-04-06,12.428571428571429,7
2007-04-07,33.57142857142857,7
2007-04-08,26.428571428571427,7
2007-04-09,10,7
2007-04-10,50.857142857142854,7
2007-04-11,15.142857142857142,7
2007-04-12,58.285714285714285,7
2007-04-13,0,7
2007-04-14,13.714285714285714,7
2007-04-15,25.285714285714285,7
2007-04-16,17.125,8
2007-04-17,31.125,8
2007-04-18,0,8
2007-04-19,0,8
2007-04-20,0,8
2007-04-21,40.375,8
2007-04-22,16,8
2007-04-23,17.5,8
2007-04-24,36.375,8
2007-04-25,27.75,8
2007-04-26,9.875,8
2007-04-27,5.75,8
2007-04-28,17.25,8
2007-04-29,33.625,8
2007-04-30,0,8
2007-05-01,30.444444444444443,9
2007-05-02,49.77777777777778,9
2007-05-03,23.11111111111111,9
2007-05-04,1.6666666666666667,9
2007-05-05,0,9
2007-05-06,23.22222222222222,9
2007-05-07,23.88888888888889,9
2007-05-08,27.666666666666668,9
2007-05-09,6.111111111111111,9
2007-05-10,30.333333333333332,9
2007-05-11,0,9
2007-05-12,5.444444444444445,9
2007-05-13,16.555555555555557,9
2007-05-14,5.888888888888889,9
2007-05-15,13.444444444444445,9
2007-05-16,16.8,10
2007-05-17,13.2,10
2007-05-18,33.8,10
2007-05-19,7.9,10
2007-05-20,0,10
2007-05-21,0,10
2007-05-22,32.6,10
2007-05-23,17.4,10
2007-05-24,13.2,10
2007-05-25,0,10
2007-05-26,13.3,10
2007-05-27,27.1,10
2007-05-28,0,10
2007-05-29,10.3,10
2007-05-30,17.6,10
2007-05-31,18.545454545454547,11
2007-06-01,9.636363636363637,11
2007-06-02,12.363636363636363,11
2007-06-03,22,11
2007-06-04,22.818181818181817,11
2007-06-05,16.545454545454547,11
2007-06-06,14.363636363636363,11
2007-06-07,7.818181818181818,11
2007-06-08,30.818181818181817,11
2007-06-09,0,11
2007-06-10,31.636363636363637,11
2007-06-11,2.090909090909091,11
2007-06-12,19.818181818181817,11
2007-06-13,22.09090909090909,11
2007-06-14,13.909090909090908,11
2007-06-15,0,12
2007-06-16,0,12
2007-06-17,0,12
2007-06-18,23.416666666666668,12
2007-06-19,21,12
2007-06-20,11.333333333333334,12
2007-06-21,24.416666666666668,12
2007-06-22,5.75,12
2007-06-23,0,12
2007-06-24,0,12
2007-06-25,18.333333333333332,12
2007-06-26,0,12
2007-06-27,10.416666666666666,12
2007-06-28,4.5,12
2007-06-29,0,12
2007-06-30,10.76923076923077,13
2007-07-01,10.461538461538462,13
2007-07-02,11,12
2007-07-03,7,12
2007-07-04,0,12
2007-07-05,11.916666666666666,12
2007-07-06,27.25,12
2007-07-07,44,12
2007-07-08,0,12
2007-07-09,18.5,12
2007-07-10,6.583333333333333,12
2007-07-11,0,12
2007-07-12,11.25,12
2007-07-13,18.5,12
2007-07-14,11.583333333333334,12
2007-07-15,0,13
2007-07-16,15.23076923076923,13
2007-07-17,29,12
2007-07-18,7.666666666666667,12
2007-07-19,5.833333333333333,12
2007-07-20,24.5,12
2007-07-21,0,12
2007-07-22,11.5,12
2007-07-23,0,12
2007-07-24,22.25,12
2007-07-25,9.166666666666666,12
2007-07-26,15.083333333333334,12
2007-07-27,47.916666666666664,12
2007-07-28,9.333333333333334,12
2007-07-29,11.833333333333334,12
2007-07-30,11,13
2007-07-31,0,13
2007-08-01,26.333333333333332,12
2007-08-02,26.583333333333332,12
2007-08-03,0,12
2007-08-04,14.083333333333334,12
2007-08-05,0,12
2007-08-06,18.25,12
2007-08-07,8.916666666666666,12
2007-08-08,18.083333333333332,12
2007-08-09,0,12
2007-08-10,7.583333333333333,12
2007-08-11,11.666666666666666,12
2007-08-12,17.333333333333332,12
2007-08-13,7.25,12
