time,value,n
2007-01-01,0,1
2007-01-02,0,1
2007-01-03,0,1
2007-01-04,0,1
2007-01-05,0,1
2007-01-06,0,1
2007-01-07,0,1
2007-01-08,0,1
2007-01-09,36,1
2007-01-10,0,1
2007-01-11,0,1
2007-01-12,0,1
2007-01-13,0,1
2007-01-14,0,1
2007-01-15,68,1
2007-01-16,17.5,2
2007-01-17,25.5,2
2007-01-18,25,2
2007-01-19,0,2
2007-01-20,0,2
2007-01-21,0,2
2007-01-22,17,2
2007-01-23,42,2
2007-01-24,50,2
2007-01-25,0,2
2007-01-26,20.5,2
2007-01-27,0,2
2007-01-28,60.5,2
2007-01-29,47.5,2
2007-01-30,0,2
2007-01-31,29.333333333333332,3
2007-02-01,0,3
2007-02-02,0,3
2007-02-03,0,3
2007-02-04,0,3
2007-02-05,41.333333333333336,3
2007-02-06,0,3
2007-02-07,0,3
2007-02-08,0,3
2007-02-09,0,3
2007-02-10,75.33333333333333,3
2007-02-11,26.666666666666668,3
2007-02-12,34,3
2007-02-13,16.333333333333332,3
2007-02-14,0,3
2007-02-15,0,4
2007-02-16,21.25,4
2007-02-17,0,4
2007-02-18,0,4
2007-02-19,25.5,4
2007-02-20,10,4
2007-02-21,9.5,4
2007-02-22,0,4
2007-02-23,0,4
2007-02-24,0,4
2007-02-25,0,4
2007-02-26,0,4
2007-02-27,12,4
2007-02-28,13.25,4
2007-03-01,30.25,4
2007-03-02,31.2,5
2007-03-03,0,5
2007-03-04,0,5
2007-03-05,42.4,5
2007-03-06,0,5
2007-03-07,13.6,5
2007-03-08,33.6,5
2007-03-09,31,5
2007-03-10,0,5
2007-03-11,0,5
2007-03-12,19.8,5
2007-03-13,7,5
2007-03-14,0,5
2007-03-15,29.2,5
2007-03-16,0,5
2007-03-17,0,6
2007-03-18,60.666666666666664,6
2007-03-19,0,6
2007-03-20,0,6
2007-03-21,37.833333333333336,6
2007-03-22,0,6
2007-03-23,15.333333333333334,6
2007-03-24,0,6
2007-03-25,0,6
2007-03-26,25.333333333333332,6
2007-03-27,42.166666666666664,6
2007-03-28,0,6
2007-03-29,22.333333333333332,6
2007-03-30,0,6
2007-03-31,0,6
2007-04-01,0,7
2007-04-02,0,7
2007-04-03,18,7
2007-04-04,40.42857142857143,7
2007-04-05,40.142857142857146,7
2007-04-06,7,7
2007-04-07,30.714285714285715,7
2007-04-08,0,7
2007-04-09,7.142857142857143,7
2007-04-10,0,7
2007-04-11,0,7
2007-04-12,0,7
2007-04-13,0,7
2007-04-14,0,7
2007-04-15,27.714285714285715,7
2007-04-16,30.25,8
2007-04-17,0,8
2007-04-18,0,8
2007-04-19,0,8
2007-04-20,0,8
2007-04-21,27.5,8
2007-04-22,36.5,8
2007-04-23,0,8
2007-04-24,0,8
2007-04-25,0,8
2007-04-26,19.25,8
2007-04-27,21.375,8
2007-04-28,0,8
2007-04-29,0,8
2007-04-30,9.375,8
2007-05-01,0,9
2007-05-02,26.444444444444443,9
2007-05-03,12.666666666666666,9
2007-05-04,46.44444444444444,9
2007-05-05,0,9
2007-05-06,0,9
2007-05-07,0,9
2007-05-08,46.333333333333336,9
2007-05-09,40.44444444444444,9
2007-05-10,0,9
2007-05-11,19.555555555555557,9
2007-05-12,35.22222222222222,9
2007-05-13,24.88888888888889,9
2007-05-14,31.77777777777778,9
2007-05-15,14.222222222222221,9
2007-05-16,18,10
2007-05-17,0,10
2007-05-18,17.4,10
2007-05-19,26.5,10
2007-05-20,0,10
2007-05-21,39.8,10
2007-05-22,20.1,10
2007-05-23,10.3,10
2007-05-24,6.6,10
2007-05-25,0,10
2007-05-26,0,10
2007-05-27,0,10
2007-05-28,0,10
2007-05-29,8.7,10
2007-05-30,3.7,10
2007-05-31,0,11
2007-06-01,16.818181818181817,11
2007-06-02,0,11
2007-06-03,0,11
2007-06-04,15.818181818181818,11
2007-06-05,0,11
2007-06-06,0,11
2007-06-07,0,11
2007-06-08,0,11
2007-06-09,0,11
2007-06-10,0,11
2007-06-11,0,11
2007-06-12,11.090909090909092,11
2007-06-13,21.636363636363637,11
2007-06-14,0,11
2007-06-15,22.5,12
2007-06-16,0,12
2007-06-17,0,12
2007-06-18,15.916666666666666,12
2007-06-19,24.833333333333332,12
2007-06-20,5.666666666666667,12
2007-06-21,44.666666666666664,12
2007-06-22,34.583333333333336,12
2007-06-23,0,12
2007-06-24,15.083333333333334,12
2007-06-25,0,12
2007-06-26,11.416666666666666,12
2007-06-27,8.5,12
2007-06-28,18.5,12
2007-06-29,11.75,12
2007-06-30,0,13
2007-07-01,0,13
2007-07-02,0,12
2007-07-03,26.25,12
2007-07-04,0,12
2007-07-05,15.666666666666666,12
2007-07-06,0,12
2007-07-07,0,12
2007-07-08,26.5,12
2007-07-09,21,12
2007-07-10,0,12
2007-07-11,7.666666666666667,12
2007-07-12,0,12
2007-07-13,0,12
2007-07-14,0,12
2007-07-15,0,13
2007-07-16,0,13
2007-07-17,0,12
2007-07-18,0,12
2007-07-19,0,12
2007-07-20,38.333333333333336,12
2007-07-21,0,12
2007-07-22,0,12
2007-07-23,16.916666666666668,12
2007-07-24,44.833333333333336,12
2007-07-25,19.25,12
2007-07-26,39.416666666666664,12
2007-07-27,0,12
2007-07-28,16.666666666666668,12
2007-07-29,0,12
2007-07-30,35.46153846153846,13
2007-07-31,41.30769230769231,13
2007-08-01,0,12
2007-08-02,44.916666666666664,12
2007-08-03,32.25,12
2007-08-04,26.75,12
2007-08-05,23.666666666666668,12
2007-08-06,15.5,12
2007-08-07,16.833333333333332,12
2007-08-08,0,12
2007-08-09,0,12
2007-08-10,11.583333333333334,12
2007-08-11,22.416666666666668,12
2007-08-12,24.5,12
2007-08-13,0,12
2007-08-14,0,13
2007-08-15,0,13
2007-08-16,11.916666666666666,12
2007-08-17,0,12
2007-08-18,24.416666666666668,12
2007-08-19,0,12
2007-08-20,25.25,12
2007-08-21,12.583333333333334,12
2007-08-22,17.75,12
2007-08-23,12.083333333333334,12
2007-08-24,27.75,12
2007-08-25,11.75,12
2007-08-26,30.166666666666668,12
