time,value,n
2006-01-01,45.9375,16
2006-02-01,27.96875,32
2006-03-01,42.96875,32
2006-04-01,40.375,32
2006-05-01,41.6875,32
2006-06-01,45.03125,32
2006-07-01,44.6875,32
2006-08-01,44.4375,32
2006-09-01,44.71875,32
2006-10-01,26.5,32
2006-11-01,34.8125,32
2006-12-01,55.09375,32
2007-01-01,42.41463414634146,41
2007-02-01,30.42,50
2007-03-01,42.96078431372549,51
2007-04-01,28.51923076923077,52
2007-05-01,47.84905660377359,53
2007-06-01,31.38888888888889,54
2007-07-01,37.43636363636365,55
2007-08-01,38.607142857142875,56
2007-09-01,21.47368421052632,57
2007-10-01,21.53448275862069,58
2007-11-01,38.79661016949152,59
2007-12-01,46.38333333333333,60
2008-01-01,36.733333333333334,60
2008-02-01,34.7,60
2008-03-01,31.233333333333334,60
2008-04-01,26.35000000000001,60
2008-05-01,35.066666666666656,60
2008-06-01,32.33333333333333,60
2008-07-01,26.716666666666665,60
2008-08-01,21.88333333333334,60
2008-09-01,32.366666666666674,60
2008-10-01,51.61666666666667,60
2008-11-01,42.21666666666666,60
2008-12-01,59.06666666666667,60
2009-01-01,30.649999999999995,60
2009-02-01,38.866666666666674,60
2009-03-01,43.96666666666667,60
2009-04-01,34.71666666666666,60
2009-05-01,32.41666666666667,60
2009-06-01,31.466666666666654,60
2009-07-01,41.55,60
2009-08-01,44.71666666666667,60
2009-09-01,45.55,60
2009-10-01,42.333333333333336,60
2009-11-01,50.800000000000004,60
2009-12-01,70.21666666666667,60
2010-01-01,36.38333333333333,60
2010-02-01,40.28333333333333,60
2010-03-01,43.8,60
2010-04-01,41.016666666666666,60
2010-05-01,43.816666666666656,60
2010-06-01,37.13333333333332,60
2010-07-01,40.05,60
2010-08-01,42.38333333333333,60
2010-09-01,50.73333333333333,60
2010-10-01,40.750000000000014,60
2010-11-01,38.26666666666667,60
2010-12-01,69.75000000000003,60
2011-01-01,42.26666666666665,60
2011-02-01,35.9,60
2011-03-01,36.81666666666667,60
2011-04-01,45.21666666666667,60
2011-05-01,44.25000000000001,60
2011-06-01,39.65,60
2011-07-01,41.85,60
2011-08-01,40.19999999999998,60
2011-09-01,40.816666666666656,60
2011-10-01,42.35,60
2011-11-01,54.43333333333333,60
2011-12-01,63.45000000000002,60
2012-01-01,46.88333333333334,60
2012-02-01,39.55,60
2012-03-01,41,60
2012-04-01,47.68333333333333,60
2012-05-01,45.06666666666668,60
2012-06-01,48.11666666666667,60
2012-07-01,41.65,60
2012-08-01,34.25,60
2012-09-01,46.25,60
2012-10-01,44.21666666666667,60
2012-11-01,58.9,60
2012-12-01,57.68333333333333,60
2013-01-01,39.816666666666656,60
2013-02-01,42.31666666666667,60
2013-03-01,42.68333333333332,60
2013-04-01,50.28333333333333,60
2013-05-01,48.95,60
2013-06-01,44.43333333333333,60
2013-07-01,50.4,60
2013-08-01,39.899999999999984,60
2013-09-01,51.4,60
2013-10-01,56.6,60
2013-11-01,56.516666666666666,60
2013-12-01,79.3,60
2014-01-01,50.233333333333334,60
2014-02-01,46.68333333333333,60
2014-03-01,46.15,60
2014-04-01,48.65,60
2014-05-01,54.68333333333333,60
2014-06-01,54.86666666666667,60
2014-07-01,53.64999999999999,60
2014-08-01,55.53333333333333,60
2014-09-01,44.516666666666666,60
2014-10-01,46.41666666666667,60
2014-11-01,63.6,60
2014-12-01,88.5,60
2015-01-01,61.83333333333334,60
2015-02-01,55.983333333333334,60
2015-03-01,62.733333333333334,60
2015-04-01,58.7,60
2015-05-01,63.349999999999994,60
2015-06-01,52.86666666666667,60
2015-07-01,56,60
2015-08-01,60.26666666666667,60
2015-09-01,55.16666666666667,60
2015-10-01,63.49999999999998,60
2015-11-01,74.68333333333334,60
2015-12-01,95.0166666666666,60
2016-01-01,41.466666666666676,60
2016-02-01,49.483333333333334,60
2016-03-01,46.53333333333333,60
2016-04-01,56.93333333333332,60
2016-05-01,56.766666666666666,60
2016-06-01,49.65,60
2016-07-01,51.43333333333333,60
2016-08-01,48.516666666666666,60
2016-09-01,48.5,60
2016-10-01,51.68333333333332,60
2016-11-01,63.833333333333336,60
2016-12-01,82.25,60
2017-01-01,47.85,60
2017-02-01,42.46666666666666,60
