time,value,n
2007-01-07,27,1
2007-01-14,39,1
2007-01-21,52,1
2007-01-28,27,1
2007-02-04,14,1
2007-02-11,41,1
2007-02-18,27,1
2007-02-25,13,1
2007-03-04,38,1
2007-03-11,13,1
2007-03-18,38,1
2007-03-25,48,2
2007-04-01,65,2
2007-04-08,0,2
2007-04-15,0,2
2007-04-22,15,2
2007-04-29,45,2
2007-05-06,45,2
2007-05-13,29,2
2007-05-20,48,2
2007-05-27,27,2
2007-06-03,6.5,2
2007-06-10,24.666666666666668,3
2007-06-17,32,3
2007-06-24,28.333333333333332,3
2007-07-01,10.333333333333334,3
2007-07-08,18.666666666666668,3
2007-07-15,11.333333333333334,3
2007-07-22,68.66666666666667,3
2007-07-29,75.66666666666667,3
2007-08-05,24,3
2007-08-12,17.333333333333332,3
2007-08-19,33.666666666666664,3
2007-08-26,23.75,4
2007-09-02,10.5,4
2007-09-09,21,4
2007-09-16,16,4
2007-09-23,3.25,4
2007-09-30,10,4
2007-10-07,11.5,4
2007-10-14,12.25,4
2007-10-21,25.75,4
2007-10-28,23,4
2007-11-04,31.5,4
2007-11-11,19.8,5
2007-11-18,18,5
2007-11-25,43.6,5
2007-12-02,63.2,5
2007-12-09,39.6,5
2007-12-16,42,5
2007-12-23,13,5
2007-12-30,20,5
2008-01-06,30.8,5
2008-01-13,35.8,5
2008-01-20,43.4,5
2008-01-27,18.333333333333332,6
2008-02-03,31.666666666666668,6
2008-02-10,28.333333333333332,6
2008-02-17,32.166666666666664,6
2008-02-24,29,6
2008-03-02,31.166666666666668,6
2008-03-09,12.5,6
2008-03-16,38.833333333333336,6
2008-03-23,28,6
2008-03-30,12.666666666666666,6
2008-04-06,29.666666666666668,6
2008-04-13,22.428571428571427,7
2008-04-20,13.857142857142858,7
2008-04-27,25.857142857142858,7
2008-05-04,28.285714285714285,7
2008-05-11,14.142857142857142,7
2008-05-18,23.857142857142858,7
2008-05-25,40.714285714285715,7
2008-06-01,31.571428571428573,7
2008-06-08,25.285714285714285,7
2008-06-15,31.857142857142858,7
2008-06-22,17.142857142857142,7
2008-06-29,22.25,8
2008-07-06,31.5,8
2008-07-13,9.5,8
2008-07-20,26.375,8
2008-07-27,22.75,8
2008-08-03,14.5,8
2008-08-10,11.625,8
2008-08-17,22.125,8
2008-08-24,17,8
2008-08-31,24.5,8
2008-09-07,10.125,8
2008-09-14,52.55555555555556,9
2008-09-21,21.88888888888889,9
2008-09-28,23,9
2008-10-05,37.55555555555556,9
2008-10-12,34.111111111111114,9
2008-10-19,58.888888888888886,9
2008-10-26,41.55555555555556,9
2008-11-02,27.77777777777778,9
2008-11-09,32.666666666666664,9
2008-11-16,39.333333333333336,9
2008-11-23,36.77777777777778,9
2008-11-30,38.3,10
2008-12-07,71.8,10
2008-12-14,47.4,10
2008-12-21,40.2,10
2008-12-28,23,10
2009-01-04,27.7,10
2009-01-11,40,10
2009-01-18,24.6,10
2009-01-25,28.6,10
2009-02-01,21.4,10
2009-02-08,42.5,10
2009-02-15,37.18181818181818,11
2009-02-22,25,11
2009-03-01,46.45454545454545,11
2009-03-08,37,11
2009-03-15,48.63636363636363,11
2009-03-22,37.90909090909091,11
2009-03-29,15.181818181818182,11
2009-04-05,11.272727272727272,11
2009-04-12,32,11
2009-04-19,29.272727272727273,11
2009-04-26,46.09090909090909,11
2009-05-03,29.5,12
2009-05-10,21.416666666666668,12
2009-05-17,30.5,12
2009-05-24,30.333333333333332,12
2009-05-31,16.75,12
2009-06-07,20.666666666666668,12
2009-06-14,34.916666666666664,12
2009-06-21,20.25,12
2009-06-28,38.166666666666664,12
2009-07-05,56.5,12
2009-07-12,38.833333333333336,12
2009-07-19,15.307692307692308,13
2009-07-26,24.692307692307693,13
2009-08-02,45.15384615384615,13
2009-08-09,15,13
2009-08-16,40.46153846153846,13
2009-08-23,36.76923076923077,13
2009-08-30,37.23076923076923,13
2009-09-06,40.38461538461539,13
2009-09-13,41.92307692307692,13
2009-09-20,28.307692307692307,13
2009-09-27,42.53846153846154,13
2009-10-04,26.928571428571427,14
2009-10-11,38.785714285714285,14
2009-10-18,37.57142857142857,14
2009-10-25,31.857142857142858,14
2009-11-01,33.5,14
2009-11-08,46.214285714285715,14
2009-11-15,35.857142857142854,14
2009-11-22,46,14
2009-11-29,84.5,14
2009-12-06,44.714285714285715,14
2009-12-13,53.142857142857146,14
2009-12-20,51.86666666666667,15
2009-12-27,29.666666666666668,15
2010-01-03,33.06666666666667,15
2010-01-10,32.13333333333333,15
2010-01-17,38.53333333333333,15
2010-01-24,15.266666666666667,15
2010-01-31,24.933333333333337,15
2010-02-07,27.8,15
2010-02-14,14.6,15
2010-02-21,46.53333333333333,15
2010-02-28,41.46666666666667,15
2010-03-07,30.6875,16
2010-03-14,14.875,16
2010-03-21,39.3125,16
2010-03-28,43.8125,16
2010-04-04,33.5625,16
2010-04-11,27,16
2010-04-18,43.75,16
2010-04-25,30.5,16
2010-05-02,41.25,16
2010-05-09,47.125,16
2010-05-16,33.125,16
2010-05-23,16.529411764705884,17
2010-05-30,37.8235294117647,17
2010-06-06,26,17
2010-06-13,25.88235294117647,17
2010-06-20,33.35294117647059,17
2010-06-27,35.294117647058826,17
2010-07-04,35.411764705882355,17
2010-07-11,29.58823529411765,17
2010-07-18,21.529411764705884,17
2010-07-25,46.294117647058826,17
2010-08-01,12.235294117647058,17
2010-08-08,28,18
2010-08-15,54.611111111111114,18
2010-08-22,41.666666666666664,18
2010-08-29,27.444444444444443,18
2010-09-05,31.27777777777778,18
2010-09-12,54.27777777777778,18
2010-09-19,47.77777777777778,18
2010-09-26,41.611111111111114,18
2010-10-03,29.944444444444443,18
2010-10-10,28.27777777777778,18
2010-10-17,48.111111111111114,18
2010-10-24,42.94736842105263,19
2010-10-31,17.842105263157894,19
2010-11-07,44.10526315789474,19
2010-11-14,37.63157894736842,19
2010-11-21,30.473684210526315,19
2010-11-28,43.8421052631579,19
2010-12-05,50.31578947368421,19
2010-12-12,83.15789473684211,19
2010-12-19,55.1578947368421,19
2010-12-26,40.421052631578945,19
2011-01-02,42.68421052631579,19
2011-01-09,33,20
2011-01-16,26.3,20
2011-01-23,35.85,20
2011-01-30,30.2,20
2011-02-06,26.85,20
2011-02-13,32,20
2011-02-20,30.95,20
2011-02-27,26.25,20
2011-03-06,26.6,20
2011-03-13,42.35,20
2011-03-20,20.25,20
2011-03-27,33.666666666666664,21
2011-04-03,33.666666666666664,21
2011-04-10,41.95238095238095,21
2011-04-17,29.714285714285715,21
2011-04-24,32.42857142857143,21
2011-05-01,28.571428571428573,21
2011-05-08,35.904761904761905,21
2011-05-15,44.285714285714285,21
2011-05-22,33.904761904761905,21
2011-05-29,38.57142857142857,21
2011-06-05,24,21
2011-06-12,37.72727272727273,22
2011-06-19,32.5,22
2011-06-26,26.136363636363637,22
2011-07-03,40.63636363636363,22
2011-07-10,36,22
2011-07-17,35.36363636363637,22
2011-07-24,31.5,22
