time,value,n
2007-01-01,0,1
2007-01-02,0,1
2007-01-03,0,1
2007-01-04,0,1
2007-01-05,0,1
2007-01-06,0,1
2007-01-07,0,1
2007-01-08,33,1
2007-01-09,0,1
2007-01-10,0,1
2007-01-11,0,1
2007-01-12,0,1
2007-01-13,0,1
2007-01-14,0,1
2007-01-15,0,1
2007-01-16,0,2
2007-01-17,0,2
2007-01-18,0,2
2007-01-19,0,2
2007-01-20,0,2
2007-01-21,0,2
2007-01-22,0,2
2007-01-23,0,2
2007-01-24,0,2
2007-01-25,18,2
2007-01-26,0,2
2007-01-27,0,2
2007-01-28,0,2
2007-01-29,0,2
2007-01-30,0,2
2007-01-31,0,3
2007-02-01,0,3
2007-02-02,0,3
2007-02-03,0,3
2007-02-04,0,3
2007-02-05,0,3
2007-02-06,0,3
2007-02-07,0,3
2007-02-08,12.666666666666666,3
2007-02-09,0,3
2007-02-10,0,3
2007-02-11,0,3
2007-02-12,12.666666666666666,3
2007-02-13,0,3
2007-02-14,0,3
2007-02-15,0,4
2007-02-16,0,4
2007-02-17,0,4
2007-02-18,0,4
2007-02-19,0,4
2007-02-20,0,4
2007-02-21,0,4
2007-02-22,9,4
2007-02-23,0,4
2007-02-24,0,4
2007-02-25,0,4
2007-02-26,0,4
2007-02-27,0,4
2007-02-28,0,4
2007-03-01,8.75,4
2007-03-02,0,5
2007-03-03,0,5
2007-03-04,0,5
2007-03-05,29,5
2007-03-06,0,5
2007-03-07,0,5
2007-03-08,22.4,5
2007-03-09,47,5
2007-03-10,0,5
2007-03-11,0,5
2007-03-12,0,5
2007-03-13,0,5
2007-03-14,0,5
2007-03-15,0,5
2007-03-16,0,5
2007-03-17,0,6
2007-03-18,0,6
2007-03-19,16.5,6
2007-03-20,0,6
2007-03-21,0,6
2007-03-22,20,6
2007-03-23,0,6
2007-03-24,0,6
2007-03-25,0,6
2007-03-26,0,6
2007-03-27,0,6
2007-03-28,0,6
2007-03-29,0,6
2007-03-30,0,6
2007-03-31,0,6
2007-04-01,33.42857142857143,7
2007-04-02,0,7
2007-04-03,0,7
2007-04-04,0,7
2007-04-05,0,7
2007-04-06,0,7
2007-04-07,0,7
2007-04-08,0,7
2007-04-09,24.428571428571427,7
2007-04-10,0,7
2007-04-11,0,7
2007-04-12,0,7
2007-04-13,0,7
2007-04-14,0,7
2007-04-15,0,7
2007-04-16,0,8
2007-04-17,0,8
2007-04-18,17.375,8
2007-04-19,0,8
2007-04-20,7.375,8
2007-04-21,0,8
2007-04-22,0,8
2007-04-23,37.625,8
2007-04-24,0,8
2007-04-25,0,8
2007-04-26,0,8
2007-04-27,0,8
2007-04-28,0,8
2007-04-29,0,8
2007-04-30,0,8
2007-05-01,57.888888888888886,9
2007-05-02,0,9
2007-05-03,0,9
2007-05-04,0,9
2007-05-05,35.77777777777778,9
2007-05-06,17.333333333333332,9
2007-05-07,0,9
2007-05-08,0,9
2007-05-09,0,9
2007-05-10,0,9
2007-05-11,0,9
2007-05-12,12.444444444444445,9
2007-05-13,0,9
2007-05-14,0,9
2007-05-15,0,9
2007-05-16,0,10
2007-05-17,27.8,10
2007-05-18,0,10
2007-05-19,0,10
2007-05-20,0,10
2007-05-21,0,10
2007-05-22,0,10
2007-05-23,0,10
2007-05-24,26.6,10
2007-05-25,0,10
2007-05-26,0,10
2007-05-27,0,10
2007-05-28,0,10
2007-05-29,0,10
2007-05-30,0,10
2007-05-31,0,11
2007-06-01,13.545454545454543,11
2007-06-02,0,11
2007-06-03,0,11
2007-06-04,0,11
2007-06-05,2.363636363636364,11
2007-06-06,20.545454545454547,11
2007-06-07,0,11
2007-06-08,0,11
2007-06-09,18.454545454545453,11
2007-06-10,19.727272727272727,11
2007-06-11,0,11
2007-06-12,0,11
2007-06-13,22.09090909090909,11
2007-06-14,0,11
2007-06-15,0,12
2007-06-16,0,12
2007-06-17,0,12
2007-06-18,17.5,12
2007-06-19,0,12
2007-06-20,0,12
2007-06-21,0,12
2007-06-22,0,12
2007-06-23,0,12
2007-06-24,0,12
2007-06-25,0,12
2007-06-26,0,12
2007-06-27,30.416666666666668,12
2007-06-28,0,12
2007-06-29,0,12
2007-06-30,39.53846153846154,13
2007-07-01,0,13
2007-07-02,0,12
2007-07-03,0,12
2007-07-04,0,12
2007-07-05,0,12
2007-07-06,0,12
2007-07-07,0,12
2007-07-08,0,12
2007-07-09,0,12
2007-07-10,0,12
2007-07-11,0,12
2007-07-12,0,12
2007-07-13,0,12
2007-07-14,11.5,12
2007-07-15,0,13
2007-07-16,35.53846153846154,13
2007-07-17,0,12
2007-07-18,0,12
2007-07-19,0,12
2007-07-20,35.666666666666664,12
2007-07-21,41.666666666666664,12
2007-07-22,0,12
2007-07-23,25.75,12
2007-07-24,0,12
2007-07-25,0,12
2007-07-26,20.916666666666668,12
2007-07-27,0,12
2007-07-28,0,12
2007-07-29,0,12
2007-07-30,40.38461538461539,13
2007-07-31,0,13
2007-08-01,0,12
2007-08-02,0,12
2007-08-03,33.833333333333336,12
2007-08-04,27.583333333333332,12
2007-08-05,0,12
2007-08-06,0,12
2007-08-07,30.416666666666668,12
2007-08-08,9.083333333333334,12
2007-08-09,0,12
2007-08-10,0,12
2007-08-11,0,12
2007-08-12,0,12
2007-08-13,0,12
2007-08-14,0,13
2007-08-15,0,13
2007-08-16,23.666666666666668,12
2007-08-17,0,12
2007-08-18,0,12
2007-08-19,0,12
2007-08-20,0,12
2007-08-21,14.666666666666666,12
2007-08-22,7.166666666666667,12
2007-08-23,0,12
2007-08-24,0,12
2007-08-25,0,12
2007-08-26,0,12
2007-08-27,0,12
2007-08-28,7.916666666666667,12
2007-08-29,0,13
2007-08-30,0,13
2007-08-31,0,13
2007-09-01,0,13
2007-09-02,0,13
2007-09-03,0,12
2007-09-04,0,12
2007-09-05,0,12
2007-09-06,11.916666666666666,12
2007-09-07,0,12
2007-09-08,0,12
2007-09-09,0,12
2007-09-10,20,12
2007-09-11,0,12
2007-09-12,0,12
2007-09-13,0,13
2007-09-14,13.076923076923077,13
2007-09-15,0,13
