time,value,n
2007-01-07,59,1
2007-01-14,34,1
2007-01-21,58,1
2007-01-28,54,1
2007-02-04,25,1
2007-02-11,20,1
2007-02-18,56,1
2007-02-25,56,1
2007-03-04,56,1
2007-03-11,45,1
2007-03-18,37,1
2007-03-25,50,2
2007-04-01,47.5,2
2007-04-08,69.5,2
2007-04-15,40,2
2007-04-22,32,2
2007-04-29,70.5,2
2007-05-06,68.5,2
2007-05-13,49,2
2007-05-20,68.5,2
2007-05-27,40.5,2
2007-06-03,48.5,2
2007-06-10,37.333333333333336,3
2007-06-17,58.666666666666664,3
2007-06-24,43.333333333333336,3
2007-07-01,45.333333333333336,3
2007-07-08,55,3
2007-07-15,42.666666666666664,3
2007-07-22,50.333333333333336,3
2007-07-29,59,3
2007-08-05,43,3
2007-08-12,84.33333333333333,3
2007-08-19,50.333333333333336,3
2007-08-26,60.25,4
2007-09-02,40.5,4
2007-09-09,27.25,4
2007-09-16,50,4
2007-09-23,62.5,4
2007-09-30,47.75,4
2007-10-07,56.75,4
2007-10-14,46.25,4
2007-10-21,37.5,4
2007-10-28,58.75,4
2007-11-04,35.25,4
2007-11-11,63.4,5
2007-11-18,32.4,5
2007-11-25,28.2,5
2007-12-02,32,5
2007-12-09,61.6,5
2007-12-16,54.2,5
2007-12-23,46.4,5
2007-12-30,56.2,5
2008-01-06,42.4,5
2008-01-13,48.8,5
2008-01-20,49.2,5
2008-01-27,62.5,6
2008-02-03,57.666666666666664,6
2008-02-10,52.333333333333336,6
2008-02-17,49.666666666666664,6
2008-02-24,59.666666666666664,6
2008-03-02,33.166666666666664,6
2008-03-09,50,6
2008-03-16,53.666666666666664,6
2008-03-23,51.666666666666664,6
2008-03-30,42,6
2008-04-06,62.666666666666664,6
2008-04-13,41.42857142857143,7
2008-04-20,49,7
2008-04-27,36,7
2008-05-04,41.285714285714285,7
2008-05-11,44,7
2008-05-18,49,7
2008-05-25,41.142857142857146,7
2008-06-01,36.142857142857146,7
2008-06-08,49.42857142857143,7
2008-06-15,53.57142857142857,7
2008-06-22,49.42857142857143,7
2008-06-29,43.125,8
2008-07-06,35.875,8
2008-07-13,41,8
2008-07-20,61,8
2008-07-27,38.625,8
2008-08-03,52.75,8
2008-08-10,55.625,8
2008-08-17,52.25,8
2008-08-24,73.75,8
2008-08-31,61.25,8
2008-09-07,41,8
2008-09-14,44.666666666666664,9
2008-09-21,50.44444444444444,9
2008-09-28,60.22222222222222,9
2008-10-05,48.666666666666664,9
2008-10-12,39.44444444444444,9
2008-10-19,46,9
2008-10-26,43.111111111111114,9
2008-11-02,46.888888888888886,9
2008-11-09,51.111111111111114,9
2008-11-16,45.333333333333336,9
2008-11-23,50.22222222222222,9
2008-11-30,58.8,10
2008-12-07,49.9,10
2008-12-14,58.6,10
2008-12-21,48,10
2008-12-28,44.5,10
2009-01-04,50.2,10
2009-01-11,50.5,10
2009-01-18,49.9,10
2009-01-25,39.5,10
2009-02-01,52.9,10
2009-02-08,65.4,10
2009-02-15,43.09090909090909,11
2009-02-22,35.36363636363637,11
2009-03-01,38.27272727272727,11
2009-03-08,58.45454545454545,11
2009-03-15,57.45454545454545,11
2009-03-22,45.36363636363637,11
2009-03-29,53.63636363636363,11
2009-04-05,55.27272727272727,11
2009-04-12,41.63636363636363,11
2009-04-19,40.72727272727273,11
2009-04-26,46.72727272727273,11
2009-05-03,60.416666666666664,12
2009-05-10,48.25,12
