time,value,n
2007-01-01,0,1
2007-01-02,0,1
2007-01-03,0,1
2007-01-04,12,1
2007-01-05,14,1
2007-01-06,34,1
2007-01-07,15,1
2007-01-08,20,1
2007-01-09,20,1
2007-01-10,10,1
2007-01-11,10,1
2007-01-12,0,1
2007-01-13,0,1
2007-01-14,0,1
2007-01-15,0,1
2007-01-16,13,2
2007-01-17,0,2
2007-01-18,10.5,2
2007-01-19,21,2
2007-01-20,0,2
2007-01-21,18,2
2007-01-22,40.5,2
2007-01-23,8,2
2007-01-24,5,2
2007-01-25,22.5,2
2007-01-26,0,2
2007-01-27,21.5,2
2007-01-28,30.5,2
2007-01-29,0,2
2007-01-30,27,2
2007-01-31,9.333333333333334,3
2007-02-01,3.6666666666666665,3
2007-02-02,14,3
2007-02-03,0,3
2007-02-04,55.333333333333336,3
2007-02-05,7.666666666666667,3
2007-02-06,10,3
2007-02-07,5.666666666666667,3
2007-02-08,3.6666666666666665,3
2007-02-09,0,3
2007-02-10,5.666666666666667,3
2007-02-11,25.666666666666668,3
2007-02-12,4.333333333333333,3
2007-02-13,12,3
2007-02-14,0,3
2007-02-15,10.75,4
2007-02-16,0,4
2007-02-17,9.25,4
2007-02-18,32,4
2007-02-19,17.75,4
2007-02-20,6,4
2007-02-21,10.25,4
2007-02-22,16,4
2007-02-23,3,4
2007-02-24,11.75,4
2007-02-25,13.5,4
2007-02-26,8.25,4
2007-02-27,28.75,4
2007-02-28,5.25,4
2007-03-01,22.25,4
2007-03-02,17.2,5
2007-03-03,42.8,5
2007-03-04,26.6,5
2007-03-05,10.8,5
2007-03-06,16.2,5
2007-03-07,13.8,5
2007-03-08,21.6,5
2007-03-09,0,5
2007-03-10,6.2,5
2007-03-11,6.4,5
2007-03-12,9.4,5
2007-03-13,12.2,5
2007-03-14,17.6,5
2007-03-15,4.6,5
2007-03-16,21.4,5
2007-03-17,22.333333333333332,6
2007-03-18,0,6
2007-03-19,21.166666666666668,6
2007-03-20,12.333333333333334,6
2007-03-21,24.666666666666668,6
2007-03-22,7.333333333333333,6
2007-03-23,5,6
2007-03-24,16.666666666666668,6
2007-03-25,32.5,6
2007-03-26,4.333333333333333,6
2007-03-27,27.333333333333332,6
2007-03-28,0,6
2007-03-29,14,6
2007-03-30,6.666666666666667,6
2007-03-31,21.833333333333332,6
2007-04-01,9.428571428571429,7
2007-04-02,16.428571428571427,7
2007-04-03,16.428571428571427,7
2007-04-04,6.285714285714286,7
2007-04-05,14.142857142857142,7
2007-04-06,34.142857142857146,7
2007-04-07,29.428571428571427,7
2007-04-08,36.42857142857143,7
2007-04-09,0,7
2007-04-10,32,7
2007-04-11,14.428571428571429,7
2007-04-12,10,7
2007-04-13,42.285714285714285,7
2007-04-14,17.428571428571427,7
2007-04-15,39.142857142857146,7
2007-04-16,18.875,8
2007-04-17,6.875,8
2007-04-18,32.875,8
2007-04-19,2.625,8
2007-04-20,32.125,8
2007-04-21,0,8
2007-04-22,19.625,8
2007-04-23,24.875,8
2007-04-24,25.75,8
2007-04-25,23.375,8
2007-04-26,23.5,8
2007-04-27,14.625,8
2007-04-28,4.125,8
2007-04-29,23.375,8
2007-04-30,9.875,8
2007-05-01,26.22222222222222,9
2007-05-02,17.88888888888889,9
2007-05-03,26.444444444444443,9
2007-05-04,12.88888888888889,9
2007-05-05,19.333333333333332,9
2007-05-06,15,9
2007-05-07,21.666666666666668,9
2007-05-08,34.22222222222222,9
2007-05-09,8.555555555555555,9
2007-05-10,11.333333333333334,9
2007-05-11,19.333333333333332,9
2007-05-12,22.11111111111111,9
2007-05-13,48.666666666666664,9
2007-05-14,20.666666666666668,9
2007-05-15,9.666666666666666,9
2007-05-16,23.3,10
2007-05-17,40.4,10
2007-05-18,4.6,10
2007-05-19,11,10
2007-05-20,13.5,10
2007-05-21,25.7,10
2007-05-22,34,10
2007-05-23,21.6,10
2007-05-24,30.1,10
2007-05-25,42.8,10
2007-05-26,10.9,10
2007-05-27,53.6,10
2007-05-28,12.3,10
2007-05-29,17.4,10
2007-05-30,30.8,10
2007-05-31,29.636363636363637,11
2007-06-01,17,11
2007-06-02,36.72727272727273,11
2007-06-03,28.545454545454547,11
2007-06-04,36.45454545454545,11
2007-06-05,12.090909090909092,11
2007-06-06,26.09090909090909,11
2007-06-07,18.818181818181817,11
2007-06-08,54,11
2007-06-09,8.272727272727273,11
2007-06-10,31.181818181818183,11
2007-06-11,19.818181818181817,11
2007-06-12,29.272727272727273,11
2007-06-13,8.090909090909092,11
2007-06-14,18.363636363636363,11
2007-06-15,39.916666666666664,12
2007-06-16,36.25,12
2007-06-17,19.5,12
2007-06-18,14.416666666666666,12
2007-06-19,21.583333333333332,12
2007-06-20,36.916666666666664,12
2007-06-21,27.416666666666668,12
2007-06-22,16.5,12
2007-06-23,23.5,12
2007-06-24,44.25,12
2007-06-25,25.166666666666668,12
2007-06-26,32.583333333333336,12
2007-06-27,17.083333333333332,12
2007-06-28,52.166666666666664,12
2007-06-29,17.5,12
2007-06-30,5.846153846153846,13
2007-07-01,13.23076923076923,13
2007-07-02,13.25,12
2007-07-03,21.5,12
2007-07-04,44.166666666666664,12
2007-07-05,50.833333333333336,12
2007-07-06,44.5,12
2007-07-07,31.416666666666668,12
2007-07-08,41.083333333333336,12
2007-07-09,26.916666666666668,12
2007-07-10,36.083333333333336,12
2007-07-11,28.583333333333332,12
2007-07-12,32.083333333333336,12
2007-07-13,48.833333333333336,12
2007-07-14,48.916666666666664,12
2007-07-15,50,13
2007-07-16,23.153846153846153,13
2007-07-17,26.75,12
2007-07-18,15.666666666666666,12
2007-07-19,52.083333333333336,12
2007-07-20,43.75,12
2007-07-21,63.083333333333336,12
2007-07-22,32.833333333333336,12
2007-07-23,26.416666666666668,12
2007-07-24,13.416666666666666,12
2007-07-25,29.583333333333332,12
2007-07-26,33.583333333333336,12
2007-07-27,28.583333333333332,12
2007-07-28,30.166666666666668,12
2007-07-29,23.333333333333332,12
2007-07-30,29.076923076923077,13
2007-07-31,23.23076923076923,13
2007-08-01,45.666666666666664,12
