time,value,n
2007-01-07,5,1
2007-01-14,5,1
2007-01-21,4,1
2007-01-28,4,1
2007-02-04,5,1
2007-02-11,9,1
2007-02-18,7,1
2007-02-25,9,1
2007-03-04,6,1
2007-03-11,6,1
2007-03-18,10,1
2007-03-25,8.5,2
2007-04-01,16,2
2007-04-08,14.5,2
2007-04-15,13.5,2
2007-04-22,14,2
2007-04-29,9.5,2
2007-05-06,12,2
2007-05-13,14,2
2007-05-20,20.5,2
2007-05-27,20,2
2007-06-03,22.5,2
2007-06-10,19,3
2007-06-17,16,3
2007-06-24,15.666666666666666,3
2007-07-01,23.666666666666668,3
2007-07-08,26,3
2007-07-15,26.666666666666668,3
2007-07-22,20.666666666666668,3
2007-07-29,17.333333333333332,3
2007-08-05,26.333333333333332,3
2007-08-12,23.666666666666668,3
2007-08-19,21.666666666666668,3
2007-08-26,28.75,4
2007-09-02,15,4
2007-09-09,15.25,4
2007-09-16,17.5,4
2007-09-23,18.75,4
2007-09-30,20,4
2007-10-07,17.25,4
2007-10-14,22.5,4
2007-10-21,18.25,4
2007-10-28,16.75,4
2007-11-04,9,4
2007-11-11,22.8,5
2007-11-18,18.4,5
2007-11-25,20.4,5
2007-12-02,20.6,5
2007-12-09,22.6,5
2007-12-16,25,5
2007-12-23,15.4,5
2007-12-30,19,5
2008-01-06,17.8,5
2008-01-13,18.4,5
2008-01-20,22.4,5
2008-01-27,17.833333333333332,6
2008-02-03,20.333333333333332,6
2008-02-10,21.666666666666668,6
2008-02-17,29.5,6
2008-02-24,27.833333333333332,6
2008-03-02,28.666666666666668,6
2008-03-09,21.333333333333332,6
2008-03-16,26.166666666666668,6
2008-03-23,34.333333333333336,6
2008-03-30,24.333333333333332,6
2008-04-06,29.833333333333332,6
2008-04-13,30.285714285714285,7
2008-04-20,28.142857142857142,7
2008-04-27,39.142857142857146,7
2008-05-04,30.571428571428573,7
2008-05-11,41.857142857142854,7
2008-05-18,35.714285714285715,7
2008-05-25,36.857142857142854,7
2008-06-01,33,7
2008-06-08,36.42857142857143,7
2008-06-15,32.142857142857146,7
2008-06-22,33.285714285714285,7
2008-06-29,35.75,8
2008-07-06,35,8
2008-07-13,32.125,8
2008-07-20,43.25,8
2008-07-27,44.375,8
2008-08-03,48.625,8
2008-08-10,41.5,8
2008-08-17,33.75,8
2008-08-24,39.5,8
2008-08-31,31.125,8
2008-09-07,35.375,8
2008-09-14,31.333333333333332,9
2008-09-21,28.88888888888889,9
2008-09-28,28,9
2008-10-05,27.555555555555557,9
2008-10-12,26.22222222222222,9
2008-10-19,25,9
2008-10-26,25.22222222222222,9
2008-11-02,29.555555555555557,9
2008-11-09,30.77777777777778,9
2008-11-16,23.444444444444443,9
2008-11-23,26.444444444444443,9
2008-11-30,23.2,10
2008-12-07,27.6,10
2008-12-14,27.3,10
2008-12-21,21,10
2008-12-28,25.2,10
2009-01-04,32.3,10
2009-01-11,29.2,10
2009-01-18,33.4,10
2009-01-25,34,10
2009-02-01,35.4,10
2009-02-08,32.1,10
2009-02-15,33.09090909090909,11
2009-02-22,29.545454545454547,11
2009-03-01,36.27272727272727,11
2009-03-08,30.09090909090909,11
2009-03-15,31.818181818181817,11
2009-03-22,35.36363636363637,11
2009-03-29,42.09090909090909,11
2009-04-05,46.90909090909091,11
2009-04-12,44.90909090909091,11
2009-04-19,40,11
2009-04-26,40.18181818181818,11
2009-05-03,38.916666666666664,12
2009-05-10,45.083333333333336,12
2009-05-17,47.416666666666664,12
2009-05-24,43.833333333333336,12
2009-05-31,46.416666666666664,12
2009-06-07,45.416666666666664,12
2009-06-14,48.583333333333336,12
2009-06-21,51.5,12
2009-06-28,58.916666666666664,12
2009-07-05,54.416666666666664,12
2009-07-12,58.333333333333336,12
2009-07-19,51.07692307692308,13
2009-07-26,50.61538461538461,13
2009-08-02,61.84615384615385,13
2009-08-09,57.38461538461539,13
2009-08-16,55.30769230769231,13
2009-08-23,51.38461538461539,13
2009-08-30,47.84615384615385,13
2009-09-06,51.46153846153846,13
2009-09-13,53,13
2009-09-20,48.69230769230769,13
2009-09-27,47.84615384615385,13
2009-10-04,46.285714285714285,14
2009-10-11,44.07142857142857,14
2009-10-18,42.5,14
2009-10-25,48.214285714285715,14
2009-11-01,52.857142857142854,14
2009-11-08,42.714285714285715,14
2009-11-15,47.714285714285715,14
2009-11-22,51.785714285714285,14
2009-11-29,44.357142857142854,14
2009-12-06,47.57142857142857,14
2009-12-13,46,14
2009-12-20,45.53333333333333,15
2009-12-27,49.8,15
2010-01-03,51,15
2010-01-10,48.666666666666664,15
2010-01-17,57.53333333333333,15
2010-01-24,58.266666666666666,15
2010-01-31,55.666666666666664,15
2010-02-07,52.4,15
2010-02-14,58.333333333333336,15
2010-02-21,56.2,15
2010-02-28,57,15
2010-03-07,59.5625,16
2010-03-14,63.8125,16
2010-03-21,56.875,16
2010-03-28,55.3125,16
2010-04-04,58.8125,16
2010-04-11,70.4375,16
2010-04-18,58.375,16
2010-04-25,64.6875,16
2010-05-02,66.6875,16
2010-05-09,59.9375,16
2010-05-16,63.125,16
2010-05-23,63.94117647058823,17
2010-05-30,53.8235294117647,17
2010-06-06,61,17
2010-06-13,57.64705882352941,17
2010-06-20,65.70588235294117,17
2010-06-27,70.76470588235294,17
2010-07-04,82.05882352941177,17
2010-07-11,70,17
2010-07-18,74.94117647058823,17
2010-07-25,70.23529411764706,17
2010-08-01,65.88235294117646,17
2010-08-08,77.05555555555556,18
2010-08-15,77.5,18
2010-08-22,81.55555555555556,18
2010-08-29,72.27777777777777,18
2010-09-05,56.333333333333336,18
2010-09-12,66.61111111111111,18
2010-09-19,61.333333333333336,18
2010-09-26,52,18
2010-10-03,59.72222222222222,18
2010-10-10,56.72222222222222,18
2010-10-17,57.333333333333336,18
2010-10-24,54.421052631578945,19
2010-10-31,55.1578947368421,19
2010-11-07,78.84210526315789,19
2010-11-14,65.47368421052632,19
2010-11-21,55.8421052631579,19
2010-11-28,49.1578947368421,19
2010-12-05,51.63157894736842,19
2010-12-12,54.10526315789474,19
2010-12-19,53.63157894736842,19
2010-12-26,59.94736842105263,19
2011-01-02,60.578947368421055,19
2011-01-09,54.35,20
2011-01-16,55.15,20
2011-01-23,61.1,20
2011-01-30,61.55,20
2011-02-06,55.8,20
2011-02-13,62.4,20
2011-02-20,64.45,20
2011-02-27,60.45,20
2011-03-06,62.5,20
2011-03-13,55.4,20
2011-03-20,55.95,20
2011-03-27,58,21
2011-04-03,62.333333333333336,21
2011-04-10,59,21
2011-04-17,62.95238095238095,21
2011-04-24,57.523809523809526,21
2011-05-01,60.57142857142857,21
2011-05-08,62.666666666666664,21
2011-05-15,64.9047619047619,21
2011-05-22,64.47619047619048,21
2011-05-29,52.80952380952381,21
2011-06-05,69.57142857142857,21
2011-06-12,65.36363636363636,22
2011-06-19,65.5909090909091,22
2011-06-26,69.95454545454545,22
2011-07-03,70.27272727272727,22
2011-07-10,81.68181818181819,22
2011-07-17,71.22727272727273,22
2011-07-24,69.77272727272727,22
2011-07-31,76.22727272727273,22
2011-08-07,81.04545454545455,22
2011-08-14,75.0909090909091,22
2011-08-21,77.68181818181819,22
2011-08-28,70.34782608695652,23
2011-09-04,69.04347826086956,23
2011-09-11,66.34782608695652,23
2011-09-18,62.34782608695652,23
2011-09-25,67.6086956521739,23
2011-10-02,60.608695652173914,23
2011-10-09,52.608695652173914,23
2011-10-16,53.56521739130435,23
2011-10-23,58.95652173913044,23
2011-10-30,54.82608695652174,23
2011-11-06,56.69565217391305,23
2011-11-13,51.125,24
2011-11-20,52.916666666666664,24
2011-11-27,50.458333333333336,24
2011-12-04,49.791666666666664,24
2011-12-11,45.916666666666664,24
2011-12-18,47.208333333333336,24
2011-12-25,57.541666666666664,24
2012-01-01,51.25,24
2012-01-08,55.04347826086956,23
2012-01-15,51.78260869565217,23
2012-01-22,49.26086956521739,23
2012-01-29,51.833333333333336,24
2012-02-05,51.666666666666664,24
2012-02-12,52.541666666666664,24
2012-02-19,47.875,24
2012-02-26,50.291666666666664,24
2012-03-04,59.625,24
2012-03-11,53.875,24
2012-03-18,58.125,24
2012-03-25,52.08695652173913,23
2012-04-01,59.608695652173914,23
2012-04-08,55.869565217391305,23
2012-04-15,58.916666666666664,24
2012-04-22,52.583333333333336,24
2012-04-29,60.875,24
2012-05-06,58.708333333333336,24
2012-05-13,57.75,24
2012-05-20,58.375,24
2012-05-27,55.291666666666664,24
2012-06-03,61,24
2012-06-10,58.34782608695652,23
2012-06-17,60.30434782608695,23
2012-06-24,66.95652173913044,23
2012-07-01,71.58333333333333,24
2012-07-08,65.875,24
2012-07-15,69.66666666666667,24
2012-07-22,69.83333333333333,24
2012-07-29,73.29166666666667,24
2012-08-05,71.25,24
2012-08-12,68.5,24
