time,value,n
2007-01-07,0,1
2007-01-14,38,1
2007-01-21,0,1
2007-01-28,58,1
2007-02-04,41,1
2007-02-11,0,1
2007-02-18,20,1
2007-02-25,0,1
2007-03-04,38,1
2007-03-11,20,1
2007-03-18,37,1
2007-03-25,24,2
2007-04-01,13.5,2
2007-04-08,24.5,2
2007-04-15,0,2
2007-04-22,22.5,2
2007-04-29,23,2
2007-05-06,22,2
2007-05-13,9.5,2
2007-05-20,12,2
2007-05-27,30,2
2007-06-03,84,2
2007-06-10,34.666666666666664,3
2007-06-17,0,3
2007-06-24,38.333333333333336,3
2007-07-01,12.666666666666666,3
2007-07-08,0,3
2007-07-15,7.333333333333333,3
2007-07-22,24,3
2007-07-29,31.666666666666668,3
2007-08-05,14.333333333333334,3
2007-08-12,8.666666666666666,3
2007-08-19,14,3
2007-08-26,27.75,4
2007-09-02,0,4
2007-09-09,20.5,4
2007-09-16,16,4
2007-09-23,25,4
2007-09-30,36.5,4
2007-10-07,44,4
2007-10-14,0,4
2007-10-21,49.75,4
2007-10-28,0,4
2007-11-04,9,4
2007-11-11,29.8,5
2007-11-18,31,5
2007-11-25,20.2,5
2007-12-02,25,5
2007-12-09,12.4,5
2007-12-16,17.2,5
2007-12-23,11.2,5
2007-12-30,4.8,5
2008-01-06,0,5
2008-01-13,54.8,5
2008-01-20,10.6,5
2008-01-27,8.333333333333334,6
2008-02-03,22.833333333333332,6
2008-02-10,43.5,6
2008-02-17,15.333333333333334,6
2008-02-24,26.5,6
2008-03-02,13.833333333333334,6
2008-03-09,10.833333333333334,6
2008-03-16,6.166666666666667,6
2008-03-23,16.166666666666668,6
2008-03-30,29.666666666666668,6
2008-04-06,13.833333333333334,6
2008-04-13,14.285714285714286,7
2008-04-20,25,7
2008-04-27,10.857142857142858,7
2008-05-04,17.571428571428573,7
2008-05-11,39.142857142857146,7
2008-05-18,60,7
2008-05-25,0,7
2008-06-01,0,7
2008-06-08,32.142857142857146,7
2008-06-15,19.285714285714285,7
2008-06-22,12,7
2008-06-29,60.5,8
2008-07-06,24.5,8
2008-07-13,4.375,8
2008-07-20,11.75,8
2008-07-27,19.625,8
2008-08-03,7.375,8
2008-08-10,17.5,8
2008-08-17,28.375,8
2008-08-24,26.125,8
2008-08-31,13.75,8
2008-09-07,48.75,8
2008-09-14,19.333333333333332,9
2008-09-21,10.11111111111111,9
2008-09-28,3.6666666666666665,9
2008-10-05,9,9
2008-10-12,9.666666666666666,9
2008-10-19,18.77777777777778,9
2008-10-26,21.333333333333332,9
2008-11-02,30.444444444444443,9
2008-11-09,24.11111111111111,9
2008-11-16,3.111111111111111,9
2008-11-23,6.555555555555555,9
2008-11-30,16.4,10
2008-12-07,50.5,10
2008-12-14,15.6,10
2008-12-21,16.4,10
2008-12-28,22.7,10
2009-01-04,12.2,10
2009-01-11,6.6,10
2009-01-18,9.3,10
2009-01-25,2.5,10
2009-02-01,21.9,10
2009-02-08,37.9,10
2009-02-15,9.818181818181818,11
2009-02-22,11.363636363636363,11
2009-03-01,12.181818181818182,11
2009-03-08,16.272727272727273,11
2009-03-15,30.09090909090909,11
2009-03-22,20.363636363636363,11
2009-03-29,23.09090909090909,11
2009-04-05,7.363636363636363,11
2009-04-12,11.363636363636363,11
2009-04-19,25.90909090909091,11
2009-04-26,17.454545454545453,11
2009-05-03,34.583333333333336,12
2009-05-10,37.833333333333336,12
2009-05-17,30.333333333333332,12
2009-05-24,39.416666666666664,12
2009-05-31,37.083333333333336,12
2009-06-07,26.5,12
2009-06-14,18.666666666666668,12
2009-06-21,32.5,12
2009-06-28,22.583333333333332,12
2009-07-05,35.75,12
2009-07-12,46.75,12
2009-07-19,30.53846153846154,13
2009-07-26,15.615384615384617,13
2009-08-02,71.07692307692308,13
2009-08-09,43.07692307692308,13
2009-08-16,18.307692307692307,13
2009-08-23,35,13
2009-08-30,24.076923076923077,13
2009-09-06,17.615384615384617,13
2009-09-13,20.615384615384617,13
2009-09-20,41.23076923076923,13
2009-09-27,22.76923076923077,13
2009-10-04,41.57142857142857,14
2009-10-11,35.92857142857143,14
2009-10-18,23.857142857142858,14
2009-10-25,16.642857142857142,14
2009-11-01,20.5,14
2009-11-08,14.357142857142858,14
2009-11-15,29.928571428571427,14
2009-11-22,21,14
2009-11-29,17.285714285714285,14
2009-12-06,30.857142857142858,14
2009-12-13,21.642857142857142,14
2009-12-20,3.533333333333333,15
2009-12-27,37.86666666666667,15
2010-01-03,39.06666666666667,15
2010-01-10,33.13333333333333,15
2010-01-17,69.06666666666666,15
2010-01-24,15.4,15
