time,value,n
2007-01-01,0,1
2007-01-02,0,1
2007-01-03,0,1
2007-01-04,0,1
2007-01-05,41,1
2007-01-06,0,1
2007-01-07,0,1
2007-01-08,30,1
2007-01-09,30,1
2007-01-10,0,1
2007-01-11,0,1
2007-01-12,34,1
2007-01-13,0,1
2007-01-14,0,1
2007-01-15,0,1
2007-01-16,14,2
2007-01-17,0,2
2007-01-18,15,2
2007-01-19,17,2
2007-01-20,0,2
2007-01-21,20.5,2
2007-01-22,28,2
2007-01-23,0,2
2007-01-24,0,2
2007-01-25,0,2
2007-01-26,17,2
2007-01-27,0,2
2007-01-28,0,2
2007-01-29,13.5,2
2007-01-30,14.5,2
2007-01-31,27.333333333333332,3
2007-02-01,28.333333333333332,3
2007-02-02,20,3
2007-02-03,44.333333333333336,3
2007-02-04,15.333333333333334,3
2007-02-05,19.333333333333332,3
2007-02-06,0,3
2007-02-07,10.333333333333334,3
2007-02-08,29.333333333333332,3
2007-02-09,0,3
2007-02-10,0,3
2007-02-11,0,3
2007-02-12,26.333333333333332,3
2007-02-13,0,3
2007-02-14,0,3
2007-02-15,0,4
2007-02-16,0,4
2007-02-17,0,4
2007-02-18,31.75,4
2007-02-19,52.25,4
2007-02-20,20.25,4
2007-02-21,36.75,4
2007-02-22,22,4
2007-02-23,23.75,4
2007-02-24,0,4
2007-02-25,29,4
2007-02-26,18.5,4
2007-02-27,12.25,4
2007-02-28,25.5,4
2007-03-01,0,4
2007-03-02,16.2,5
2007-03-03,0,5
2007-03-04,0,5
2007-03-05,4.2,5
2007-03-06,0,5
2007-03-07,10,5
2007-03-08,14.4,5
2007-03-09,13.2,5
2007-03-10,0,5
2007-03-11,43.8,5
2007-03-12,36,5
2007-03-13,0,5
2007-03-14,0,5
2007-03-15,26.6,5
2007-03-16,0,5
2007-03-17,28,6
2007-03-18,19,6
2007-03-19,12.166666666666666,6
2007-03-20,3.8333333333333335,6
2007-03-21,17.333333333333332,6
2007-03-22,30.166666666666668,6
2007-03-23,14.666666666666666,6
2007-03-24,12.5,6
2007-03-25,23.5,6
2007-03-26,32.833333333333336,6
2007-03-27,0,6
2007-03-28,0,6
2007-03-29,5.333333333333333,6
2007-03-30,31.833333333333332,6
2007-03-31,0,6
2007-04-01,0,7
2007-04-02,0,7
2007-04-03,8.142857142857142,7
2007-04-04,3.4285714285714284,7
2007-04-05,26,7
2007-04-06,37.142857142857146,7
2007-04-07,37.42857142857143,7
2007-04-08,14.857142857142858,7
2007-04-09,12.142857142857142,7
2007-04-10,21.571428571428573,7
2007-04-11,19.571428571428573,7
2007-04-12,3.2857142857142856,7
2007-04-13,22,7
2007-04-14,0,7
2007-04-15,30.142857142857142,7
2007-04-16,26,8
2007-04-17,3.375,8
2007-04-18,0,8
2007-04-19,27.375,8
2007-04-20,41.875,8
2007-04-21,0,8
2007-04-22,14.25,8
2007-04-23,0,8
2007-04-24,22,8
2007-04-25,6.625,8
2007-04-26,24,8
2007-04-27,0,8
2007-04-28,12.5,8
2007-04-29,0,8
2007-04-30,3.25,8
2007-05-01,8.11111111111111,9
2007-05-02,13.77777777777778,9
2007-05-03,20.666666666666668,9
2007-05-04,3.111111111111111,9
2007-05-05,8,9
2007-05-06,11.11111111111111,9
2007-05-07,0,9
2007-05-08,10,9
2007-05-09,0,9
2007-05-10,5.222222222222222,9
2007-05-11,3.4444444444444446,9
2007-05-12,0,9
2007-05-13,0,9
2007-05-14,23.333333333333332,9
2007-05-15,17.77777777777778,9
2007-05-16,10.2,10
2007-05-17,0,10
2007-05-18,0,10
2007-05-19,0,10
2007-05-20,6.8,10
2007-05-21,0,10
2007-05-22,15.1,10
2007-05-23,2.7,10
2007-05-24,19.8,10
2007-05-25,6.5,10
2007-05-26,20,10
2007-05-27,39.7,10
2007-05-28,16.7,10
2007-05-29,18.2,10
2007-05-30,13.4,10
2007-05-31,19.09090909090909,11
2007-06-01,15.272727272727273,11
2007-06-02,0,11
2007-06-03,14.454545454545457,11
2007-06-04,24.636363636363637,11
2007-06-05,6.181818181818182,11
2007-06-06,9.272727272727272,11
2007-06-07,9.818181818181818,11
2007-06-08,30.454545454545453,11
2007-06-09,19.545454545454547,11
2007-06-10,18.818181818181817,11
2007-06-11,6.363636363636363,11
2007-06-12,0,11
2007-06-13,8.545454545454545,11
2007-06-14,34.63636363636363,11
2007-06-15,12.333333333333334,12
2007-06-16,0,12
2007-06-17,0,12
2007-06-18,32.583333333333336,12
2007-06-19,7.666666666666667,12
2007-06-20,12.5,12
2007-06-21,0,12
2007-06-22,6.666666666666667,12
2007-06-23,6.666666666666667,12
2007-06-24,5.583333333333333,12
2007-06-25,13.166666666666666,12
2007-06-26,5.916666666666667,12
2007-06-27,8.5,12
2007-06-28,0,12
2007-06-29,0,12
2007-06-30,9.461538461538462,13
2007-07-01,12.846153846153848,13
2007-07-02,34.75,12
2007-07-03,8.166666666666666,12
2007-07-04,34.166666666666664,12
2007-07-05,0,12
2007-07-06,27.083333333333332,12
2007-07-07,3.4166666666666665,12
2007-07-08,17.666666666666668,12
2007-07-09,9.5,12
2007-07-10,15.833333333333334,12
2007-07-11,1.9166666666666667,12
2007-07-12,22,12
2007-07-13,22.416666666666668,12
2007-07-14,0,12
2007-07-15,6.230769230769231,13
2007-07-16,0,13
2007-07-17,14,12
2007-07-18,35.833333333333336,12
2007-07-19,9.916666666666666,12
2007-07-20,2.4166666666666665,12
2007-07-21,0,12
2007-07-22,24.75,12
2007-07-23,7.166666666666667,12
2007-07-24,26.083333333333332,12
2007-07-25,17.75,12
2007-07-26,17.083333333333332,12
2007-07-27,0,12
2007-07-28,15.416666666666666,12
2007-07-29,6.333333333333333,12
2007-07-30,5.153846153846154,13
2007-07-31,7.230769230769231,13
2007-08-01,30.583333333333332,12
2007-08-02,0,12
2007-08-03,9.666666666666666,12
2007-08-04,23.166666666666668,12
2007-08-05,20.833333333333332,12
2007-08-06,10.083333333333334,12
2007-08-07,3.8333333333333335,12
2007-08-08,9.916666666666666,12
2007-08-09,22.583333333333332,12
2007-08-10,18.416666666666668,12
