time,value,n
2007-01-07,32,1
2007-01-14,23,1
2007-01-21,0,1
2007-01-28,24,1
2007-02-04,25,1
2007-02-11,8,1
2007-02-18,8,1
2007-02-25,38,1
2007-03-04,8,1
2007-03-11,32,1
2007-03-18,15,1
2007-03-25,23.5,2
2007-04-01,39,2
2007-04-08,18,2
2007-04-15,8,2
2007-04-22,19.5,2
2007-04-29,4,2
2007-05-06,7,2
2007-05-13,23,2
2007-05-20,23,2
2007-05-27,15,2
2007-06-03,19,2
2007-06-10,18,3
2007-06-17,20.666666666666668,3
2007-06-24,9.333333333333334,3
2007-07-01,24.666666666666668,3
2007-07-08,20.666666666666668,3
2007-07-15,20,3
2007-07-22,17.333333333333332,3
2007-07-29,25.333333333333332,3
2007-08-05,29,3
2007-08-12,24,3
2007-08-19,28.666666666666668,3
2007-08-26,25.5,4
2007-09-02,45.25,4
2007-09-09,35.5,4
2007-09-16,15,4
2007-09-23,38.75,4
2007-09-30,38.5,4
2007-10-07,32.25,4
2007-10-14,26.75,4
2007-10-21,40.25,4
2007-10-28,35.25,4
2007-11-04,40.25,4
2007-11-11,39.2,5
2007-11-18,34.4,5
2007-11-25,36.8,5
2007-12-02,52.8,5
2007-12-09,44.8,5
2007-12-16,36.4,5
2007-12-23,44.4,5
2007-12-30,62.6,5
2008-01-06,53.8,5
2008-01-13,29.4,5
2008-01-20,53.8,5
2008-01-27,20.666666666666668,6
2008-02-03,27.166666666666668,6
2008-02-10,32.833333333333336,6
2008-02-17,44.166666666666664,6
2008-02-24,25.5,6
2008-03-02,20.833333333333332,6
2008-03-09,33.333333333333336,6
2008-03-16,30.333333333333332,6
2008-03-23,50.666666666666664,6
2008-03-30,37.5,6
2008-04-06,18.5,6
2008-04-13,32.57142857142857,7
2008-04-20,29,7
2008-04-27,36.714285714285715,7
2008-05-04,23.714285714285715,7
2008-05-11,36.714285714285715,7
2008-05-18,34.57142857142857,7
2008-05-25,41.714285714285715,7
2008-06-01,51.42857142857143,7
2008-06-08,32.714285714285715,7
2008-06-15,35,7
2008-06-22,28.714285714285715,7
2008-06-29,29.25,8
2008-07-06,12.625,8
2008-07-13,30.625,8
2008-07-20,48,8
2008-07-27,39,8
2008-08-03,34.5,8
2008-08-10,59.625,8
2008-08-17,34,8
2008-08-24,32.125,8
2008-08-31,47,8
2008-09-07,43.125,8
2008-09-14,26.88888888888889,9
2008-09-21,24.77777777777778,9
2008-09-28,29.88888888888889,9
2008-10-05,31.77777777777778,9
2008-10-12,26,9
2008-10-19,30.333333333333332,9
2008-10-26,35.333333333333336,9
2008-11-02,47.77777777777778,9
2008-11-09,56.22222222222222,9
2008-11-16,46.22222222222222,9
2008-11-23,55.666666666666664,9
2008-11-30,59.5,10
2008-12-07,57.2,10
2008-12-14,58.8,10
2008-12-21,59.3,10
2008-12-28,62.7,10
2009-01-04,66.4,10
2009-01-11,49.5,10
2009-01-18,39.2,10
2009-01-25,31.4,10
2009-02-01,45.5,10
2009-02-08,30.7,10
2009-02-15,44.63636363636363,11
2009-02-22,57.63636363636363,11
2009-03-01,43.54545454545455,11
2009-03-08,37.36363636363637,11
2009-03-15,42.54545454545455,11
2009-03-22,31.90909090909091,11
2009-03-29,34.90909090909091,11
2009-04-05,33.63636363636363,11
2009-04-12,24.272727272727273,11
2009-04-19,29.454545454545453,11
2009-04-26,22.272727272727273,11
2009-05-03,35.916666666666664,12
2009-05-10,39.666666666666664,12
2009-05-17,29.25,12
2009-05-24,35.25,12
2009-05-31,22.333333333333332,12
2009-06-07,38.083333333333336,12
2009-06-14,33.083333333333336,12
2009-06-21,45.583333333333336,12
2009-06-28,37.416666666666664,12
2009-07-05,37.333333333333336,12
2009-07-12,29.583333333333332,12
2009-07-19,37.53846153846154,13
2009-07-26,38.69230769230769,13
2009-08-02,41.53846153846154,13
2009-08-09,40.92307692307692,13
2009-08-16,43.69230769230769,13
2009-08-23,48.61538461538461,13
2009-08-30,58.84615384615385,13
2009-09-06,26.384615384615383,13
2009-09-13,45.53846153846154,13
2009-09-20,35,13
2009-09-27,27.153846153846153,13
2009-10-04,28.571428571428573,14
2009-10-11,37.785714285714285,14
2009-10-18,43.785714285714285,14
2009-10-25,41.57142857142857,14
2009-11-01,38.92857142857143,14
2009-11-08,55.714285714285715,14
2009-11-15,31,14
2009-11-22,75.5,14
2009-11-29,77.71428571428571,14
2009-12-06,66.78571428571429,14
2009-12-13,70.35714285714286,14
2009-12-20,72.46666666666667,15
2009-12-27,83.4,15
2010-01-03,67.46666666666667,15
2010-01-10,53.6,15
2010-01-17,55.8,15
2010-01-24,46.666666666666664,15
2010-01-31,40.8,15
2010-02-07,45.93333333333333,15
2010-02-14,59.4,15
2010-02-21,47.266666666666666,15
2010-02-28,41.8,15
2010-03-07,43.625,16
2010-03-14,42.8125,16
2010-03-21,48.8125,16
2010-03-28,39.5,16
2010-04-04,41.5,16
2010-04-11,35.9375,16
2010-04-18,40.1875,16
2010-04-25,42.0625,16
2010-05-02,44.75,16
2010-05-09,41.25,16
2010-05-16,31.625,16
2010-05-23,42.705882352941174,17
2010-05-30,40.11764705882353,17
2010-06-06,33.411764705882355,17
2010-06-13,33.88235294117647,17
2010-06-20,30.529411764705884,17
2010-06-27,29.58823529411765,17
2010-07-04,36.76470588235294,17
2010-07-11,21.823529411764707,17
2010-07-18,22.58823529411765,17
2010-07-25,46.52941176470589,17
2010-08-01,42.23529411764706,17
2010-08-08,42.111111111111114,18
2010-08-15,49.833333333333336,18
2010-08-22,40.611111111111114,18
2010-08-29,35,18
2010-09-05,56.77777777777778,18
2010-09-12,42.44444444444444,18
2010-09-19,34.77777777777778,18
2010-09-26,47.388888888888886,18
2010-10-03,46.94444444444444,18
2010-10-10,39.166666666666664,18
2010-10-17,35.833333333333336,18
2010-10-24,46.21052631578947,19
2010-10-31,40.1578947368421,19
2010-11-07,62.8421052631579,19
2010-11-14,62.68421052631579,19
2010-11-21,44.05263157894737,19
2010-11-28,53.89473684210526,19
2010-12-05,42.78947368421053,19
2010-12-12,57.78947368421053,19
2010-12-19,70.84210526315789,19
2010-12-26,82.57894736842105,19
2011-01-02,67.78947368421052,19
2011-01-09,65.5,20
2011-01-16,38.5,20
2011-01-23,67.1,20
2011-01-30,44.45,20
2011-02-06,51.8,20
2011-02-13,45.05,20
2011-02-20,29.45,20
2011-02-27,45.9,20
2011-03-06,35.85,20
2011-03-13,40.85,20
2011-03-20,44.55,20
2011-03-27,45.38095238095238,21
2011-04-03,26.095238095238095,21
2011-04-10,27.095238095238095,21
2011-04-17,38.04761904761905,21
2011-04-24,33.523809523809526,21
2011-05-01,52.95238095238095,21
2011-05-08,37.523809523809526,21
2011-05-15,29.285714285714285,21
2011-05-22,38.38095238095238,21
2011-05-29,38.57142857142857,21
2011-06-05,30.285714285714285,21
2011-06-12,44.72727272727273,22
2011-06-19,39.22727272727273,22
