time,value,n
2007-01-07,20,1
2007-01-14,29,1
2007-01-21,19,1
2007-01-28,20,1
2007-02-04,31,1
2007-02-11,0,1
2007-02-18,31,1
2007-02-25,48,1
2007-03-04,19,1
2007-03-11,10,1
2007-03-18,38,1
2007-03-25,28,2
2007-04-01,11,2
2007-04-08,56,2
2007-04-15,19,2
2007-04-22,19,2
2007-04-29,58.5,2
2007-05-06,4.5,2
2007-05-13,23.5,2
2007-05-20,22.5,2
2007-05-27,34,2
2007-06-03,21,2
2007-06-10,59.666666666666664,3
2007-06-17,47.333333333333336,3
2007-06-24,34.333333333333336,3
2007-07-01,35,3
2007-07-08,40,3
2007-07-15,27,3
2007-07-22,31.666666666666668,3
2007-07-29,63.333333333333336,3
2007-08-05,53.333333333333336,3
2007-08-12,54.666666666666664,3
2007-08-19,15,3
2007-08-26,43.25,4
2007-09-02,31,4
2007-09-09,67.5,4
2007-09-16,43.25,4
2007-09-23,27,4
2007-09-30,49.25,4
2007-10-07,40.5,4
2007-10-14,71.25,4
2007-10-21,35,4
2007-10-28,46.75,4
2007-11-04,34.75,4
2007-11-11,48.6,5
2007-11-18,28.4,5
2007-11-25,33.6,5
2007-12-02,45.2,5
2007-12-09,55,5
2007-12-16,51.4,5
2007-12-23,82.4,5
2007-12-30,33,5
2008-01-06,48.4,5
2008-01-13,57.4,5
2008-01-20,39.8,5
2008-01-27,42,6
2008-02-03,34,6
2008-02-10,45.333333333333336,6
2008-02-17,34.666666666666664,6
2008-02-24,46,6
2008-03-02,51,6
2008-03-09,48.166666666666664,6
2008-03-16,28.666666666666668,6
2008-03-23,53.833333333333336,6
2008-03-30,59,6
2008-04-06,38.166666666666664,6
2008-04-13,39.142857142857146,7
2008-04-20,35.57142857142857,7
2008-04-27,30.571428571428573,7
2008-05-04,42.714285714285715,7
2008-05-11,47.42857142857143,7
2008-05-18,28.857142857142858,7
2008-05-25,26.571428571428573,7
2008-06-01,44.857142857142854,7
2008-06-08,31,7
2008-06-15,16.142857142857142,7
2008-06-22,57,7
2008-06-29,50.375,8
2008-07-06,34.25,8
2008-07-13,41.75,8
2008-07-20,82.75,8
2008-07-27,53.125,8
2008-08-03,27.375,8
2008-08-10,50.375,8
2008-08-17,25.875,8
2008-08-24,48.75,8
2008-08-31,48.75,8
2008-09-07,38.25,8
2008-09-14,30.88888888888889,9
2008-09-21,35.22222222222222,9
2008-09-28,37.111111111111114,9
2008-10-05,27.22222222222222,9
2008-10-12,36,9
2008-10-19,29.22222222222222,9
2008-10-26,48.77777777777778,9
2008-11-02,38.888888888888886,9
2008-11-09,49.77777777777778,9
2008-11-16,50.77777777777778,9
2008-11-23,60.333333333333336,9
2008-11-30,48.4,10
2008-12-07,60.6,10
2008-12-14,46.1,10
2008-12-21,37.5,10
2008-12-28,35.6,10
2009-01-04,60.2,10
2009-01-11,77.8,10
2009-01-18,65,10
2009-01-25,48.8,10
2009-02-01,60.2,10
2009-02-08,58,10
2009-02-15,27.545454545454547,11
2009-02-22,51.36363636363637,11
2009-03-01,27.636363636363637,11
2009-03-08,57.18181818181818,11
2009-03-15,45.36363636363637,11
2009-03-22,26.818181818181817,11
2009-03-29,37.09090909090909,11
2009-04-05,30.636363636363637,11
2009-04-12,46.72727272727273,11
2009-04-19,42.18181818181818,11
2009-04-26,32.81818181818182,11
2009-05-03,52.75,12
2009-05-10,48.916666666666664,12
2009-05-17,14.166666666666666,12
2009-05-24,19.833333333333332,12
2009-05-31,28.916666666666668,12
2009-06-07,27.833333333333332,12
2009-06-14,56.583333333333336,12
