time,value,n
2007-01-01,35,1
2007-01-02,43,1
2007-01-03,22,1
2007-01-04,0,1
2007-01-05,0,1
2007-01-06,30,1
2007-01-07,80,1
2007-01-08,19,1
2007-01-09,37,1
2007-01-10,0,1
2007-01-11,19,1
2007-01-12,0,1
2007-01-13,31,1
2007-01-14,0,1
2007-01-15,35,1
2007-01-16,0,2
2007-01-17,0,2
2007-01-18,26,2
2007-01-19,8,2
2007-01-20,11,2
2007-01-21,22.5,2
2007-01-22,17.5,2
2007-01-23,24,2
2007-01-24,15.5,2
2007-01-25,47,2
2007-01-26,19,2
2007-01-27,21.5,2
2007-01-28,0,2
2007-01-29,15,2
2007-01-30,32,2
2007-01-31,16.666666666666668,3
2007-02-01,23.666666666666668,3
2007-02-02,10.666666666666666,3
2007-02-03,0,3
2007-02-04,13.666666666666666,3
2007-02-05,14,3
2007-02-06,0,3
2007-02-07,0,3
2007-02-08,5,3
2007-02-09,10.333333333333334,3
2007-02-10,0,3
2007-02-11,5.666666666666667,3
2007-02-12,14,3
2007-02-13,4.333333333333333,3
2007-02-14,23.666666666666668,3
2007-02-15,35,4
2007-02-16,9.5,4
2007-02-17,0,4
2007-02-18,43.25,4
2007-02-19,25.5,4
2007-02-20,0,4
2007-02-21,3,4
2007-02-22,16.75,4
2007-02-23,21.25,4
2007-02-24,13.25,4
2007-02-25,0,4
2007-02-26,6,4
2007-02-27,44.25,4
2007-02-28,16.75,4
2007-03-01,7.5,4
2007-03-02,27.6,5
2007-03-03,7.2,5
2007-03-04,11.6,5
2007-03-05,13.4,5
2007-03-06,48.4,5
2007-03-07,19,5
2007-03-08,22.8,5
2007-03-09,18.2,5
2007-03-10,9.2,5
2007-03-11,26,5
2007-03-12,49,5
2007-03-13,35.6,5
2007-03-14,17.4,5
2007-03-15,19.8,5
2007-03-16,7.2,5
2007-03-17,50.833333333333336,6
2007-03-18,18.333333333333332,6
2007-03-19,49.333333333333336,6
2007-03-20,1.8333333333333333,6
2007-03-21,22.333333333333332,6
2007-03-22,9,6
2007-03-23,27.666666666666668,6
2007-03-24,25,6
2007-03-25,24.666666666666668,6
2007-03-26,22.833333333333332,6
2007-03-27,17.5,6
2007-03-28,31,6
2007-03-29,21.333333333333332,6
2007-03-30,32.166666666666664,6
2007-03-31,16.333333333333332,6
2007-04-01,26.857142857142858,7
2007-04-02,34.285714285714285,7
2007-04-03,63.42857142857143,7
2007-04-04,11.571428571428571,7
2007-04-05,23.142857142857142,7
2007-04-06,18.285714285714285,7
2007-04-07,7.857142857142857,7
2007-04-08,18.285714285714285,7
2007-04-09,29.857142857142858,7
2007-04-10,53,7
2007-04-11,12,7
2007-04-12,9.142857142857142,7
2007-04-13,43.142857142857146,7
2007-04-14,8.142857142857142,7
2007-04-15,13.857142857142858,7
2007-04-16,51.625,8
2007-04-17,20.875,8
2007-04-18,39.5,8
2007-04-19,30.5,8
2007-04-20,28.75,8
2007-04-21,78.5,8
2007-04-22,26.625,8
2007-04-23,52.25,8
2007-04-24,19.625,8
2007-04-25,30.5,8
2007-04-26,26.5,8
2007-04-27,38.375,8
2007-04-28,7,8
2007-04-29,23.625,8
2007-04-30,48.625,8
2007-05-01,14.77777777777778,9
2007-05-02,70.22222222222223,9
2007-05-03,37.666666666666664,9
2007-05-04,0,9
2007-05-05,17.77777777777778,9
2007-05-06,13.22222222222222,9
2007-05-07,14.11111111111111,9
2007-05-08,19.333333333333332,9
2007-05-09,48.888888888888886,9
2007-05-10,54,9
2007-05-11,36.22222222222222,9
2007-05-12,40.666666666666664,9
2007-05-13,11.11111111111111,9
2007-05-14,37.888888888888886,9
2007-05-15,16.22222222222222,9
2007-05-16,19.6,10
2007-05-17,11.7,10
2007-05-18,23.4,10
2007-05-19,0,10
2007-05-20,32.6,10
2007-05-21,25.4,10
2007-05-22,42.1,10
2007-05-23,31.3,10
2007-05-24,16.4,10
2007-05-25,9.5,10
2007-05-26,52.9,10
2007-05-27,19.9,10
2007-05-28,40.2,10
2007-05-29,24.3,10
2007-05-30,45.3,10
2007-05-31,30.727272727272727,11
2007-06-01,31.454545454545453,11
2007-06-02,11.909090909090908,11
2007-06-03,10.181818181818182,11
2007-06-04,30.363636363636363,11
2007-06-05,23.545454545454547,11
2007-06-06,11.181818181818182,11
