time,value,n
2007-01-01,0,1
2007-01-02,0,1
2007-01-03,0,1
2007-01-04,56,1
2007-01-05,0,1
2007-01-06,0,1
2007-01-07,0,1
2007-01-08,47,1
2007-01-09,47,1
2007-01-10,48,1
2007-01-11,0,1
2007-01-12,0,1
2007-01-13,0,1
2007-01-14,0,1
2007-01-15,0,1
2007-01-16,16,2
2007-01-17,0,2
2007-01-18,0,2
2007-01-19,0,2
2007-01-20,38,2
2007-01-21,0,2
2007-01-22,0,2
2007-01-23,0,2
2007-01-24,0,2
2007-01-25,0,2
2007-01-26,27,2
2007-01-27,0,2
2007-01-28,0,2
2007-01-29,0,2
2007-01-30,0,2
2007-01-31,0,3
2007-02-01,16.333333333333332,3
2007-02-02,0,3
2007-02-03,0,3
2007-02-04,0,3
2007-02-05,0,3
2007-02-06,0,3
2007-02-07,28,3
2007-02-08,26,3
2007-02-09,0,3
2007-02-10,17.666666666666668,3
2007-02-11,36,3
2007-02-12,39,3
2007-02-13,0,3
2007-02-14,85,3
2007-02-15,75.5,4
2007-02-16,23.5,4
2007-02-17,0,4
2007-02-18,0,4
2007-02-19,29.75,4
2007-02-20,24.5,4
2007-02-21,16.5,4
2007-02-22,0,4
2007-02-23,0,4
2007-02-24,31,4
2007-02-25,31,4
2007-02-26,23.25,4
2007-02-27,7.75,4
2007-02-28,18.75,4
2007-03-01,21.5,4
2007-03-02,0,5
2007-03-03,13.8,5
2007-03-04,0,5
2007-03-05,17.6,5
2007-03-06,0,5
2007-03-07,0,5
2007-03-08,0,5
2007-03-09,0,5
2007-03-10,0,5
2007-03-11,0,5
2007-03-12,0,5
2007-03-13,0,5
2007-03-14,0,5
2007-03-15,33,5
2007-03-16,27.8,5
2007-03-17,0,6
2007-03-18,28.166666666666668,6
2007-03-19,0,6
2007-03-20,0,6
2007-03-21,8.666666666666666,6
2007-03-22,11,6
2007-03-23,13.333333333333334,6
2007-03-24,20.666666666666668,6
2007-03-25,0,6
2007-03-26,29.666666666666668,6
2007-03-27,0,6
2007-03-28,9.166666666666666,6
2007-03-29,12.666666666666666,6
2007-03-30,0,6
2007-03-31,0,6
2007-04-01,0,7
2007-04-02,27.857142857142858,7
2007-04-03,31,7
2007-04-04,0,7
2007-04-05,16,7
2007-04-06,0,7
2007-04-07,0,7
2007-04-08,0,7
2007-04-09,27,7
2007-04-10,9.428571428571429,7
2007-04-11,30.714285714285715,7
2007-04-12,32.857142857142854,7
2007-04-13,28.714285714285715,7
2007-04-14,34.714285714285715,7
2007-04-15,7.571428571428571,7
2007-04-16,8,8
2007-04-17,0,8
2007-04-18,0,8
2007-04-19,0,8
2007-04-20,0,8
2007-04-21,0,8
2007-04-22,15.125,8
2007-04-23,10.25,8
2007-04-24,16,8
2007-04-25,0,8
2007-04-26,0,8
2007-04-27,9.75,8
2007-04-28,0,8
2007-04-29,0,8
2007-04-30,12.75,8
2007-05-01,31.666666666666668,9
2007-05-02,19.444444444444443,9
2007-05-03,0,9
2007-05-04,0,9
2007-05-05,13.444444444444445,9
2007-05-06,17.666666666666668,9
2007-05-07,10.77777777777778,9
2007-05-08,5.444444444444445,9
2007-05-09,0,9
2007-05-10,29.666666666666668,9
2007-05-11,12.11111111111111,9
2007-05-12,13.88888888888889,9
2007-05-13,0,9
2007-05-14,0,9
2007-05-15,24.88888888888889,9
2007-05-16,27.1,10
2007-05-17,0,10
2007-05-18,0,10
2007-05-19,0,10
2007-05-20,57.7,10
2007-05-21,13.7,10
2007-05-22,5.2,10
2007-05-23,19.2,10
2007-05-24,25.5,10
2007-05-25,0,10
2007-05-26,34.8,10
2007-05-27,0,10
2007-05-28,21.1,10
2007-05-29,5.4,10
2007-05-30,44.3,10
2007-05-31,0,11
2007-06-01,39.81818181818182,11
2007-06-02,0,11
2007-06-03,14.272727272727273,11
2007-06-04,10.909090909090908,11
2007-06-05,17.90909090909091,11
2007-06-06,0,11
2007-06-07,20.727272727272727,11
2007-06-08,0,11
2007-06-09,0,11
2007-06-10,0,11
2007-06-11,13.181818181818182,11
2007-06-12,24.363636363636363,11
2007-06-13,0,11
2007-06-14,23.181818181818183,11
2007-06-15,2.5833333333333335,12
2007-06-16,15.583333333333334,12
2007-06-17,0,12
2007-06-18,0,12
2007-06-19,10.666666666666666,12
2007-06-20,2.5833333333333335,12
2007-06-21,29.166666666666668,12
2007-06-22,0,12
2007-06-23,0,12
2007-06-24,10.416666666666666,12
2007-06-25,24.75,12
2007-06-26,0,12
2007-06-27,11.75,12
2007-06-28,0,12
2007-06-29,0,12
2007-06-30,0,13
2007-07-01,0,13
2007-07-02,28.666666666666668,12
2007-07-03,0,12
2007-07-04,40.583333333333336,12
2007-07-05,23,12
2007-07-06,29.916666666666668,12
2007-07-07,21,12
2007-07-08,0,12
2007-07-09,0,12
2007-07-10,0,12
2007-07-11,29.5,12
2007-07-12,0,12
2007-07-13,26.916666666666668,12
2007-07-14,0,12
2007-07-15,0,13
2007-07-16,7.461538461538462,13
2007-07-17,25,12
2007-07-18,17.5,12
2007-07-19,11,12
2007-07-20,0,12
2007-07-21,0,12
2007-07-22,0,12
2007-07-23,18.583333333333332,12
2007-07-24,13.416666666666666,12
2007-07-25,12.833333333333334,12
2007-07-26,17.416666666666668,12
2007-07-27,19,12
2007-07-28,18.416666666666668,12
2007-07-29,38.833333333333336,12
2007-07-30,9.538461538461538,13
2007-07-31,0,13
2007-08-01,0,12
2007-08-02,22.583333333333332,12
2007-08-03,16.166666666666668,12
2007-08-04,0,12
2007-08-05,0,12
2007-08-06,27.666666666666668,12
2007-08-07,19.75,12
2007-08-08,0,12
2007-08-09,10.166666666666666,12
2007-08-10,4.5,12
2007-08-11,0,12
2007-08-12,17.416666666666668,12
2007-08-13,7,12
2007-08-14,10.76923076923077,13
2007-08-15,0,13
2007-08-16,30.166666666666668,12
2007-08-17,19.75,12
2007-08-18,14.083333333333334,12
2007-08-19,5.416666666666667,12
2007-08-20,7.583333333333333,12
2007-08-21,0,12
2007-08-22,14.25,12
2007-08-23,32.166666666666664,12
2007-08-24,13.666666666666666,12
