time,value,n
2007-01-07,27,1
2007-01-14,26,1
2007-01-21,52,1
2007-01-28,0,1
2007-02-04,27,1
2007-02-11,41,1
2007-02-18,14,1
2007-02-25,51,1
2007-03-04,13,1
2007-03-11,13,1
2007-03-18,12,1
2007-03-25,16.5,2
2007-04-01,41,2
2007-04-08,26.5,2
2007-04-15,11.5,2
2007-04-22,29,2
2007-04-29,29.5,2
2007-05-06,24.5,2
2007-05-13,16.5,2
2007-05-20,54,2
2007-05-27,52,2
2007-06-03,16.5,2
2007-06-10,34.666666666666664,3
2007-06-17,18.333333333333332,3
2007-06-24,24,3
2007-07-01,47.666666666666664,3
2007-07-08,12,3
2007-07-15,27.333333333333332,3
2007-07-22,38.666666666666664,3
2007-07-29,22.333333333333332,3
2007-08-05,32,3
2007-08-12,35.333333333333336,3
2007-08-19,23.333333333333332,3
2007-08-26,22,4
2007-09-02,9.75,4
2007-09-09,50.25,4
2007-09-16,18,4
2007-09-23,35.75,4
2007-09-30,17.5,4
2007-10-07,23.75,4
2007-10-14,12.25,4
2007-10-21,36,4
2007-10-28,7.5,4
2007-11-04,27.25,4
2007-11-11,36.6,5
2007-11-18,18.4,5
2007-11-25,35.4,5
2007-12-02,53.8,5
2007-12-09,64.4,5
2007-12-16,54.2,5
2007-12-23,38.4,5
2007-12-30,2.4,5
2008-01-06,19,5
2008-01-13,23.2,5
2008-01-20,25.2,5
2008-01-27,20.333333333333332,6
2008-02-03,14.666666666666666,6
2008-02-10,36.333333333333336,6
2008-02-17,9.5,6
2008-02-24,11.833333333333334,6
2008-03-02,19,6
2008-03-09,20.833333333333332,6
2008-03-16,27.5,6
2008-03-23,23.833333333333332,6
2008-03-30,17.666666666666668,6
2008-04-06,25.666666666666668,6
2008-04-13,17.857142857142858,7
2008-04-20,29,7
2008-04-27,22.714285714285715,7
2008-05-04,42.714285714285715,7
2008-05-11,26.285714285714285,7
2008-05-18,19.571428571428573,7
2008-05-25,29.857142857142858,7
2008-06-01,42.714285714285715,7
2008-06-08,34.57142857142857,7
2008-06-15,13.571428571428571,7
2008-06-22,36.57142857142857,7
2008-06-29,18.375,8
2008-07-06,20.875,8
2008-07-13,20.25,8
2008-07-20,29.5,8
2008-07-27,20.875,8
2008-08-03,19.5,8
2008-08-10,21.5,8
2008-08-17,38.875,8
2008-08-24,22.5,8
2008-08-31,20,8
2008-09-07,23.125,8
2008-09-14,23.88888888888889,9
2008-09-21,14.666666666666666,9
2008-09-28,21.77777777777778,9
2008-10-05,19,9
2008-10-12,22.22222222222222,9
2008-10-19,14.555555555555555,9
2008-10-26,17.555555555555557,9
2008-11-02,20.22222222222222,9
2008-11-09,30.88888888888889,9
2008-11-16,28.11111111111111,9
2008-11-23,45.111111111111114,9
2008-11-30,49.2,10
2008-12-07,42.5,10
2008-12-14,68.4,10
2008-12-21,52.5,10
2008-12-28,19.2,10
2009-01-04,24.7,10
2009-01-11,20,10
2009-01-18,26.9,10
2009-01-25,23.1,10
2009-02-01,40.1,10
2009-02-08,38.3,10
2009-02-15,34.63636363636363,11
2009-02-22,27.727272727272727,11
2009-03-01,34.09090909090909,11
2009-03-08,25.272727272727273,11
2009-03-15,17,11
2009-03-22,14.909090909090908,11
2009-03-29,29.90909090909091,11
2009-04-05,23.636363636363637,11
2009-04-12,27.272727272727273,11
2009-04-19,17.181818181818183,11
2009-04-26,33.63636363636363,11
2009-05-03,22.583333333333332,12
2009-05-10,23.583333333333332,12
2009-05-17,18.75,12
2009-05-24,28.083333333333332,12
2009-05-31,34,12
2009-06-07,36.583333333333336,12
2009-06-14,27.5,12
2009-06-21,41.25,12
2009-06-28,15.166666666666666,12
2009-07-05,51,12
2009-07-12,34.75,12
2009-07-19,37,13
2009-07-26,37.53846153846154,13
2009-08-02,36.46153846153846,13
2009-08-09,21.846153846153847,13
2009-08-16,40,13
2009-08-23,42.61538461538461,13
2009-08-30,29.307692307692307,13
2009-09-06,38.30769230769231,13
2009-09-13,37.84615384615385,13
2009-09-20,34.92307692307692,13
2009-09-27,31.23076923076923,13
2009-10-04,22.428571428571427,14
2009-10-11,30,14
2009-10-18,27.357142857142858,14
2009-10-25,38.642857142857146,14
2009-11-01,45.57142857142857,14
2009-11-08,39.285714285714285,14
2009-11-15,55.142857142857146,14
2009-11-22,43.357142857142854,14
2009-11-29,56.57142857142857,14
2009-12-06,26.928571428571427,14
2009-12-13,61.642857142857146,14
2009-12-20,62.13333333333333,15
2009-12-27,35.333333333333336,15
2010-01-03,33.6,15
2010-01-10,37.53333333333333,15
2010-01-17,26.066666666666663,15
2010-01-24,41.2,15
2010-01-31,24.866666666666667,15
2010-02-07,23.133333333333333,15
2010-02-14,25.2,15
2010-02-21,25.2,15
2010-02-28,33.666666666666664,15
2010-03-07,34.6875,16
2010-03-14,40.25,16
2010-03-21,29.375,16
2010-03-28,35.875,16
2010-04-04,38.5625,16
2010-04-11,37.875,16
2010-04-18,28.125,16
2010-04-25,17.375,16
2010-05-02,39.625,16
2010-05-09,19.625,16
2010-05-16,38.9375,16
2010-05-23,31.58823529411765,17
2010-05-30,21.764705882352946,17
2010-06-06,27.58823529411765,17
2010-06-13,39.52941176470589,17
2010-06-20,27.41176470588235,17
2010-06-27,33.11764705882353,17
2010-07-04,25.823529411764707,17
2010-07-11,32.76470588235294,17
2010-07-18,44.64705882352941,17
2010-07-25,29.529411764705884,17
2010-08-01,17.764705882352942,17
2010-08-08,19.333333333333332,18
2010-08-15,21.72222222222222,18
2010-08-22,15.11111111111111,18
2010-08-29,15.38888888888889,18
2010-09-05,33.27777777777778,18
2010-09-12,37.111111111111114,18
2010-09-19,40.94444444444444,18
2010-09-26,13.166666666666666,18
2010-10-03,19.77777777777778,18
2010-10-10,14.833333333333334,18
2010-10-17,39.166666666666664,18
2010-10-24,18,19
2010-10-31,31.526315789473685,19
2010-11-07,21.63157894736842,19
2010-11-14,43.526315789473685,19
2010-11-21,44,19
2010-11-28,50.68421052631579,19
2010-12-05,63.78947368421053,19
2010-12-12,81.63157894736842,19
2010-12-19,73.57894736842105,19
2010-12-26,63.578947368421055,19
2011-01-02,40.05263157894737,19
2011-01-09,23.55,20
2011-01-16,30.45,20
2011-01-23,31.45,20
2011-01-30,18.3,20
2011-02-06,38.05,20
2011-02-13,26.45,20
2011-02-20,31.75,20
2011-02-27,28.5,20
2011-03-06,33.5,20
2011-03-13,32.8,20
2011-03-20,18,20
2011-03-27,24.428571428571427,21
2011-04-03,31.142857142857142,21
2011-04-10,24,21
2011-04-17,24.047619047619047,21
2011-04-24,28,21
2011-05-01,34.714285714285715,21
2011-05-08,47.38095238095238,21
2011-05-15,37.76190476190476,21
2011-05-22,29.142857142857142,21
2011-05-29,48.285714285714285,21
2011-06-05,27.047619047619047,21
2011-06-12,25.90909090909091,22
2011-06-19,33.86363636363637,22
2011-06-26,24.863636363636363,22
2011-07-03,37.04545454545455,22
2011-07-10,30.363636363636363,22
2011-07-17,32.77272727272727,22
2011-07-24,45.27272727272727,22
2011-07-31,38.13636363636363,22
2011-08-07,30.681818181818183,22
2011-08-14,33.95454545454545,22
2011-08-21,38.95454545454545,22
2011-08-28,32.130434782608695,23
2011-09-04,56.30434782608695,23
2011-09-11,31.91304347826087,23
2011-09-18,23.869565217391305,23
2011-09-25,40,23
2011-10-02,39.82608695652174,23
2011-10-09,29.043478260869566,23
2011-10-16,33.08695652173913,23
2011-10-23,30.608695652173907,23
2011-10-30,32.73913043478261,23
2011-11-06,25.956521739130434,23
2011-11-13,40.166666666666664,24
2011-11-20,46.125,24
2011-11-27,48.75,24
2011-12-04,49.083333333333336,24
2011-12-11,70.83333333333333,24
2011-12-18,63.791666666666664,24
2011-12-25,39.291666666666664,24
2012-01-01,29.041666666666668,24
2012-01-08,29.52173913043478,23
2012-01-15,51.17391304347826,23
2012-01-22,29.652173913043477,23
2012-01-29,31.291666666666668,24
2012-02-05,25.166666666666668,24
2012-02-12,41.291666666666664,24
2012-02-19,47,24
2012-02-26,37.375,24
2012-03-04,46.708333333333336,24
2012-03-11,44.333333333333336,24
2012-03-18,34.5,24
2012-03-25,32.78260869565217,23
2012-04-01,20.52173913043478,23
2012-04-08,25.217391304347824,23
2012-04-15,31.041666666666668,24
2012-04-22,30.041666666666668,24
2012-04-29,42.541666666666664,24
2012-05-06,34.083333333333336,24
2012-05-13,31.708333333333332,24
2012-05-20,30.833333333333332,24
2012-05-27,44.041666666666664,24
2012-06-03,31.166666666666668,24
2012-06-10,41.56521739130435,23
2012-06-17,36.34782608695652,23
2012-06-24,35.391304347826086,23
2012-07-01,42.583333333333336,24
2012-07-08,43.916666666666664,24
2012-07-15,46.458333333333336,24
2012-07-22,52.291666666666664,24
2012-07-29,39.375,24
2012-08-05,54.583333333333336,24
2012-08-12,43.958333333333336,24
2012-08-19,42.541666666666664,24
2012-08-26,47.95652173913044,23
2012-09-02,36.26086956521739,23
2012-09-09,38.78260869565217,23
2012-09-16,44.291666666666664,24
2012-09-23,32.291666666666664,24
2012-09-30,35.916666666666664,24
2012-10-07,30.75,24
2012-10-14,27.541666666666668,24
2012-10-21,43.625,24
2012-10-28,25.875,24
2012-11-04,21.333333333333332,24
2012-11-11,56,23
2012-11-18,41.73913043478261,23
2012-11-25,46.52173913043478,23
