time,value,n
2007-01-01,74,1
2007-01-02,54,1
2007-01-03,50,1
2007-01-04,44,1
2007-01-05,66,1
2007-01-06,46,1
2007-01-07,41,1
2007-01-08,17,1
2007-01-09,45,1
2007-01-10,36,1
2007-01-11,26,1
2007-01-12,36,1
2007-01-13,52,1
2007-01-14,20,1
2007-01-15,40,1
2007-01-16,21.5,2
2007-01-17,30,2
2007-01-18,33,2
2007-01-19,37,2
2007-01-20,81.5,2
2007-01-21,52.5,2
2007-01-22,31,2
2007-01-23,28.5,2
2007-01-24,35.5,2
2007-01-25,40,2
2007-01-26,36,2
2007-01-27,59,2
2007-01-28,36,2
2007-01-29,20.5,2
2007-01-30,18,2
2007-01-31,22.666666666666668,3
2007-02-01,33,3
2007-02-02,27.333333333333332,3
2007-02-03,64,3
2007-02-04,52.666666666666664,3
2007-02-05,43.666666666666664,3
2007-02-06,30.333333333333332,3
2007-02-07,45,3
2007-02-08,37,3
2007-02-09,40.666666666666664,3
2007-02-10,52.333333333333336,3
2007-02-11,42,3
2007-02-12,56,3
2007-02-13,22,3
2007-02-14,31.666666666666668,3
2007-02-15,23,4
2007-02-16,25.25,4
2007-02-17,79.25,4
2007-02-18,42.25,4
2007-02-19,29,4
2007-02-20,28.5,4
2007-02-21,32.25,4
2007-02-22,39,4
2007-02-23,76.5,4
2007-02-24,67.5,4
2007-02-25,52,4
2007-02-26,33,4
2007-02-27,25.25,4
2007-02-28,19.5,4
2007-03-01,28,4
2007-03-02,39.4,5
2007-03-03,68.6,5
2007-03-04,41.2,5
2007-03-05,19.2,5
2007-03-06,15.4,5
2007-03-07,32,5
2007-03-08,46.4,5
2007-03-09,35.6,5
2007-03-10,49,5
2007-03-11,40.2,5
2007-03-12,21,5
2007-03-13,32,5
2007-03-14,22.8,5
2007-03-15,24.8,5
2007-03-16,47.4,5
2007-03-17,57.666666666666664,6
2007-03-18,37.5,6
2007-03-19,22.166666666666668,6
2007-03-20,28.833333333333332,6
2007-03-21,14.5,6
2007-03-22,19,6
2007-03-23,20,6
2007-03-24,59.333333333333336,6
2007-03-25,42.333333333333336,6
