time,value,n
2007-01-07,48,1
2007-01-14,54,1
2007-01-21,56,1
2007-01-28,40,1
2007-02-04,51,1
2007-02-11,58,1
2007-02-18,55,1
2007-02-25,59,1
2007-03-04,47,1
2007-03-11,54,1
2007-03-18,37,1
2007-03-25,62,2
2007-04-01,63,2
2007-04-08,48,2
2007-04-15,42.5,2
2007-04-22,39,2
2007-04-29,57.5,2
2007-05-06,42.5,2
2007-05-13,48,2
2007-05-20,38.5,2
2007-05-27,59.5,2
2007-06-03,50.5,2
2007-06-10,36,3
2007-06-17,36.666666666666664,3
2007-06-24,55.333333333333336,3
2007-07-01,55.333333333333336,3
2007-07-08,67.33333333333333,3
2007-07-15,59.333333333333336,3
2007-07-22,84.66666666666667,3
2007-07-29,84.66666666666667,3
2007-08-05,75,3
2007-08-12,52.333333333333336,3
2007-08-19,48.333333333333336,3
2007-08-26,52,4
2007-09-02,43.75,4
2007-09-09,43.75,4
2007-09-16,36,4
2007-09-23,49.5,4
2007-09-30,56.75,4
2007-10-07,54,4
2007-10-14,49.5,4
2007-10-21,48.75,4
2007-10-28,60.5,4
2007-11-04,47.75,4
2007-11-11,48.6,5
2007-11-18,37,5
2007-11-25,31.6,5
2007-12-02,34,5
2007-12-09,47.4,5
2007-12-16,51.6,5
2007-12-23,75.2,5
2007-12-30,65.8,5
2008-01-06,47,5
2008-01-13,52.4,5
2008-01-20,52.8,5
2008-01-27,48.166666666666664,6
2008-02-03,53.5,6
2008-02-10,58.333333333333336,6
2008-02-17,65.83333333333333,6
2008-02-24,48.166666666666664,6
2008-03-02,55.5,6
2008-03-09,53.666666666666664,6
2008-03-16,57,6
2008-03-23,52.833333333333336,6
2008-03-30,36.5,6
2008-04-06,37.333333333333336,6
2008-04-13,37.57142857142857,7
2008-04-20,37.142857142857146,7
2008-04-27,44,7
2008-05-04,29.571428571428573,7
2008-05-11,34.42857142857143,7
2008-05-18,50.42857142857143,7
2008-05-25,41.857142857142854,7
2008-06-01,37.714285714285715,7
2008-06-08,34.857142857142854,7
2008-06-15,30.285714285714285,7
2008-06-22,34.142857142857146,7
2008-06-29,47.25,8
2008-07-06,58.5,8
2008-07-13,61.875,8
2008-07-20,65.625,8
2008-07-27,60.875,8
2008-08-03,61,8
2008-08-10,66.125,8
2008-08-17,60.75,8
2008-08-24,58.625,8
2008-08-31,43.75,8
2008-09-07,43.75,8
2008-09-14,44.666666666666664,9
2008-09-21,41.888888888888886,9
2008-09-28,41.77777777777778,9
2008-10-05,48.333333333333336,9
2008-10-12,39.111111111111114,9
2008-10-19,58.888888888888886,9
2008-10-26,53.888888888888886,9
2008-11-02,61,9
2008-11-09,56.55555555555556,9
2008-11-16,50.55555555555556,9
2008-11-23,39.666666666666664,9
2008-11-30,46.7,10
2008-12-07,58.9,10
2008-12-14,52,10
2008-12-21,79.5,10
2008-12-28,81.7,10
2009-01-04,68.5,10
2009-01-11,59.7,10
2009-01-18,55.2,10
2009-01-25,55.3,10
2009-02-01,62.6,10
2009-02-08,66.9,10
2009-02-15,61.54545454545455,11
2009-02-22,55.09090909090909,11
2009-03-01,62.90909090909091,11
2009-03-08,55.81818181818182,11
2009-03-15,50.18181818181818,11
2009-03-22,51.36363636363637,11
2009-03-29,54.36363636363637,11
2009-04-05,50.18181818181818,11
2009-04-12,46.54545454545455,11
2009-04-19,39,11
2009-04-26,49.63636363636363,11
2009-05-03,40.583333333333336,12
2009-05-10,50.75,12
2009-05-17,57.166666666666664,12
2009-05-24,45.916666666666664,12
2009-05-31,59,12
2009-06-07,55.333333333333336,12
2009-06-14,43.5,12
2009-06-21,51.583333333333336,12
2009-06-28,66.75,12
2009-07-05,85,12
2009-07-12,87.16666666666667,12
2009-07-19,61.61538461538461,13
2009-07-26,66.3076923076923,13
2009-08-02,67.61538461538461,13
2009-08-09,58.92307692307692,13
2009-08-16,61.15384615384615,13
2009-08-23,66.3076923076923,13
2009-08-30,66,13
2009-09-06,67.23076923076923,13
2009-09-13,57.76923076923077,13
2009-09-20,51.07692307692308,13
2009-09-27,52.76923076923077,13
2009-10-04,55.714285714285715,14
2009-10-11,54.92857142857143,14
2009-10-18,58.57142857142857,14
2009-10-25,65.71428571428571,14
2009-11-01,64.21428571428571,14
2009-11-08,65.5,14
2009-11-15,59.714285714285715,14
2009-11-22,63.142857142857146,14
2009-11-29,54.214285714285715,14
2009-12-06,68.5,14
2009-12-13,60.142857142857146,14
2009-12-20,81.93333333333334,15
2009-12-27,99.8,15
2010-01-03,82.4,15
2010-01-10,60.93333333333333,15
2010-01-17,54.8,15
2010-01-24,59,15
2010-01-31,65.53333333333333,15
2010-02-07,65.33333333333333,15
2010-02-14,63.93333333333333,15
2010-02-21,50.93333333333333,15
2010-02-28,60.13333333333333,15
2010-03-07,70.6875,16
2010-03-14,50.25,16
2010-03-21,47.6875,16
