time,value,n
2007-01-01,0,1
2007-01-02,37,1
2007-01-03,38,1
2007-01-04,13,1
2007-01-05,0,1
2007-01-06,0,1
2007-01-07,15,1
2007-01-08,10,1
2007-01-09,10,1
2007-01-10,22,1
2007-01-11,0,1
2007-01-12,24,1
2007-01-13,0,1
2007-01-14,59,1
2007-01-15,0,1
2007-01-16,10.5,2
2007-01-17,5.5,2
2007-01-18,59,2
2007-01-19,12,2
2007-01-20,17.5,2
2007-01-21,14.5,2
2007-01-22,5,2
2007-01-23,48,2
2007-01-24,21,2
2007-01-25,16.5,2
2007-01-26,6.5,2
2007-01-27,43.5,2
2007-01-28,38,2
2007-01-29,5,2
2007-01-30,27,2
2007-01-31,3.6666666666666665,3
2007-02-01,6.666666666666667,3
2007-02-02,46.666666666666664,3
2007-02-03,0,3
2007-02-04,0,3
2007-02-05,13.333333333333334,3
2007-02-06,13.333333333333334,3
2007-02-07,29.666666666666668,3
2007-02-08,26,3
2007-02-09,25.333333333333332,3
2007-02-10,27.666666666666668,3
2007-02-11,46.666666666666664,3
2007-02-12,17.333333333333332,3
2007-02-13,19.333333333333332,3
2007-02-14,7,3
2007-02-15,7.75,4
2007-02-16,17.75,4
2007-02-17,12.5,4
2007-02-18,27.25,4
2007-02-19,14.75,4
2007-02-20,10.25,4
2007-02-21,25.25,4
2007-02-22,0,4
2007-02-23,14.75,4
2007-02-24,41,4
2007-02-25,23.5,4
2007-02-26,7,4
2007-02-27,16.75,4
2007-02-28,40.5,4
2007-03-01,22.5,4
2007-03-02,13.2,5
2007-03-03,40.8,5
2007-03-04,32.2,5
2007-03-05,36.8,5
2007-03-06,35.8,5
2007-03-07,40.8,5
2007-03-08,59,5
2007-03-09,29.6,5
2007-03-10,26,5
2007-03-11,8.4,5
2007-03-12,28,5
2007-03-13,12,5
2007-03-14,5.8,5
2007-03-15,19.2,5
2007-03-16,9.6,5
2007-03-17,15.833333333333334,6
2007-03-18,23.666666666666668,6
2007-03-19,19.333333333333332,6
2007-03-20,12,6
2007-03-21,11,6
2007-03-22,9.666666666666666,6
2007-03-23,17,6
2007-03-24,16.166666666666668,6
2007-03-25,9.166666666666666,6
2007-03-26,31.833333333333332,6
2007-03-27,12.166666666666666,6
2007-03-28,25,6
2007-03-29,22.833333333333332,6
2007-03-30,16,6
2007-03-31,43.833333333333336,6
2007-04-01,6.142857142857143,7
2007-04-02,4,7
2007-04-03,15.857142857142858,7
2007-04-04,28.142857142857142,7
2007-04-05,9.857142857142858,7
2007-04-06,21.714285714285715,7
2007-04-07,8,7
2007-04-08,16.142857142857142,7
2007-04-09,6.142857142857143,7
2007-04-10,17.428571428571427,7
2007-04-11,27.285714285714285,7
2007-04-12,22.285714285714285,7
2007-04-13,33.142857142857146,7
2007-04-14,7.857142857142857,7
2007-04-15,31.428571428571427,7
2007-04-16,24.75,8
2007-04-17,12,8
2007-04-18,19.25,8
2007-04-19,7.625,8
2007-04-20,14.5,8
2007-04-21,16.875,8
2007-04-22,23.625,8
2007-04-23,28,8
2007-04-24,32.125,8
2007-04-25,12.75,8
2007-04-26,12.75,8
2007-04-27,37.375,8
2007-04-28,6.625,8
2007-04-29,20.625,8
2007-04-30,13.75,8
2007-05-01,34.111111111111114,9
2007-05-02,11.555555555555555,9
2007-05-03,13.666666666666666,9
2007-05-04,54.666666666666664,9
2007-05-05,56.888888888888886,9
2007-05-06,36,9
2007-05-07,33,9
2007-05-08,17.11111111111111,9
2007-05-09,26.11111111111111,9
2007-05-10,22.77777777777778,9
2007-05-11,28.333333333333332,9
2007-05-12,52.888888888888886,9
2007-05-13,32.666666666666664,9
2007-05-14,20.333333333333332,9
2007-05-15,32.55555555555556,9
2007-05-16,25.6,10
2007-05-17,35,10
2007-05-18,42.3,10
2007-05-19,27.9,10
2007-05-20,20.1,10
2007-05-21,42,10
2007-05-22,24.6,10
2007-05-23,47,10
2007-05-24,78.3,10
2007-05-25,41.7,10
2007-05-26,20.9,10
2007-05-27,40.1,10
2007-05-28,30.6,10
2007-05-29,52.9,10
2007-05-30,27.8,10
2007-05-31,28.636363636363637,11
2007-06-01,10.818181818181818,11
2007-06-02,45.45454545454545,11
2007-06-03,18.818181818181817,11
2007-06-04,33.36363636363637,11
2007-06-05,39.72727272727273,11
2007-06-06,20.727272727272727,11
2007-06-07,38.09090909090909,11
2007-06-08,15.090909090909092,11
2007-06-09,57.72727272727273,11
2007-06-10,10.727272727272728,11
2007-06-11,38.63636363636363,11
2007-06-12,23.09090909090909,11
2007-06-13,5,11
2007-06-14,39,11
2007-06-15,31.25,12
2007-06-16,27.416666666666668,12
2007-06-17,21.666666666666668,12
2007-06-18,25.166666666666668,12
2007-06-19,50.75,12
2007-06-20,37.583333333333336,12
2007-06-21,53.166666666666664,12
2007-06-22,87,12
2007-06-23,33.166666666666664,12
2007-06-24,51.333333333333336,12
2007-06-25,20,12
2007-06-26,14.75,12
2007-06-27,20.333333333333332,12
2007-06-28,27.25,12
2007-06-29,34.833333333333336,12
2007-06-30,55.23076923076923,13
2007-07-01,40.76923076923077,13
2007-07-02,60.5,12
2007-07-03,43.083333333333336,12
2007-07-04,40.833333333333336,12
2007-07-05,57.666666666666664,12
2007-07-06,42.166666666666664,12
2007-07-07,0,12
2007-07-08,25.583333333333332,12
2007-07-09,26.916666666666668,12
2007-07-10,13.25,12
2007-07-11,18.666666666666668,12
2007-07-12,24.166666666666668,12
2007-07-13,68.66666666666667,12
2007-07-14,23,12
2007-07-15,10.23076923076923,13
2007-07-16,21.846153846153847,13
2007-07-17,13.25,12
2007-07-18,10.833333333333334,12
2007-07-19,40.833333333333336,12
2007-07-20,15.666666666666666,12
2007-07-21,29.666666666666668,12
2007-07-22,16.25,12
2007-07-23,14.333333333333334,12
2007-07-24,21.833333333333332,12
2007-07-25,27.416666666666668,12
2007-07-26,24.916666666666668,12
2007-07-27,5.5,12
2007-07-28,24.166666666666668,12
2007-07-29,6.5,12
2007-07-30,29.615384615384617,13
2007-07-31,6.384615384615385,13
2007-08-01,15.916666666666666,12
2007-08-02,14.666666666666666,12
2007-08-03,16,12
2007-08-04,30.916666666666668,12
2007-08-05,7.583333333333333,12
2007-08-06,34.5,12
2007-08-07,12.5,12
2007-08-08,3.6666666666666665,12
2007-08-09,6.25,12
2007-08-10,27.583333333333332,12
2007-08-11,20.833333333333332,12
2007-08-12,8.416666666666666,12
2007-08-13,28.75,12
2007-08-14,12.384615384615383,13
2007-08-15,0,13
2007-08-16,11.083333333333334,12
2007-08-17,29.833333333333332,12
2007-08-18,38.583333333333336,12
2007-08-19,47.666666666666664,12
2007-08-20,64.83333333333333,12
2007-08-21,55.833333333333336,12
2007-08-22,4.5,12
2007-08-23,47.666666666666664,12
2007-08-24,4.916666666666667,12
2007-08-25,20,12
2007-08-26,39.083333333333336,12
2007-08-27,15.416666666666666,12
2007-08-28,19.75,12
2007-08-29,22.46153846153846,13
2007-08-30,19.923076923076923,13
2007-08-31,18.23076923076923,13
2007-09-01,19.53846153846154,13
2007-09-02,13.153846153846152,13
2007-09-03,13.916666666666666,12
2007-09-04,27.25,12
2007-09-05,20.083333333333332,12
2007-09-06,22.5,12
2007-09-07,21.666666666666668,12
2007-09-08,9.25,12
2007-09-09,12,12
2007-09-10,4.166666666666667,12
2007-09-11,27.083333333333332,12
2007-09-12,5.75,12
2007-09-13,14.153846153846152,13
2007-09-14,0,13
2007-09-15,43.69230769230769,13
2007-09-16,13.538461538461538,13
2007-09-17,26.307692307692307,13
2007-09-18,23.083333333333332,12
2007-09-19,29.583333333333332,12
2007-09-20,25.5,12
2007-09-21,19.666666666666668,12
2007-09-22,15.833333333333334,12
2007-09-23,10.083333333333334,12
2007-09-24,33.833333333333336,12
2007-09-25,10.333333333333334,12
2007-09-26,36.166666666666664,12
2007-09-27,21.333333333333332,12
2007-09-28,14,13
2007-09-29,26.692307692307693,13
2007-09-30,25.923076923076923,13
2007-10-01,18.692307692307693,13
2007-10-02,30.083333333333332,12
2007-10-03,28.333333333333332,12
2007-10-04,19,12
2007-10-05,13,12
2007-10-06,17.166666666666668,12
2007-10-07,16.166666666666668,12
2007-10-08,18.666666666666668,12
2007-10-09,14.583333333333334,12
2007-10-10,19.25,12
2007-10-11,28.916666666666668,12
2007-10-12,11.666666666666666,12
2007-10-13,22.76923076923077,13
2007-10-14,19.692307692307693,13
2007-10-15,20.076923076923077,13
2007-10-16,24.153846153846153,13
2007-10-17,34.5,12
2007-10-18,31.75,12
2007-10-19,22,12
2007-10-20,18.416666666666668,12
2007-10-21,33.833333333333336,12
2007-10-22,15.083333333333334,12
2007-10-23,27.916666666666668,12
2007-10-24,34.75,12
2007-10-25,33.833333333333336,12
2007-10-26,66.33333333333333,12
2007-10-27,22.166666666666668,12
2007-10-28,11.384615384615383,13
2007-10-29,22.846153846153847,13
2007-10-30,30.307692307692307,13
2007-10-31,14.846153846153848,13
2007-11-01,37.30769230769231,13
2007-11-02,47.166666666666664,12
2007-11-03,38.083333333333336,12
2007-11-04,44.833333333333336,12
2007-11-05,13.583333333333334,12
2007-11-06,33,12
2007-11-07,24.75,12
2007-11-08,30.166666666666668,12
2007-11-09,23.083333333333332,12
2007-11-10,25.583333333333332,12
2007-11-11,36.583333333333336,12
2007-11-12,19.76923076923077,13
2007-11-13,19.76923076923077,13
2007-11-14,35.76923076923077,13
2007-11-15,34.46153846153846,13
2007-11-16,25.923076923076923,13
2007-11-17,45.333333333333336,12
2007-11-18,11,12
2007-11-19,31.333333333333332,12
2007-11-20,39.583333333333336,12
2007-11-21,31.083333333333332,12
2007-11-22,29.083333333333332,12
