time,value,n
2007-01-07,41,1
2007-01-14,16,1
2007-01-21,27,1
2007-01-28,33,1
2007-02-04,26,1
2007-02-11,28,1
2007-02-18,29,1
2007-02-25,39,1
2007-03-04,45,1
2007-03-11,31,1
2007-03-18,31,1
2007-03-25,31.5,2
2007-04-01,33,2
2007-04-08,38.5,2
2007-04-15,36.5,2
2007-04-22,36,2
2007-04-29,49.5,2
2007-05-06,45.5,2
2007-05-13,35.5,2
2007-05-20,77.5,2
2007-05-27,56,2
2007-06-03,41.5,2
2007-06-10,53.333333333333336,3
2007-06-17,67.66666666666667,3
2007-06-24,42,3
2007-07-01,78.33333333333333,3
2007-07-08,46,3
2007-07-15,17,3
2007-07-22,28.666666666666668,3
2007-07-29,25.666666666666668,3
2007-08-05,29.666666666666668,3
2007-08-12,32,3
2007-08-19,25.333333333333332,3
2007-08-26,30.5,4
2007-09-02,26.25,4
2007-09-09,23.25,4
2007-09-16,40,4
2007-09-23,31,4
2007-09-30,31.25,4
2007-10-07,29.25,4
2007-10-14,47.25,4
2007-10-21,32.75,4
2007-10-28,41.5,4
2007-11-04,44,4
2007-11-11,37.8,5
2007-11-18,34,5
2007-11-25,45.4,5
2007-12-02,51.6,5
2007-12-09,42,5
2007-12-16,34.4,5
2007-12-23,21.2,5
2007-12-30,36,5
2008-01-06,26.8,5
2008-01-13,24.8,5
2008-01-20,24,5
2008-01-27,26.666666666666668,6
2008-02-03,23.833333333333332,6
2008-02-10,30.666666666666668,6
2008-02-17,28.833333333333332,6
2008-02-24,29.666666666666668,6
2008-03-02,29.833333333333332,6
2008-03-09,36.5,6
2008-03-16,19.833333333333332,6
2008-03-23,26.666666666666668,6
2008-03-30,35.833333333333336,6
2008-04-06,24.666666666666668,6
2008-04-13,36.57142857142857,7
2008-04-20,22,7
2008-04-27,22.714285714285715,7
2008-05-04,30.285714285714285,7
2008-05-11,33.42857142857143,7
2008-05-18,31.571428571428573,7
2008-05-25,34,7
2008-06-01,89.71428571428571,7
2008-06-08,42,7
2008-06-15,50,7
2008-06-22,45,7
2008-06-29,26.875,8
2008-07-06,32.875,8
2008-07-13,47,8
2008-07-20,36.125,8
2008-07-27,31.875,8
2008-08-03,28.5,8
2008-08-10,33,8
2008-08-17,32.875,8
2008-08-24,38.875,8
