time,value,n
2007-01-01,0,1
2007-01-02,20,1
2007-01-03,0,1
2007-01-04,0,1
2007-01-05,67,1
2007-01-06,27,1
2007-01-07,25,1
2007-01-08,17,1
2007-01-09,0,1
2007-01-10,53,1
2007-01-11,36,1
2007-01-12,0,1
2007-01-13,0,1
2007-01-14,0,1
2007-01-15,68,1
2007-01-16,35,2
2007-01-17,13.5,2
2007-01-18,21.5,2
2007-01-19,15,2
2007-01-20,21,2
2007-01-21,12,2
2007-01-22,62,2
2007-01-23,21,2
2007-01-24,0,2
2007-01-25,0,2
2007-01-26,44.5,2
2007-01-27,14,2
2007-01-28,75,2
2007-01-29,0,2
2007-01-30,25.5,2
2007-01-31,13,3
2007-02-01,9.333333333333334,3
2007-02-02,15.333333333333334,3
2007-02-03,9,3
2007-02-04,26,3
2007-02-05,30.333333333333332,3
2007-02-06,43.666666666666664,3
2007-02-07,9,3
2007-02-08,26,3
2007-02-09,34,3
2007-02-10,9.333333333333334,3
2007-02-11,8.666666666666666,3
2007-02-12,18,3
2007-02-13,14.333333333333334,3
2007-02-14,37,3
2007-02-15,49.25,4
2007-02-16,6.75,4
2007-02-17,9.5,4
2007-02-18,0,4
2007-02-19,10.75,4
2007-02-20,39.25,4
2007-02-21,25,4
2007-02-22,45,4
2007-02-23,25,4
2007-02-24,30.5,4
2007-02-25,34,4
2007-02-26,4,4
2007-02-27,25.5,4
2007-02-28,11,4
2007-03-01,32.75,4
2007-03-02,25,5
2007-03-03,32.8,5
2007-03-04,51.6,5
2007-03-05,29.6,5
2007-03-06,38.4,5
2007-03-07,37.4,5
2007-03-08,4.2,5
2007-03-09,9.6,5
2007-03-10,29.2,5
2007-03-11,32.2,5
2007-03-12,8.4,5
2007-03-13,4.4,5
2007-03-14,14.8,5
2007-03-15,7.6,5
2007-03-16,20.4,5
2007-03-17,0,6
2007-03-18,9.666666666666666,6
2007-03-19,64.16666666666667,6
2007-03-20,10.666666666666666,6
2007-03-21,35.166666666666664,6
2007-03-22,14.5,6
2007-03-23,14,6
2007-03-24,22,6
2007-03-25,17.666666666666668,6
2007-03-26,12.5,6
2007-03-27,38.666666666666664,6
2007-03-28,0,6
2007-03-29,17.666666666666668,6
2007-03-30,0,6
2007-03-31,0,6
2007-04-01,25.428571428571427,7
2007-04-02,6,7
2007-04-03,24.142857142857142,7
2007-04-04,25,7
2007-04-05,44.42857142857143,7
2007-04-06,3.5714285714285716,7
2007-04-07,60.142857142857146,7
2007-04-08,0,7
2007-04-09,0,7
2007-04-10,14.142857142857142,7
2007-04-11,2.4285714285714284,7
2007-04-12,12,7
2007-04-13,18.428571428571427,7
2007-04-14,50.57142857142857,7
2007-04-15,8.285714285714286,7
2007-04-16,0,8
2007-04-17,8.5,8
2007-04-18,30.5,8
2007-04-19,30.625,8
2007-04-20,47.125,8
2007-04-21,55.25,8
2007-04-22,0,8
2007-04-23,27.5,8
2007-04-24,15,8
2007-04-25,26.5,8
2007-04-26,0,8
2007-04-27,9.5,8
2007-04-28,37.25,8
2007-04-29,11.25,8
2007-04-30,10,8
2007-05-01,0,9
2007-05-02,30.88888888888889,9
2007-05-03,24.77777777777778,9
2007-05-04,36.55555555555556,9
2007-05-05,68.22222222222223,9
2007-05-06,67.77777777777777,9
2007-05-07,21.666666666666668,9
2007-05-08,11.666666666666666,9
2007-05-09,25.333333333333332,9
2007-05-10,7.444444444444445,9
2007-05-11,19.22222222222222,9
2007-05-12,18.11111111111111,9
2007-05-13,0,9
2007-05-14,27.77777777777778,9
2007-05-15,34.22222222222222,9
2007-05-16,0,10
2007-05-17,18.1,10
2007-05-18,18.3,10
2007-05-19,0,10
2007-05-20,15.5,10
2007-05-21,15.7,10
2007-05-22,26.5,10
2007-05-23,39.9,10
2007-05-24,21.8,10
2007-05-25,27.7,10
2007-05-26,11.3,10
2007-05-27,22.8,10
2007-05-28,27.8,10
2007-05-29,7.8,10
2007-05-30,14.9,10
2007-05-31,8.181818181818182,11
2007-06-01,17.181818181818183,11
2007-06-02,20.818181818181817,11
2007-06-03,21.272727272727273,11
2007-06-04,3.3636363636363638,11
2007-06-05,22.90909090909091,11
2007-06-06,29.727272727272727,11
2007-06-07,0,11
2007-06-08,22,11
2007-06-09,0,11
2007-06-10,12.636363636363637,11
2007-06-11,29.727272727272727,11
2007-06-12,32.27272727272727,11
2007-06-13,61.54545454545455,11
2007-06-14,22.90909090909091,11
2007-06-15,28.083333333333332,12
2007-06-16,39.416666666666664,12
2007-06-17,7.083333333333333,12
2007-06-18,8.916666666666666,12
2007-06-19,27.583333333333332,12
2007-06-20,41.5,12
2007-06-21,53.333333333333336,12
2007-06-22,11.833333333333334,12
2007-06-23,2.6666666666666665,12
2007-06-24,9.416666666666666,12
2007-06-25,30.5,12
2007-06-26,5.833333333333333,12
2007-06-27,28.916666666666668,12
2007-06-28,19.916666666666668,12
2007-06-29,19.75,12
2007-06-30,38.15384615384615,13
2007-07-01,0,13
2007-07-02,28,12
2007-07-03,21.083333333333332,12
2007-07-04,28.25,12
2007-07-05,3,12
2007-07-06,40.916666666666664,12
2007-07-07,6.166666666666667,12
2007-07-08,4.5,12
2007-07-09,35.5,12
2007-07-10,21.833333333333332,12
2007-07-11,37,12
2007-07-12,19.5,12
2007-07-13,6.833333333333333,12
2007-07-14,37.5,12
2007-07-15,46.84615384615385,13
2007-07-16,30.46153846153846,13
2007-07-17,26.833333333333332,12
2007-07-18,0,12
2007-07-19,16.833333333333332,12
2007-07-20,24.166666666666668,12
2007-07-21,26.583333333333332,12
2007-07-22,26.166666666666668,12
2007-07-23,18,12
2007-07-24,15.833333333333334,12
2007-07-25,29.25,12
2007-07-26,28.583333333333332,12
2007-07-27,31.25,12
2007-07-28,0,12
2007-07-29,31,12
2007-07-30,34.69230769230769,13
2007-07-31,9.846153846153847,13
2007-08-01,74.58333333333333,12
2007-08-02,46.333333333333336,12
2007-08-03,22.333333333333332,12
2007-08-04,0,12
2007-08-05,19.416666666666668,12
2007-08-06,30.083333333333332,12
2007-08-07,24.583333333333332,12
2007-08-08,19.333333333333332,12
2007-08-09,16,12
2007-08-10,50.833333333333336,12
2007-08-11,7,12
2007-08-12,17.583333333333332,12
2007-08-13,36.5,12
2007-08-14,32.30769230769231,13
2007-08-15,0,13
2007-08-16,22.916666666666668,12
2007-08-17,31,12
2007-08-18,5,12
2007-08-19,22.583333333333332,12
2007-08-20,28.166666666666668,12
2007-08-21,18.416666666666668,12
2007-08-22,27.166666666666668,12
2007-08-23,12.333333333333334,12
2007-08-24,13.916666666666666,12
2007-08-25,23.5,12
2007-08-26,0,12
2007-08-27,19.166666666666668,12
2007-08-28,5.5,12
2007-08-29,16.23076923076923,13
2007-08-30,8.76923076923077,13
2007-08-31,14.23076923076923,13
2007-09-01,14.384615384615385,13
2007-09-02,3.4615384615384617,13
2007-09-03,3.75,12
2007-09-04,3.8333333333333335,12
2007-09-05,0,12
2007-09-06,4.166666666666667,12
2007-09-07,7.083333333333333,12
2007-09-08,21.833333333333332,12
2007-09-09,11.083333333333334,12
2007-09-10,44.416666666666664,12
2007-09-11,21.75,12
2007-09-12,17.833333333333332,12
2007-09-13,27.692307692307693,13
2007-09-14,12.153846153846153,13
2007-09-15,30.53846153846154,13
2007-09-16,5.6923076923076925,13
2007-09-17,15.615384615384615,13
2007-09-18,37.333333333333336,12
2007-09-19,51.083333333333336,12
2007-09-20,12.5,12
2007-09-21,11.5,12
2007-09-22,18.583333333333332,12
2007-09-23,40.166666666666664,12
2007-09-24,22.75,12
2007-09-25,30,12
2007-09-26,16.166666666666668,12
2007-09-27,32.083333333333336,12
2007-09-28,38,13
2007-09-29,19.46153846153846,13
2007-09-30,25.384615384615383,13
2007-10-01,41.15384615384615,13
2007-10-02,39.333333333333336,12
2007-10-03,29,12
2007-10-04,26.333333333333332,12
2007-10-05,7.25,12
2007-10-06,28.25,12
2007-10-07,11.5,12
2007-10-08,20.666666666666668,12
2007-10-09,51.25,12
2007-10-10,47.833333333333336,12
2007-10-11,25.666666666666668,12
2007-10-12,16.083333333333332,12
2007-10-13,5.384615384615385,13
2007-10-14,15.76923076923077,13
2007-10-15,13.538461538461538,13
2007-10-16,39.69230769230769,13
2007-10-17,17.583333333333332,12
2007-10-18,33.583333333333336,12
2007-10-19,28.25,12
2007-10-20,11.833333333333334,12
2007-10-21,22.333333333333332,12
2007-10-22,11.416666666666666,12
2007-10-23,30,12
2007-10-24,40.75,12
2007-10-25,13.583333333333334,12
2007-10-26,28,12
2007-10-27,48.083333333333336,12
2007-10-28,30.76923076923077,13
2007-10-29,6.923076923076923,13
2007-10-30,48.38461538461539,13
2007-10-31,14.384615384615385,13
2007-11-01,31.76923076923077,13
2007-11-02,11.75,12
2007-11-03,0,12
2007-11-04,23.25,12
2007-11-05,34.166666666666664,12
2007-11-06,21.083333333333332,12
2007-11-07,19.75,12
2007-11-08,47.75,12
2007-11-09,18.166666666666668,12
2007-11-10,0,12
2007-11-11,42.75,12
2007-11-12,17.53846153846154,13
2007-11-13,21.384615384615383,13
2007-11-14,31,13
2007-11-15,38.15384615384615,13
2007-11-16,22.692307692307693,13
2007-11-17,18.25,12
2007-11-18,51.25,12
2007-11-19,20.5,12
2007-11-20,36.166666666666664,12
2007-11-21,22.25,12
2007-11-22,14.833333333333334,12
2007-11-23,18.083333333333332,12
2007-11-24,7,12
2007-11-25,10.666666666666666,12
2007-11-26,0,12
2007-11-27,32.07692307692308,13
2007-11-28,11.076923076923077,13
2007-11-29,15.076923076923077,13
2007-11-30,34.84615384615385,13
2007-12-01,12.461538461538462,13
2007-12-02,54.916666666666664,12
2007-12-03,48.75,12
2007-12-04,35.25,12
2007-12-05,47.25,12
2007-12-06,21,12
2007-12-07,24.583333333333332,12
2007-12-08,14.416666666666666,12
2007-12-09,35.583333333333336,12
2007-12-10,26.25,12
2007-12-11,31.333333333333332,12
2007-12-12,17.846153846153847,13
2007-12-13,7.538461538461538,13
2007-12-14,26.615384615384617,13
2007-12-15,0,13
2007-12-16,11.916666666666666,12
2007-12-17,16.166666666666668,12
2007-12-18,13.083333333333334,12
2007-12-19,51.166666666666664,12
2007-12-20,24.916666666666668,12
2007-12-21,46.083333333333336,12
2007-12-22,26.25,12
2007-12-23,39.666666666666664,12
2007-12-24,10.583333333333334,12
2007-12-25,11.166666666666666,12
2007-12-26,14.666666666666666,12
2007-12-27,34.23076923076923,13
2007-12-28,0,13
2007-12-29,11.846153846153847,13
2007-12-30,13.23076923076923,13
2007-12-31,8.25,12
2008-01-01,18.083333333333332,12
2008-01-02,23,12
2008-01-03,26.5,12
2008-01-04,13.75,12
2008-01-05,18.333333333333332,12
2008-01-06,13.333333333333334,12
2008-01-07,13.75,12
2008-01-08,34,12
2008-01-09,34.583333333333336,12
2008-01-10,31,12
2008-01-11,59.38461538461539,13
2008-01-12,9.153846153846153,13
2008-01-13,6.615384615384615,13
2008-01-14,33.15384615384615,13
2008-01-15,19.384615384615383,13
2008-01-16,27.916666666666668,12
2008-01-17,18.583333333333332,12
2008-01-18,4.083333333333333,12
2008-01-19,32.916666666666664,12
2008-01-20,21.083333333333332,12
2008-01-21,23.25,12
2008-01-22,24.583333333333332,12
2008-01-23,10,12
2008-01-24,29.083333333333332,12
2008-01-25,33.416666666666664,12
2008-01-26,21.23076923076923,13
2008-01-27,28.307692307692307,13
2008-01-28,20.846153846153847,13
2008-01-29,26.923076923076923,13
2008-01-30,52.69230769230769,13
2008-01-31,25.333333333333332,12
2008-02-01,12.916666666666666,12
2008-02-02,7.5,12
2008-02-03,28.416666666666668,12
2008-02-04,23.25,12
2008-02-05,26.583333333333332,12
