time,value,n
2007-01-07,47,1
2007-01-14,66,1
2007-01-21,40,1
2007-01-28,34,1
2007-02-04,83,1
2007-02-11,77,1
2007-02-18,63,1
2007-02-25,51,1
2007-03-04,77,1
2007-03-11,48,1
2007-03-18,44,1
2007-03-25,30,2
2007-04-01,78,2
2007-04-08,11.5,2
2007-04-15,17,2
2007-04-22,27.5,2
2007-04-29,55,2
2007-05-06,48,2
2007-05-13,62,2
2007-05-20,51.5,2
2007-05-27,41,2
2007-06-03,32.5,2
2007-06-10,73,3
2007-06-17,40.333333333333336,3
2007-06-24,43,3
2007-07-01,51.333333333333336,3
2007-07-08,57.333333333333336,3
2007-07-15,41.666666666666664,3
2007-07-22,55.666666666666664,3
2007-07-29,85.66666666666667,3
2007-08-05,53.666666666666664,3
2007-08-12,50.333333333333336,3
2007-08-19,59.666666666666664,3
2007-08-26,26,4
2007-09-02,23.75,4
2007-09-09,58.5,4
2007-09-16,58,4
2007-09-23,47.75,4
2007-09-30,54.25,4
2007-10-07,67,4
2007-10-14,44.75,4
2007-10-21,61.75,4
2007-10-28,42.25,4
2007-11-04,59.5,4
2007-11-11,49.6,5
2007-11-18,53,5
2007-11-25,33.6,5
2007-12-02,77.6,5
2007-12-09,41.2,5
2007-12-16,49,5
2007-12-23,42,5
2007-12-30,34.8,5
2008-01-06,50.4,5
2008-01-13,44.6,5
2008-01-20,38.8,5
2008-01-27,51.666666666666664,6
2008-02-03,60.666666666666664,6
2008-02-10,29.666666666666668,6
2008-02-17,39.666666666666664,6
2008-02-24,45.333333333333336,6
2008-03-02,44.333333333333336,6
2008-03-09,31.166666666666668,6
2008-03-16,39.5,6
2008-03-23,46,6
2008-03-30,54,6
2008-04-06,29.666666666666668,6
2008-04-13,44.142857142857146,7
2008-04-20,35.57142857142857,7
2008-04-27,25.285714285714285,7
2008-05-04,32.857142857142854,7
2008-05-11,46,7
2008-05-18,26.571428571428573,7
2008-05-25,41,7
2008-06-01,42.714285714285715,7
2008-06-08,38,7
2008-06-15,40.57142857142857,7
2008-06-22,36.857142857142854,7
2008-06-29,36.25,8
2008-07-06,53,8
2008-07-13,52.5,8
2008-07-20,32.125,8
2008-07-27,43.625,8
2008-08-03,39.625,8
2008-08-10,52.25,8
2008-08-17,31.75,8
2008-08-24,77.375,8
2008-08-31,36.5,8
2008-09-07,57.5,8
2008-09-14,52.55555555555556,9
2008-09-21,47.55555555555556,9
2008-09-28,57.666666666666664,9
2008-10-05,48.666666666666664,9
2008-10-12,37.333333333333336,9
2008-10-19,43.333333333333336,9
2008-10-26,41.44444444444444,9
2008-11-02,61.22222222222222,9
2008-11-09,38.44444444444444,9
2008-11-16,40.888888888888886,9
2008-11-23,42.44444444444444,9
2008-11-30,35.5,10
2008-12-07,55.9,10
2008-12-14,74.7,10
2008-12-21,59.9,10
2008-12-28,56,10
2009-01-04,46.6,10
2009-01-11,54.1,10
2009-01-18,54.5,10
2009-01-25,53,10
2009-02-01,56.1,10
2009-02-08,52.8,10
2009-02-15,48.54545454545455,11
2009-02-22,59.72727272727273,11
2009-03-01,45.09090909090909,11
2009-03-08,57.36363636363637,11
2009-03-15,52.27272727272727,11
2009-03-22,65.72727272727273,11
2009-03-29,62.81818181818182,11
2009-04-05,45,11
2009-04-12,49.27272727272727,11
2009-04-19,32.27272727272727,11
2009-04-26,46.54545454545455,11
2009-05-03,53.833333333333336,12
2009-05-10,29.916666666666668,12
2009-05-17,53.916666666666664,12
2009-05-24,45.666666666666664,12
2009-05-31,43.166666666666664,12
2009-06-07,49.333333333333336,12
2009-06-14,38.333333333333336,12
2009-06-21,54.583333333333336,12
2009-06-28,46.583333333333336,12
2009-07-05,32.833333333333336,12
2009-07-12,63.25,12
2009-07-19,49.15384615384615,13
2009-07-26,60.53846153846154,13
2009-08-02,30,13
2009-08-09,42.76923076923077,13
2009-08-16,41.92307692307692,13
2009-08-23,67.61538461538461,13
2009-08-30,54.61538461538461,13
2009-09-06,64.61538461538461,13
2009-09-13,42.69230769230769,13
2009-09-20,50.84615384615385,13
2009-09-27,57,13
2009-10-04,53.285714285714285,14
2009-10-11,58.357142857142854,14
2009-10-18,49.714285714285715,14
2009-10-25,45.214285714285715,14
2009-11-01,55.5,14
2009-11-08,63.857142857142854,14
2009-11-15,58.785714285714285,14
2009-11-22,57,14
2009-11-29,69.35714285714286,14
2009-12-06,63.357142857142854,14
2009-12-13,55.714285714285715,14
2009-12-20,54.13333333333333,15
2009-12-27,49.733333333333334,15
2010-01-03,39.733333333333334,15
2010-01-10,66.8,15
2010-01-17,43.733333333333334,15
2010-01-24,67.46666666666667,15
2010-01-31,60.666666666666664,15
2010-02-07,39.2,15
2010-02-14,58.333333333333336,15
2010-02-21,51.53333333333333,15
2010-02-28,53.266666666666666,15
2010-03-07,47.3125,16
2010-03-14,58.6875,16
2010-03-21,46.5,16
2010-03-28,64.0625,16
2010-04-04,43.25,16
2010-04-11,49.6875,16
2010-04-18,54.5,16
2010-04-25,36.125,16
2010-05-02,60.3125,16
2010-05-09,45.5,16
2010-05-16,44.75,16
2010-05-23,51.23529411764706,17
2010-05-30,38.529411764705884,17
2010-06-06,55.35294117647059,17
2010-06-13,51.588235294117645,17
2010-06-20,51.1764705882353,17
2010-06-27,57.76470588235294,17
2010-07-04,52.88235294117647,17
2010-07-11,51.294117647058826,17
2010-07-18,46.11764705882353,17
2010-07-25,52.411764705882355,17
2010-08-01,77.52941176470588,17
2010-08-08,73.61111111111111,18
2010-08-15,51.666666666666664,18
2010-08-22,70.27777777777777,18
2010-08-29,56,18
2010-09-05,59.27777777777778,18
2010-09-12,54.77777777777778,18
2010-09-19,54.5,18
2010-09-26,60.22222222222222,18
2010-10-03,51.27777777777778,18
2010-10-10,51.94444444444444,18
2010-10-17,50.388888888888886,18
2010-10-24,46.8421052631579,19
2010-10-31,57.8421052631579,19
2010-11-07,63.63157894736842,19
2010-11-14,62.05263157894737,19
2010-11-21,45.68421052631579,19
2010-11-28,51.05263157894737,19
2010-12-05,56.63157894736842,19
2010-12-12,67.10526315789474,19
2010-12-19,55,19
2010-12-26,59.10526315789474,19
2011-01-02,65.84210526315789,19
2011-01-09,49.25,20
2011-01-16,53.7,20
2011-01-23,63.85,20
2011-01-30,65.9,20
2011-02-06,61.4,20
2011-02-13,50.8,20
2011-02-20,56.25,20
2011-02-27,48.75,20
2011-03-06,56.15,20
2011-03-13,62.45,20
2011-03-20,51.1,20
2011-03-27,54.857142857142854,21
2011-04-03,55.23809523809524,21
2011-04-10,54.04761904761905,21
2011-04-17,52.095238095238095,21
2011-04-24,52.666666666666664,21
2011-05-01,53.142857142857146,21
2011-05-08,49.23809523809524,21
2011-05-15,45.714285714285715,21
2011-05-22,56.095238095238095,21
2011-05-29,54.76190476190476,21
2011-06-05,65.76190476190476,21
2011-06-12,52.90909090909091,22
2011-06-19,63.22727272727273,22
2011-06-26,59.40909090909091,22
2011-07-03,43.04545454545455,22
2011-07-10,64.81818181818181,22
