time,value,n
2007-01-07,14,1
2007-01-14,43,1
2007-01-21,28,1
2007-01-28,24,1
2007-02-04,35,1
2007-02-11,64,1
2007-02-18,50,1
2007-02-25,23,1
2007-03-04,33,1
2007-03-11,29,1
2007-03-18,50,1
2007-03-25,47.5,2
2007-04-01,33,2
2007-04-08,26,2
2007-04-15,62.5,2
2007-04-22,33.5,2
2007-04-29,36,2
2007-05-06,38.5,2
2007-05-13,25,2
2007-05-20,28.5,2
2007-05-27,57,2
2007-06-03,44.5,2
2007-06-10,22.333333333333332,3
2007-06-17,38.666666666666664,3
2007-06-24,19.333333333333332,3
2007-07-01,38.333333333333336,3
2007-07-08,43.333333333333336,3
2007-07-15,30.333333333333332,3
2007-07-22,41,3
2007-07-29,40.333333333333336,3
2007-08-05,32.666666666666664,3
2007-08-12,50.666666666666664,3
2007-08-19,31.666666666666668,3
2007-08-26,40,4
2007-09-02,48.25,4
2007-09-09,51.5,4
2007-09-16,41.5,4
2007-09-23,45.25,4
2007-09-30,41.75,4
2007-10-07,20,4
2007-10-14,25.25,4
2007-10-21,58.5,4
2007-10-28,49.5,4
2007-11-04,37.5,4
2007-11-11,49,5
2007-11-18,48,5
2007-11-25,44.8,5
2007-12-02,38,5
2007-12-09,49.6,5
2007-12-16,60.4,5
2007-12-23,40,5
2007-12-30,77.8,5
2008-01-06,53.4,5
2008-01-13,39.8,5
2008-01-20,47.6,5
2008-01-27,35.833333333333336,6
2008-02-03,47.833333333333336,6
2008-02-10,37.5,6
2008-02-17,41.333333333333336,6
2008-02-24,39.833333333333336,6
2008-03-02,50.333333333333336,6
2008-03-09,40.666666666666664,6
2008-03-16,56,6
2008-03-23,41.5,6
2008-03-30,36,6
2008-04-06,39.5,6
2008-04-13,43.714285714285715,7
2008-04-20,32,7
2008-04-27,27.714285714285715,7
2008-05-04,52.714285714285715,7
2008-05-11,34.857142857142854,7
2008-05-18,43,7
2008-05-25,24.571428571428573,7
2008-06-01,41.142857142857146,7
2008-06-08,33.857142857142854,7
2008-06-15,30.285714285714285,7
2008-06-22,37,7
2008-06-29,33.625,8
2008-07-06,34,8
2008-07-13,37,8
2008-07-20,42.125,8
2008-07-27,35.25,8
2008-08-03,44.25,8
2008-08-10,35.875,8
2008-08-17,35.25,8
2008-08-24,41.5,8
2008-08-31,32.75,8
2008-09-07,49.75,8
2008-09-14,52.111111111111114,9
2008-09-21,46.888888888888886,9
2008-09-28,40.333333333333336,9
2008-10-05,31.88888888888889,9
2008-10-12,43.22222222222222,9
2008-10-19,27.444444444444443,9
2008-10-26,37.111111111111114,9
2008-11-02,48.22222222222222,9
2008-11-09,33.888888888888886,9
2008-11-16,55.44444444444444,9
2008-11-23,48,9
2008-11-30,51.8,10
2008-12-07,60.8,10
2008-12-14,60.2,10
2008-12-21,44,10
2008-12-28,33.7,10
2009-01-04,47,10
2009-01-11,44.6,10
2009-01-18,44,10
2009-01-25,49.3,10
2009-02-01,36.2,10
2009-02-08,45.3,10
2009-02-15,46.27272727272727,11
2009-02-22,48,11
2009-03-01,34.81818181818182,11
2009-03-08,39.45454545454545,11
2009-03-15,38.09090909090909,11
2009-03-22,35.45454545454545,11
2009-03-29,40.63636363636363,11
2009-04-05,43.90909090909091,11
2009-04-12,39.18181818181818,11
2009-04-19,32.63636363636363,11
2009-04-26,30.727272727272727,11
2009-05-03,36.166666666666664,12
2009-05-10,32.833333333333336,12
2009-05-17,38.916666666666664,12
2009-05-24,42.666666666666664,12
2009-05-31,36.416666666666664,12
2009-06-07,37.416666666666664,12
2009-06-14,35.25,12
2009-06-21,20.666666666666668,12
2009-06-28,26.666666666666668,12
2009-07-05,39.25,12
2009-07-12,35.083333333333336,12
2009-07-19,35.84615384615385,13
2009-07-26,42,13
2009-08-02,43.61538461538461,13
2009-08-09,38.53846153846154,13
2009-08-16,27.46153846153846,13
2009-08-23,29.53846153846154,13
2009-08-30,51.07692307692308,13
2009-09-06,42.61538461538461,13
2009-09-13,37.92307692307692,13
2009-09-20,35,13
2009-09-27,40.30769230769231,13
2009-10-04,38.142857142857146,14
2009-10-11,43.285714285714285,14
2009-10-18,49.285714285714285,14
2009-10-25,43.785714285714285,14
2009-11-01,47.642857142857146,14
2009-11-08,39.357142857142854,14
2009-11-15,63.5,14
2009-11-22,47.285714285714285,14
2009-11-29,46.42857142857143,14
2009-12-06,40.714285714285715,14
2009-12-13,51.07142857142857,14
2009-12-20,62.733333333333334,15
2009-12-27,43.733333333333334,15
2010-01-03,48.2,15
2010-01-10,54.2,15
