time,value,n
2007-01-01,45,1
2007-01-02,28,1
2007-01-03,28,1
2007-01-04,42,1
2007-01-05,16,1
2007-01-06,19,1
2007-01-07,0,1
2007-01-08,0,1
2007-01-09,0,1
2007-01-10,37,1
2007-01-11,24,1
2007-01-12,27,1
2007-01-13,0,1
2007-01-14,0,1
2007-01-15,23,1
2007-01-16,0,2
2007-01-17,18.5,2
2007-01-18,12,2
2007-01-19,40.5,2
2007-01-20,0,2
2007-01-21,67,2
2007-01-22,0,2
2007-01-23,17.5,2
2007-01-24,0,2
2007-01-25,25,2
2007-01-26,28,2
2007-01-27,10,2
2007-01-28,25.5,2
2007-01-29,39,2
2007-01-30,36,2
2007-01-31,33.666666666666664,3
2007-02-01,22.333333333333332,3
2007-02-02,36.333333333333336,3
2007-02-03,0,3
2007-02-04,86.33333333333333,3
2007-02-05,12,3
2007-02-06,45,3
2007-02-07,0,3
2007-02-08,21,3
2007-02-09,26,3
2007-02-10,22.333333333333332,3
2007-02-11,0,3
2007-02-12,13,3
2007-02-13,32,3
2007-02-14,5.666666666666667,3
2007-02-15,25.5,4
2007-02-16,12.5,4
2007-02-17,24.75,4
2007-02-18,20,4
2007-02-19,17.25,4
2007-02-20,8.5,4
2007-02-21,30.75,4
2007-02-22,18.25,4
2007-02-23,15,4
2007-02-24,16.5,4
2007-02-25,49.25,4
2007-02-26,20,4
2007-02-27,15.25,4
2007-02-28,11.25,4
2007-03-01,20.5,4
2007-03-02,25.6,5
2007-03-03,23,5
2007-03-04,23.2,5
2007-03-05,13.2,5
2007-03-06,38,5
2007-03-07,26,5
2007-03-08,10.4,5
2007-03-09,29.6,5
2007-03-10,14.2,5
2007-03-11,26.2,5
2007-03-12,17.8,5
2007-03-13,36,5
2007-03-14,47.6,5
2007-03-15,20.2,5
2007-03-16,9.6,5
2007-03-17,22.166666666666668,6
2007-03-18,29.666666666666668,6
2007-03-19,15.833333333333334,6
2007-03-20,30.166666666666668,6
2007-03-21,6.166666666666667,6
2007-03-22,14.333333333333334,6
2007-03-23,23.333333333333332,6
2007-03-24,13.833333333333334,6
2007-03-25,19.5,6
2007-03-26,28.166666666666668,6
2007-03-27,16.833333333333332,6
2007-03-28,13.833333333333334,6
2007-03-29,5.833333333333333,6
2007-03-30,11.833333333333334,6
2007-03-31,30.5,6
2007-04-01,0,7
2007-04-02,4.428571428571429,7
2007-04-03,8.428571428571429,7
2007-04-04,11.857142857142858,7
2007-04-05,44.42857142857143,7
2007-04-06,10.857142857142858,7
2007-04-07,33.42857142857143,7
2007-04-08,36,7
2007-04-09,41.714285714285715,7
2007-04-10,30.857142857142858,7
