time,value,n
2007-01-07,70,1
2007-01-14,63,1
2007-01-21,84,1
2007-01-28,81,1
2007-02-04,73,1
2007-02-11,35,1
2007-02-18,79,1
2007-02-25,50,1
2007-03-04,28,1
2007-03-11,76,1
2007-03-18,38,1
2007-03-25,50,2
2007-04-01,39.5,2
2007-04-08,74,2
2007-04-15,39,2
2007-04-22,45,2
2007-04-29,58,2
2007-05-06,32,2
2007-05-13,52.5,2
2007-05-20,73.5,2
2007-05-27,25.5,2
2007-06-03,34.5,2
2007-06-10,62.666666666666664,3
2007-06-17,70.66666666666667,3
2007-06-24,54.333333333333336,3
2007-07-01,56.666666666666664,3
2007-07-08,77,3
2007-07-15,27,3
2007-07-22,49.333333333333336,3
2007-07-29,67,3
2007-08-05,51.666666666666664,3
2007-08-12,56.666666666666664,3
2007-08-19,65.66666666666667,3
2007-08-26,48,4
2007-09-02,70.25,4
2007-09-09,67.25,4
2007-09-16,63.25,4
2007-09-23,52.25,4
2007-09-30,69.5,4
2007-10-07,66.5,4
2007-10-14,60.25,4
2007-10-21,44.75,4
2007-10-28,55.5,4
2007-11-04,55.25,4
2007-11-11,43.2,5
2007-11-18,45.6,5
2007-11-25,65.2,5
2007-12-02,51,5
2007-12-09,66.8,5
2007-12-16,79.6,5
2007-12-23,47.8,5
2007-12-30,60.6,5
2008-01-06,57.8,5
2008-01-13,53,5
2008-01-20,39.4,5
2008-01-27,55.5,6
2008-02-03,51.833333333333336,6
2008-02-10,44.333333333333336,6
2008-02-17,60.166666666666664,6
2008-02-24,33,6
2008-03-02,66.33333333333333,6
2008-03-09,58.666666666666664,6
2008-03-16,37.166666666666664,6
2008-03-23,44.666666666666664,6
2008-03-30,59.166666666666664,6
2008-04-06,45.166666666666664,6
2008-04-13,41.285714285714285,7
2008-04-20,50.57142857142857,7
2008-04-27,60.714285714285715,7
2008-05-04,44,7
2008-05-11,52.714285714285715,7
2008-05-18,45.42857142857143,7
2008-05-25,52.285714285714285,7
