time,value,n
2007-01-01,0,1
2007-01-02,15,1
2007-01-03,15,1
2007-01-04,31,1
2007-01-05,0,1
2007-01-06,0,1
2007-01-07,19,1
2007-01-08,39,1
2007-01-09,13,1
2007-01-10,54,1
2007-01-11,0,1
2007-01-12,15,1
2007-01-13,43,1
2007-01-14,0,1
2007-01-15,12,1
2007-01-16,21,2
2007-01-17,42.5,2
2007-01-18,42.5,2
2007-01-19,8.5,2
2007-01-20,0,2
2007-01-21,40.5,2
2007-01-22,47,2
2007-01-23,7,2
2007-01-24,14.5,2
2007-01-25,15.5,2
2007-01-26,33,2
2007-01-27,22.5,2
2007-01-28,10.5,2
2007-01-29,46.5,2
2007-01-30,21.5,2
2007-01-31,33.666666666666664,3
2007-02-01,19.666666666666668,3
2007-02-02,11,3
2007-02-03,21.333333333333332,3
2007-02-04,32.666666666666664,3
2007-02-05,23,3
2007-02-06,18.666666666666668,3
2007-02-07,33.333333333333336,3
2007-02-08,14,3
2007-02-09,5.333333333333333,3
2007-02-10,23.666666666666668,3
2007-02-11,6.666666666666667,3
2007-02-12,22,3
2007-02-13,13.666666666666666,3
2007-02-14,0,3
2007-02-15,28.75,4
2007-02-16,16.5,4
2007-02-17,58.75,4
2007-02-18,27.5,4
2007-02-19,48,4
2007-02-20,31.75,4
2007-02-21,15.5,4
2007-02-22,21.75,4
2007-02-23,36.25,4
2007-02-24,21.75,4
2007-02-25,9.5,4
2007-02-26,23.5,4
2007-02-27,7.5,4
2007-02-28,16.25,4
2007-03-01,3.25,4
2007-03-02,44.6,5
2007-03-03,19.6,5
2007-03-04,22.4,5
2007-03-05,15.2,5
2007-03-06,27,5
2007-03-07,11,5
2007-03-08,26.6,5
2007-03-09,19,5
2007-03-10,19.4,5
2007-03-11,0,5
2007-03-12,13,5
2007-03-13,13.2,5
2007-03-14,33,5
2007-03-15,53.4,5
2007-03-16,26.6,5
2007-03-17,20.666666666666668,6
2007-03-18,9.833333333333334,6
2007-03-19,21.833333333333332,6
2007-03-20,32,6
2007-03-21,12.5,6
2007-03-22,2.1666666666666665,6
2007-03-23,28,6
2007-03-24,5.5,6
2007-03-25,9.666666666666666,6
2007-03-26,20.333333333333332,6
2007-03-27,32.333333333333336,6
2007-03-28,6.666666666666667,6
2007-03-29,45.833333333333336,6
2007-03-30,30.333333333333332,6
2007-03-31,18.666666666666668,6
2007-04-01,29.714285714285715,7
2007-04-02,28,7
2007-04-03,68,7
2007-04-04,40.857142857142854,7
2007-04-05,37.42857142857143,7
2007-04-06,40.57142857142857,7
2007-04-07,8.428571428571429,7
2007-04-08,8.857142857142858,7
2007-04-09,0,7
2007-04-10,46,7
2007-04-11,38.714285714285715,7
2007-04-12,22.428571428571427,7
2007-04-13,21.285714285714285,7
2007-04-14,33.42857142857143,7
2007-04-15,15,7
2007-04-16,62.875,8
2007-04-17,31,8
2007-04-18,31.25,8
2007-04-19,46.875,8
2007-04-20,44.25,8
2007-04-21,16.25,8
2007-04-22,5.25,8
2007-04-23,22.75,8
2007-04-24,25.5,8
2007-04-25,17.125,8
2007-04-26,38.25,8
2007-04-27,19.875,8
2007-04-28,53.5,8
2007-04-29,21.375,8
2007-04-30,40,8
2007-05-01,13.555555555555555,9
2007-05-02,41.77777777777778,9
2007-05-03,27.666666666666668,9
2007-05-04,31.88888888888889,9
2007-05-05,5,9
2007-05-06,7.666666666666667,9
2007-05-07,28.22222222222222,9
2007-05-08,27.11111111111111,9
2007-05-09,45.22222222222222,9
2007-05-10,28.22222222222222,9
2007-05-11,46.666666666666664,9
2007-05-12,22.666666666666668,9
2007-05-13,10.555555555555555,9
2007-05-14,25.444444444444443,9
2007-05-15,17.77777777777778,9
2007-05-16,10.1,10
2007-05-17,22.1,10
2007-05-18,11.4,10
2007-05-19,26.6,10
2007-05-20,7.5,10
2007-05-21,30.5,10
2007-05-22,52.4,10
2007-05-23,26.2,10
2007-05-24,25.1,10
2007-05-25,30.1,10
2007-05-26,58.8,10
2007-05-27,12.6,10
2007-05-28,24.9,10
2007-05-29,30.3,10
2007-05-30,21.2,10
2007-05-31,3.4545454545454546,11
2007-06-01,24.454545454545453,11
2007-06-02,11.545454545454543,11
2007-06-03,12.545454545454543,11
2007-06-04,25.636363636363637,11
2007-06-05,17.545454545454547,11
2007-06-06,8.818181818181818,11
2007-06-07,12.727272727272727,11
2007-06-08,40.18181818181818,11
2007-06-09,33.45454545454545,11
2007-06-10,24,11
2007-06-11,40.72727272727273,11
2007-06-12,13.363636363636363,11
2007-06-13,20.363636363636363,11
2007-06-14,14.545454545454543,11
2007-06-15,27.166666666666668,12
2007-06-16,36.583333333333336,12
2007-06-17,16,12
2007-06-18,19.416666666666668,12
2007-06-19,22.75,12
2007-06-20,27.916666666666668,12
2007-06-21,7.333333333333333,12
2007-06-22,35,12
2007-06-23,16.083333333333332,12
2007-06-24,17.666666666666668,12
2007-06-25,43.5,12
2007-06-26,20.166666666666668,12
2007-06-27,23.083333333333332,12
2007-06-28,20.166666666666668,12
2007-06-29,29.166666666666668,12
2007-06-30,3.923076923076923,13
2007-07-01,20.53846153846154,13
2007-07-02,19.416666666666668,12
2007-07-03,15.416666666666666,12
2007-07-04,12.083333333333334,12
2007-07-05,20.25,12
2007-07-06,24.333333333333332,12
2007-07-07,79.91666666666667,12
2007-07-08,26.083333333333332,12
2007-07-09,20.083333333333332,12
2007-07-10,9.333333333333334,12
2007-07-11,35.083333333333336,12
2007-07-12,17.833333333333332,12
2007-07-13,22.333333333333332,12
2007-07-14,43,12
2007-07-15,16.923076923076923,13
2007-07-16,11.692307692307692,13
2007-07-17,48.583333333333336,12
2007-07-18,36.916666666666664,12
2007-07-19,19.833333333333332,12
2007-07-20,44.666666666666664,12
2007-07-21,26.916666666666668,12
2007-07-22,59.166666666666664,12
2007-07-23,30.75,12
2007-07-24,46.166666666666664,12
2007-07-25,23.5,12
2007-07-26,42.25,12
2007-07-27,24.583333333333332,12
2007-07-28,34.333333333333336,12
2007-07-29,13.166666666666666,12
2007-07-30,23.153846153846153,13
2007-07-31,50.53846153846154,13
2007-08-01,44.833333333333336,12
2007-08-02,14.25,12
2007-08-03,20.666666666666668,12
2007-08-04,0,12
2007-08-05,12.083333333333334,12
2007-08-06,32.416666666666664,12
2007-08-07,25.833333333333332,12
2007-08-08,43.666666666666664,12
2007-08-09,16.333333333333332,12
2007-08-10,38.083333333333336,12
2007-08-11,0,12
2007-08-12,19.583333333333332,12
2007-08-13,16,12
2007-08-14,21.23076923076923,13
2007-08-15,29.76923076923077,13
2007-08-16,32.5,12
2007-08-17,26.75,12
2007-08-18,0,12
2007-08-19,31.833333333333332,12
2007-08-20,4,12
2007-08-21,30.25,12
2007-08-22,7.166666666666667,12
2007-08-23,56.916666666666664,12
2007-08-24,24.583333333333332,12
2007-08-25,0,12
2007-08-26,18.083333333333332,12
2007-08-27,55.25,12
2007-08-28,58.333333333333336,12
2007-08-29,15.692307692307692,13
2007-08-30,24.53846153846154,13
2007-08-31,17.615384615384617,13
2007-09-01,0,13
2007-09-02,22.53846153846154,13
2007-09-03,32.166666666666664,12
2007-09-04,19.416666666666668,12
2007-09-05,25.75,12
2007-09-06,33.916666666666664,12
2007-09-07,0,12
2007-09-08,17.083333333333332,12
2007-09-09,18.916666666666668,12
2007-09-10,31.666666666666668,12
2007-09-11,31.833333333333332,12
2007-09-12,11.75,12
2007-09-13,28.53846153846154,13
2007-09-14,20.384615384615383,13
2007-09-15,6.769230769230769,13
2007-09-16,47.38461538461539,13
2007-09-17,11.692307692307692,13
2007-09-18,8.916666666666666,12
2007-09-19,18.25,12
2007-09-20,9.916666666666666,12
2007-09-21,32.333333333333336,12
2007-09-22,23.583333333333332,12
2007-09-23,5.083333333333333,12
2007-09-24,19.916666666666668,12
2007-09-25,23.416666666666668,12
2007-09-26,13.583333333333334,12
2007-09-27,21.25,12
2007-09-28,24.53846153846154,13
2007-09-29,9.615384615384617,13
2007-09-30,43,13
2007-10-01,40.92307692307692,13
2007-10-02,19.75,12
2007-10-03,13.75,12
2007-10-04,27.666666666666668,12
2007-10-05,15.75,12
2007-10-06,44.416666666666664,12
2007-10-07,39.583333333333336,12
2007-10-08,6,12
2007-10-09,36.75,12
2007-10-10,9.333333333333334,12
2007-10-11,33.333333333333336,12
2007-10-12,23.083333333333332,12
2007-10-13,19.307692307692307,13
2007-10-14,10.307692307692308,13
2007-10-15,28.846153846153847,13
2007-10-16,35.23076923076923,13
2007-10-17,27.5,12
2007-10-18,20.5,12
2007-10-19,36.25,12
2007-10-20,25.833333333333332,12
2007-10-21,25.916666666666668,12
2007-10-22,27.25,12
2007-10-23,18.583333333333332,12
2007-10-24,15.75,12
2007-10-25,24.166666666666668,12
2007-10-26,27.75,12
2007-10-27,19.333333333333332,12
2007-10-28,0,13
2007-10-29,14,13
