time,value,n
2007-01-01,0,1
2007-01-02,17,1
2007-01-03,34,1
2007-01-04,18,1
2007-01-05,0,1
2007-01-06,0,1
2007-01-07,62,1
2007-01-08,14,1
2007-01-09,14,1
2007-01-10,30,1
2007-01-11,45,1
2007-01-12,33,1
2007-01-13,71,1
2007-01-14,0,1
2007-01-15,28,1
2007-01-16,14.5,2
2007-01-17,22.5,2
2007-01-18,0,2
2007-01-19,16.5,2
2007-01-20,23.5,2
2007-01-21,40.5,2
2007-01-22,35,2
2007-01-23,14.5,2
2007-01-24,14,2
2007-01-25,31,2
2007-01-26,51.5,2
2007-01-27,0,2
2007-01-28,31,2
2007-01-29,41.5,2
2007-01-30,22,2
2007-01-31,10,3
2007-02-01,13.666666666666666,3
2007-02-02,31.333333333333332,3
2007-02-03,14,3
2007-02-04,20.333333333333332,3
2007-02-05,33.333333333333336,3
2007-02-06,26.666666666666668,3
2007-02-07,20.666666666666668,3
2007-02-08,19.666666666666668,3
2007-02-09,47.333333333333336,3
2007-02-10,35.666666666666664,3
2007-02-11,7.333333333333333,3
2007-02-12,4.666666666666667,3
2007-02-13,3.6666666666666665,3
2007-02-14,29.666666666666668,3
2007-02-15,14.5,4
2007-02-16,41.75,4
2007-02-17,20.5,4
2007-02-18,25.5,4
2007-02-19,59.25,4
2007-02-20,23,4
2007-02-21,29.75,4
2007-02-22,7,4
2007-02-23,11.75,4
2007-02-24,51.25,4
2007-02-25,26,4
2007-02-26,12.5,4
2007-02-27,22,4
2007-02-28,3.5,4
2007-03-01,15.5,4
2007-03-02,34.8,5
2007-03-03,4.4,5
2007-03-04,24,5
2007-03-05,46.8,5
2007-03-06,13.6,5
2007-03-07,24.8,5
2007-03-08,20.8,5
2007-03-09,8.8,5
2007-03-10,86.4,5
2007-03-11,20.2,5
2007-03-12,20.4,5
2007-03-13,7.4,5
2007-03-14,28.2,5
2007-03-15,7.4,5
2007-03-16,20.6,5
2007-03-17,29.833333333333332,6
2007-03-18,39.166666666666664,6
2007-03-19,26.333333333333332,6
2007-03-20,16.166666666666668,6
2007-03-21,10.333333333333334,6
2007-03-22,25.333333333333332,6
2007-03-23,7.166666666666667,6
2007-03-24,28,6
2007-03-25,0,6
2007-03-26,20.333333333333332,6
2007-03-27,20.666666666666668,6
2007-03-28,5.5,6
2007-03-29,19.833333333333332,6
2007-03-30,2.1666666666666665,6
2007-03-31,7,6
2007-04-01,33.142857142857146,7
2007-04-02,27.285714285714285,7
2007-04-03,14.571428571428571,7
2007-04-04,16.571428571428573,7
2007-04-05,11.571428571428571,7
2007-04-06,25.571428571428573,7
2007-04-07,0,7
2007-04-08,18,7
2007-04-09,0,7
2007-04-10,33.857142857142854,7
2007-04-11,2.5714285714285716,7
2007-04-12,4.428571428571429,7
2007-04-13,32.42857142857143,7
2007-04-14,0,7
2007-04-15,19.142857142857142,7
2007-04-16,21.375,8
2007-04-17,2.125,8
2007-04-18,30.25,8
2007-04-19,7,8
2007-04-20,1.5,8
2007-04-21,3.25,8
2007-04-22,4.875,8
2007-04-23,26.25,8
2007-04-24,16.125,8
2007-04-25,0,8
2007-04-26,30,8
2007-04-27,29.25,8
2007-04-28,21.125,8
2007-04-29,3.375,8
2007-04-30,8.375,8
2007-05-01,25.88888888888889,9
2007-05-02,8.333333333333334,9
2007-05-03,37.77777777777778,9
2007-05-04,12,9
2007-05-05,30.666666666666668,9
2007-05-06,15,9
2007-05-07,12,9
2007-05-08,34.55555555555556,9
2007-05-09,15.22222222222222,9
2007-05-10,11.88888888888889,9
2007-05-11,7.333333333333333,9
2007-05-12,0,9
2007-05-13,8.444444444444445,9
2007-05-14,28,9
2007-05-15,18.88888888888889,9
2007-05-16,25.9,10
2007-05-17,23.1,10
2007-05-18,5.2,10
2007-05-19,12.9,10
2007-05-20,17,10
2007-05-21,22.8,10
2007-05-22,27.2,10
2007-05-23,24.2,10
2007-05-24,12.6,10
2007-05-25,14.1,10
2007-05-26,34.3,10
2007-05-27,19.8,10
2007-05-28,0,10
2007-05-29,12.4,10
2007-05-30,24.6,10
2007-05-31,34.63636363636363,11
2007-06-01,14.818181818181818,11
2007-06-02,8.363636363636363,11
2007-06-03,16.545454545454547,11
2007-06-04,26,11
2007-06-05,19.90909090909091,11
2007-06-06,21.454545454545453,11
2007-06-07,12.636363636363637,11
2007-06-08,26.90909090909091,11
2007-06-09,34.45454545454545,11
2007-06-10,21.545454545454547,11
2007-06-11,32.36363636363637,11
