time,value,n
2007-01-07,69,1
2007-01-14,51,1
2007-01-21,72,1
2007-01-28,86,1
2007-02-04,42,1
2007-02-11,52,1
2007-02-18,54,1
2007-02-25,38,1
2007-03-04,100,1
2007-03-11,35,1
2007-03-18,49,1
2007-03-25,55.5,2
2007-04-01,59.5,2
2007-04-08,33.5,2
2007-04-15,38.5,2
2007-04-22,57,2
2007-04-29,61,2
2007-05-06,59,2
2007-05-13,38,2
2007-05-20,68,2
2007-05-27,39.5,2
2007-06-03,28.5,2
2007-06-10,33.666666666666664,3
2007-06-17,54,3
2007-06-24,41.666666666666664,3
2007-07-01,38.333333333333336,3
2007-07-08,56.666666666666664,3
2007-07-15,50.333333333333336,3
2007-07-22,47,3
2007-07-29,35,3
2007-08-05,40,3
2007-08-12,51.666666666666664,3
2007-08-19,45,3
2007-08-26,42.25,4
2007-09-02,54.5,4
2007-09-09,48.25,4
2007-09-16,47.75,4
2007-09-23,75,4
2007-09-30,44,4
2007-10-07,58,4
2007-10-14,39.75,4
2007-10-21,46.75,4
2007-10-28,36.5,4
2007-11-04,54.25,4
2007-11-11,50,5
2007-11-18,24.6,5
2007-11-25,64,5
2007-12-02,57.4,5
2007-12-09,96.4,5
2007-12-16,82.2,5
2007-12-23,73.8,5
2007-12-30,41,5
2008-01-06,51.2,5
2008-01-13,46.4,5
2008-01-20,54.6,5
2008-01-27,63.333333333333336,6
2008-02-03,43.333333333333336,6
2008-02-10,55.833333333333336,6
2008-02-17,50.833333333333336,6
2008-02-24,36.333333333333336,6
2008-03-02,51.833333333333336,6
2008-03-09,42.166666666666664,6
2008-03-16,32.333333333333336,6
2008-03-23,58,6
2008-03-30,35.833333333333336,6
2008-04-06,55.166666666666664,6
2008-04-13,76.28571428571429,7
2008-04-20,57.42857142857143,7
2008-04-27,36.285714285714285,7
2008-05-04,53.42857142857143,7
2008-05-11,39,7
2008-05-18,42.142857142857146,7
2008-05-25,25,7
2008-06-01,37,7
2008-06-08,39,7
2008-06-15,36.57142857142857,7
2008-06-22,37.42857142857143,7
2008-06-29,40.375,8
2008-07-06,34.25,8
2008-07-13,34.5,8
2008-07-20,33.5,8
2008-07-27,48.125,8
2008-08-03,24.625,8
2008-08-10,40.125,8
2008-08-17,44.5,8
2008-08-24,45.375,8
2008-08-31,35.5,8
2008-09-07,36.5,8
2008-09-14,42.666666666666664,9
2008-09-21,43.22222222222222,9
2008-09-28,41.666666666666664,9
2008-10-05,56.22222222222222,9
2008-10-12,24.444444444444443,9
2008-10-19,42.44444444444444,9
2008-10-26,40.77777777777778,9
2008-11-02,42.333333333333336,9
2008-11-09,50.111111111111114,9
2008-11-16,59,9
2008-11-23,53.44444444444444,9
2008-11-30,51.7,10
2008-12-07,64.8,10
2008-12-14,63.9,10
2008-12-21,82.8,10
2008-12-28,31.6,10
2009-01-04,50.4,10
2009-01-11,47.5,10
2009-01-18,36.2,10
2009-01-25,40.7,10
2009-02-01,37.2,10
2009-02-08,46.9,10
2009-02-15,45.63636363636363,11
2009-02-22,38.90909090909091,11
2009-03-01,45.72727272727273,11
2009-03-08,46.90909090909091,11
2009-03-15,45.63636363636363,11
2009-03-22,50.09090909090909,11
2009-03-29,39.81818181818182,11
2009-04-05,42.36363636363637,11
2009-04-12,47.09090909090909,11
2009-04-19,46.54545454545455,11
2009-04-26,51.63636363636363,11
2009-05-03,40.833333333333336,12
2009-05-10,48.083333333333336,12
2009-05-17,43.083333333333336,12
2009-05-24,33,12
2009-05-31,41.25,12
2009-06-07,38,12
2009-06-14,54.166666666666664,12
2009-06-21,38.666666666666664,12
2009-06-28,36.833333333333336,12
2009-07-05,28.5,12
