time,value,n
2007-01-07,16,1
2007-01-14,76,1
2007-01-21,15,1
2007-01-28,47,1
2007-02-04,48,1
2007-02-11,0,1
2007-02-18,64,1
2007-02-25,30,1
2007-03-04,45,1
2007-03-11,47,1
2007-03-18,44,1
2007-03-25,25.5,2
2007-04-01,46,2
2007-04-08,60.5,2
2007-04-15,52.5,2
2007-04-22,26.5,2
2007-04-29,16,2
2007-05-06,11.5,2
2007-05-13,61,2
2007-05-20,40,2
2007-05-27,20,2
2007-06-03,35.5,2
2007-06-10,16,3
2007-06-17,13.333333333333334,3
2007-06-24,19,3
2007-07-01,75.33333333333333,3
2007-07-08,50,3
2007-07-15,64,3
2007-07-22,13,3
2007-07-29,23.333333333333332,3
2007-08-05,28.666666666666668,3
2007-08-12,35,3
2007-08-19,25,3
2007-08-26,37.75,4
2007-09-02,36.5,4
2007-09-09,58,4
2007-09-16,23,4
2007-09-23,58.5,4
2007-09-30,32.75,4
2007-10-07,59.75,4
2007-10-14,31,4
2007-10-21,36.25,4
2007-10-28,36,4
2007-11-04,30.25,4
2007-11-11,39.6,5
2007-11-18,16.8,5
2007-11-25,7,5
2007-12-02,24.8,5
2007-12-09,46.6,5
2007-12-16,27,5
2007-12-23,21.4,5
2007-12-30,14.4,5
2008-01-06,16.6,5
2008-01-13,19.8,5
2008-01-20,35.6,5
2008-01-27,22.166666666666668,6
2008-02-03,36.666666666666664,6
2008-02-10,19.666666666666668,6
2008-02-17,46.833333333333336,6
2008-02-24,31.833333333333332,6
2008-03-02,29.666666666666668,6
2008-03-09,28.166666666666668,6
2008-03-16,30.666666666666668,6
2008-03-23,33.166666666666664,6
2008-03-30,30.5,6
2008-04-06,18.166666666666668,6
2008-04-13,18.428571428571427,7
2008-04-20,42,7
2008-04-27,23.714285714285715,7
2008-05-04,43.714285714285715,7
2008-05-11,60.857142857142854,7
2008-05-18,30.285714285714285,7
2008-05-25,47.42857142857143,7
2008-06-01,28,7
2008-06-08,9.285714285714286,7
2008-06-15,41.285714285714285,7
2008-06-22,32.42857142857143,7
2008-06-29,41.375,8
2008-07-06,63.875,8
2008-07-13,29.875,8
2008-07-20,36.625,8
2008-07-27,61.375,8
2008-08-03,50.875,8
2008-08-10,59.125,8
2008-08-17,33.875,8
2008-08-24,45.875,8
2008-08-31,39.125,8
2008-09-07,19.125,8
2008-09-14,22.11111111111111,9
2008-09-21,24,9
2008-09-28,31.333333333333332,9
2008-10-05,51.666666666666664,9
2008-10-12,12.22222222222222,9
2008-10-19,30.333333333333332,9
2008-10-26,22,9
2008-11-02,35.888888888888886,9
2008-11-09,29.333333333333332,9
2008-11-16,18.77777777777778,9
2008-11-23,49.55555555555556,9
2008-11-30,25.3,10
2008-12-07,42.3,10
2008-12-14,36.7,10
2008-12-21,18.7,10
2008-12-28,6.2,10
2009-01-04,24.6,10
2009-01-11,19.7,10
2009-01-18,27.4,10
2009-01-25,32.2,10
2009-02-01,23.5,10
2009-02-08,17.7,10
2009-02-15,44.54545454545455,11
2009-02-22,28.272727272727273,11
2009-03-01,25.181818181818183,11
2009-03-08,20.727272727272727,11
2009-03-15,26.454545454545453,11
2009-03-22,21.272727272727273,11
2009-03-29,60,11
2009-04-05,39,11
2009-04-12,18.636363636363637,11
2009-04-19,42.63636363636363,11
2009-04-26,34.63636363636363,11
2009-05-03,55.166666666666664,12
2009-05-10,34.75,12
2009-05-17,69.41666666666667,12
2009-05-24,34.333333333333336,12
2009-05-31,52.833333333333336,12
2009-06-07,40.583333333333336,12
2009-06-14,36.75,12
2009-06-21,47.333333333333336,12
2009-06-28,46.75,12
2009-07-05,33.083333333333336,12
2009-07-12,55.5,12
2009-07-19,77,13
2009-07-26,59.69230769230769,13
2009-08-02,44.46153846153846,13
2009-08-09,50.76923076923077,13
2009-08-16,44.92307692307692,13
2009-08-23,33.76923076923077,13
2009-08-30,26.46153846153846,13
2009-09-06,30.53846153846154,13
2009-09-13,38,13
2009-09-20,52.61538461538461,13
2009-09-27,28.846153846153847,13
2009-10-04,24.857142857142858,14
2009-10-11,25.285714285714285,14
2009-10-18,33.5,14
2009-10-25,45,14
2009-11-01,15.357142857142858,14
2009-11-08,37.5,14
2009-11-15,26.357142857142858,14
2009-11-22,49.357142857142854,14
2009-11-29,22.928571428571427,14
2009-12-06,29.285714285714285,14
2009-12-13,25.285714285714285,14
2009-12-20,43.53333333333333,15
2009-12-27,18.6,15
2010-01-03,33.8,15
2010-01-10,29.733333333333334,15
2010-01-17,28.933333333333337,15
2010-01-24,22.066666666666663,15
2010-01-31,43.666666666666664,15
2010-02-07,25.733333333333334,15
2010-02-14,34.13333333333333,15
2010-02-21,40.266666666666666,15
2010-02-28,28.133333333333333,15
2010-03-07,43.375,16
2010-03-14,16.125,16
2010-03-21,31.5625,16
2010-03-28,37.75,16
2010-04-04,34.5,16
2010-04-11,44.625,16
2010-04-18,49.1875,16
2010-04-25,38.75,16
2010-05-02,64.3125,16
2010-05-09,28.3125,16
2010-05-16,55.125,16
2010-05-23,36.705882352941174,17
2010-05-30,43.11764705882353,17
2010-06-06,12.764705882352942,17
2010-06-13,34.294117647058826,17
2010-06-20,48.11764705882353,17
2010-06-27,62,17
2010-07-04,49.05882352941177,17
2010-07-11,47.35294117647059,17
2010-07-18,54.88235294117647,17
